Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,25.97,25.94,26.2,25.94,1504800,25.94,-1.0324490283278311,-1.03061308027066,-1.0324490283278311,-1.0318665495424653,-1.0188047613988005
05.01.2004,26.05,26.17,26.34,25.96,1818800,26.17,-1.021106776808319,-1.0266682344151008,-1.021106776808319,-1.0250233829849387,-1.0178097123145948
06.01.2004,26.03,26.34,26.35,26.01,1611000,26.34,-1.0127233735112886,-1.0276544458789905,-1.0127233735112886,-1.0245345853736867,-1.0153220896040807
07.01.2004,26.16,25.97,26.28,25.93,2094000,25.97,-1.0309696042165906,-1.0212440713637074,-1.0309696042165906,-1.02795616865245,-1.0193022859409033
08.01.2004,26.0,26.41,26.45,25.73,2222600,26.41,-1.0092713839183938,-1.0291337630748252,-1.0092713839183938,-1.019646609261168,-1.02925277678296
09.01.2004,26.35,25.77,26.35,25.77,2064600,25.77,-1.0408324316248618,-1.011875062456755,-1.0408324316248618,-1.0245345853736867,-1.0272626786145487
12.01.2004,25.81,25.88,25.9,25.64,1627000,25.88,-1.0354078765503127,-1.0385027719817777,-1.0354078765503127,-1.046530477880022,-1.0337304976618855
13.01.2004,25.89,25.89,26.19,25.72,2364200,25.89,-1.034914735179899,-1.0345579261262188,-1.034914735179899,-1.032355347153717,-1.0297503013250628
14.01.2004,25.91,26.02,26.18,25.87,1231000,26.02,-1.0285038973645229,-1.0335717146623289,-1.0285038973645229,-1.032844144764969,-1.0222874331935203
15.01.2004,25.88,26.01,26.04,25.71,2210200,26.01,-1.0289970387349363,-1.0350510318581636,-1.0289970387349363,-1.0396873113224954,-1.0302478258671657
16.01.2004,26.06,25.79,26.06,25.79,1419000,25.79,-1.0398461488840347,-1.0261751286831562,-1.0398461488840347,-1.0387097160999916,-1.026267629530343
20.01.2004,25.61,25.79,25.84,25.46,1818000,25.79,-1.0398461488840347,-1.048364886620675,-1.0398461488840347,-1.0494632635475332,-1.0426859394197363
21.01.2004,25.79,25.63,25.79,25.46,1349200,25.63,-1.047736410810652,-1.0394889834456673,-1.047736410810652,-1.0519072516037926,-1.0426859394197363
22.01.2004,25.66,25.63,25.79,25.54,1449800,25.63,-1.047736410810652,-1.0458993579609506,-1.047736410810652,-1.0519072516037926,-1.0387057430829139
23.01.2004,25.7,25.65,25.81,25.55,1662400,25.65,-1.0467501280698248,-1.0439269350331712,-1.0467501280698248,-1.0509296563812889,-1.038208218540811
26.01.2004,25.61,25.68,25.74,25.5,1341400,25.68,-1.045270703958584,-1.048364886620675,-1.045270703958584,-1.054351239660052,-1.0406958412513252
27.01.2004,25.76,25.72,25.79,25.65,1246000,25.72,-1.0432981384769298,-1.0409683006415018,-1.0432981384769298,-1.0519072516037926,-1.0332329731197827
28.01.2004,25.74,25.01,25.79,24.9,3618600,25.01,-1.0783111757762929,-1.0419545121053917,-1.0783111757762929,-1.0519072516037926,-1.0705473137774952
29.01.2004,24.64,24.76,25.0,24.64,3440600,24.76,-1.090639710036632,-1.0961961426193267,-1.090639710036632,-1.0905222628926918,-1.0834829518721687
30.01.2004,24.78,24.54,24.79,24.54,3177000,24.54,-1.1014888201857305,-1.0892926623720984,-1.1014888201857305,-1.1007870127289814,-1.088458197293197
02.02.2004,24.59,24.67,24.8,24.51,2914800,24.67,-1.095077982370354,-1.098661671279051,-1.095077982370354,-1.1002982151177294,-1.0899507709195055
03.02.2004,24.67,24.65,24.79,24.42,4147600,24.65,-1.0960642651111814,-1.094716825423492,-1.0960642651111814,-1.1007870127289814,-1.094428491798431
04.02.2004,24.65,24.27,24.65,24.08,2896800,24.27,-1.1148036371868968,-1.095703036887382,-1.1148036371868968,-1.107630179286508,-1.1113443262299274
05.02.2004,24.33,24.33,24.42,24.09,2256400,24.33,-1.1118447889644154,-1.1114824203096176,-1.1118447889644154,-1.118872524345301,-1.1108468016878246
06.02.2004,24.29,24.22,24.3,24.06,3012600,24.22,-1.1172693440389647,-1.113454843237397,-1.1172693440389647,-1.124738095680324,-1.112339375314133
09.02.2004,24.2,24.14,24.31,24.11,2063200,24.14,-1.1212144750022732,-1.1178927948249007,-1.1212144750022732,-1.1242492980690721,-1.109851752603619
10.02.2004,24.11,24.27,24.38,24.09,2988600,24.27,-1.1148036371868968,-1.1223307464124044,-1.1148036371868968,-1.1208277147903087,-1.1108468016878246
11.02.2004,24.4,24.79,24.92,24.36,3739200,24.79,-1.0891602859253915,-1.1080306801860034,-1.0891602859253915,-1.0944326437827068,-1.097413639051048
12.02.2004,25.04,24.93,25.21,24.9,2326200,24.93,-1.0822563067396014,-1.0764719133415321,-1.0822563067396014,-1.080257513056402,-1.0705473137774952
13.02.2004,25.16,24.75,25.22,24.63,2172200,24.75,-1.0911328514070457,-1.0705546445581937,-1.0911328514070457,-1.0797687154451503,-1.0839804764142715
17.02.2004,24.76,24.4,24.81,24.03,4356600,24.4,-1.1083927993715206,-1.0902788738359883,-1.1083927993715206,-1.0998094175064776,-1.1138319489404416
18.02.2004,24.48,23.87,24.49,23.87,3550200,23.87,-1.1345292920034393,-1.1040858343304445,-1.1345292920034393,-1.115450941066538,-1.121792341614087
19.02.2004,24.09,23.62,24.23,23.62,2959600,23.62,-1.1468578262637785,-1.1233169578762943,-1.1468578262637785,-1.128159678959087,-1.1342304551666575
20.02.2004,23.81,23.56,23.81,23.27,2462600,23.56,-1.1498166744862601,-1.1371239183707504,-1.1498166744862601,-1.1486891786316664,-1.151643814140257
23.02.2004,23.6,23.21,23.72,23.16,2668200,23.21,-1.1670766224507347,-1.1474791387415924,-1.1670766224507347,-1.1530883571329336,-1.157116584103388
24.02.2004,23.15,23.42,23.46,22.89,3313600,23.42,-1.1567206536720498,-1.1696688966791116,-1.1567206536720498,-1.1657970950254823,-1.1705497467401644
25.02.2004,23.47,23.35,23.49,23.25,2818400,23.35,-1.1601726432649448,-1.1538895132568758,-1.1601726432649448,-1.1643307021917269,-1.1526388632244624
26.02.2004,23.33,23.62,23.7,23.26,2172800,23.62,-1.1468578262637785,-1.160792993504104,-1.1468578262637785,-1.1540659523554373,-1.1521413386823596
27.02.2004,24.12,24.36,24.49,24.12,4260000,24.36,-1.1103653648531748,-1.1218376406804595,-1.1103653648531748,-1.115450941066538,-1.109354228061516
01.03.2004,24.36,24.17,24.52,24.05,2726800,24.17,-1.1197350508910324,-1.110003103113783,-1.1197350508910324,-1.1139845482327824,-1.112836899856236
02.03.2004,24.12,23.83,24.19,23.71,2521800,23.83,-1.1365018574850938,-1.1218376406804595,-1.1365018574850938,-1.1301148694040946,-1.1297527342877323
03.03.2004,23.83,23.97,23.98,23.7,1886600,23.97,-1.129597878299304,-1.1361377069068608,-1.129597878299304,-1.1403796192403843,-1.130250258829835
04.03.2004,24.07,24.02,24.11,23.91,1461800,24.02,-1.127132171447236,-1.124303169340184,-1.127132171447236,-1.1340252502941097,-1.1198022434456756
05.03.2004,23.95,24.21,24.38,23.91,2368200,24.21,-1.1177624854093782,-1.1302204381235224,-1.1177624854093782,-1.1208277147903087,-1.1198022434456756
08.03.2004,24.29,23.77,24.31,23.73,1550000,23.77,-1.1394607057075752,-1.113454843237397,-1.1394607057075752,-1.1242492980690721,-1.1287576852035266
09.03.2004,23.68,23.42,23.73,23.41,2133600,23.42,-1.1567206536720498,-1.1435342928860337,-1.1567206536720498,-1.1525995595216816,-1.1446784705508173
10.03.2004,23.55,23.03,23.55,23.01,4134000,23.03,-1.1759531671181789,-1.1499446674013167,-1.1759531671181789,-1.1613979165242154,-1.1645794522349304
11.03.2004,22.99,22.52,23.0,22.51,4047000,22.52,-1.201103377009271,-1.1775585883902293,-1.201103377009271,-1.1882817851430694,-1.1894556793400721
12.03.2004,22.55,22.95,22.97,22.55,3587600,22.95,-1.1798982980814876,-1.1992552405958032,-1.1798982980814876,-1.189748177976825,-1.1874655811716608
15.03.2004,22.77,22.48,22.85,22.48,2124200,22.48,-1.2030759424909252,-1.1884069144930163,-1.2030759424909252,-1.1956137493118475,-1.1909482529663806
16.03.2004,22.77,22.47,22.77,22.29,2175400,22.47,-1.2035690838613387,-1.1884069144930163,-1.2035690838613387,-1.1995241302018629,-1.2004012192663345
17.03.2004,22.67,23.29,23.37,22.58,4675800,23.29,-1.1631314914874262,-1.1933379718124648,-1.1631314914874262,-1.1701962735267495,-1.1859730075453525
18.03.2004,23.17,23.11,23.29,23.05,4399400,23.11,-1.1720080361548706,-1.1686826852152217,-1.1720080361548706,-1.1741066544167647,-1.162589354066519
19.03.2004,23.08,23.16,23.32,23.07,2045400,23.16,-1.1695423293028027,-1.1731206368027256,-1.1695423293028027,-1.172640261583009,-1.1615943049823134
