Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,2.83,2.78,2.84,2.77,9539460,2.78,-1.8124183893539512,-1.7910672064803614,-1.8124183893539512,-1.7986982614940532,-1.8041944611857545
03.01.2014,2.79,2.79,2.81,2.78,6171863,2.79,-1.8082572543745197,-1.80771374253232,-1.8082572543745197,-1.811078132408677,-1.8000036446710082
06.01.2014,2.78,2.76,2.79,2.75,7249981,2.76,-1.8207406593128144,-1.81187537654531,-1.8207406593128144,-1.8193313796850927,-1.8125760942152476
07.01.2014,2.76,2.77,2.78,2.75,11601289,2.77,-1.8165795243333824,-1.820198644571289,-1.8165795243333824,-1.8234580033233008,-1.8125760942152476
08.01.2014,2.76,2.75,2.77,2.74,10568396,2.75,-1.8249017942922456,-1.820198644571289,-1.8249017942922456,-1.8275846269615086,-1.8167669107299937
09.01.2014,2.76,2.75,2.78,2.74,10095924,2.75,-1.8249017942922456,-1.820198644571289,-1.8249017942922456,-1.8234580033233008,-1.8167669107299937
10.01.2014,2.77,2.8,2.82,2.76,13720890,2.8,-1.8040961193950884,-1.8160370105582995,-1.8040961193950884,-1.8069515087704693,-1.8083852777005012
13.01.2014,2.81,2.83,2.83,2.8,9076283,2.83,-1.7916127144567937,-1.7993904745063405,-1.7916127144567937,-1.802824885132261,-1.7916220116415156
14.01.2014,2.81,2.84,2.84,2.79,8713340,2.84,-1.7874515794773624,-1.7993904745063405,-1.7874515794773624,-1.7986982614940532,-1.795812828156262
15.01.2014,2.84,2.88,2.88,2.83,12155931,2.88,-1.7708070395596365,-1.786905572467372,-1.7708070395596365,-1.7821917669412213,-1.7790495620972764
16.01.2014,2.88,2.87,2.88,2.85,10880200,2.87,-1.774968174539068,-1.7702590364154134,-1.774968174539068,-1.7821917669412213,-1.7706679290677834
17.01.2014,2.87,2.9,2.9,2.86,16328208,2.9,-1.7624847696007737,-1.774420670428403,-1.7624847696007737,-1.7739385196648054,-1.7664771125530372
20.01.2014,2.91,2.91,2.93,2.89,13765724,2.91,-1.758323634621342,-1.7577741343764444,-1.758323634621342,-1.761558648750181,-1.7539046630087982
