Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,46.1,45.53,46.12,45.27,1748579,45.53,2.0900742145805893,2.149874324059711,2.0900742145805893,2.0760142615614523,2.141943194890337
03.01.2014,45.53,45.26,45.87,45.21,1592607,45.26,2.0621985402352765,2.0909803367361053,2.0621985402352765,2.0505867162068547,2.1356461256991985
06.01.2014,45.46,44.7,45.48,44.55,2023734,44.7,2.0043823267783325,2.0837477418016275,2.0043823267783325,2.0109197454536827,2.0663783645966776
07.01.2014,44.44,44.43,44.78,44.26,2291256,44.43,1.9765066524330195,1.9783585013278067,1.9765066524330195,1.9397226184608096,2.035942530172843
08.01.2014,44.46,43.23,44.79,43.04,4980956,43.23,1.8526147664538521,1.980424957023372,1.8526147664538521,1.9407397202749932,1.9079021232863658
09.01.2014,43.45,43.3,43.49,42.72,2512592,43.3,1.8598417931359703,1.8760689443973344,1.8598417931359703,1.808516484431086,1.8743177542669618
10.01.2014,43.44,42.93,43.53,42.73,2575412,42.93,1.8216417949590606,1.8750357165495515,1.8216417949590606,1.8125848916878216,1.8753672657988179
13.01.2014,42.68,41.61,42.96,41.53,2770916,41.61,1.685360720381977,1.7965104001180776,1.685360720381977,1.754610088279339,1.7494258819760538
14.01.2014,41.61,42.23,42.41,41.6,3056834,42.23,1.7493715281378797,1.6859550204053442,1.7493715281378797,1.6986694884992237,1.7567724626990484
15.01.2014,42.48,42.24,42.48,42.04,2006708,42.24,1.75040396052104,1.7758458431624262,1.75040396052104,1.7057892011985112,1.8029509701007285
16.01.2014,42.28,41.91,42.57,41.79,2885597,41.91,1.7163336918767684,1.7551812862067755,1.7163336918767684,1.7149431175261667,1.7767131818043191
17.01.2014,41.75,41.34,42.11,41.16,2966616,41.34,1.6574850460366648,1.7004202102743,1.6574850460366648,1.668156434073707,1.7105939552973675
21.01.2014,41.62,41.19,41.62,40.85,3275822,41.19,1.6419985602892684,1.6869882482531267,1.6419985602892684,1.6183184451786954,1.6780590978098204
22.01.2014,41.21,41.12,41.44,40.97,4008132,41.12,1.6347715336071502,1.6446259064940423,1.6347715336071502,1.600010612523385,1.6906532361920967
23.01.2014,40.8,40.92,41.02,40.47,4795237,40.92,1.6141228859439563,1.6022635647349572,1.6141228859439563,1.5572923363276616,1.638177659599278
24.01.2014,40.86,40.36,40.86,40.36,4691908,40.36,1.5563066724870114,1.6084629318216528,1.5563066724870114,1.5410187073007189,1.626633032748858
27.01.2014,40.39,39.5,40.57,39.24,4706976,39.5,1.4675174875352752,1.5599012229758729,1.4675174875352752,1.5115227546893857,1.5090877411809447
28.01.2014,39.43,39.84,39.94,39.42,3361735,39.84,1.5026201885627062,1.4607113495887476,1.5026201885627062,1.4474453403957994,1.5279789487543594
29.01.2014,39.45,40.05,40.26,39.19,5130863,40.05,1.5243012686090598,1.462777805284313,1.5243012686090598,1.4799925984496844,1.5038401835216624
30.01.2014,40.32,41.05,41.81,40.0,5302883,41.05,1.6275445069250323,1.552668628041395,1.6275445069250323,1.63764337964819,1.5888506176020287
31.01.2014,40.51,40.77,41.34,40.4,3431012,40.77,1.5986364001965605,1.5722999571492633,1.5986364001965605,1.5898395943815467,1.6308310788762834
03.02.2014,40.05,39.88,40.97,39.72,3985822,39.88,1.506749918095345,1.5247714761512656,1.506749918095345,1.5522068272567418,1.55946429471005
04.02.2014,39.92,39.87,40.51,39.5,2416308,39.87,1.5057174857121847,1.511339514130093,1.5057174857121847,1.505420143804282,1.53637504100921
05.02.2014,39.51,40.57,40.85,39.42,3998738,40.57,1.5779877525333657,1.4689771723710079,1.5779877525333657,1.540001605486535,1.5279789487543594
06.02.2014,40.81,41.87,42.03,40.39,4277219,41.87,1.7122039623441296,1.6032967925827404,1.7122039623441296,1.660019619560236,1.6297815673444271
07.02.2014,41.98,42.29,42.49,41.83,3061335,42.29,1.7555661224368382,1.7241844507732984,1.7555661224368382,1.7068063030126956,1.7809112279317445
10.02.2014,42.19,42.1,42.34,42.01,3026892,42.1,1.7359499071568036,1.7458822355767323,1.7359499071568036,1.6915497757999371,1.7998024355051592
11.02.2014,41.92,42.29,42.91,41.92,2565823,42.29,1.7555661224368382,1.7179850836866037,1.7555661224368382,1.749524579208419,1.7903568317184522
12.02.2014,42.84,42.34,42.84,41.98,3551564,42.34,1.7607282843526373,1.8130420456825989,1.7607282843526373,1.7424048665091323,1.79665390090959
13.02.2014,40.28,40.52,41.39,40.09,7342860,40.52,1.5728255906175674,1.548535716650265,1.5728255906175674,1.5949251034524659,1.5982962213887364
14.02.2014,40.64,41.3,41.72,40.37,3867815,41.3,1.6533553165040253,1.5857319191704367,1.6533553165040253,1.6284894633205347,1.6276825442807141
18.02.2014,41.41,41.05,41.71,40.91,4026527,41.05,1.6275445069250323,1.665290463449693,1.6275445069250323,1.6274723615063509,1.6843561670009581
19.02.2014,41.05,41.46,42.05,40.96,2715925,41.46,1.6698742346345812,1.628094260929521,1.6698742346345812,1.6620538231886033,1.6896037246602404
20.02.2014,41.56,42.12,42.22,41.56,2598505,42.12,1.7380147719231227,1.6807888811664318,1.7380147719231227,1.6793445540297298,1.752574416571623
21.02.2014,42.2,42.31,42.43,41.72,2614552,42.31,1.757630987203158,1.7469154634245152,1.757630987203158,1.700703692127592,1.7693666010813245
24.02.2014,42.31,42.14,42.6,42.12,2941567,42.14,1.7400796366894424,1.7582809697501234,1.7400796366894424,1.7179944229687185,1.8113470623555792
25.02.2014,42.08,41.74,42.31,41.05,2401043,41.74,1.6987823413630536,1.734516729251124,1.6987823413630536,1.6884984703573853,1.6990493284469474
26.02.2014,41.72,41.57,42.35,41.12,3418879,41.57,1.6812309908493381,1.6973205267309524,1.6812309908493381,1.6925668776141207,1.706395909169942
27.02.2014,41.42,41.97,41.98,41.42,2051523,41.97,1.722528286175727,1.666323691297476,1.722528286175727,1.6549341104893158,1.7378812551256337
28.02.2014,42.27,42.58,42.99,41.55,3087363,42.58,1.7855066615484703,1.7541480583589932,1.7855066615484703,1.7576613937218908,1.751524905039766
03.03.2014,42.39,41.94,42.46,41.68,1850931,41.94,1.7194309890262478,1.7665467925323834,1.7194309890262478,1.7037549975701438,1.7651685549538991
04.03.2014,42.35,42.91,43.09,42.23,3183452,42.91,1.819576930192741,1.7624138811412535,1.819576930192741,1.7678324118637299,1.8228916892059992
05.03.2014,43.1,43.29,43.33,42.86,2649778,43.29,1.8588093607528107,1.839905969724945,1.8588093607528107,1.7922428554041432,1.889010915712951
06.03.2014,43.42,43.93,44.13,43.29,3108890,43.93,1.9248850332750331,1.8729692608539867,1.9248850332750331,1.873611000538856,1.9341399115827749
