Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
01.01.2004,17.27,17.27,17.27,17.27,0,17.27,-1.0387585859154167,-1.0385066678779642,-1.0387585859154167,-1.0409562271312744,-1.0359783266050708
02.01.2004,17.54,18.11,18.16,17.52,6501472,18.11,-1.0289367302619732,-1.0353502536196038,-1.0289367302619732,-1.0306668733228275,-1.033022130838651
05.01.2004,18.14,17.92,18.52,17.88,11133424,17.92,-1.0311583404692997,-1.0283359997121366,-1.0311583404692997,-1.0265048875126692,-1.028765208935006
06.01.2004,17.98,17.91,18.08,17.62,7758624,17.91,-1.031275267322317,-1.0302064674207945,-1.031275267322317,-1.0315917590584183,-1.0318396525320828
07.01.2004,17.98,17.62,18.01,17.62,8079872,17.62,-1.0346661460598152,-1.0302064674207945,-1.0346661460598152,-1.03240103407706,-1.0318396525320828
08.01.2004,17.65,17.65,17.79,17.62,8828928,17.65,-1.0343153655007635,-1.0340643070699016,-1.0343153655007635,-1.0349444698499346,-1.0318396525320828
09.01.2004,17.74,17.5,17.75,17.41,4125184,17.5,-1.0360692682960215,-1.0330121689837815,-1.0360692682960215,-1.03540691271773,-1.0343228569758756
12.01.2004,17.4,17.43,17.74,17.21,1739424,17.43,-1.0368877562671417,-1.0369869128646796,-1.0368877562671417,-1.035522523434679,-1.0366878135890119
13.01.2004,17.57,17.52,17.82,17.5,7070320,17.52,-1.035835414589987,-1.0349995409242305,-1.035835414589987,-1.034597637699088,-1.0332586264999644
14.01.2004,17.45,17.55,17.71,17.4,7103232,17.55,-1.0354846340309356,-1.036402391705724,-1.0354846340309356,-1.0358693555855254,-1.0344411048065325
15.01.2004,17.51,17.38,17.65,17.37,5475616,17.38,-1.0374723905322276,-1.0357009663149772,-1.0374723905322276,-1.0365630198872184,-1.0347958482985027
16.01.2004,17.38,17.64,17.64,17.38,6501120,17.64,-1.034432292353781,-1.0372207213282618,-1.034432292353781,-1.0366786306041673,-1.0346776004678462
19.01.2004,17.69,17.83,17.86,17.64,3789552,17.83,-1.0322106821464545,-1.0335966901427371,-1.0322106821464545,-1.0341351948312927,-1.031603156870769
20.01.2004,17.8,17.74,17.88,17.71,4685360,17.74,-1.0332630238236091,-1.0323107435930348,-1.0332630238236091,-1.0339039733973951,-1.0307754220561716
21.01.2004,17.88,18.16,18.17,17.81,6626176,18.16,-1.0283520959968875,-1.0313755097387058,-1.0283520959968875,-1.0305512626058786,-1.0295929437496034
22.01.2004,18.17,18.15,18.35,18.1,6599312,18.15,-1.0284690228499045,-1.0279852870167632,-1.0284690228499045,-1.0284702697007995,-1.0261637566605561
23.01.2004,18.17,18.35,18.49,18.11,6382544,18.35,-1.026130485789561,-1.0279852870167632,-1.026130485789561,-1.0268517196635158,-1.0260455088298994
26.01.2004,18.35,18.31,18.38,18.17,4556544,18.31,-1.0265981932016295,-1.0258810108445229,-1.0265981932016295,-1.028123437549953,-1.0253360218459586
27.01.2004,18.34,18.23,18.4,18.16,4929328,18.23,-1.027533608025767,-1.025997915076314,-1.027533608025767,-1.0278922161160553,-1.0254542696766153
28.01.2004,18.04,18.1,18.26,17.87,5233008,18.1,-1.0290536571149904,-1.0295050420300478,-1.0290536571149904,-1.029510766153339,-1.0288834567656626
29.01.2004,17.79,17.61,17.79,17.47,12509040,17.61,-1.0347830729128324,-1.0324276478248258,-1.0347830729128324,-1.0349444698499346,-1.0336133699919348
30.01.2004,17.6,17.44,17.76,17.34,11199952,17.44,-1.0367708294141247,-1.034648828228857,-1.0367708294141247,-1.035291302000781,-1.0351505917904733
02.02.2004,17.45,17.64,17.74,17.37,5870208,17.64,-1.034432292353781,-1.036402391705724,-1.034432292353781,-1.035522523434679,-1.0347958482985027
03.02.2004,17.78,17.58,17.85,17.52,4948816,17.58,-1.035133853471884,-1.032544552056617,-1.035133853471884,-1.0342508055482416,-1.033022130838651
04.02.2004,17.44,17.67,17.76,17.42,3990912,17.67,-1.0340815117947293,-1.0365192959375151,-1.0340815117947293,-1.035291302000781,-1.0342046091452188
05.02.2004,17.56,17.63,17.76,17.47,2925536,17.63,-1.0345492192067982,-1.0351164451560215,-1.0345492192067982,-1.035291302000781,-1.0336133699919348
06.02.2004,17.59,17.79,17.8,17.51,741860,17.79,-1.0326783895585232,-1.0347657324606483,-1.0326783895585232,-1.034828859132986,-1.0331403786693076
09.02.2004,17.8,17.86,17.94,17.79,2576720,17.86,-1.0318599015874028,-1.0323107435930348,-1.0318599015874028,-1.033210309095702,-1.029829439410917
10.02.2004,17.86,17.9,17.93,17.77,2770816,17.9,-1.0313921941753341,-1.031609318202288,-1.0313921941753341,-1.033325919812651,-1.0300659350722308
11.02.2004,17.97,17.92,17.97,17.67,3937440,17.92,-1.0311583404692997,-1.0303233716525857,-1.0311583404692997,-1.0328634769448555,-1.0312484133787987
12.02.2004,17.96,17.81,18.01,17.77,4376720,17.81,-1.0324445358524887,-1.0304402758843767,-1.0324445358524887,-1.03240103407706,-1.0300659350722308
13.02.2004,17.76,17.51,17.84,17.44,5807872,17.51,-1.0359523414430043,-1.0327783605201992,-1.0359523414430043,-1.0343664162651904,-1.0339681134839052
