Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,1145.93,1146.69,1151.23,1133.83,533950,1146.69,-0.8683939026409969,-0.8726761477592286,-0.8683939026409969,-0.9005460590351472,-0.8630762084924901
03.01.2014,1134.59,1144.42,1145.93,1134.59,754680,1144.42,-0.8749383903766028,-0.9054205253788268,-0.8749383903766028,-0.9156993017808903,-0.8608615928562032
06.01.2014,1143.66,1138.37,1145.93,1137.61,810311,1138.37,-0.8923807475574034,-0.879230798305656,-0.8923807475574034,-0.9156993017808903,-0.8520614096699053
07.01.2014,1136.86,1119.46,1139.01,1112.65,1409765,1119.46,-0.9468989251258209,-0.8988658748323994,-0.9468989251258209,-0.9354842904225025,-0.9247940495142749
08.01.2014,1120.22,1096.77,1123.24,1093.74,1470313,1096.77,-1.012314972139433,-0.9469140620978403,-1.012314972139433,-0.9805723353471008,-0.9798971833066245
09.01.2014,1102.06,1074.83,1109.63,1068.03,1565001,1074.83,-1.0755687434694747,-0.9993512664692598,-1.0755687434694747,-1.0194847190772072,-1.0548152991078568
10.01.2014,1078.61,1114.17,1114.68,1077.1,1378088,1114.17,-0.9621501762806028,-1.0670634053739834,-0.9621501762806028,-1.0050462519326784,-1.028385609869538
13.01.2014,1117.19,1105.09,1118.7,1102.06,873032,1105.09,-0.9883281272230271,-0.9556632211972567,-0.9883281272230271,-0.9935526602651524,-0.9556529700251679
14.01.2014,1102.06,1111.14,1114.17,1088.45,1511863,1111.14,-0.9708857700422266,-0.9993512664692598,-0.9708857700422266,-1.0065043941591556,-0.9953120737223583
15.01.2014,1172.41,1162.57,1190.56,1157.01,3244604,1162.57,-0.8226113188342032,-0.7962148497550888,-0.8226113188342032,-0.788097561452113,-0.7955304315857391
16.01.2014,1169.38,1134.59,1169.38,1130.81,1253027,1134.59,-0.9032786170025974,-0.804964008854505,-0.9032786170025974,-0.8486533503869884,-0.871876391678788
17.01.2014,1139.88,1145.93,1147.45,1133.83,1672933,1145.93,-0.8705850086670148,-0.8901455908455218,-0.8705850086670148,-0.9113534661255074,-0.8630762084924901
20.01.2014,1133.83,1134.59,1147.45,1133.08,721031,1134.59,-0.9032786170025974,-0.9076150339318156,-0.9032786170025974,-0.9113534661255074,-0.8652616844493523
21.01.2014,1138.37,1145.18,1151.23,1133.08,1126889,1145.18,-0.872747284350585,-0.894505732838961,-0.872747284350585,-0.9005460590351472,-0.8652616844493523
22.01.2014,1148.2,1140.64,1158.04,1137.61,844168,1140.64,-0.8858362598217968,-0.8661214972128013,-0.8858362598217968,-0.8810755716580696,-0.8520614096699053
23.01.2014,1135.34,1119.46,1143.66,1113.41,1126372,1119.46,-0.9468989251258209,-0.9032548919383772,-0.9468989251258209,-0.9221894642399161,-0.922579433877988
24.01.2014,1119.46,1117.19,1127.02,1108.11,1993995,1117.19,-0.9534434128614268,-0.9491085706508293,-0.9534434128614268,-0.9697649282567405,-0.9380234639731473
27.01.2014,1114.92,1088.45,1116.43,1087.69,1329400,1088.45,-1.0363018170558387,-0.962217871743684,-1.0363018170558387,-1.0000428227241782,-0.9975266893586452
28.01.2014,1095.26,1114.17,1120.22,1088.45,1244203,1114.17,-0.9621501762806028,-1.0189863429960024,-0.9621501762806028,-0.9892068246097695,-0.9953120737223583
29.01.2014,1120.97,1098.28,1127.78,1091.47,1359648,1098.28,-1.007961590429845,-0.9447484286573908,-1.007961590429845,-0.9675920104290491,-0.9865118905360604
30.01.2014,1098.28,1067.27,1101.31,1064.24,1723449,1067.27,-1.0973644823598627,-1.0102660590091257,-1.0973644823598627,-1.0432724510856197,-1.0658592376098663
31.01.2014,1092.23,1095.26,1095.26,1058.95,2135260,1095.26,-1.016668353849021,-1.0277355020954186,-1.016668353849021,-1.060570020635006,-1.0812741280256002
03.02.2014,1093.74,1064.24,1099.79,1062.73,1118749,1064.24,-1.1061000761214865,-1.0233753601019804,-1.1061000761214865,-1.0476182867410027,-1.0702593292030154
04.02.2014,1053.65,1085.42,1091.47,1050.63,1654719,1085.42,-1.0450374108174625,-1.139135686272145,-1.0450374108174625,-1.0714060187494145,-1.1055183413070568
05.02.2014,1089.96,1090.72,1094.5,1077.1,1473018,1090.72,-1.029757329320233,-1.034290152641846,-1.029757329320233,-1.0627429384626974,-1.028385609869538
