Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,13941.88,14065.26,14188.64,13889.0,130225,14065.26,-1.1465701655052851,-1.1528808363662786,-1.1465701655052851,-1.1493373752570166,-1.1424778975305223
03.01.2014,14065.26,13871.38,14082.89,13748.0,65560,13871.38,-1.1605428025395594,-1.144007378936089,-1.1605428025395594,-1.1568027630265951,-1.1528360289700839
06.01.2014,13889.01,13959.51,14012.38,13871.38,18790,13959.51,-1.1541914073372146,-1.1566832329810794,-1.1541914073372146,-1.161780394153148,-1.1437722966508421
07.01.2014,14012.39,14100.51,14118.14,13871.38,76395,14100.51,-1.1440297515613085,-1.1478097755508898,-1.1440297515613085,-1.1543143004367356,-1.1437722966508421
08.01.2014,14100.51,14241.52,14259.14,14065.26,115240,14241.52,-1.1338673751005957,-1.141472208127091,-1.1338673751005957,-1.1443604500772977,-1.1295294986118194
09.01.2014,14276.77,14382.52,14400.15,14223.89,136940,14382.52,-1.1237057193246898,-1.128795634884708,-1.1237057193246898,-1.1344058937710255,-1.1178762334326873
10.01.2014,14382.52,14453.03,14470.65,14241.52,162270,14453.03,-1.11862417075193,-1.1211901224577137,-1.11862417075193,-1.1294289685913066,-1.1165810996931165
13.01.2014,14435.4,14541.15,14541.15,14435.4,101615,14541.15,-1.112273496234392,-1.1173870066455203,-1.112273496234392,-1.1244520434115877,-1.1023383016540937
14.01.2014,14364.9,14523.53,14594.03,14364.9,142105,14523.53,-1.113543342863977,-1.1224573482635163,-1.113543342863977,-1.1207189965533813,-1.1075173673738745
15.01.2014,14523.53,14629.28,14717.41,14470.65,103775,14629.28,-1.1059221010320475,-1.1110487200243286,-1.1059221010320475,-1.1120090245154561,-1.0997487687942034
16.01.2014,14488.28,14223.89,14594.03,14188.64,168225,14223.89,-1.1351379424149874,-1.1135838908333267,-1.1351379424149874,-1.1207189965533813,-1.1204657662925777
17.01.2014,14171.02,14171.02,14400.15,13836.13,183085,14171.02,-1.1389482029885487,-1.1364011473117022,-1.1389482029885487,-1.1344058937710255,-1.1463618295107323
20.01.2014,14223.89,14047.64,14276.77,13977.13,66845,14047.64,-1.14784001213487,-1.1325987506969013,-1.14784001213487,-1.1431158658089509,-1.136003698071171
21.01.2014,14100.51,14382.52,14505.9,13853.75,107530,14382.52,-1.1237057193246898,-1.141472208127091,-1.1237057193246898,-1.126940506001447,-1.1450674303904127
22.01.2014,14382.52,14241.52,14382.52,14065.26,425050,14241.52,-1.1338673751005957,-1.1211901224577137,-1.1338673751005957,-1.1356504780393724,-1.1295294986118194
23.01.2014,14276.77,14347.27,14435.4,14171.02,273710,14347.27,-1.1262461332686662,-1.128795634884708,-1.1262461332686662,-1.1319174311811662,-1.1217601654128972
24.01.2014,14347.27,14082.89,14347.27,13906.63,496195,14082.89,-1.1452995981908936,-1.1237252932667117,-1.1452995981908936,-1.1381389406292317,-1.1411827637909517
27.01.2014,13924.26,14171.02,14171.02,13836.13,171295,14171.02,-1.1389482029885487,-1.1541480621720814,-1.1389482029885487,-1.1505812535785294,-1.1463618295107323
28.01.2014,14100.51,14435.4,14435.4,14100.51,75790,14435.4,-1.1198947380663216,-1.141472208127091,-1.1198947380663216,-1.1319174311811662,-1.126939965751929
29.01.2014,14453.03,14699.79,14840.79,14435.4,153520,14699.79,-1.1008405524592875,-1.1161190616423249,-1.1008405524592875,-1.1032990524775308,-1.1023383016540937
03.02.2014,14699.79,14735.04,14823.17,14611.66,52765,14735.04,-1.098300138515311,-1.0983721467819456,-1.098300138515311,-1.1045429307990435,-1.0893899027353908
04.02.2014,14488.28,14558.78,14717.41,14488.28,100980,14558.78,-1.1110029289200003,-1.1135838908333267,-1.1110029289200003,-1.1120090245154561,-1.0984536350546328
05.02.2014,14558.78,14400.15,14664.53,14364.9,130630,14400.15,-1.1224351520102982,-1.1085135492153306,-1.1224351520102982,-1.1157420713736623,-1.1075173673738745
06.02.2014,14364.9,14012.38,14400.15,13748.0,271485,14012.38,-1.1503811467636533,-1.1224573482635163,-1.1503811467636533,-1.1344058937710255,-1.1528360289700839
07.02.2014,14100.51,14223.89,14259.14,13924.26,190660,14223.89,-1.1351379424149874,-1.141472208127091,-1.1351379424149874,-1.1443604500772977,-1.139887630051381
10.02.2014,14135.76,14047.64,14206.27,13994.76,140960,14047.64,-1.14784001213487,-1.138937037318093,-1.14784001213487,-1.1480927909886698,-1.1347085643316002
11.02.2014,14065.26,14100.51,14347.27,14065.26,73370,14100.51,-1.1440297515613085,-1.144007378936089,-1.1440297515613085,-1.1381389406292317,-1.1295294986118194
12.02.2014,14118.14,14523.53,14523.53,14118.14,79860,14523.53,-1.113543342863977,-1.1402042631238956,-1.113543342863977,-1.1256959217331002,-1.1256448320123582
13.02.2014,14576.4,14505.9,14576.4,14294.39,55140,14505.9,-1.1148139101783687,-1.107246323409528,-1.1148139101783687,-1.121963580821728,-1.1126971677129065
14.02.2014,14400.15,14400.15,14611.66,14188.64,82115,14400.15,-1.1224351520102982,-1.1199221774545183,-1.1224351520102982,-1.1194744122850346,-1.1204657662925777
17.02.2014,14505.9,14435.4,14505.9,14153.39,68545,14435.4,-1.1198947380663216,-1.112316665027524,-1.1198947380663216,-1.126940506001447,-1.1230552991524678
18.02.2014,14576.41,14435.4,14576.41,14223.89,110230,14435.4,-1.1198947380663216,-1.1072456042121352,-1.1198947380663216,-1.121962874874894,-1.1178762334326873
19.02.2014,14505.9,14541.15,14541.15,14223.89,92500,14541.15,-1.112273496234392,-1.112316665027524,-1.112273496234392,-1.1244520434115877,-1.1178762334326873
20.02.2014,14576.41,14576.41,14664.54,14417.78,112775,14576.41,-1.1097323616056087,-1.1072456042121352,-1.1097323616056087,-1.1157413654268282,-1.1036327007744133
21.02.2014,14576.41,14646.91,14717.41,14329.65,177890,14646.91,-1.104651533717656,-1.1072456042121352,-1.104651533717656,-1.1120090245154561,-1.110106900233765
24.02.2014,14594.03,14505.9,14682.16,14382.52,73730,14505.9,-1.1148139101783687,-1.1059783784063324,-1.1148139101783687,-1.1144974871053155,-1.106222968253555
25.02.2014,14453.03,14699.79,14735.04,14453.03,72815,14699.79,-1.1008405524592875,-1.1161190616423249,-1.1008405524592875,-1.1107644402471093,-1.1010431679145232
26.02.2014,14594.03,14646.91,14964.17,14541.16,123745,14646.91,-1.104651533717656,-1.1059783784063324,-1.104651533717656,-1.0945890804396057,-1.0945689684551716
27.02.2014,14735.03,15017.04,15052.3,14576.4,183525,15017.04,-1.077976826963499,-1.0958376951703401,-1.077976826963499,-1.08836757099154,-1.0919801702145324
28.02.2014,15052.3,15246.18,15246.18,14858.42,223820,15246.18,-1.0614630553004416,-1.0730197194945723,-1.0614630553004416,-1.0746806737738956,-1.0712624380969071
03.03.2014,15281.43,15316.68,15351.93,15017.05,103825,15316.68,-1.0563822274124886,-1.0565407496373882,-1.0563822274124886,-1.0672152860043171,-1.059609172917775
04.03.2014,15299.06,15210.93,15334.31,15122.8,89920,15210.93,-1.064003469244418,-1.055272804634193,-1.064003469244418,-1.0684591643258299,-1.0518405743381039
05.03.2014,15158.05,15492.94,15563.44,15140.43,211500,15492.94,-1.0436794370077993,-1.065414207067578,-1.0436794370077993,-1.052283804518326,-1.050545440598533
06.03.2014,15440.06,15440.06,15581.07,15246.18,93630,15440.06,-1.0474904182661675,-1.0451321213982008,-1.0474904182661675,-1.0510392202499794,-1.042776842018862
07.03.2014,15440.06,15510.56,15510.56,15228.55,54500,15510.56,-1.0424095903782145,-1.0451321213982008,-1.0424095903782145,-1.0560168513765325,-1.0440719757584327
10.03.2014,15492.94,15281.43,15492.94,15246.18,75605,15281.43,-1.0589226413564652,-1.0413290055860072,-1.0589226413564652,-1.057260729698045,-1.042776842018862
11.03.2014,15210.93,15616.32,15616.32,15210.93,112515,15616.32,-1.034787627861478,-1.0616110912553844,-1.034787627861478,-1.0485507576601198,-1.0453663748787523
12.03.2014,15616.32,15581.07,15616.32,15246.18,54515,15581.07,-1.0373280418054547,-1.0324555481558175,-1.0373280418054547,-1.0485507576601198,-1.042776842018862
13.03.2014,15598.7,15228.56,15598.7,15228.56,80945,15228.56,-1.0627329019300265,-1.0337227739616204,-1.0627329019300265,-1.0497946359816326,-1.0440712411391817
14.03.2014,15228.56,15369.56,15369.56,14946.55,165070,15369.56,-1.0525712461541206,-1.0603431462521893,-1.0525712461541206,-1.0659707017359703,-1.0647882386375558
17.03.2014,15299.06,15404.81,15598.69,15105.17,66895,15404.81,-1.050030832210144,-1.055272804634193,-1.050030832210144,-1.0497953419284665,-1.0531357080776744
18.03.2014,15263.8,15299.06,15510.56,15122.8,106670,15299.06,-1.0576520740420734,-1.0578086946405838,-1.0576520740420734,-1.0560168513765325,-1.0518405743381039
19.03.2014,15299.06,15193.3,15334.31,14999.42,88825,15193.3,-1.0652740365588098,-1.055272804634193,-1.0652740365588098,-1.0684591643258299,-1.0609043066573456
20.03.2014,15246.18,15457.69,15510.56,14981.79,76605,15457.69,-1.0462198509517757,-1.0590759204463864,-1.0462198509517757,-1.0560168513765325,-1.0621994403969164
21.03.2014,15563.44,15581.07,15704.45,15492.94,91050,15581.07,-1.0373280418054547,-1.036258663968011,-1.0373280418054547,-1.042329248212054,-1.0246493773803782
24.03.2014,15598.69,15651.57,15686.82,15598.69,60530,15651.57,-1.0322472139175016,-1.033723493159013,-1.0322472139175016,-1.043573832480401,-1.016880778800707
25.03.2014,15510.57,15581.07,15633.95,15351.94,38655,15581.07,-1.0373280418054547,-1.0400610605828118,-1.0373280418054547,-1.047306173391773,-1.0350075088199397
26.03.2014,15422.44,15563.44,15633.94,15299.06,54580,15563.44,-1.0385986091198462,-1.0463993472040034,-1.0385986091198462,-1.047306879338607,-1.038892175419401
