Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
01.01.2004,13.42,40.26,13.42,13.42,0,40.26,-0.7813558361838202,-0.8285646921618445,-0.7813558361838202,-0.8287097078772679,-0.8286500658895775
02.01.2004,40.21,39.81,40.26,39.39,23559,39.81,-0.7821512307008293,-0.7812024035376575,-0.7821512307008293,-0.7817571306422585,-0.7822227798779029
05.01.2004,39.79,40.21,40.42,39.79,22065,40.21,-0.7814442133523768,-0.7819449254197836,-0.7814442133523768,-0.7814772345037487,-0.7815076888342113
06.01.2004,39.5,39.87,40.1,39.5,116895,39.87,-0.7820451780985614,-0.7824576191002992,-0.7820451780985614,-0.7820370267807681,-0.7820261298408877
07.01.2004,39.13,39.79,40.26,39.13,60765,39.79,-0.7821865815682518,-0.7831117455202675,-0.7821865815682518,-0.7817571306422585,-0.7826875890563024
08.01.2004,39.68,40.47,40.52,39.45,83058,40.47,-0.7809846520758827,-0.7821393954365309,-0.7809846520758827,-0.7813022994171802,-0.7821155162213492
09.01.2004,40.42,40.21,40.68,39.92,46245,40.21,-0.7814442133523768,-0.7808311425965944,-0.7814442133523768,-0.7810224032786703,-0.7812752842450116
12.01.2004,40.02,40.44,40.44,39.6,35973,40.44,-0.7810376783770167,-0.7815383062938575,-0.7810376783770167,-0.781442247486435,-0.7818473570799648
13.01.2004,39.97,39.89,40.6,39.89,54174,39.89,-0.7820098272311388,-0.7816267017560152,-0.7820098272311388,-0.7811623513479252,-0.7813289160732885
14.01.2004,39.89,40.94,41.21,39.89,107865,40.94,-0.780153906691451,-0.7817681344954679,-0.780153906691451,-0.7800952473198569,-0.7813289160732885
15.01.2004,41.05,41.36,41.73,40.31,122403,41.36,-0.7794115384755759,-0.7797173597734052,-0.7794115384755759,-0.7791855848697001,-0.7805780704774123
16.01.2004,41.65,41.78,42.54,41.0,119904,41.78,-0.7786691702597007,-0.7786566142275109,-0.7786691702597007,-0.7777686106684946,-0.7793445384270444
19.01.2004,41.99,41.94,42.26,41.73,22872,41.94,-0.7783863633203197,-0.7780555250848372,-0.7783863633203197,-0.7782584289108867,-0.7780394972723073
20.01.2004,41.99,41.99,42.26,41.76,39729,41.99,-0.7782979861517632,-0.7780555250848372,-0.7782979861517632,-0.7782584289108867,-0.7779858654440305
21.01.2004,41.97,42.26,42.26,41.73,70818,42.26,-0.7778207494415578,-0.7780908832697003,-0.7778207494415578,-0.7782584289108867,-0.7780394972723073
22.01.2004,42.65,42.05,42.65,41.89,38463,42.05,-0.7781919335494953,-0.7768887049843535,-0.7781919335494953,-0.7775761820732692,-0.7777534608548307
