Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,19.02,18.88,19.07,18.72,7904260,18.88,-1.0712182213888162,-1.0521713060946571,-1.0712182213888162,-1.0761664632784522,-1.062103427264641
03.01.2014,18.88,18.93,19.02,18.81,3346945,18.93,-1.06346413552303,-1.0739235736415995,-1.06346413552303,-1.0838921112136446,-1.048049077079813
06.01.2014,18.83,18.83,19.04,18.82,3154560,18.83,-1.0789723072546022,-1.0816922406226506,-1.0789723072546022,-1.0808018520395677,-1.0464874826148318
07.01.2014,18.81,19.02,19.02,18.66,10400810,19.02,-1.0495067809646152,-1.0847997074150708,-1.0495067809646152,-1.0838921112136446,-1.0714729940545262
08.01.2014,19.02,18.89,19.06,18.8,4543305,18.89,-1.0696674042156586,-1.0521713060946571,-1.0696674042156586,-1.0777115928654908,-1.0496106715447937
09.01.2014,18.87,18.84,19.21,18.75,4456255,18.84,-1.0774214900814447,-1.0754773070378094,-1.0774214900814447,-1.054534649059914,-1.0574186438696982
10.01.2014,18.98,18.86,18.98,18.78,5569480,18.86,-1.0743198557351306,-1.0583862396794976,-1.0743198557351306,-1.0900726295617982,-1.0527338604747554
13.01.2014,18.82,18.77,18.88,18.67,2682645,18.77,-1.0882772102935452,-1.0832459740188602,-1.0882772102935452,-1.105523925432183,-1.069911399589545
14.01.2014,18.66,18.86,18.86,18.56,4017265,18.86,-1.0743198557351306,-1.108105708358223,-1.0743198557351306,-1.1086141846062596,-1.0870889387043354
15.01.2014,18.93,19.03,19.04,18.79,3990690,19.03,-1.0479559637914577,-1.0661549066605487,-1.0479559637914577,-1.0808018520395677,-1.0511722660097749
16.01.2014,19.08,19.02,19.1,18.86,4258565,19.02,-1.0495067809646152,-1.0428489057173964,-1.0495067809646152,-1.0715310745173365,-1.0402411047549085
17.01.2014,19.08,18.93,19.13,18.9,4586715,18.93,-1.06346413552303,-1.0428489057173964,-1.06346413552303,-1.0668956857562217,-1.033994726894985
20.01.2014,18.87,19.09,19.13,18.85,2375675,19.09,-1.0386510607525148,-1.0754773070378094,-1.0386510607525148,-1.0668956857562217,-1.041802699219889
21.01.2014,19.1,19.09,19.25,19.02,4007345,19.09,-1.0386510607525148,-1.0397414389249755,-1.0386510607525148,-1.04835413071176,-1.015255593315214
22.01.2014,19.2,18.92,19.26,18.83,3474430,18.92,-1.065014952696187,-1.0242041049628743,-1.065014952696187,-1.0468090011247215,-1.0449258881498513
23.01.2014,18.61,18.57,18.76,18.51,6003920,18.57,-1.1192935537566893,-1.115874375339274,-1.1192935537566893,-1.124065480476644,-1.0948969110292395
24.01.2014,18.59,18.01,18.71,17.96,5617160,18.01,-1.2061393154534923,-1.1189818421316942,-1.2061393154534923,-1.1317911284118363,-1.180784606603189
27.01.2014,18.15,17.7,18.19,17.68,8781465,17.7,-1.254214647821366,-1.1873461115649417,-1.254214647821366,-1.2121378669378353,-1.2245092516226543
28.01.2014,17.89,17.73,17.93,17.69,6282435,17.73,-1.2495621963018941,-1.2277431798664058,-1.2495621963018941,-1.2523112362008353,-1.2229476571576732
29.01.2014,17.77,17.86,18.06,17.63,6744440,17.86,-1.2294015730508507,-1.246387980620928,-1.2294015730508507,-1.2322245515693355,-1.232317223947559
30.01.2014,17.89,17.73,17.91,17.65,5458190,17.73,-1.2495621963018941,-1.2277431798664058,-1.2495621963018941,-1.2554014953749122,-1.2291940350175972
31.01.2014,17.68,17.62,17.83,17.42,9342780,17.62,-1.2666211852066234,-1.2603715811868192,-1.2666211852066234,-1.26776253207122,-1.2651107077121575
03.02.2014,17.67,17.22,17.82,17.21,5982820,17.22,-1.3286538721329118,-1.2619253145830291,-1.3286538721329118,-1.2693076616582581,-1.2979041914767564
04.02.2014,17.22,17.18,17.26,17.0,5387410,17.18,-1.3348571408255403,-1.331843317412487,-1.3348571408255403,-1.355834918532411,-1.3306976752413555
05.02.2014,17.13,17.19,17.24,17.06,4758930,17.19,-1.333306323652383,-1.3458269179783786,-1.333306323652383,-1.3589251777064884,-1.3213281084514703
06.02.2014,17.34,17.46,17.74,17.27,8384375,17.46,-1.2914342599771385,-1.313198516657965,-1.2914342599771385,-1.281668698354566,-1.2885346246868712
07.02.2014,17.57,17.75,17.76,17.43,4949095,17.75,-1.2464605619555797,-1.277462648545131,-1.2464605619555797,-1.2785784391804886,-1.2635491132471768
