Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
01.01.2004,38.87,38.87,38.87,38.87,0,38.87,-0.8114741697396611,-0.811519668662564,-0.8114741697396611,-0.8131224893187363,-0.8096413665595502
02.01.2004,38.97,39.11,39.31,38.63,508953,39.11,-0.8104469631470316,-0.8110916437937512,-0.8104469631470316,-0.8112581265756744,-0.8106797719552447
05.01.2004,39.07,39.37,39.51,38.87,947139,39.37,-0.8093341560050163,-0.8106636189249383,-0.8093341560050163,-0.8104106889651919,-0.8096413665595502
06.01.2004,39.24,39.27,39.64,38.87,795686,39.27,-0.8097621587519452,-0.8099359766479564,-0.8097621587519452,-0.809859854518378,-0.8096413665595502
07.01.2004,39.64,39.21,39.64,38.87,1439634,39.21,-0.8100189604001027,-0.8082238771727049,-0.8100189604001027,-0.809859854518378,-0.8096413665595502
08.01.2004,39.14,40.25,40.28,39.14,1720002,40.25,-0.8055677318320414,-0.8103640015167693,-0.8055677318320414,-0.8071480541648336,-0.8084731604893938
09.01.2004,40.42,39.78,40.86,39.61,1585540,39.78,-0.8075793447426075,-0.8048852831959644,-0.8075793447426075,-0.804690485094434,-0.8064396165894923
12.01.2004,39.75,39.31,40.05,39.27,1410581,39.31,-0.8095909576531737,-0.8077530498170108,-0.8095909576531737,-0.8081226074168887,-0.8079106909000593
13.01.2004,39.61,39.91,40.01,39.44,1055117,39.91,-0.8070229411715999,-0.8083522846333487,-0.8070229411715999,-0.8082920949389852,-0.8071751537447758
14.01.2004,39.68,40.45,40.76,39.68,1831092,40.45,-0.8047117263381836,-0.8080526672251798,-0.8047117263381836,-0.8051142038996753,-0.8061367483490812
15.01.2004,40.25,40.49,40.62,40.18,1033254,40.49,-0.8045405252394119,-0.8056129254729464,-0.8045405252394119,-0.8057074102270131,-0.8039734037747177
16.01.2004,40.92,41.16,41.26,40.69,1628650,41.16,-0.8016729068349878,-0.8027451588519,-0.8016729068349878,-0.8029956098734686,-0.8017667923088669
