Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
21.03.2019,20.02,20.19,20.86,19.82,43433700,20.19,0.6353901689567394,0.5902613611225337,0.6353901689567394,0.7200721709569737,0.6231854369067137
22.03.2019,20.6,19.93,20.94,19.83,12359200,19.93,0.5703548289050911,0.735057169507866,0.5703548289050911,0.7398393731217949,0.6257140810413202
25.03.2019,20.05,19.62,20.27,19.26,3832300,19.62,0.4928126926896651,0.5977507994872925,0.4928126926896651,0.5742890549914206,0.48158136536872165
26.03.2019,19.86,19.9,20.18,19.73,2924000,19.9,0.5628507512068238,0.5503176898438213,0.5628507512068238,0.5520509525559972,0.6004276396952506
27.03.2019,20.11,20.09,20.47,19.99,5228100,20.09,0.6103765766291822,0.6127296762168093,0.6103765766291822,0.6237070604034723,0.6661723871950322
28.03.2019,20.27,20.45,20.45,20.18,1763000,20.45,0.7004255090083867,0.6526733474955215,0.7004255090083867,0.6187652598622672,0.7142166257525657
29.03.2019,20.54,21.22,21.39,20.45,2413900,21.22,0.8930301699305746,0.7200782927783483,0.8930301699305746,0.8510298852989117,0.7824900173869548
01.04.2019,21.62,20.46,21.8,20.36,2587100,20.46,0.7029268682411428,0.9896980739096565,0.7029268682411428,0.9523367963936181,0.7597322201754918
02.04.2019,20.54,20.72,20.8,20.21,1225400,20.72,0.7679622082927903,0.7200782927783483,0.7679622082927903,0.7052467693333584,0.721802558156387
03.04.2019,20.84,19.63,20.89,19.55,2631100,19.63,0.4953140519224203,0.794972676425934,0.4953140519224203,0.7274848717687817,0.5549120452723246
04.04.2019,19.69,19.54,19.81,19.26,1236300,19.54,0.4728018188276191,0.5078775391101901,0.4728018188276191,0.46062764254370087,0.48158136536872165
05.04.2019,19.63,19.54,19.78,19.38,1570700,19.54,0.4728018188276191,0.49289866238067237,0.4728018188276191,0.4532149417318937,0.5119250949840051
08.04.2019,19.54,19.19,19.73,19.14,1607800,19.19,0.3852542456811706,0.47043034728639677,0.3852542456811706,0.4408604403788805,0.4512376357534373
09.04.2019,19.28,19.72,19.84,19.16,3204100,19.72,0.5178262850172215,0.4055218814584899,0.5178262850172215,0.4680403433555089,0.4562949240226512
10.04.2019,20.93,20.5,21.54,20.47,10398200,20.5,0.7129323051721654,0.8174409915202097,0.7129323051721654,0.8880933893579502,0.7875473056561687
11.04.2019,20.73,20.75,20.91,20.5,2183200,20.75,0.7754662859910576,0.7675114024218195,0.7754662859910576,0.7324266723099868,0.79513323805999
12.04.2019,20.79,20.23,20.92,20.11,1689800,20.23,0.6453956058877619,0.7824902791513363,0.6453956058877619,0.7348975725805899,0.6965161168103167
15.04.2019,20.55,21.6,21.78,20.42,5351700,21.6,0.9880818207752914,0.7225747722332683,0.9880818207752914,0.947394995852413,0.7749040849831345
16.04.2019,21.83,21.54,22.08,21.27,2509100,21.54,0.9730736653787567,1.0421241424629657,0.9730736653787567,1.0215220039704902,0.9898388364247294
17.04.2019,21.46,21.13,21.59,21.12,941700,21.13,0.8705179368357735,0.9497544026309442,0.8705179368357735,0.9004478907109634,0.9519091744056246
18.04.2019,21.13,21.44,21.93,21.02,2058600,21.44,0.9480600730512003,0.8673705806185997,0.9480600730512003,0.9844584999114516,0.9266227330595542
22.04.2019,21.45,20.56,21.54,20.52,1735000,20.56,0.7279404605686992,0.9472579231760243,0.7279404605686992,0.8880933893579502,0.800190526329204
23.04.2019,20.63,19.99,20.7,19.96,2226400,19.99,0.5853629843016249,0.7425466078726239,0.5853629843016249,0.6805377666273321,0.6585864547912119
24.04.2019,20.07,20.18,20.36,19.68,1342100,20.18,0.6328888097239833,0.6027437583971313,0.6328888097239833,0.5965271574268439,0.5877844190222155
25.04.2019,20.18,20.12,20.28,19.72,1104700,20.12,0.6178806543274495,0.6302050324012459,0.6178806543274495,0.5767599552620235,0.5978989955606432
26.04.2019,20.18,20.54,20.66,19.88,1159300,20.54,0.722937742103188,0.6302050324012459,0.722937742103188,0.670654165544922,0.6383573017143553
29.04.2019,20.76,20.9,20.96,20.54,835300,20.9,0.8129866744823926,0.7750008407865783,0.8129866744823926,0.744781173663,0.8052478145984179
30.04.2019,21.06,20.19,21.11,20.19,1036000,20.19,0.6353901689567394,0.8498952244341631,0.6353901689567394,0.7818446777220386,0.7167452698871731
01.05.2019,20.23,20.39,20.41,19.99,1335100,20.39,0.685417353611853,0.6426874296758437,0.685417353611853,0.608881658779857,0.6661723871950322
02.05.2019,20.26,20.65,20.7,20.12,954600,20.65,0.7504526936635003,0.6501768680406025,0.7504526936635003,0.6805377666273321,0.6990447609449241
03.05.2019,20.72,20.37,20.78,20.17,1211000,20.37,0.6804146351463417,0.7650149229668995,0.6804146351463417,0.7003049687921533,0.7116879816179592
06.05.2019,20.09,20.45,20.5,19.99,682800,20.45,0.7004255090083867,0.6077367173069703,0.7004255090083867,0.6311197612152804,0.6661723871950322
07.05.2019,20.22,20.57,20.62,20.2,1209400,20.57,0.7304418198014553,0.6401909502209238,0.7304418198014553,0.6607705644625118,0.7192739140217796
08.05.2019,20.37,20.36,20.63,20.34,678000,20.36,0.6779132759135856,0.6776381420447171,0.6779132759135856,0.6632414647331139,0.7546749319062779
09.05.2019,20.28,20.26,20.39,20.1,598300,20.26,0.6528996835860292,0.6551698269504415,0.6528996835860292,0.6039398582386519,0.6939874726757101
10.05.2019,20.09,20.17,20.31,20.03,727100,20.17,0.6303874504912281,0.6077367173069703,0.6303874504912281,0.5841726560738307,0.676286963733461
13.05.2019,19.82,19.81,19.93,19.64,1053000,19.81,0.5403385181120226,0.5403317720241435,0.5403385181120226,0.49027844579093227,0.5776698424837876
14.05.2019,20.01,20.17,20.41,19.82,826100,20.17,0.6303874504912281,0.5877648816676146,0.6303874504912281,0.608881658779857,0.6231854369067137
15.05.2019,20.27,19.91,20.38,19.86,534500,19.91,0.5653521104395799,0.6526733474955215,0.5653521104395799,0.601468957968049,0.6333000134451414
16.05.2019,19.97,19.8,20.14,19.79,832900,19.8,0.5378371588792674,0.5777789638479359,0.5378371588792674,0.5421673514735871,0.6155995045028924
17.05.2019,19.72,19.78,20.13,19.64,533800,19.78,0.5328344404137562,0.515366977474948,0.5328344404137562,0.539696451202984,0.5776698424837876
20.05.2019,19.65,19.84,19.89,19.59,473600,19.84,0.5478425958102899,0.4978916212905113,0.5478425958102899,0.4803948447085221,0.5650266218107524
21.05.2019,19.82,20.05,20.08,19.72,371500,20.05,0.6003711396981596,0.5403317720241435,0.6003711396981596,0.5273419498499708,0.5978989955606432
22.05.2019,19.88,20.18,20.26,19.88,381800,20.18,0.6328888097239833,0.5553106487536603,0.6328888097239833,0.5718181547208184,0.6383573017143553
23.05.2019,20.05,19.95,20.26,19.91,660100,19.95,0.5753575473706024,0.5977507994872925,0.5753575473706024,0.5718181547208184,0.6459432341181767
24.05.2019,20.05,19.88,20.2,19.63,1182800,19.88,0.5578480327413124,0.5977507994872925,0.5578480327413124,0.5569927530972023,0.5751411983491802
28.05.2019,19.82,19.81,20.0,19.6,668100,19.81,0.5403385181120226,0.5403317720241435,0.5403385181120226,0.5075747476851505,0.5675552659453598
29.05.2019,19.63,19.17,19.66,18.92,1541700,19.17,0.38025152721565936,0.49289866238067237,0.38025152721565936,0.4235641384846623,0.3956074647920834
30.05.2019,19.02,18.73,19.22,18.39,1893900,18.73,0.27019172097440874,0.34061341563058206,0.27019172097440874,0.3148445265781477,0.2615893256579118
