Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,14.32,14.32,14.74,14.14,2387296,14.32,-1.086389217133083,-1.0862405821110033,-1.086389217133083,-1.07410302255192,-1.0850960283777553
03.01.2014,14.32,14.52,14.57,14.34,1029515,14.52,-1.0748588145326188,-1.0862405821110033,-1.0748588145326188,-1.0837928990012413,-1.0734193868367636
06.01.2014,14.43,14.04,14.49,14.01,1141944,14.04,-1.1025317807737327,-1.0798996581467877,-1.1025317807737327,-1.0883528408597454,-1.0926858453794004
07.01.2014,14.02,13.68,14.08,13.29,2348442,13.68,-1.123286505454568,-1.1035340111043186,-1.123286505454568,-1.1117225428845794,-1.134721754926971
08.01.2014,13.68,13.1,13.77,12.99,1693340,13.1,-1.156724672995914,-1.123133230630076,-1.156724672995914,-1.1293923175862828,-1.1522367172384587
09.01.2014,12.52,12.52,13.27,12.45,2827686,12.52,-1.1901628405372602,-1.1900011560708954,-1.1901628405372602,-1.1578919542019337,-1.1837636493991368
10.01.2014,12.52,13.03,13.11,12.49,1281427,13.03,-1.1607603139060765,-1.1900011560708954,-1.1607603139060765,-1.167011837918942,-1.1814283210909382
13.01.2014,13.21,13.15,13.22,12.81,622480,13.15,-1.153842072345798,-1.15022626938627,-1.153842072345798,-1.1607419178634988,-1.1627456946253512
14.01.2014,12.92,13.11,13.11,12.89,452489,13.11,-1.1561481528658908,-1.1669432507464748,-1.1561481528658908,-1.167011837918942,-1.1580750380089546
15.01.2014,13.12,13.01,13.2,12.93,800342,13.01,-1.161913354166123,-1.1554142980842648,-1.161913354166123,-1.161881903328125,-1.1557397097007562
16.01.2014,12.99,12.99,13.22,12.91,462405,12.99,-1.1630663944261692,-1.1629081173147011,-1.1630663944261692,-1.1607419178634988,-1.1569073738548554
17.01.2014,12.99,12.97,13.04,12.89,406598,12.97,-1.1642194346862158,-1.1629081173147011,-1.1642194346862158,-1.1710017870451332,-1.1580750380089546
20.01.2014,12.91,12.92,13.06,12.89,406616,12.92,-1.1671020353363317,-1.1675196983795855,-1.1671020353363317,-1.169861801580507,-1.1580750380089546
21.01.2014,12.52,12.08,12.64,12.0,3677564,12.08,-1.2155297262582814,-1.1900011560708954,-1.2155297262582814,-1.1938014963376538,-1.2100360928663685
22.01.2014,11.99,11.86,12.09,11.72,1332351,11.86,-1.2282131691187919,-1.2205528806257524,-1.2282131691187919,-1.2251510966148698,-1.2263833910237572
23.01.2014,11.81,11.81,12.04,11.81,693557,11.81,-1.2310957697689076,-1.2309289380217414,-1.2310957697689076,-1.2280010602764349,-1.2211289023303105
24.01.2014,11.86,11.99,12.02,11.81,1032602,11.99,-1.22071840742849,-1.2280466998561892,-1.22071840742849,-1.229141045741061,-1.2211289023303105
27.01.2014,11.81,12.12,12.21,11.77,1531838,12.12,-1.2132236457381884,-1.2309289380217414,-1.2132236457381884,-1.2183111838271135,-1.223464230638509
28.01.2014,12.13,12.34,12.39,11.91,858982,12.34,-1.2005402028776777,-1.2124826137622051,-1.2005402028776777,-1.2080513146454792,-1.2152905815598147
29.01.2014,12.46,12.46,12.51,12.19,1005174,12.46,-1.1936219613173993,-1.1934598418695583,-1.1936219613173993,-1.2012114018577231,-1.1989432834024263
30.01.2014,12.46,12.32,12.35,12.05,576568,12.32,-1.2016932431377243,-1.1934598418695583,-1.2016932431377243,-1.2103312855747312,-1.2071169324811204
31.01.2014,12.46,12.54,12.7,12.37,844731,12.54,-1.1890098002772138,-1.1934598418695583,-1.1890098002772138,-1.1903815399437758,-1.1884343060155336
03.02.2014,12.5,12.44,12.67,12.23,378119,12.44,-1.1947750015774459,-1.1911540513371164,-1.1947750015774459,-1.1920915181407146,-1.1966079550942277
04.02.2014,12.23,12.22,12.33,12.09,546903,12.22,-1.2074584444379564,-1.2067181374311002,-1.2074584444379564,-1.2114712710393574,-1.204781604172922
05.02.2014,12.26,12.17,12.28,12.16,150495,12.17,-1.2103410450880723,-1.2049887945317688,-1.2103410450880723,-1.2143212347009225,-1.200694779633575
06.02.2014,12.28,12.17,12.44,12.11,438664,12.17,-1.2103410450880723,-1.2038358992655476,-1.2103410450880723,-1.2052013509839143,-1.2036139400188228
07.02.2014,12.2,12.04,12.23,11.99,367999,12.04,-1.217835806778374,-1.2084474803304317,-1.217835806778374,-1.2171711983624875,-1.210619924943418
