Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,34.59,34.63,34.89,34.49,5318600,34.63,-1.3712398823179557,-1.371360213967327,-1.3712398823179557,-1.3718163516803843,-1.3660752884232372
03.01.2014,34.59,34.53,34.8,34.5,5597000,34.53,-1.3741697586639978,-1.371360213967327,-1.3741697586639978,-1.3744234610286894,-1.365779097160864
06.01.2014,34.73,34.27,34.79,34.26,6045800,34.27,-1.3817874371637069,-1.3672617944931214,-1.3817874371637069,-1.3747131398451677,-1.3728876874578162
07.01.2014,34.39,34.29,34.52,34.26,6769000,34.29,-1.3812014618944988,-1.3772150989304788,-1.3812014618944988,-1.3825344678900826,-1.3728876874578162
08.01.2014,34.3,34.12,34.5,34.05,6897800,34.12,-1.3861822516827702,-1.379849797163897,-1.3861822516827702,-1.3831138255230395,-1.3791077039676491
09.01.2014,34.26,34.12,34.28,33.97,6263200,34.12,-1.3861822516827702,-1.3810207741565272,-1.3861822516827702,-1.3894867594855629,-1.381477234066633
10.01.2014,34.08,34.04,34.23,33.95,5108000,34.04,-1.3885261527596038,-1.3862901706233635,-1.3885261527596038,-1.3909351535679546,-1.382069616591379
13.01.2014,34.0,33.27,34.04,33.19,8262400,33.27,-1.4110862006241274,-1.388632124608624,-1.4110862006241274,-1.396439051081043,-1.404580152531727
14.01.2014,33.24,33.27,33.34,33.04,7808400,33.27,-1.4110862006241274,-1.4108806874685993,-1.4110862006241274,-1.4167165682345262,-1.409023021467322
15.01.2014,33.3,33.38,33.52,33.25,5852400,33.38,-1.4078633366434812,-1.409124221979654,-1.4078633366434812,-1.4115023495379162,-1.4028030049574889
16.01.2014,33.29,33.1,33.36,32.91,4848000,33.1,-1.4160669904123988,-1.4094169662278115,-1.4160669904123988,-1.4161372106015697,-1.412873507878171
17.01.2014,33.02,32.48,33.08,32.48,9851800,32.48,-1.4342322237578595,-1.4173210609280658,-1.4342322237578595,-1.4242482174629632,-1.42560973216021
21.01.2014,32.81,32.64,33.02,32.49,13147000,32.64,-1.4295444216041924,-1.4234686901393747,-1.4295444216041924,-1.425986290361833,-1.4253135408978368
22.01.2014,32.73,32.53,32.78,32.53,7424000,32.53,-1.4327672855848386,-1.4258106441246354,-1.4327672855848386,-1.432938581957313,-1.4241287758483447
23.01.2014,32.31,32.19,32.39,31.87,9505200,32.19,-1.4427288651613814,-1.4381059025472533,-1.4427288651613814,-1.444236055799968,-1.4436773991649625
24.01.2014,31.99,31.71,32.16,31.71,9212000,31.71,-1.4567922716223831,-1.4474737184882958,-1.4567922716223831,-1.45089866857897,-1.4484164593629307
27.01.2014,31.83,31.82,31.98,31.74,11411600,31.82,-1.453569407641737,-1.4521576264588167,-1.453569407641737,-1.4561128872755797,-1.4475278855758118
28.01.2014,31.99,32.18,32.37,31.93,9069200,32.18,-1.4430218527959857,-1.4474737184882958,-1.4430218527959857,-1.4448154134329247,-1.4419002515907247
29.01.2014,32.0,31.76,32.12,31.65,10488800,31.76,-1.4553273334493622,-1.447180974240138,-1.4553273334493622,-1.4520573838448831,-1.4501936069371688
30.01.2014,32.06,32.72,32.84,32.03,10438400,32.72,-1.4272005205273588,-1.4454245087511925,-1.4272005205273588,-1.431200509058443,-1.4389383389669947
31.01.2014,32.3,32.24,32.44,32.02,8652000,32.24,-1.4412639269883605,-1.438398646795411,-1.4412639269883605,-1.4427876617175766,-1.4392345302293676
03.02.2014,32.2,31.37,32.21,31.33,9516000,31.37,-1.466753851198926,-1.4413260892769866,-1.466753851198926,-1.449450274496578,-1.4596717273331048
04.02.2014,31.4,31.21,31.53,31.13,7004200,31.21,-1.4714416533525934,-1.4647456291295922,-1.4714416533525934,-1.4691484340171048,-1.4655955525805648
05.02.2014,31.19,31.25,31.36,30.91,7366800,31.25,-1.4702697028141767,-1.4708932583409013,-1.4702697028141767,-1.4740729738972367,-1.4721117603527707
06.02.2014,31.31,31.65,31.98,31.2,7358600,31.65,-1.4585501974300086,-1.4673803273630104,-1.4585501974300086,-1.4561128872755797,-1.4635222137439536
07.02.2014,31.83,32.17,32.24,31.75,6747200,32.17,-1.4433148404305898,-1.4521576264588167,-1.4433148404305898,-1.448581238047143,-1.4472316943134387
