Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,21.4,20.94,21.4,20.85,75240,20.94,-1.0219320341391271,-1.0023669282429342,-1.0219320341391271,-1.0156306713911072,-1.012361189367026
03.01.2014,21.03,21.13,21.18,20.94,45540,21.13,-1.014075495109198,-1.017650791927459,-1.014075495109198,-1.0246120670792065,-1.0085945934731348
06.01.2014,20.76,20.61,20.92,20.61,84860,20.61,-1.0355776019279517,-1.0288038816431933,-1.0355776019279517,-1.0352264438015057,-1.022405445084069
07.01.2014,20.7,20.72,20.77,20.57,59100,20.72,-1.0310290793316768,-1.0312823460244678,-1.0310290793316768,-1.0413501226797555,-1.0240794877035762
08.01.2014,20.72,20.58,20.75,20.47,102150,20.58,-1.036818108090572,-1.0304561912307098,-1.036818108090572,-1.0421666131968554,-1.028264594252344
09.01.2014,20.62,20.44,20.62,20.37,59780,20.44,-1.0426071368494672,-1.0345869651995,-1.0426071368494672,-1.0474738015580052,-1.0324497008011118
10.01.2014,20.48,20.61,20.76,20.46,82740,20.61,-1.0355776019279517,-1.0403700487558067,-1.0355776019279517,-1.0417583679383056,-1.0286831049072207
13.01.2014,20.73,20.35,20.73,20.17,70180,20.35,-1.0463286553373283,-1.0300431138338306,-1.0463286553373283,-1.0429831037139554,-1.0408199138986476
14.01.2014,20.27,20.24,20.32,19.97,58410,20.24,-1.0508771779336035,-1.049044674090267,-1.0508771779336035,-1.0597211593145044,-1.0491901269961834
15.01.2014,20.34,20.47,20.48,20.19,57030,20.47,-1.041366630686847,-1.0461531323121136,-1.041366630686847,-1.0531892351777048,-1.039982892588894
16.01.2014,20.5,20.36,20.62,20.27,80770,20.36,-1.0459151532831217,-1.0395438939620487,-1.0459151532831217,-1.0474738015580052,-1.0366348073498797
17.01.2014,20.3,20.44,20.58,20.3,98240,20.44,-1.0426071368494672,-1.0478054418996297,-1.0426071368494672,-1.0491067825922051,-1.0353792753852493
20.01.2014,20.44,20.9,21.12,20.44,211960,20.9,-1.0235860423559544,-1.042022358343323,-1.0235860423559544,-1.0270615386305064,-1.0295201262169742
21.01.2014,20.84,20.81,20.95,20.76,61770,20.81,-1.0273075608438156,-1.025499262468161,-1.0273075608438156,-1.034001708025856,-1.016127785260917
22.01.2014,20.96,20.82,20.99,20.73,38050,20.82,-1.0268940587896087,-1.0205423337056123,-1.0268940587896087,-1.0323687269916562,-1.0173833172255473
23.01.2014,20.86,20.85,21.03,20.81,49070,20.85,-1.0256535526269883,-1.024673107674403,-1.0256535526269883,-1.0307357459574562,-1.0140352319865331
24.01.2014,20.8,20.6,20.8,20.51,82900,20.6,-1.0359911039821583,-1.0271515720556772,-1.0359911039821583,-1.0401253869041056,-1.0265905516328366
27.01.2014,20.66,20.49,20.83,20.34,123930,20.49,-1.0405396265784332,-1.0329346556119838,-1.0405396265784332,-1.0389006511284558,-1.0337052327657423
28.01.2014,20.45,20.66,20.66,20.44,68880,20.66,-1.0335100916569175,-1.0416092809464441,-1.0335100916569175,-1.0458408205238052,-1.0295201262169742
