Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,141.97,141.91,143.13,141.56,750600,141.91,1.3913711590993418,1.3946459388125279,1.3913711590993418,1.3775629690380662,1.4394670831044034
03.01.2014,142.22,143.39,144.52,141.91,665900,143.39,1.4464910262949,1.4039694433140422,1.4464910262949,1.4290748266913356,1.452593043334423
06.01.2014,143.66,141.35,143.66,141.21,637700,141.35,1.3705149931334546,1.457672829242764,1.3705149931334546,1.3972041809490248,1.4263411228743836
07.01.2014,141.63,141.94,142.07,141.01,466900,141.94,1.3924884537046571,1.3819659726904683,1.3924884537046571,1.3382805452161488,1.4188405741715144
08.01.2014,141.88,139.44,142.54,139.05,736100,139.44,1.2993805699283756,1.3912894771919826,1.2993805699283756,1.3556982237032251,1.345335196883404
09.01.2014,140.2,139.9,140.21,137.94,649900,139.9,1.3165124205432117,1.3286355269418066,1.3165124205432117,1.2693510090758038,1.3037071515824832
10.01.2014,139.85,140.76,141.72,139.65,550300,140.76,1.348541532562252,1.3155826206396868,1.348541532562252,1.3253099335768366,1.3678368429920091
13.01.2014,140.46,135.54,140.93,134.89,992400,135.54,1.1541322712373758,1.3383319716233821,1.1541322712373758,1.2960334101623892,1.189323783863738
14.01.2014,135.33,135.52,136.87,135.09,870300,135.52,1.1533874081671662,1.14701365925231,1.1533874081671662,1.1455743151463662,1.196824332566607
15.01.2014,136.05,136.01,137.6,135.19,632600,136.01,1.1716365533873168,1.1738653522166709,1.1716365533873168,1.1726273051369316,1.2005746069180412
16.01.2014,134.45,132.15,134.65,131.84,1753100,132.15,1.0278779808367384,1.1141949234069788,1.0278779808367384,1.0633035784627283,1.0749404161449938
17.01.2014,132.09,131.49,132.84,131.28,1045400,131.49,1.0032974995198003,1.0261810409126848,1.0032974995198003,0.9962269868422845,1.053938879776962
21.01.2014,131.69,130.2,132.78,130.03,877600,130.2,0.9552538314912381,1.011263433710262,0.9552538314912381,0.9940034534184022,1.0070604503840337
22.01.2014,130.01,129.36,130.65,128.92,886800,129.36,0.9239695825424085,0.9486094834600859,0.9239695825424085,0.9150680168705875,0.965432405083113
23.01.2014,128.67,128.38,129.14,127.91,1075900,128.38,0.8874712921021053,0.8986354993319693,0.8874712921021053,0.8591090923695537,0.9275546341336274
24.01.2014,127.72,127.55,129.3,126.51,1180300,127.55,0.8565594746883799,0.8632061822262156,0.8565594746883799,0.8650385148332402,0.8750507932135482
27.01.2014,127.48,127.01,128.29,126.27,874700,127.01,0.8364481717927034,0.8542556179047621,0.8364481717927034,0.827609035531224,0.8660501347701056
28.01.2014,127.33,126.84,127.99,126.34,840200,126.84,0.8301168356959161,0.8486615152038534,0.8301168356959161,0.8164913684118136,0.8686753268161098
29.01.2014,126.16,125.84,127.1,125.67,951000,125.84,0.7928736821854034,0.8050275141367667,0.7928736821854034,0.7835089559575622,0.8435484886615003
30.01.2014,127.21,128.04,129.06,127.1,927200,128.04,0.8748086199085309,0.8441862330431263,0.8748086199085309,0.8561443811377114,0.8971774118870098
31.01.2014,126.38,126.96,128.0,126.0,788600,126.96,0.8345860141171773,0.8132321980980991,0.8345860141171773,0.816861957315794,0.8559243940212332
03.02.2014,126.44,124.34,127.96,123.64,1161900,124.34,0.7370089519196344,0.8154698391784626,0.7370089519196344,0.8153796016998724,0.7674179193273849
04.02.2014,124.86,124.77,127.24,124.38,1890100,124.77,0.7530235079291546,0.7565452907288926,0.7530235079291546,0.7886972006132872,0.7951699495279981
05.02.2014,132.57,120.34,132.82,118.15,11478400,120.34,0.5880363378775838,1.0440821695555917,0.5880363378775838,0.9954858090343234,0.5615278574336445
06.02.2014,121.4,123.19,124.89,121.12,2158400,123.19,0.6941793253825447,0.6275079884279356,0.6941793253825447,0.7016088081779047,0.6729110056712418
07.02.2014,123.97,126.15,127.03,122.72,1941200,126.15,0.8044190597736625,0.7233536147035019,0.8044190597736625,0.7809148336297,0.7329153952941897
10.02.2014,126.0,125.63,126.5,125.06,1095700,125.63,0.7850526199481955,0.7990604712557976,0.7850526199481955,0.7612736217187414,0.8206718151177513
11.02.2014,127.45,126.89,128.12,125.49,1382200,126.89,0.8319789933714417,0.8531367973645804,0.8319789933714417,0.8213090241635584,0.8367979948289184
12.02.2014,127.32,125.02,127.8,124.83,1787700,125.02,0.7623342963067827,0.8482885750237926,0.7623342963067827,0.8094501792361869,0.8120461841094524
13.02.2014,124.66,126.36,126.64,124.17,1253300,126.36,0.8122401220108699,0.7490864871276811,0.8122401220108699,0.7664618663744662,0.7872943733899864
14.02.2014,125.07,128.17,129.45,125.07,1659600,128.17,0.8796502298648974,0.7643770345101644,0.8796502298648974,0.8705973483929447,0.8210468425528944
18.02.2014,128.34,127.17,128.63,126.38,863800,127.17,0.8424070763543853,0.8863284733899711,0.8424070763543853,0.8402090582665561,0.8701754365566833
19.02.2014,126.56,127.02,128.12,126.56,1049900,127.02,0.8368206033278082,0.8199451213391896,0.8368206033278082,0.8213090241635584,0.8769259303892651
20.02.2014,127.14,127.58,128.77,127.14,961300,127.58,0.8576767692936953,0.8415756517827027,0.8576767692936953,0.8453973029222815,0.8986775216275837
21.02.2014,127.58,128.18,128.54,127.58,791500,128.18,0.8800226614000032,0.8579850197053677,0.8800226614000032,0.8368737581307327,0.9151787287738944
24.02.2014,127.57,128.88,130.55,127.57,1163600,128.88,0.9060928688573616,0.8576120795253068,0.9060928688573616,0.9113621278307842,0.9148037013387508
25.02.2014,128.84,129.47,129.94,127.74,779200,129.47,0.9280663294285643,0.9049754823929996,0.9280663294285643,0.8887562046879822,0.9211791677361891
26.02.2014,132.96,131.19,133.04,130.35,1473000,131.19,0.992124553466646,1.0586268365779545,0.992124553466646,1.003638764921891,1.0190613283086232
27.02.2014,129.6,130.92,130.94,129.4,2939000,130.92,0.9820689020188073,0.9333189360776026,0.9820689020188073,0.9258150950860174,0.9834337219699981
28.02.2014,131.01,130.35,131.26,129.73,1202200,130.35,0.9608403045178152,0.9859035014661428,0.9608403045178152,0.9376739400133884,0.9958096273297306
03.03.2014,128.77,129.69,130.26,128.77,987600,129.69,0.936259823200877,0.9023649011325758,0.936259823200877,0.9006150496153532,0.9598069935559626
04.03.2014,130.94,131.05,131.46,130.2,967600,131.05,0.9869105119751748,0.9832929202057191,0.9869105119751748,0.945085718092996,1.0134359167814715
05.03.2014,131.04,130.65,131.41,130.15,986900,130.65,0.9720132505709694,0.9870223220063246,0.9720132505709694,0.9432327735730939,1.011560779605755
06.03.2014,130.79,131.22,131.3,130.03,1054800,131.22,0.9932418480719615,0.9776988175048104,0.9932418480719615,0.9391562956293106,1.0070604503840337
07.03.2014,131.5,132.75,133.52,131.26,1026200,132.75,1.0502238729430458,1.0041775702891111,1.0502238729430458,1.0214270323129486,1.0531888249066748
10.03.2014,132.59,132.95,133.02,131.23,1315200,132.95,1.057672503645148,1.0448280499157134,1.057672503645148,1.002897587113931,1.0520637426012445
11.03.2014,132.93,131.28,133.52,130.94,1341900,131.28,0.9954764372825923,1.0575080160377728,0.9954764372825923,1.0214270323129486,1.0411879469820853
12.03.2014,130.88,131.55,131.58,130.29,674900,131.55,1.005532088730431,0.9810552791253556,1.005532088730431,0.9495327849407604,1.0168111636977626
13.03.2014,131.85,129.0,132.19,128.5,898900,129.0,0.9105620472786233,1.0172304765912308,0.9105620472786233,0.9721387080835614,0.9496812528070896
14.03.2014,128.98,129.54,130.45,128.98,796400,129.54,0.9306733501742999,0.9101966449138471,0.9306733501742999,0.9076562387909798,0.9676825696939737
17.03.2014,130.41,130.7,131.12,129.51,744800,130.7,0.9738754082464944,0.9635270906625089,0.9738754082464944,0.932485695357664,0.9875590237565752
18.03.2014,131.9,132.55,133.12,130.91,945600,132.55,1.0427752422409438,1.0190951774915342,1.0427752422409438,1.0066034761537344,1.040062864676655
19.03.2014,132.7,130.49,132.7,129.73,720800,130.49,0.9660543460092875,1.048930391896379,0.9660543460092875,0.991038742186559,0.9958096273297306
20.03.2014,130.38,129.86,130.79,128.84,637600,129.86,0.9425911592976648,0.9624082701223271,0.9425911592976648,0.9202562615263119,0.9624321856019662
21.03.2014,131.19,130.32,131.9,129.58,1027000,130.32,0.9597230099124998,0.9926164247072333,0.9597230099124998,0.9613916298681314,0.9901842158025801
24.03.2014,130.63,129.48,131.3,128.52,864100,129.48,0.9284387609636691,0.9717317746238413,0.9284387609636691,0.9391562956293106,0.9504313076773768
