Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,25.97,25.73,25.98,25.68,4737500,25.73,-0.1210805303707288,-0.0814044620650586,-0.1210805303707288,-0.11452835941815229,-0.09310108007026087
03.01.2014,25.85,25.67,25.9,25.66,5531200,25.67,-0.13171794047921784,-0.10266416656090922,-0.13171794047921784,-0.12869290097985958,-0.09665131410815393
06.01.2014,25.8,25.74,25.87,25.69,5735900,25.74,-0.11930762868598095,-0.11152237676751398,-0.11930762868598095,-0.13400460406549927,-0.09132596305131402
07.01.2014,26.02,26.04,26.09,25.92,7513500,26.04,-0.06612057814353449,-0.07254625185845386,-0.06612057814353449,-0.09505211477080532,-0.050498271615542746
08.01.2014,26.1,26.14,26.18,26.03,6801800,26.14,-0.048391561296052134,-0.05837311552788614,-0.048391561296052134,-0.079117005513885,-0.030971984407130542
09.01.2014,26.29,26.2,26.38,26.16,7556500,26.2,-0.0377541511875631,-0.024711916742788994,-0.0377541511875631,-0.04370565160961771,-0.007895463160825265
10.01.2014,26.34,26.39,26.39,26.27,5310100,26.39,-0.004069019177346862,-0.01585370653618425,-0.004069019177346862,-0.04193508391440406,0.011630824047586943
13.01.2014,26.03,25.82,26.22,25.8,8277700,25.82,-0.10512441520799493,-0.07077460981713266,-0.10512441520799493,-0.07203473473303167,-0.07179967584290181
14.01.2014,25.97,25.93,25.98,25.81,6072200,25.93,-0.08562249667576471,-0.0814044620650586,-0.08562249667576471,-0.11452835941815229,-0.07002455882395558
15.01.2014,25.97,25.8,26.0,25.78,6437200,25.8,-0.10867021857749128,-0.0814044620650586,-0.10867021857749128,-0.11098722402772562,-0.07534990988079487
16.01.2014,25.79,25.7,25.81,25.64,4549800,25.7,-0.12639923542497364,-0.11329401880883518,-0.12639923542497364,-0.1446280102367799,-0.10020154814604701
