Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,29.8,29.31,30.04,29.18,3475200,29.31,0.3523143380512068,0.42475921919787185,0.3523143380512068,0.4018949986774376,0.39239637558821133
03.01.2014,29.35,29.05,29.51,28.96,3195400,29.05,0.31350199283240854,0.3576400652378423,0.31350199283240854,0.32301919199768714,0.35948325244006357
06.01.2014,29.24,28.94,29.25,28.74,2940300,28.94,0.29708138523983996,0.34123316093650125,0.29708138523983996,0.28432540004158274,0.3265701292919153
07.01.2014,28.59,28.61,28.65,28.33,4494200,28.61,0.24781956246213374,0.2442832718831253,0.24781956246213374,0.19503203398903443,0.2652320361521851
08.01.2014,28.66,28.3,28.66,28.01,5122500,28.3,0.20154330470125864,0.2547240291657966,0.20154330470125864,0.1965202567565771,0.21735840248215227
09.01.2014,28.46,28.09,28.46,27.85,3258300,28.09,0.17019487202453654,0.2248932940724502,0.17019487202453654,0.16675580140572785,0.19342158564713557
10.01.2014,27.64,28.76,28.8,27.53,8784900,28.76,0.270211300088364,0.10258728018972944,0.270211300088364,0.21735537550217177,0.1455479519771022
13.01.2014,28.98,28.48,28.98,28.32,6200400,28.48,0.22841338985273457,0.3024532053151511,0.22841338985273457,0.24414338531793614,0.26373598509999685
14.01.2014,28.22,28.75,28.86,28.22,4329000,28.75,0.26871851757994847,0.18909641196043409,0.26871851757994847,0.22628471210742637,0.24877547457811122
15.01.2014,28.91,29.0,29.0,28.59,4901200,29.0,0.30603808029033175,0.2920124480324798,0.30603808029033175,0.24711983085302103,0.3041293635090874
16.01.2014,29.0,29.12,29.14,28.83,5071800,29.12,0.3239514703913159,0.3054362788244857,0.3239514703913159,0.26795494959861565,0.3400345887616122
17.01.2014,29.25,29.35,29.38,29.08,6107800,29.35,0.35828546808486855,0.3427246976911688,0.35828546808486855,0.30367229601963464,0.3774358650663257
21.01.2014,29.89,30.75,30.84,29.81,10040300,30.75,0.5672750192630148,0.4381830499898778,0.5672750192630148,0.5209528200808351,0.4866475918760893
22.01.2014,30.8,30.78,30.9,30.31,4144700,30.78,0.5717533667882609,0.5739128946646045,0.5717533667882609,0.5298821566860897,0.5614501444855163
23.01.2014,30.54,30.86,30.9,30.54,6770500,30.86,0.5836956268555834,0.5351329390432538,0.5836956268555834,0.5298821566860897,0.5958593186858528
24.01.2014,30.61,30.59,30.92,30.32,6222000,30.59,0.5433904991283695,0.5455736963259251,0.5433904991283695,0.5328586022211752,0.5629461955377051
