Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,6.75,6.67,6.76,6.6,35595394,6.67,-0.20404778866923526,-0.18133702452328085,-0.20404778866923526,-0.20284267149851729,-0.20045752327035812
03.01.2014,6.54,6.41,6.58,6.41,71543328,6.41,-0.27995700293646175,-0.242717610332499,-0.27995700293646175,-0.2545177875310599,-0.256803291405634
06.01.2014,6.38,6.42,6.45,6.33,54753244,6.42,-0.27703741777233776,-0.28948377094904626,-0.27703741777233776,-0.2918387046656741,-0.2805278253573292
07.01.2014,6.36,6.34,6.39,6.3,46244693,6.34,-0.30039409908533055,-0.29532954102611453,-0.30039409908533055,-0.3090637433431884,-0.28942452558921494
08.01.2014,6.37,6.49,6.58,6.33,78567150,6.49,-0.25660032162346896,-0.29240665598758037,-0.25660032162346896,-0.2545177875310599,-0.2805278253573292
09.01.2014,6.49,6.44,6.61,6.41,68570003,6.44,-0.2711982474440894,-0.25733203552517,-0.2711982474440894,-0.2459052681923027,-0.256803291405634
10.01.2014,6.31,6.39,6.42,6.28,71735265,6.39,-0.28579617326471013,-0.3099439662187857,-0.28579617326471013,-0.30045122400443125,-0.2953556590771386
13.01.2014,6.44,6.45,6.49,6.32,55234213,6.45,-0.2682786622799654,-0.2719464607178409,-0.2682786622799654,-0.2803553455473312,-0.28349339210129104
14.01.2014,6.31,6.42,6.43,6.28,44320323,6.42,-0.27703741777233776,-0.3099439662187857,-0.27703741777233776,-0.2975803842248456,-0.2953556590771386
15.01.2014,6.49,6.41,6.49,6.4,34042274,6.41,-0.27995700293646175,-0.25733203552517,-0.27995700293646175,-0.2803553455473312,-0.2597688581495958
16.01.2014,6.44,6.39,6.44,6.3,51727064,6.39,-0.28579617326471013,-0.2719464607178409,-0.28579617326471013,-0.2947095444452597,-0.28942452558921494
17.01.2014,6.4,6.43,6.51,6.34,65375840,6.43,-0.2741178326082137,-0.2836380008719777,-0.2741178326082137,-0.27461366598815995,-0.27756225861336736
20.01.2014,6.37,6.48,6.53,6.37,51095886,6.48,-0.259519906787593,-0.29240665598758037,-0.259519906787593,-0.2688719864289884,-0.2686655583814816
21.01.2014,6.16,6.07,6.19,6.06,185220194,6.07,-0.3792228985166811,-0.35378724179679855,-0.3792228985166811,-0.36648053893490234,-0.36059812744430053
22.01.2014,5.91,5.97,5.98,5.9,154203468,5.97,-0.4084187501579223,-0.42685936776015354,-0.4084187501579223,-0.4267681743062022,-0.4080471953476907
23.01.2014,5.95,5.91,5.99,5.9,107761590,5.91,-0.42593626114266675,-0.4151678276060167,-0.42593626114266675,-0.42389733452661654,-0.4080471953476907
24.01.2014,5.92,5.88,5.92,5.86,85540508,5.88,-0.4346950166350391,-0.4239364827216194,-0.4346950166350391,-0.4439932129837166,-0.41990946232353826
27.01.2014,5.78,5.67,5.78,5.66,125816341,5.67,-0.4960063050816452,-0.4648568732610981,-0.4960063050816452,-0.4841849698979164,-0.47922079720277627
28.01.2014,5.64,5.64,5.73,5.63,91485284,5.64,-0.5047650605740176,-0.5057772638005771,-0.5047650605740176,-0.49853916879584487,-0.488117497434662
29.01.2014,5.69,5.65,5.75,5.64,89645531,5.65,-0.5018454754098933,-0.4911628386079058,-0.5018454754098933,-0.49279748923667355,-0.4851519306907002
30.01.2014,5.64,5.66,5.68,5.54,61909041,5.66,-0.4989258902457692,-0.5057772638005771,-0.4989258902457692,-0.5128933676937736,-0.5148075981303191
04.02.2014,5.42,5.36,5.47,5.35,123852056,5.36,-0.5865134451694922,-0.5700807346483293,-0.5865134451694922,-0.5731810030650735,-0.5711533662655952
05.02.2014,5.41,5.38,5.46,5.33,86041583,5.38,-0.5806742748412441,-0.5730036196868635,-0.5806742748412441,-0.576051842844659,-0.5770844997535188
06.02.2014,5.37,5.41,5.5,5.37,80130100,5.41,-0.5719155193488717,-0.5846951598410003,-0.5719155193488717,-0.5645684837263162,-0.5652222327776713
07.02.2014,5.55,5.63,5.67,5.5,126844241,5.63,-0.5076846457381416,-0.5320832291473848,-0.5076846457381416,-0.5157642074733593,-0.5266698651061666
10.02.2014,5.67,5.62,5.73,5.59,93776138,5.62,-0.5106042309022657,-0.4970086086849744,-0.5106042309022657,-0.49853916879584487,-0.4999797644105096
11.02.2014,5.73,5.89,5.91,5.69,117362920,5.89,-0.43177543147091507,-0.479471298453769,-0.43177543147091507,-0.4468640527633022,-0.4703240969708905
12.02.2014,5.98,6.02,6.03,5.93,113310768,6.02,-0.3938208243373018,-0.4063991724904141,-0.3938208243373018,-0.41241397540827374,-0.39915049511580514
13.02.2014,5.95,5.88,5.96,5.86,65229919,5.88,-0.4346950166350391,-0.4151678276060167,-0.4346950166350391,-0.4325098538653738,-0.41990946232353826
14.02.2014,5.93,5.91,5.96,5.82,52672944,5.91,-0.42593626114266675,-0.42101359768308527,-0.42593626114266675,-0.4325098538653738,-0.43177172929938584
17.02.2014,5.91,5.95,5.96,5.87,23620507,5.95,-0.41425792048617033,-0.42685936776015354,-0.41425792048617033,-0.4325098538653738,-0.41694389557957645
18.02.2014,5.98,5.93,5.99,5.91,23870897,5.93,-0.42009709081441865,-0.4063991724904141,-0.42009709081441865,-0.42389733452661654,-0.4050816286037288
19.02.2014,5.9,5.86,5.92,5.8,45957744,5.86,-0.4405341869632872,-0.42978225279868765,-0.4405341869632872,-0.4439932129837166,-0.4377028627873098
20.02.2014,5.78,5.73,5.93,5.71,73307048,5.73,-0.4784887940969005,-0.4648568732610981,-0.4784887940969005,-0.44112237320413095,-0.4643929634829668
21.02.2014,5.78,5.76,5.81,5.67,62255145,5.76,-0.46973003860452833,-0.4648568732610981,-0.46973003860452833,-0.4755724505591594,-0.4762552304588144
24.02.2014,5.78,5.69,5.79,5.63,37042031,5.69,-0.49016713475339685,-0.4648568732610981,-0.49016713475339685,-0.48131413011833074,-0.488117497434662
25.02.2014,5.76,5.78,5.81,5.73,59710119,5.78,-0.46389086827628,-0.47070264333816664,-0.46389086827628,-0.4755724505591594,-0.45846182999504287
26.02.2014,5.78,5.82,5.89,5.72,60465687,5.82,-0.4522125276197836,-0.4648568732610981,-0.4522125276197836,-0.45260573232247375,-0.46142739673900496
27.02.2014,5.86,5.92,5.95,5.79,54485339,5.92,-0.4230166759785427,-0.44147379295282446,-0.4230166759785427,-0.4353806936449594,-0.4406684295312716
28.02.2014,6.06,5.9,6.06,5.87,69988768,5.9,-0.4288558463067908,-0.3830160921821407,-0.4288558463067908,-0.4038014560695168,-0.41694389557957645
03.03.2014,5.84,5.83,5.9,5.78,47472563,5.83,-0.4492929424556596,-0.447319563029893,-0.4492929424556596,-0.4497348925428879,-0.4436339962752335
04.03.2014,5.77,5.84,5.89,5.77,46632422,5.84,-0.44637335729153554,-0.4677797582996325,-0.44637335729153554,-0.45260573232247375,-0.44659956301919557
05.03.2014,5.85,5.74,5.88,5.71,54305065,5.74,-0.47556920893277643,-0.44439667799135885,-0.47556920893277643,-0.45547657210205944,-0.4643929634829668
06.03.2014,5.76,5.82,5.87,5.73,53373558,5.82,-0.4522125276197836,-0.47070264333816664,-0.4522125276197836,-0.4583474118816451,-0.45846182999504287
07.03.2014,5.82,5.77,5.87,5.77,41362639,5.77,-0.4668104534404043,-0.4531653331069613,-0.4668104534404043,-0.4583474118816451,-0.44659956301919557
10.03.2014,5.65,5.61,5.69,5.52,76283288,5.61,-0.5135238160663896,-0.5028543787620426,-0.5135238160663896,-0.5100225279141877,-0.5207387316182429
11.03.2014,5.57,5.46,5.61,5.43,102787229,5.46,-0.5573175935282513,-0.5262374590703163,-0.5573175935282513,-0.5329892461508734,-0.5474288323138999
12.03.2014,5.41,5.42,5.49,5.4,54252434,5.42,-0.5689959341847477,-0.5730036196868635,-0.5689959341847477,-0.5674393235059019,-0.5563255325457855
13.03.2014,5.44,5.38,5.51,5.36,61953437,5.38,-0.5806742748412441,-0.5642349645712608,-0.5806742748412441,-0.5616976439467306,-0.5681877995216331
14.03.2014,5.41,5.39,5.46,5.37,67967183,5.39,-0.5777546896771201,-0.5730036196868635,-0.5777546896771201,-0.576051842844659,-0.5652222327776713
17.03.2014,5.34,5.37,5.41,5.31,54685911,5.37,-0.5835938600053682,-0.5934638149566029,-0.5835938600053682,-0.5904060417425876,-0.5830156332414428
18.03.2014,5.43,5.38,5.46,5.3,82545699,5.38,-0.5806742748412441,-0.5671578496097952,-0.5806742748412441,-0.576051842844659,-0.5859811999854047
19.03.2014,5.45,5.46,5.51,5.35,73568270,5.46,-0.5573175935282513,-0.5613120795327267,-0.5573175935282513,-0.5616976439467306,-0.5711533662655952
20.03.2014,5.47,5.39,5.5,5.38,56077238,5.39,-0.5777546896771201,-0.5554663094556584,-0.5777546896771201,-0.5645684837263162,-0.5622566660337094
21.03.2014,5.4,5.53,5.55,5.32,85607484,5.53,-0.5368804973793825,-0.5759265047253976,-0.5368804973793825,-0.5502142848283877,-0.5800500664974807
24.03.2014,5.6,5.66,5.66,5.56,61069209,5.66,-0.4989258902457692,-0.5174688039547138,-0.4989258902457692,-0.5186350472529448,-0.5088764646423953
25.03.2014,5.66,5.55,5.66,5.51,52412914,5.55,-0.5310413270511344,-0.4999314937235085,-0.5310413270511344,-0.5186350472529448,-0.5237042983622048
26.03.2014,5.64,5.59,5.67,5.56,65923616,5.59,-0.5193629863946381,-0.5057772638005771,-0.5193629863946381,-0.5157642074733593,-0.5088764646423953
27.03.2014,5.7,5.65,5.7,5.63,71467785,5.65,-0.5018454754098933,-0.4882399535693717,-0.5018454754098933,-0.5071516881346021,-0.488117497434662
28.03.2014,5.66,5.72,5.73,5.66,53728625,5.72,-0.48140837926102475,-0.4999314937235085,-0.48140837926102475,-0.49853916879584487,-0.47922079720277627
31.03.2014,5.52,5.41,5.52,5.36,200210645,5.41,-0.5719155193488717,-0.5408518842629875,-0.5719155193488717,-0.5588268041671449,-0.5681877995216331
