Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
02.01.2014,129.92,131.05,129.92,131.05,129.92,244488
03.01.2014,131.05,131.05,131.05,131.05,128.79,1354871
06.01.2014,127.66,132.18,127.66,132.18,127.66,91683
07.01.2014,127.66,127.66,127.66,127.66,127.66,197627
08.01.2014,126.53,126.53,126.53,126.53,126.53,71309
09.01.2014,126.76,126.53,126.76,126.76,126.53,399330
10.01.2014,125.63,126.53,125.63,126.53,125.63,122244
13.01.2014,126.53,126.53,126.53,126.53,126.53,144655
15.01.2014,122.01,126.53,122.01,135.57,122.01,317834
16.01.2014,123.82,123.82,123.82,123.82,123.82,85570
17.01.2014,126.53,124.27,126.53,126.53,124.27,262824
20.01.2014,128.79,128.79,128.79,128.79,128.79,61122
21.01.2014,128.79,131.05,128.79,131.05,128.79,409517
22.01.2014,128.79,128.79,128.79,128.79,128.79,57047
23.01.2014,131.05,131.05,131.05,131.05,131.05,1275412
24.01.2014,126.53,126.53,126.53,135.57,126.53,65196
27.01.2014,126.53,126.53,126.53,126.53,126.08,140580
28.01.2014,131.05,126.53,131.05,131.05,125.63,2666956
29.01.2014,130.6,131.05,130.6,131.05,130.6,590846
30.01.2014,131.05,130.6,131.05,131.05,128.79,603070
03.02.2014,129.47,131.05,129.47,131.05,125.4,250600
04.02.2014,124.27,124.27,124.27,130.37,124.27,46860
05.02.2014,118.62,126.53,118.62,126.53,118.62,59084
06.02.2014,114.1,122.01,114.1,122.01,114.1,660117
07.02.2014,115.23,115.23,115.23,115.23,115.23,30561
10.02.2014,118.62,115.23,118.62,118.62,114.1,97795
11.02.2014,112.97,112.97,112.97,112.97,112.97,24448
12.02.2014,113.2,113.2,113.2,115.23,113.2,411554
13.02.2014,115.23,113.2,115.23,115.23,113.2,617332
14.02.2014,110.71,113.2,110.71,115.01,110.71,205777
17.02.2014,110.71,110.71,110.71,115.01,110.71,576584
18.02.2014,110.71,110.94,110.71,117.27,110.71,1037036
19.02.2014,115.23,112.97,115.23,116.59,110.94,2607872
20.02.2014,111.39,115.23,111.39,115.23,111.39,116131
21.02.2014,111.39,113.65,111.39,116.81,111.39,55009
24.02.2014,111.17,111.39,111.17,115.46,111.17,122244
25.02.2014,113.43,111.17,113.43,113.43,110.94,348395
26.02.2014,112.97,111.17,112.97,114.55,110.94,957578
27.02.2014,115.01,112.97,115.01,115.01,112.97,112057
28.02.2014,114.55,110.94,114.55,114.55,110.94,134468
03.03.2014,109.13,110.71,109.13,110.71,109.13,146692
04.03.2014,112.75,112.97,112.75,114.1,112.75,116131
05.03.2014,110.04,112.97,110.04,117.49,109.81,884231
06.03.2014,109.81,110.04,109.81,112.75,109.58,332096
07.03.2014,108.68,110.04,108.68,110.04,108.68,220039
10.03.2014,108.91,108.68,108.91,109.36,106.87,1536199
11.03.2014,106.19,108.45,106.19,108.45,106.19,252637
12.03.2014,107.55,108.45,107.55,108.45,105.97,806810
13.03.2014,107.1,104.61,107.1,107.1,104.61,22411
14.03.2014,106.42,107.1,106.42,108.23,104.39,1422105
17.03.2014,106.65,107.32,106.65,107.32,104.61,2976641
