Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
02.01.2014,8.92,9.05,8.92,9.09,8.92,9307779
03.01.2014,9.0,8.95,9.0,9.03,8.94,5960402
06.01.2014,9.06,9.05,9.06,9.1,9.02,6489354
07.01.2014,9.1,9.06,9.1,9.11,9.01,8635457
08.01.2014,8.95,9.1,8.95,9.1,8.92,8378867
09.01.2014,8.9,8.96,8.9,9.04,8.89,10761519
10.01.2014,8.96,8.94,8.96,9.0,8.92,7734123
13.01.2014,8.93,9.0,8.93,9.01,8.9,6842456
14.01.2014,8.86,8.89,8.86,8.9,8.82,8865998
15.01.2014,8.91,8.84,8.91,8.91,8.81,9768408
16.01.2014,8.88,8.89,8.88,8.91,8.85,8897134
17.01.2014,8.88,8.85,8.88,8.91,8.83,12497965
20.01.2014,8.95,8.86,8.95,8.95,8.84,5667723
21.01.2014,8.96,8.97,8.96,9.05,8.95,9627499
22.01.2014,9.02,9.01,9.02,9.05,8.98,7530959
23.01.2014,8.96,9.03,8.96,9.11,8.94,10424202
24.01.2014,8.71,8.95,8.71,8.99,8.71,18652622
27.01.2014,8.75,8.73,8.75,8.8,8.69,11212484
28.01.2014,8.7,8.77,8.7,8.78,8.67,8963339
29.01.2014,8.62,8.74,8.62,8.78,8.56,15212441
30.01.2014,8.71,8.61,8.71,8.73,8.61,10002236
31.01.2014,8.68,8.7,8.68,8.73,8.55,11909207
03.02.2014,8.5,8.66,8.5,8.72,8.5,13313934
04.02.2014,8.46,8.48,8.46,8.52,8.42,13961548
05.02.2014,8.37,8.43,8.37,8.45,8.34,14858778
06.02.2014,8.48,8.41,8.48,8.48,8.37,15117828
07.02.2014,8.51,8.47,8.51,8.51,8.35,16360991
10.02.2014,8.55,8.55,8.55,8.56,8.47,7908685
11.02.2014,8.65,8.56,8.65,8.69,8.55,10827952
12.02.2014,8.76,8.65,8.76,8.81,8.63,13128653
13.02.2014,8.75,8.81,8.75,8.85,8.67,16677410
14.02.2014,8.89,8.8,8.89,8.91,8.74,16369605
17.02.2014,8.89,8.9,8.89,8.92,8.86,5808521
18.02.2014,8.89,8.89,8.89,8.9,8.81,8805588
19.02.2014,8.93,8.88,8.93,8.96,8.84,8625949
20.02.2014,8.92,8.85,8.92,8.94,8.85,9471378
21.02.2014,8.94,8.92,8.94,8.94,8.87,8533855
24.02.2014,8.97,8.9,8.97,8.97,8.85,7765266
25.02.2014,9.0,8.94,9.0,9.01,8.93,9318824
26.02.2014,9.0,8.98,9.0,9.0,8.95,10786114
27.02.2014,8.95,8.98,8.95,9.0,8.88,10499498
28.02.2014,9.0,8.98,9.0,9.01,8.96,7732852
03.03.2014,8.82,8.89,8.82,8.96,8.82,13335751
04.03.2014,9.04,8.91,9.04,9.04,8.89,11713283
05.03.2014,9.03,8.99,9.03,9.08,8.98,10264860
06.03.2014,9.02,9.05,9.02,9.09,8.99,8972564
07.03.2014,8.93,9.03,8.93,9.04,8.92,10220948
10.03.2014,8.97,8.94,8.97,9.01,8.92,9061084
11.03.2014,8.99,8.99,8.99,9.03,8.96,7550947
12.03.2014,8.93,8.93,8.93,8.95,8.87,9996538
13.03.2014,8.86,8.95,8.86,8.98,8.86,9665006
14.03.2014,8.82,8.81,8.82,8.89,8.78,14134367
17.03.2014,8.94,8.82,8.94,8.96,8.8,9609915
18.03.2014,9.04,8.93,9.04,9.11,8.91,14862533
19.03.2014,9.02,9.03,9.02,9.11,9.0,9144677
20.03.2014,9.06,8.97,9.06,9.06,8.95,11253412
21.03.2014,9.27,9.05,9.27,9.27,9.01,21616615
24.03.2014,9.12,9.23,9.12,9.27,9.12,13512235
25.03.2014,9.21,9.16,9.21,9.25,9.15,12510985
26.03.2014,9.25,9.19,9.25,9.25,9.17,8612514
27.03.2014,9.22,9.23,9.22,9.28,9.18,9686193
28.03.2014,9.36,9.27,9.36,9.36,9.25,11786540
31.03.2014,9.38,9.37,9.38,9.39,9.32,9918986
01.04.2014,9.36,9.35,9.36,9.41,9.33,8684891
02.04.2014,9.36,9.37,9.36,9.4,9.3,11505898
03.04.2014,9.37,9.37,9.37,9.4,9.31,10421230
04.04.2014,9.43,9.37,9.43,9.49,9.36,9944776
07.04.2014,9.36,9.39,9.36,9.44,9.33,10103563
08.04.2014,9.34,9.39,9.34,9.4,9.28,9346889
09.04.2014,9.41,9.35,9.41,9.47,9.32,9541648
10.04.2014,9.4,9.46,9.4,9.52,9.4,12827000
11.04.2014,9.34,9.38,9.34,9.42,9.31,11805058
14.04.2014,9.51,9.34,9.51,9.53,9.34,12517584
15.04.2014,9.47,9.52,9.47,9.57,9.45,14046218
16.04.2014,9.63,9.58,9.63,9.64,9.57,15635322
17.04.2014,9.69,9.61,9.69,9.69,9.57,10375857
22.04.2014,9.66,9.66,9.66,9.69,9.56,11344959
23.04.2014,9.58,9.65,9.58,9.66,9.55,9836060
24.04.2014,9.65,9.6,9.65,9.65,9.53,9572727
25.04.2014,9.49,9.6,9.49,9.63,9.43,10132147
28.04.2014,9.44,9.45,9.44,9.52,9.44,11768961
29.04.2014,9.71,9.49,9.71,9.71,9.49,13237078
30.04.2014,9.64,9.7,9.64,9.72,9.61,10860423
02.05.2014,9.64,9.63,9.64,9.71,9.59,8082148
05.05.2014,9.59,9.66,9.59,9.67,9.51,8865167
06.05.2014,9.58,9.65,9.58,9.68,9.58,8995232
07.05.2014,9.65,9.51,9.65,9.7,9.51,13673756
08.05.2014,9.81,9.69,9.81,9.81,9.67,18266268
09.05.2014,9.75,9.81,9.75,9.81,9.71,8896019
12.05.2014,9.79,9.79,9.79,9.8,9.68,11607355
13.05.2014,9.7,9.82,9.7,9.82,9.67,10465107
14.05.2014,9.71,9.75,9.71,9.75,9.66,8948319
15.05.2014,9.53,9.75,9.53,9.76,9.5,17959851
16.05.2014,9.59,9.57,9.59,9.62,9.48,13949792
19.05.2014,9.59,9.64,9.59,9.68,9.5,14775488
20.05.2014,9.54,9.62,9.54,9.64,9.49,8214273
21.05.2014,9.76,9.5,9.76,9.8,9.5,14448976
22.05.2014,9.76,9.8,9.76,9.82,9.71,11000885
23.05.2014,9.92,9.77,9.92,9.92,9.71,10699380
26.05.2014,10.06,10.02,10.06,10.11,9.98,16559260
27.05.2014,10.04,9.99,10.04,10.06,9.97,8555808
28.05.2014,10.02,10.03,10.02,10.07,9.98,7716953
29.05.2014,9.99,10.02,9.99,10.04,9.96,6883710
30.05.2014,9.92,10.0,9.92,10.01,9.92,5760531
02.06.2014,9.98,9.97,9.98,9.99,9.9,5194948
03.06.2014,10.01,9.97,10.01,10.05,9.96,7338458
04.06.2014,9.88,9.96,9.88,9.97,9.84,9613889
05.06.2014,10.04,9.85,10.04,10.08,9.85,13931399
06.06.2014,10.1,10.03,10.1,10.1,9.97,9566632
09.06.2014,10.16,10.1,10.16,10.16,10.05,8257727
10.06.2014,10.21,10.16,10.21,10.23,10.13,9791511
11.06.2014,10.1,10.24,10.1,10.24,10.1,8946652
12.06.2014,10.2,10.15,10.2,10.24,10.12,15125235
13.06.2014,10.37,10.23,10.37,10.41,10.23,16708310
16.06.2014,10.38,10.33,10.38,10.47,10.33,10893839
17.06.2014,10.32,10.39,10.32,10.4,10.23,11426504
18.06.2014,10.37,10.3,10.37,10.42,10.3,8582488
19.06.2014,10.64,10.45,10.64,10.64,10.43,18450316
20.06.2014,10.59,10.65,10.59,10.71,10.59,15900152
23.06.2014,10.61,10.59,10.61,10.74,10.59,13691495
24.06.2014,10.64,10.62,10.64,10.68,10.57,8787116
25.06.2014,10.56,10.59,10.56,10.6,10.47,13586558
26.06.2014,10.51,10.6,10.51,10.63,10.48,10455587
27.06.2014,10.54,10.52,10.54,10.63,10.51,8927288
30.06.2014,10.6,10.57,10.6,10.62,10.51,8756122
01.07.2014,10.67,10.66,10.67,10.68,10.57,8038596
02.07.2014,10.72,10.64,10.72,10.76,10.6,9288704
03.07.2014,10.83,10.75,10.83,10.86,10.7,12864584
04.07.2014,10.74,10.84,10.74,10.86,10.74,6782397
07.07.2014,10.6,10.73,10.6,10.8,10.6,6439803
08.07.2014,10.4,10.6,10.4,10.67,10.4,10242758
09.07.2014,10.48,10.46,10.48,10.54,10.46,8915781
10.07.2014,10.25,10.5,10.25,10.5,10.25,15792712
11.07.2014,10.29,10.27,10.29,10.39,10.24,7977082
14.07.2014,10.38,10.33,10.38,10.43,10.3,8181368
15.07.2014,10.28,10.35,10.28,10.42,10.25,9826377
16.07.2014,10.55,10.31,10.55,10.55,10.3,9806941
17.07.2014,10.34,10.51,10.34,10.53,10.34,8500164
18.07.2014,10.39,10.34,10.39,10.43,10.29,8426304
21.07.2014,10.24,10.41,10.24,10.42,10.23,6290550
22.07.2014,10.49,10.29,10.49,10.49,10.29,7593571
23.07.2014,10.5,10.45,10.5,10.6,10.42,8114612
24.07.2014,10.63,10.54,10.63,10.64,10.47,8410752
25.07.2014,10.46,10.58,10.46,10.6,10.43,8227850
28.07.2014,10.43,10.51,10.43,10.55,10.37,7168473
29.07.2014,10.51,10.49,10.51,10.57,10.41,7184271
30.07.2014,10.29,10.5,10.29,10.5,10.29,9382091
31.07.2014,10.12,10.28,10.12,10.34,10.07,17860478
01.08.2014,9.97,10.07,9.97,10.2,9.95,15635554
04.08.2014,9.99,10.04,9.99,10.07,9.96,9277524
05.08.2014,9.88,10.03,9.88,10.05,9.85,10185208
06.08.2014,9.8,9.82,9.8,9.88,9.71,12736898
07.08.2014,9.67,9.79,9.67,9.91,9.66,11469334
08.08.2014,9.66,9.61,9.66,9.85,9.58,13241018
11.08.2014,9.76,9.74,9.76,9.77,9.63,8833394
12.08.2014,9.64,9.73,9.64,9.77,9.59,7716295
13.08.2014,9.68,9.69,9.68,9.7,9.62,7369240
14.08.2014,9.76,9.63,9.76,9.82,9.56,9998754
18.08.2014,9.74,9.77,9.74,9.91,9.72,7764344
19.08.2014,9.79,9.76,9.79,9.85,9.71,8402885
