Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
02.01.2014,13.15,13.26,13.15,13.27,13.1,866000
03.01.2014,13.16,13.27,13.16,13.28,13.13,1400300
06.01.2014,13.14,13.19,13.14,13.19,13.08,688600
07.01.2014,13.25,13.21,13.25,13.26,13.19,654800
08.01.2014,13.26,13.26,13.26,13.28,13.19,942500
09.01.2014,13.23,13.23,13.23,13.26,13.16,1018400
10.01.2014,13.69,13.65,13.69,13.71,13.6,2600800
13.01.2014,13.63,13.78,13.63,13.78,13.62,1887700
14.01.2014,13.83,13.8,13.83,13.83,13.69,1456800
15.01.2014,13.84,13.75,13.84,13.85,13.74,1374600
16.01.2014,13.88,13.89,13.88,13.92,13.82,870000
17.01.2014,13.69,13.84,13.69,13.85,13.69,1133300
21.01.2014,13.88,13.85,13.88,13.89,13.79,1012100
22.01.2014,13.84,13.8,13.84,13.87,13.79,1418100
23.01.2014,13.81,13.81,13.81,13.84,13.74,1001800
24.01.2014,13.36,13.51,13.36,13.52,13.34,1316200
27.01.2014,13.39,13.33,13.39,13.44,13.31,943800
28.01.2014,13.57,13.46,13.57,13.6,13.45,852300
29.01.2014,13.36,13.28,13.36,13.44,13.26,972200
30.01.2014,13.43,13.44,13.43,13.46,13.34,731400
31.01.2014,13.16,13.08,13.16,13.26,13.08,1274700
03.02.2014,12.97,13.08,12.97,13.15,12.95,1001800
04.02.2014,13.11,13.19,13.11,13.23,13.07,1795900
05.02.2014,13.11,13.02,13.11,13.13,13.01,1252400
06.02.2014,13.29,13.43,13.29,13.43,13.25,1573100
07.02.2014,14.1,14.0,14.1,14.15,13.95,3180400
10.02.2014,13.97,14.07,13.97,14.08,13.95,1801600
11.02.2014,14.25,14.07,14.25,14.26,14.05,1227900
12.02.2014,14.43,14.41,14.43,14.45,14.38,1170100
13.02.2014,14.32,14.25,14.32,14.39,14.25,1136400
14.02.2014,14.5,14.35,14.5,14.5,14.33,1603700
18.02.2014,14.7,14.67,14.7,14.72,14.62,1423800
19.02.2014,14.66,14.72,14.66,14.79,14.64,1234800
20.02.2014,14.6,14.5,14.6,14.62,14.5,1081200
21.02.2014,14.64,14.66,14.64,14.7,14.6,706300
24.02.2014,14.72,14.71,14.72,14.81,14.7,1142900
25.02.2014,14.64,14.7,14.64,14.71,14.61,1064800
26.02.2014,14.57,14.62,14.57,14.65,14.55,1076000
27.02.2014,14.56,14.54,14.56,14.56,14.45,972500
28.02.2014,14.62,14.66,14.62,14.68,14.56,981000
03.03.2014,14.99,15.01,14.99,15.08,14.92,2201400
04.03.2014,14.94,15.05,14.94,15.06,14.94,2140100
05.03.2014,14.91,14.96,14.91,15.01,14.88,1005200
06.03.2014,15.08,15.09,15.08,15.17,15.04,1196900
07.03.2014,14.91,15.02,14.91,15.06,14.87,810000
10.03.2014,15.09,15.05,15.09,15.09,14.91,1601400
11.03.2014,15.06,15.17,15.06,15.21,15.02,1384000
12.03.2014,15.05,15.01,15.05,15.05,14.94,880400
13.03.2014,15.06,15.27,15.06,15.32,15.01,1959800
14.03.2014,15.29,15.18,15.29,15.35,15.15,1763500
17.03.2014,15.45,15.41,15.45,15.55,15.39,2181600
18.03.2014,15.31,15.28,15.31,15.39,15.23,1649200
19.03.2014,15.1,15.32,15.1,15.32,14.98,1014400
20.03.2014,15.04,14.94,15.04,15.08,14.92,1220600
21.03.2014,15.24,15.21,15.24,15.39,15.16,2289500
24.03.2014,15.48,15.42,15.48,15.49,15.35,1064700
25.03.2014,15.52,15.46,15.52,15.55,15.44,902800
26.03.2014,15.41,15.5,15.41,15.54,15.4,1127100
27.03.2014,15.82,15.69,15.82,15.86,15.68,1570800
28.03.2014,15.68,15.74,15.68,15.85,15.63,1724400
31.03.2014,15.66,15.62,15.66,15.71,15.58,1385000
01.04.2014,15.6,15.52,15.6,15.6,15.5,1218200
02.04.2014,15.58,15.55,15.58,15.59,15.5,909900
03.04.2014,15.52,15.48,15.52,15.52,15.43,1527800
04.04.2014,15.6,15.7,15.6,15.74,15.57,748900
07.04.2014,15.32,15.33,15.32,15.4,15.3,1247300
08.04.2014,15.37,15.27,15.37,15.41,15.27,1062600
09.04.2014,15.58,15.5,15.58,15.6,15.41,722100
10.04.2014,15.46,15.55,15.46,15.63,15.44,1017900
11.04.2014,15.43,15.4,15.43,15.51,15.4,1054800
14.04.2014,15.73,15.65,15.73,15.78,15.62,1069700
15.04.2014,15.96,16.02,15.96,16.06,15.88,2275900
16.04.2014,16.05,16.13,16.05,16.15,16.01,1116200
17.04.2014,16.2,16.03,16.2,16.23,16.03,773100
21.04.2014,16.21,16.2,16.21,16.28,16.16,839500
22.04.2014,16.06,16.06,16.06,16.13,16.01,1202200
23.04.2014,15.81,15.82,15.81,15.87,15.8,1608800
24.04.2014,15.93,15.87,15.93,15.96,15.82,767300
25.04.2014,15.9,16.01,15.9,16.03,15.9,749800
28.04.2014,15.99,16.09,15.99,16.11,15.96,2556400
29.04.2014,16.63,16.63,16.63,16.81,16.61,2668100
30.04.2014,16.91,16.85,16.91,16.93,16.71,2035700
01.05.2014,16.92,16.96,16.92,16.97,16.84,1079500
02.05.2014,17.02,16.98,17.02,17.06,16.94,1015400
05.05.2014,16.97,17.02,16.97,17.04,16.94,1245600
06.05.2014,17.28,17.18,17.28,17.3,17.14,920500
07.05.2014,17.44,17.52,17.44,17.53,17.41,1244600
08.05.2014,17.36,17.44,17.36,17.47,17.33,1531600
09.05.2014,17.34,17.34,17.34,17.36,17.28,844400
12.05.2014,17.28,17.24,17.28,17.29,17.21,1552900
13.05.2014,17.3,17.25,17.3,17.33,17.22,734400
14.05.2014,17.34,17.41,17.34,17.42,17.29,2004300
15.05.2014,17.22,17.42,17.22,17.43,17.2,5113300
16.05.2014,17.37,17.34,17.37,17.4,17.3,2246000
19.05.2014,17.33,17.42,17.33,17.46,17.31,1364800
20.05.2014,17.16,17.27,17.16,17.31,17.15,2407800
21.05.2014,17.47,17.41,17.47,17.49,17.37,1195000
22.05.2014,17.42,17.38,17.42,17.48,17.36,736500
23.05.2014,17.44,17.45,17.44,17.49,17.39,655100
27.05.2014,17.64,17.8,17.64,17.82,17.54,1486900
28.05.2014,17.65,17.75,17.65,17.78,17.65,1427200
29.05.2014,17.68,17.69,17.68,17.72,17.57,1831200
30.05.2014,17.57,17.63,17.57,17.74,17.5,1975100
02.06.2014,17.62,17.62,17.62,17.66,17.56,1307100
03.06.2014,17.68,17.61,17.68,17.69,17.56,1551800
04.06.2014,17.42,17.32,17.42,17.43,17.31,1385200
05.06.2014,17.83,17.71,17.83,17.83,17.66,2507600
06.06.2014,17.81,17.84,17.81,17.91,17.75,1186000
09.06.2014,17.81,17.83,17.81,17.9,17.78,622100
10.06.2014,17.72,17.58,17.72,17.72,17.56,1258900
11.06.2014,17.58,17.53,17.58,17.62,17.52,1004300
12.06.2014,17.92,17.8,17.92,17.94,17.78,1215000
13.06.2014,18.32,18.18,18.32,18.32,18.17,1383200
16.06.2014,18.34,18.23,18.34,18.38,18.22,1309400
17.06.2014,18.07,17.99,18.07,18.08,17.99,1251800
18.06.2014,18.33,18.1,18.33,18.34,18.08,1390800
19.06.2014,18.22,18.09,18.22,18.25,18.09,1354800
20.06.2014,18.32,18.19,18.32,18.35,18.19,1283600
23.06.2014,18.38,18.3,18.38,18.4,18.23,796100
24.06.2014,18.06,18.38,18.06,18.38,18.0,1776900
25.06.2014,17.9,17.76,17.9,17.91,17.75,1627400
26.06.2014,17.83,17.72,17.83,17.88,17.59,2406400
27.06.2014,17.89,17.84,17.89,17.9,17.77,886700
30.06.2014,17.76,17.64,17.76,17.79,17.63,1604800
01.07.2014,17.86,17.83,17.86,17.88,17.77,878600
02.07.2014,17.73,17.71,17.73,17.76,17.65,1057600
03.07.2014,17.75,17.68,17.75,17.77,17.59,783700
07.07.2014,17.57,17.56,17.57,17.6,17.54,701800
08.07.2014,17.47,17.53,17.47,17.53,17.34,1924700
09.07.2014,17.58,17.53,17.58,17.6,17.45,1140900
10.07.2014,17.34,17.28,17.34,17.37,17.25,1290000
11.07.2014,17.3,17.33,17.3,17.34,17.24,845100
14.07.2014,17.41,17.39,17.41,17.5,17.37,1542800
15.07.2014,17.39,17.42,17.39,17.45,17.29,1822900
16.07.2014,17.61,17.51,17.61,17.63,17.49,791800
17.07.2014,17.41,17.55,17.41,17.59,17.38,1243900
18.07.2014,17.54,17.57,17.54,17.57,17.48,1212800
21.07.2014,17.49,17.29,17.49,17.52,17.27,1399800
22.07.2014,17.66,17.65,17.66,17.72,17.61,606100
23.07.2014,17.62,17.58,17.62,17.65,17.54,751100
24.07.2014,17.56,17.58,17.56,17.59,17.47,2799400
25.07.2014,16.96,17.0,16.96,17.09,16.92,1662700
28.07.2014,16.83,16.96,16.83,16.99,16.78,1568200
29.07.2014,16.77,16.8,16.77,16.86,16.77,1184600
30.07.2014,16.59,16.73,16.59,16.79,16.52,1601400
31.07.2014,16.38,16.51,16.38,16.56,16.36,1849200
01.08.2014,16.5,16.62,16.5,16.62,16.41,2199900
04.08.2014,16.86,16.69,16.86,16.89,16.6,1813400
05.08.2014,16.51,16.74,16.51,16.76,16.48,1526000
06.08.2014,16.55,16.41,16.55,16.62,16.4,1299000
07.08.2014,16.37,16.56,16.37,16.59,16.29,1782700
08.08.2014,16.53,16.43,16.53,16.55,16.33,2520500
11.08.2014,16.74,16.76,16.74,16.84,16.71,797500
12.08.2014,16.37,16.44,16.37,16.47,16.31,1924200
13.08.2014,16.37,16.43,16.37,16.47,16.33,1458300
14.08.2014,16.33,16.43,16.33,16.48,16.32,653800
15.08.2014,16.37,16.34,16.37,16.43,16.26,1164400
18.08.2014,16.27,16.29,16.27,16.38,16.21,1239700
19.08.2014,16.31,16.15,16.31,16.33,16.15,859100
20.08.2014,16.4,16.41,16.4,16.46,16.38,539400
21.08.2014,16.46,16.47,16.46,16.5,16.41,2670800
22.08.2014,16.42,16.45,16.42,16.45,16.38,910500
25.08.2014,16.52,16.46,16.52,16.56,16.44,587800
26.08.2014,16.55,16.54,16.55,16.63,16.52,754000
27.08.2014,16.67,16.63,16.67,16.7,16.6,723400
28.08.2014,16.56,16.61,16.56,16.64,16.53,914100
29.08.2014,16.52,16.45,16.52,16.58,16.4,1569000
02.09.2014,16.93,17.03,16.93,17.16,16.84,2957100
