Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,20.79,20.59,20.89,20.47,12180000,20.59,-1.5926602499629052,-1.5831399679267193,-1.5926602499629052,-1.5875039279377994,-1.5888011623024725
05.01.2004,20.83,21.07,21.1,20.77,14668100,21.07,-1.5699298222404876,-1.5812448374268557,-1.5699298222404876,-1.5776475469013946,-1.5744585694128723
06.01.2004,21.04,20.93,21.06,20.76,12364400,20.93,-1.5765595303261928,-1.5712954023025714,-1.5765595303261928,-1.5795249528130908,-1.5749366558425253
07.01.2004,20.82,20.78,20.9,20.54,13561500,20.78,-1.5836627889894481,-1.5817186200518216,-1.5836627889894481,-1.5870345764598754,-1.585454557294899
08.01.2004,20.73,20.73,20.73,20.43,14608300,20.73,-1.5860305418772,-1.585982663676515,-1.5860305418772,-1.5950135515845838,-1.5907135080210857
09.01.2004,20.5,20.42,20.57,20.28,15826200,20.42,-1.6007106097812611,-1.596879664050731,-1.6007106097812611,-1.6025231752313684,-1.5978848044658858
12.01.2004,20.63,20.71,20.72,20.53,10321800,20.71,-1.5869776430323006,-1.590720489926174,-1.5869776430323006,-1.5954829030625082,-1.5859326437245522
13.01.2004,20.71,20.62,20.77,20.49,9365500,20.62,-1.591239598230254,-1.5869302289264466,-1.591239598230254,-1.593136145672888,-1.5878449894431659
14.01.2004,20.56,20.62,20.63,20.43,8539500,20.62,-1.591239598230254,-1.5940369683009357,-1.591239598230254,-1.5997070663638246,-1.5907135080210857
15.01.2004,20.62,20.41,20.65,20.38,10256500,20.41,-1.6011841603588113,-1.59119427255114,-1.6011841603588113,-1.5987683634079763,-1.5931039401693525
16.01.2004,20.45,20.52,20.52,20.31,13305200,20.52,-1.5959751040057575,-1.5992485771755607,-1.5959751040057575,-1.604869932620989,-1.5964505451769258
20.01.2004,20.52,20.72,20.76,20.52,10790000,20.72,-1.5865040924547504,-1.595932098800799,-1.5865040924547504,-1.5936054971508116,-1.5864107301542059
21.01.2004,20.76,21.0,21.01,20.68,11511800,21.0,-1.57324467628334,-1.5845613158016172,-1.57324467628334,-1.581871710202711,-1.5787613472797521
22.01.2004,21.0,20.92,21.03,20.75,9422700,20.92,-1.577033080903743,-1.5731905328024351,-1.577033080903743,-1.5809330072468628,-1.5754147422721787
23.01.2004,20.95,20.8,21.0,20.65,11739000,20.8,-1.5827156878343471,-1.5755594459272648,-1.5827156878343471,-1.582341061680635,-1.5801956065687122
26.01.2004,20.8,21.06,21.06,20.72,9565700,21.06,-1.5704033728180382,-1.5826661853017532,-1.5704033728180382,-1.5795249528130908,-1.576849001561139
27.01.2004,21.0,20.87,21.17,20.83,10386700,20.87,-1.5794008337914949,-1.5731905328024351,-1.5794008337914949,-1.5743620865559265,-1.571590050834952
28.01.2004,20.98,20.68,21.06,20.48,12189400,20.68,-1.5883982947649518,-1.574138098052367,-1.5883982947649518,-1.5795249528130908,-1.5883230758728188
29.01.2004,21.01,21.02,21.08,20.86,16666200,21.02,-1.5722975751282393,-1.5727167501774693,-1.5722975751282393,-1.578586249857243,-1.570155791545992
30.01.2004,20.85,20.67,20.9,20.56,11082300,20.67,-1.588871845342502,-1.5802972721769237,-1.588871845342502,-1.5870345764598754,-1.5844983844355922
02.02.2004,20.91,20.62,20.91,20.47,13964900,20.62,-1.591239598230254,-1.5774545764271282,-1.591239598230254,-1.5865652249819515,-1.5888011623024725
03.02.2004,20.68,20.48,20.68,20.46,10048500,20.48,-1.5978693063159592,-1.5883515768013445,-1.5978693063159592,-1.5973603089742041,-1.5892792487321257
04.02.2004,20.3,20.45,20.53,20.3,12106600,20.45,-1.5992899580486104,-1.606355316550049,-1.5992899580486104,-1.6044005811430646,-1.5969286316065792
05.02.2004,20.51,20.46,20.55,20.32,9355100,20.46,-1.5988164074710598,-1.5964058814257651,-1.5988164074710598,-1.6034618781872167,-1.5959724587472723
06.02.2004,20.39,20.53,20.55,20.32,9928700,20.53,-1.595501553428207,-1.602091272925356,-1.595501553428207,-1.6034618781872167,-1.5959724587472723
09.02.2004,20.55,20.77,20.86,20.5,8845600,20.77,-1.5841363395669983,-1.594510750925901,-1.5841363395669983,-1.5889119823715716,-1.5873669030135122
10.02.2004,20.69,20.95,21.02,20.65,8722600,20.95,-1.5756124291710922,-1.5878777941763782,-1.5756124291710922,-1.5814023587247872,-1.5801956065687122
11.02.2004,20.91,21.38,21.41,20.9,14555600,21.38,-1.555249754336426,-1.5774545764271282,-1.555249754336426,-1.5630976510857497,-1.5682434458273788
12.02.2004,21.3,21.37,21.42,21.19,9826100,21.37,-1.5557233049139767,-1.5589770540534573,-1.5557233049139767,-1.5626282996078256,-1.5543789393674319
13.02.2004,21.36,21.37,21.49,21.22,11234500,21.37,-1.5557233049139767,-1.556134358303662,-1.5557233049139767,-1.5593428392623576,-1.5529446800784719
17.02.2004,21.52,21.53,21.65,21.48,8597700,21.53,-1.5481464956731708,-1.5485538363042073,-1.5481464956731708,-1.551833215615573,-1.5405144329074847
18.02.2004,21.47,21.31,21.56,21.31,7767600,21.31,-1.558564608379279,-1.550922749429037,-1.558564608379279,-1.556057378916889,-1.5486419022115916
19.02.2004,21.37,21.39,21.61,21.35,10518900,21.39,-1.554776203758876,-1.5556605756786963,-1.554776203758876,-1.553710621527269,-1.5467295564929784
20.02.2004,21.52,21.43,21.65,21.37,11256400,21.43,-1.5528820014486746,-1.5485538363042073,-1.5528820014486746,-1.551833215615573,-1.5457733836336716
23.02.2004,21.53,21.71,21.77,21.49,9583000,21.71,-1.5396225852772643,-1.5480800536792414,-1.5396225852772643,-1.5462009978804845,-1.540036346477832
24.02.2004,21.67,21.57,21.72,21.52,10385600,21.57,-1.5462522933629694,-1.5414470969297185,-1.5462522933629694,-1.5485477552701046,-1.5386020871888717
25.02.2004,21.65,21.75,21.8,21.56,10275000,21.75,-1.537728382967063,-1.5423946621796505,-1.537728382967063,-1.5447929434467125,-1.536689741470258
26.02.2004,21.73,21.57,21.8,21.57,9332700,21.57,-1.5462522933629694,-1.5386044011799231,-1.5462522933629694,-1.5447929434467125,-1.5362116550406049
27.02.2004,21.65,21.5,21.79,21.47,13338600,21.5,-1.549567147405822,-1.5423946621796505,-1.549567147405822,-1.5452622949246364,-1.5409925193371383
01.03.2004,21.71,21.68,21.74,21.57,15990500,21.68,-1.5410432370099154,-1.539551966429855,-1.5410432370099154,-1.5476090523142567,-1.5362116550406049
02.03.2004,21.52,21.44,21.61,21.42,11886600,21.44,-1.552408450871124,-1.5485538363042073,-1.552408450871124,-1.553710621527269,-1.543382951485405
03.03.2004,21.43,21.37,21.44,21.21,13615700,21.37,-1.5557233049139767,-1.5528178799289005,-1.5557233049139767,-1.5616895966519777,-1.553422766508125
04.03.2004,21.31,21.29,21.35,21.25,8363400,21.29,-1.5595117095343796,-1.5585032714284919,-1.5595117095343796,-1.5659137599532937,-1.5515104207895118
05.03.2004,21.27,21.67,21.7,21.24,12789200,21.67,-1.5415167875874658,-1.5603984019283552,-1.5415167875874658,-1.5494864582259524,-1.5519885072191653
08.03.2004,21.67,21.7,21.79,21.62,10421600,21.7,-1.5400961358548149,-1.5414470969297185,-1.5400961358548149,-1.5452622949246364,-1.533821222892338
09.03.2004,21.6,21.81,21.9,21.58,14112100,21.81,-1.5348870795017608,-1.54476357530448,-1.5348870795017608,-1.540099428667472,-1.5357335686109517
10.03.2004,21.93,21.64,22.13,21.64,18667900,21.64,-1.542937439320117,-1.5291287486806047,-1.542937439320117,-1.5293043446752195,-1.5328650500330314
11.03.2004,21.57,21.09,21.7,20.98,14986100,21.09,-1.568982721085387,-1.5461849231793778,-1.568982721085387,-1.5494864582259524,-1.5644187543901518
12.03.2004,21.14,21.43,21.46,21.09,11271700,21.43,-1.5528820014486746,-1.5665575760529122,-1.5528820014486746,-1.5607508936961294,-1.5591598036639651
15.03.2004,21.3,21.3,21.56,21.24,11621200,21.3,-1.559038158956829,-1.5589770540534573,-1.559038158956829,-1.556057378916889,-1.5519885072191653
16.03.2004,21.39,21.45,21.54,21.26,9720000,21.45,-1.551934900293574,-1.5547130104287643,-1.551934900293574,-1.5569960818727373,-1.5510323343598582
17.03.2004,21.54,21.54,21.74,21.5,9077700,21.54,-1.5476729450956206,-1.5476062710542755,-1.5476729450956206,-1.5476090523142567,-1.5395582600481783
18.03.2004,21.47,21.65,21.7,21.4,10556900,21.65,-1.5424638887425666,-1.550922749429037,-1.5424638887425666,-1.5494864582259524,-1.5443391243447118
19.03.2004,21.52,21.16,21.63,21.15,18987700,21.16,-1.5656678670425341,-1.5485538363042073,-1.5656678670425341,-1.552771918571421,-1.5562912850860453
22.03.2004,21.03,20.88,21.15,20.82,12364500,20.88,-1.5789272832139443,-1.5717691849275373,-1.5789272832139443,-1.5753007895117745,-1.5720681372646055
23.03.2004,20.91,20.78,21.01,20.63,10905800,20.78,-1.5836627889894481,-1.5774545764271282,-1.5836627889894481,-1.581871710202711,-1.581151779428019
24.03.2004,20.75,20.45,20.88,20.35,13192300,20.45,-1.5992899580486104,-1.585035098426583,-1.5992899580486104,-1.5879732794157237,-1.5945381994583123
25.03.2004,20.5,20.52,20.58,20.4,12703200,20.52,-1.5959751040057575,-1.596879664050731,-1.5959751040057575,-1.6020538237534445,-1.5921477673100457
26.03.2004,20.58,20.77,20.98,20.56,11345400,20.77,-1.5841363395669983,-1.5930894030510037,-1.5841363395669983,-1.583279764636483,-1.5844983844355922
29.03.2004,20.84,20.95,21.12,20.84,9621800,20.95,-1.5756124291710922,-1.5807710548018898,-1.5756124291710922,-1.5767088439455463,-1.5711119644052987
30.03.2004,21.12,21.19,21.24,21.04,10453100,21.19,-1.564247215309883,-1.5675051413028442,-1.564247215309883,-1.5710766262104585,-1.561550235812232
31.03.2004,21.24,21.21,21.4,21.13,12630500,21.21,-1.5633001141547824,-1.5618197498032529,-1.5633001141547824,-1.5635670025636736,-1.5572474579453521
01.04.2004,21.37,21.17,21.41,21.13,11381200,21.17,-1.565194316464984,-1.5556605756786963,-1.565194316464984,-1.5630976510857497,-1.5572474579453521
02.04.2004,21.41,21.37,21.41,21.21,11270900,21.37,-1.5557233049139767,-1.5537654451788323,-1.5557233049139767,-1.5630976510857497,-1.553422766508125
05.04.2004,21.4,21.54,21.58,21.39,8649100,21.54,-1.5476729450956206,-1.5542392278037984,-1.5476729450956206,-1.5551186759610411,-1.544817210774365
06.04.2004,21.45,21.51,21.62,21.42,7449500,21.51,-1.5490935968282717,-1.551870314678969,-1.5490935968282717,-1.5532412700493448,-1.543382951485405
07.04.2004,21.43,21.37,21.56,21.36,10144700,21.37,-1.5557233049139767,-1.5528178799289005,-1.5557233049139767,-1.556057378916889,-1.546251470063325
08.04.2004,21.53,21.65,21.89,21.5,12242600,21.65,-1.5424638887425666,-1.5480800536792414,-1.5424638887425666,-1.540568780145396,-1.5395582600481783
12.04.2004,21.77,21.98,22.12,21.72,9950600,21.98,-1.5268367196834047,-1.5367092706800591,-1.5268367196834047,-1.529773696153143,-1.5290403585958048
13.04.2004,22.13,21.83,22.15,21.82,12351400,21.83,-1.53393997834666,-1.5196530961812862,-1.53393997834666,-1.5283656417193712,-1.5242594942992713
14.04.2004,21.71,22.08,22.08,21.68,11549600,22.08,-1.5221012139079009,-1.539551966429855,-1.5221012139079009,-1.5316511020648393,-1.5309527043144182
15.04.2004,22.08,22.27,22.35,21.67,12009400,22.27,-1.513103752934444,-1.522022009306116,-1.513103752934444,-1.5189786121608904,-1.5314307907440714
16.04.2004,22.3,22.37,22.39,22.21,10278000,22.37,-1.5083682471589404,-1.5115987915568658,-1.5083682471589404,-1.5171012062491942,-1.5056141235427911
19.04.2004,22.36,22.3,22.37,22.17,7110700,22.3,-1.5116831012017928,-1.5087560958070703,-1.5116831012017928,-1.518039909205042,-1.5075264692614043
20.04.2004,22.29,22.08,22.29,21.77,10363100,22.08,-1.5221012139079009,-1.5120725741818317,-1.5221012139079009,-1.5217947210284346,-1.5266499264475382
21.04.2004,21.7,21.9,21.92,21.62,10862800,21.9,-1.5306251243038076,-1.540025749054821,-1.5306251243038076,-1.5391607257116238,-1.533821222892338
22.04.2004,21.77,22.08,22.21,21.72,10243300,22.08,-1.5221012139079009,-1.5367092706800591,-1.5221012139079009,-1.525549532851827,-1.5290403585958048
23.04.2004,22.05,21.91,22.05,21.81,7957300,21.91,-1.530151573726257,-1.5234433571810135,-1.530151573726257,-1.5330591564986116,-1.5247375807289247
26.04.2004,22.05,21.93,22.15,21.91,9476400,21.93,-1.5292044725711564,-1.5234433571810135,-1.5292044725711564,-1.5283656417193712,-1.5199567164323913
