Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
06.01.2014,83.84,85.24,83.84,85.49,83.84,19619510
08.01.2014,84.96,84.69,84.96,85.24,84.31,20464840
09.01.2014,85.99,85.24,85.99,86.47,85.01,33292350
10.01.2014,86.65,85.86,86.65,86.65,85.3,34861530
13.01.2014,86.1,86.73,86.1,87.37,86.04,29817460
14.01.2014,85.18,85.66,85.18,85.75,84.8,34471040
15.01.2014,85.17,85.89,85.17,86.11,84.95,35991960
16.01.2014,85.11,85.53,85.11,85.82,84.06,47980910
17.01.2014,85.05,85.09,85.05,85.99,84.79,34589630
20.01.2014,86.63,85.13,86.63,86.7,84.82,29649680
21.01.2014,90.33,86.8,90.33,90.39,86.72,86201740
22.01.2014,90.6,90.33,90.6,92.42,89.38,117292870
23.01.2014,90.38,89.94,90.38,92.06,89.94,62761100
24.01.2014,90.94,89.47,90.94,92.61,89.3,97512190
27.01.2014,91.62,90.51,91.62,92.11,90.38,73882710
28.01.2014,91.39,91.54,91.39,92.52,90.9,67937000
29.01.2014,91.62,91.72,91.62,92.96,91.44,90734780
30.01.2014,91.31,91.59,91.31,92.5,89.71,90316050
31.01.2014,89.92,91.33,89.92,91.73,89.58,49133340
03.02.2014,87.76,90.17,87.76,90.49,87.72,56886580
04.02.2014,87.35,86.97,87.35,87.85,86.07,60737490
05.02.2014,87.97,87.59,87.97,88.49,87.23,46415630
06.02.2014,89.03,88.21,89.03,89.03,87.52,39794280
07.02.2014,90.85,89.42,90.85,91.05,89.33,47949710
10.02.2014,91.02,91.07,91.02,91.69,90.76,34269000
11.02.2014,91.44,91.15,91.44,92.52,90.82,48572400
12.02.2014,92.02,91.87,92.02,92.66,91.44,47719150
13.02.2014,90.49,91.6,90.49,91.8,90.09,42729240
14.02.2014,92.37,90.91,92.37,92.43,90.66,59484900
17.02.2014,93.74,92.89,93.74,94.13,92.81,55793770
18.02.2014,94.85,93.92,94.85,95.33,93.92,58279640
19.02.2014,91.41,94.65,91.41,95.37,91.23,91465380
20.02.2014,91.85,90.94,91.85,92.06,90.33,59100950
21.02.2014,92.48,92.35,92.48,92.89,91.75,38508120
24.02.2014,92.43,92.5,92.43,92.86,91.83,30771370
25.02.2014,90.63,92.74,90.63,92.99,90.52,51063850
26.02.2014,88.96,90.8,88.96,91.29,88.51,64736070
27.02.2014,87.12,89.14,87.12,89.74,86.48,86517120
28.02.2014,86.79,87.38,86.79,87.53,84.95,89392280
03.03.2014,75.03,83.62,75.03,83.63,72.4,202466280
04.03.2014,80.21,75.02,80.21,81.66,75.01,178087310
05.03.2014,77.87,81.21,77.87,81.21,77.25,90661790
06.03.2014,76.99,78.09,76.99,79.88,74.39,128489440
07.03.2014,76.87,76.87,76.87,78.17,75.42,72025740
11.03.2014,75.03,76.56,75.03,77.05,74.44,74363540
12.03.2014,73.78,74.3,73.78,74.82,73.0,73585490
13.03.2014,73.46,74.59,73.46,75.98,73.03,92588930
14.03.2014,73.07,72.54,73.07,73.89,70.67,129366200
17.03.2014,74.58,74.38,74.58,76.45,71.95,169351160
18.03.2014,78.73,75.42,78.73,79.35,74.15,115275520
19.03.2014,77.83,78.77,77.83,80.08,76.9,95295120
20.03.2014,78.19,77.41,78.19,79.13,76.87,60882850
21.03.2014,77.49,77.12,77.49,77.49,75.7,88246980
24.03.2014,76.62,77.23,76.62,79.27,76.58,69451350
25.03.2014,79.31,76.87,79.31,79.62,75.82,75405360
26.03.2014,82.45,79.69,82.45,83.52,79.26,117269410
27.03.2014,81.1,81.83,81.1,82.88,80.32,79649520
28.03.2014,82.39,81.46,82.39,82.99,80.96,56906900
31.03.2014,84.0,82.39,84.0,84.0,81.83,68945550
01.04.2014,84.24,84.25,84.24,84.76,82.97,64684830
02.04.2014,83.63,84.18,83.63,84.22,82.24,62282510
03.04.2014,83.38,83.66,83.38,84.31,82.96,60468920
04.04.2014,85.22,83.6,85.22,85.81,83.13,58789840
07.04.2014,83.06,84.31,83.06,84.43,81.52,92918630
08.04.2014,82.6,83.08,82.6,83.75,82.17,73453940
09.04.2014,82.02,82.63,82.02,82.81,80.65,64592090
10.04.2014,83.58,82.36,83.58,83.63,82.23,59314020
11.04.2014,83.07,82.45,83.07,84.1,81.83,54919130
14.04.2014,81.21,82.49,81.21,82.63,80.72,87594500
15.04.2014,79.19,80.96,79.19,81.39,79.05,56817220
16.04.2014,79.97,79.36,79.97,80.56,78.26,85376050
17.04.2014,80.48,80.22,80.48,81.11,79.05,46455460
18.04.2014,83.01,82.14,83.01,83.19,82.0,54872310
21.04.2014,82.25,83.01,82.25,83.34,81.9,38412630
22.04.2014,81.64,82.3,81.64,82.4,80.97,55450030
23.04.2014,80.9,81.52,80.9,81.64,80.34,47551590
24.04.2014,78.54,80.84,78.54,81.38,77.51,69781700
25.04.2014,77.74,78.11,77.74,78.92,77.1,65056310
28.04.2014,79.42,77.12,79.42,79.6,76.11,87764460
29.04.2014,79.53,80.28,79.53,80.76,79.0,58245930
30.04.2014,79.83,79.66,79.83,80.06,78.73,32896300
05.05.2014,78.11,78.26,78.11,78.78,77.58,21310850
06.05.2014,80.27,78.42,80.27,80.47,78.42,44056190
07.05.2014,83.13,79.97,83.13,85.05,79.73,87662870
08.05.2014,84.08,83.16,84.08,84.92,82.63,84912010
12.05.2014,84.13,84.33,84.13,85.42,83.79,46954280
