Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
06.01.2014,1139.16,1129.23,1147.96,1129.23,809076,1129.23,-1.2480057459186327,-1.2409240030757451,-1.2480057459186327,-1.2439486618269069,-1.239370308037002
08.01.2014,1132.01,1109.94,1132.01,1108.46,665615,1109.94,-1.2593628819343594,-1.2451298024987736,-1.2593628819343594,-1.253226281935161,-1.2517501454327262
09.01.2014,1112.83,1123.1,1123.5,1107.84,1209783,1123.1,-1.2516148306141437,-1.2564119329790087,-1.2516148306141437,-1.2581762848894709,-1.2521196928176732
10.01.2014,1121.86,1130.88,1133.77,1115.27,1087232,1130.88,-1.2470342957151102,-1.2511002730083869,-1.2470342957151102,-1.2522025445439053,-1.247691084640002
13.01.2014,1125.09,1135.47,1144.27,1124.12,1104271,1135.47,-1.2443318978762206,-1.2492003104718303,-1.2443318978762206,-1.2460950203347099,-1.2424160937419684
14.01.2014,1128.27,1123.56,1131.33,1115.22,1258339,1123.56,-1.2513440020725555,-1.2473297591200498,-1.2513440020725555,-1.253621816836328,-1.2477208868484655
15.01.2014,1128.38,1128.72,1135.02,1124.12,1106670,1128.72,-1.2483060123451761,-1.2472650545135415,-1.2483060123451761,-1.251475458328525,-1.2424160937419684
16.01.2014,1134.11,1121.23,1134.11,1121.23,924031,1121.23,-1.252715807511469,-1.2438945327381636,-1.252715807511469,-1.252004777093322,-1.2441386613911567
17.01.2014,1123.33,1124.07,1135.47,1119.36,921576,1124.07,-1.251043735646012,-1.2502355841759603,-1.251043735646012,-1.251213707290988,-1.2452532639876908
20.01.2014,1123.67,1133.2,1134.34,1118.28,775057,1133.2,-1.2456683778531876,-1.2500355881194805,-1.2456683778531876,-1.2518709932296919,-1.2458969916905016
21.01.2014,1135.19,1134.96,1139.22,1132.64,871950,1134.96,-1.2446321643027636,-1.243259251146993,-1.2446321643027636,-1.2490324486448465,-1.2373377974197934
22.01.2014,1135.19,1134.91,1138.03,1129.52,1081239,1134.91,-1.2446616021877188,-1.243259251146993,-1.2446616021877188,-1.249724634721889,-1.239197455227914
23.01.2014,1135.19,1123.61,1143.93,1121.51,1125377,1123.61,-1.2513145641876002,-1.243259251146993,-1.2513145641876002,-1.2462927877852932,-1.2439717690237613
