Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
02.01.2014,4.4,4.44,4.4,4.46,4.36,18218000
03.01.2014,4.33,4.38,4.33,4.42,4.29,19993700
06.01.2014,4.35,4.28,4.35,4.36,4.26,12475200
07.01.2014,4.26,4.42,4.26,4.42,4.24,19305300
08.01.2014,4.19,4.27,4.19,4.28,4.18,17711000
09.01.2014,4.14,4.18,4.14,4.21,4.07,21117400
10.01.2014,4.24,4.21,4.24,4.26,4.18,21865300
13.01.2014,4.12,4.23,4.12,4.25,4.1,21429200
14.01.2014,4.1,4.11,4.1,4.15,4.1,18328000
15.01.2014,4.2,4.15,4.2,4.27,4.13,34442900
16.01.2014,4.14,4.21,4.14,4.23,4.11,20579500
17.01.2014,4.12,4.14,4.12,4.18,4.1,15576700
21.01.2014,4.04,4.08,4.04,4.09,4.0,22789800
22.01.2014,4.13,4.07,4.13,4.15,4.06,12350400
23.01.2014,4.02,4.13,4.02,4.14,3.98,18627600
24.01.2014,3.89,3.95,3.89,3.96,3.83,24925900
27.01.2014,3.9,3.86,3.9,3.91,3.8,22328100
28.01.2014,3.85,3.9,3.85,3.9,3.82,14185700
29.01.2014,3.75,3.72,3.75,3.79,3.71,27607500
30.01.2014,3.75,3.81,3.75,3.84,3.72,17667300
31.01.2014,3.7,3.73,3.7,3.86,3.68,30987500
03.02.2014,3.59,3.68,3.59,3.69,3.55,33920300
04.02.2014,3.64,3.63,3.64,3.67,3.57,17799900
05.02.2014,3.56,3.65,3.56,3.66,3.51,25032100
06.02.2014,3.71,3.63,3.71,3.73,3.62,17780900
07.02.2014,3.75,3.78,3.75,3.79,3.66,16519700
10.02.2014,3.73,3.77,3.73,3.79,3.7,14359000
11.02.2014,3.85,3.76,3.85,3.89,3.75,18851800
12.02.2014,3.79,3.87,3.79,3.89,3.77,12406800
13.02.2014,3.82,3.71,3.82,3.83,3.7,12836900
14.02.2014,3.8,3.8,3.8,3.83,3.75,12051500
18.02.2014,3.7,3.72,3.7,3.79,3.68,17126900
19.02.2014,3.68,3.64,3.68,3.71,3.64,18494300
20.02.2014,3.73,3.72,3.73,3.78,3.67,17210800
21.02.2014,3.78,3.76,3.78,3.79,3.74,15374600
24.02.2014,3.86,3.78,3.86,3.87,3.74,17873900
25.02.2014,3.74,3.9,3.74,3.91,3.73,18659400
26.02.2014,3.66,3.71,3.66,3.74,3.63,30760900
27.02.2014,3.81,3.67,3.81,3.82,3.63,30093300
28.02.2014,3.7,3.76,3.7,3.78,3.66,22652900
03.03.2014,3.62,3.67,3.62,3.69,3.58,19424800
04.03.2014,3.66,3.68,3.66,3.69,3.63,12684400
05.03.2014,3.64,3.68,3.64,3.73,3.63,17177000
06.03.2014,3.69,3.67,3.69,3.75,3.67,15928700
07.03.2014,3.6,3.68,3.6,3.69,3.56,25604900
10.03.2014,3.53,3.61,3.53,3.61,3.48,26409800
11.03.2014,3.48,3.52,3.48,3.56,3.47,24986500
12.03.2014,3.53,3.53,3.53,3.57,3.5,19157800
13.03.2014,3.48,3.58,3.48,3.6,3.46,21377000
14.03.2014,3.43,3.43,3.43,3.47,3.4,19968700
17.03.2014,3.39,3.43,3.39,3.46,3.37,15643200
18.03.2014,3.49,3.38,3.49,3.53,3.38,30787400
19.03.2014,3.6,3.51,3.6,3.68,3.5,25851900
20.03.2014,3.82,3.62,3.82,3.85,3.58,42413900
21.03.2014,3.83,3.72,3.83,3.88,3.72,30316800
24.03.2014,3.95,3.85,3.95,3.98,3.84,28335400
25.03.2014,4.02,3.96,4.02,4.04,3.95,27213400
26.03.2014,3.96,4.01,3.96,4.06,3.94,20522500
27.03.2014,4.27,4.09,4.27,4.3,4.08,58333500
28.03.2014,4.35,4.29,4.35,4.37,4.23,35985400
31.03.2014,4.34,4.37,4.34,4.37,4.29,18866600
01.04.2014,4.37,4.35,4.37,4.39,4.29,26704500
02.04.2014,4.53,4.39,4.53,4.61,4.36,34000800
03.04.2014,4.49,4.54,4.49,4.56,4.38,30678500
04.04.2014,4.54,4.64,4.54,4.67,4.53,26564100
07.04.2014,4.85,4.67,4.85,4.9,4.64,49107800
08.04.2014,4.75,5.01,4.75,5.08,4.68,57558700
