Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
12.04.2012,21.99,22.49,22.63,21.17,654700,22.49,-1.7906176069448612,-1.8084605749392364,-1.7906176069448612,-1.7996011592355547,-1.8249078666472094
13.04.2012,22.49,24.47,24.77,22.43,1685000,24.47,-1.7162532430992326,-1.7896944210042791,-1.7162532430992326,-1.7200460438062946,-1.7771379866170456
16.04.2012,24.47,24.18,24.47,23.81,550200,24.18,-1.727144993359451,-1.715380451421848,-1.727144993359451,-1.7311986300814244,-1.7248185942030565
17.04.2012,24.08,23.81,24.31,23.81,179600,23.81,-1.7410413643811087,-1.7300180514911148,-1.7410413643811087,-1.7371466760948269,-1.7248185942030565
18.04.2012,23.81,23.81,24.1,22.82,207100,23.81,-1.7410413643811087,-1.7401517746159916,-1.7410413643811087,-1.7449534864874179,-1.762352071369614
19.04.2012,23.81,23.81,24.62,23.68,598100,23.81,-1.7410413643811087,-1.7401517746159916,-1.7410413643811087,-1.7256223369438592,-1.7297472326188672
20.04.2012,23.88,24.02,24.47,23.88,149700,24.02,-1.7331542348823301,-1.7375245130650978,-1.7331542348823301,-1.7311986300814244,-1.7221647119791588
23.04.2012,23.97,23.6,23.97,23.43,95700,23.6,-1.7489284938798875,-1.7341466053568053,-1.7489284938798875,-1.7497862738733077,-1.739225383418503
24.04.2012,23.81,22.99,23.81,22.94,124500,22.99,-1.771838727185864,-1.7401517746159916,-1.771838727185864,-1.7557343198867101,-1.7578025589857889
25.04.2012,23.02,22.99,23.48,22.82,266200,22.99,-1.771838727185864,-1.7698022978332244,-1.771838727185864,-1.768002164789353,-1.762352071369614
26.04.2012,22.89,23.12,23.14,22.78,183900,23.12,-1.7669562184485246,-1.774681497856313,-1.7669562184485246,-1.7806417625678337,-1.7638685754975556
27.04.2012,23.32,22.56,23.32,22.47,536000,22.56,-1.7879885637786013,-1.7585426054722497,-1.7879885637786013,-1.7739502108027558,-1.775621482489104
30.04.2012,22.71,22.52,23.09,22.49,4105700,22.52,-1.7894908741593212,-1.7814373132728978,-1.7894908741593212,-1.782500526947022,-1.7748632304251333
01.05.2012,22.32,21.67,22.56,21.55,6878600,21.67,-1.821414969749616,-1.7960749133421645,-1.821414969749616,-1.8022034293664182,-1.8105010774317634
02.05.2012,21.56,21.17,21.61,20.92,11287600,21.17,-1.8401938495086132,-1.8245994673232995,-1.8401938495086132,-1.8375199525709964,-1.8343860174468452
03.05.2012,21.12,20.76,21.15,20.54,11800000,20.76,-1.8555925309109906,-1.841113682786062,-1.8555925309109906,-1.854620584859529,-1.8487928066622916
04.05.2012,20.41,19.95,20.56,19.92,10881000,19.95,-1.8860143161205658,-1.8677616213737016,-1.8860143161205658,-1.8765540045339508,-1.872298620645388
07.05.2012,19.91,19.41,20.21,19.35,12257200,19.41,-1.9062955062602829,-1.886527775308659,-1.9062955062602829,-1.8895653551882692,-1.8939088044685572
08.05.2012,19.24,19.91,20.12,19.02,14601300,19.91,-1.887516626501286,-1.9116744215815018,-1.887516626501286,-1.892911131070808,-1.9064199635240766
09.05.2012,19.72,21.49,21.76,19.67,13990000,21.49,-1.8281753664628553,-1.8936589138039426,-1.8281753664628553,-1.831943659433431,-1.8817767714450235
10.05.2012,21.86,21.48,22.06,20.85,8862000,21.48,-1.8285509440580348,-1.8133397749623252,-1.8285509440580348,-1.8207910731583012,-1.837039899670743
11.05.2012,20.99,21.05,21.27,20.77,4460100,21.05,-1.8447007806507725,-1.8459928828091512,-1.8447007806507725,-1.850159550349477,-1.8400729079266267
14.05.2012,20.63,20.72,20.89,20.35,6398200,20.72,-1.8570948412917105,-1.8595045136423205,-1.8570948412917105,-1.864286159631308,-1.8559962012700146
15.05.2012,20.74,20.95,21.38,20.55,6362800,20.95,-1.8484565566025717,-1.8553759597766297,-1.8484565566025717,-1.8460702687152628,-1.8484136806303062
16.05.2012,20.81,21.23,21.42,20.67,6118600,21.23,-1.8379403839375335,-1.8527486982257355,-1.8379403839375335,-1.8445832572119119,-1.843864168246481
17.05.2012,21.09,20.68,21.17,20.64,5850500,20.68,-1.8585971516724302,-1.8422396520221593,-1.8585971516724302,-1.8538770791078534,-1.8450015463424372
18.05.2012,20.79,20.76,20.96,20.5,7940800,20.76,-1.8555925309109906,-1.853499344383134,-1.8555925309109906,-1.8616838895004444,-1.850309310790233
21.05.2012,20.66,21.29,21.39,20.47,5480100,21.29,-1.835686918366454,-1.8583785444062229,-1.835686918366454,-1.8456985158394248,-1.8514466888861896
22.05.2012,21.09,20.92,21.35,20.72,5415000,20.92,-1.8495832893881117,-1.8422396520221593,-1.8495832893881117,-1.8471855273427755,-1.8419685380865538
23.05.2012,20.74,20.78,20.83,20.43,5268900,20.78,-1.8548413757206308,-1.8553759597766297,-1.8548413757206308,-1.8665166768863342,-1.8529631930141313
24.05.2012,20.78,20.59,20.8,20.34,4210400,20.59,-1.8619773500290495,-1.853874667461833,-1.8619773500290495,-1.867631935513847,-1.8563753273019998
25.05.2012,20.51,20.7,20.78,20.39,3217900,20.7,-1.8578459964820704,-1.8640083905867098,-1.8578459964820704,-1.8683754412655225,-1.854479697142073
29.05.2012,20.69,20.51,20.98,20.41,3979600,20.51,-1.864981970790489,-1.8572525751701254,-1.864981970790489,-1.860940383748769,-1.853721445078102
30.05.2012,20.37,20.14,20.39,19.96,6000600,20.14,-1.878878341812147,-1.869262913688498,-1.878878341812147,-1.8828738034231913,-1.8707821165174463
31.05.2012,20.02,19.86,20.08,19.66,8098000,19.86,-1.8893945144771855,-1.8823992214429683,-1.8893945144771855,-1.894398142574159,-1.8821558974770092
01.06.2012,19.51,19.79,19.96,19.43,5701700,19.79,-1.892023557643445,-1.9015406984566245,-1.892023557643445,-1.898859177084211,-1.8908757962126739
04.06.2012,19.38,19.53,19.97,19.35,4844900,19.53,-1.9017885751181234,-1.9064198984797138,-1.9017885751181234,-1.8984874242083731,-1.8939088044685572
05.06.2012,19.43,19.78,19.91,19.39,4046500,19.78,-1.892399135238625,-1.904543283086218,-1.892399135238625,-1.9007179414633992,-1.8923923003406156
06.06.2012,19.86,20.86,21.17,19.72,8609400,20.86,-1.8518367549591914,-1.8884043907021546,-1.8518367549591914,-1.8538770791078534,-1.8798811412850966
07.06.2012,21.21,21.05,21.66,20.99,7694300,21.05,-1.8447007806507725,-1.8377357750777696,-1.8447007806507725,-1.8356611881918081,-1.8317321352229474
08.06.2012,20.94,21.25,21.4,20.84,4302100,21.25,-1.8371892287471736,-1.847869498202647,-1.8371892287471736,-1.8453267629635872,-1.8374190257027285
11.06.2012,21.46,21.56,21.86,21.32,5999000,21.56,-1.8255463232965954,-1.828352698110291,-1.8255463232965954,-1.8282261306750547,-1.819220976167428
