Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
03.03.2010,152.03,152.9,153.25,150.26,5183045,152.9,-0.879195404147488,-0.8861028661269967,-0.879195404147488,-0.8925427759859056,-0.8778517768857905
04.03.2010,151.9,152.99,153.95,150.91,5847338,152.99,-0.8784868584976117,-0.8871254202141791,-0.8784868584976117,-0.88709224129166,-0.8726907903745817
05.03.2010,153.83,156.16,156.37,152.58,5401716,156.16,-0.8535303061630802,-0.871944424919856,-0.8535303061630802,-0.8682489642058393,-0.8594310250303994
09.03.2010,155.88,153.82,156.16,151.85,5812857,153.82,-0.8719524930598638,-0.8558195335450572,-0.8719524930598638,-0.869884124614113,-0.8652272098814492
10.03.2010,153.32,152.35,155.27,151.61,5514502,152.35,-0.8835254053411765,-0.8759559832618794,-0.8835254053411765,-0.8768140901539395,-0.8671328049009723
11.03.2010,152.03,152.39,154.53,150.98,5400501,152.39,-0.8832104961634538,-0.8861028661269967,-0.8832104961634538,-0.8825760839735707,-0.8721349918272209
12.03.2010,153.19,153.42,155.34,152.92,4613569,153.42,-0.8751015848370918,-0.8769785373490617,-0.8751015848370918,-0.876269036684515,-0.8567314320860749
15.03.2010,152.67,151.13,153.45,150.75,3620953,151.13,-0.8931301352617218,-0.8810687536977913,-0.8931301352617218,-0.8909854803589783,-0.8739611870542638
16.03.2010,151.76,152.46,152.67,150.76,4192163,152.46,-0.8826594051024388,-0.8882266323080679,-0.8826594051024388,-0.8970589333039949,-0.8738817872617838
17.03.2010,153.31,149.69,153.83,146.26,13458801,149.69,-0.9044668656597424,-0.8760346412685857,-0.9044668656597424,-0.8880266186678162,-0.909611693877844
18.03.2010,148.14,149.08,151.41,147.54,5812302,149.08,-0.909269230620015,-0.9167008307357617,-0.909269230620015,-0.906869895753637,-0.8994485204403869
19.03.2010,149.79,146.59,149.96,145.3,5135688,146.59,-0.9288723269332592,-0.9037222596292162,-0.9288723269332592,-0.91816028904886,-0.9172340739559367
22.03.2010,145.62,144.4,146.11,141.9,5432604,144.4,-0.9461136044135822,-0.9365226484257583,-0.9461136044135822,-0.948138229867211,-0.9442300033991823
23.03.2010,145.31,143.58,146.05,142.89,10957147,143.58,-0.9525692425568995,-0.9389610466336548,-0.9525692425568995,-0.9486054185552892,-0.9363694239436492
24.03.2010,143.34,144.78,147.13,143.08,5685405,144.78,-0.9431219672252157,-0.9544566739548029,-0.9431219672252157,-0.9401960221698817,-0.9348608278865264
25.03.2010,144.67,144.65,146.79,143.74,4427005,144.65,-0.9441454220528147,-0.9439951590628604,-0.9441454220528147,-0.9428434247356583,-0.9296204415828376
26.03.2010,144.8,149.73,150.3,143.82,6247330,149.73,-0.9041519564820197,-0.9429726049756778,-0.9041519564820197,-0.9155128864830835,-0.9289852432429967
29.03.2010,149.72,150.75,151.2,148.93,4255528,150.75,-0.8961217724500884,-0.9042728656761604,-0.8961217724500884,-0.9085050561619108,-0.8884119492856482
