Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
11.12.2019,24.95,24.95,24.95,24.95,38289394,24.95,-1.01137485081467,-1.0073217177681715,-1.01137485081467,-1.0486887256950006,-0.9687055665733766
12.12.2019,27.43,26.08,27.43,25.52,505692621,26.08,-0.6654365441069284,-0.2510489506398063,-0.6654365441069284,-0.29905825508954653,-0.7923307627740652
15.12.2019,26.3,26.51,26.58,26.08,98349281,26.51,-0.5337963035013265,-0.5956409775974885,-0.5337963035013265,-0.5559880534825453,-0.619050253778251
16.12.2019,26.58,26.93,27.0,26.58,105973907,26.93,-0.40521746384004237,-0.5102553425991254,-0.40521746384004237,-0.42903450604129856,-0.46433551360341657
17.12.2019,26.97,26.76,27.04,26.58,142672245,26.76,-0.4572612798934189,-0.3913253509942614,-0.4572612798934189,-0.4169436919992754,-0.46433551360341657
18.12.2019,26.58,26.01,26.65,26.01,83822621,26.01,-0.6868663507171415,-0.5102553425991254,-0.6868663507171415,-0.5348291289090041,-0.6407103174027268
19.12.2019,26.01,25.16,26.05,25.16,108120197,25.16,-0.9470854309840275,-0.6840760995600793,-0.9470854309840275,-0.7161913395393553,-0.9037253756999458
22.12.2019,25.23,25.02,25.3,24.74,39709972,25.02,-0.989945044204456,-0.9219360827698074,-0.989945044204456,-0.942894102827295,-1.0336857574468072
23.12.2019,25.02,25.23,25.27,24.98,35098090,25.23,-0.9256556243738133,-0.9859753090185805,-0.9256556243738133,-0.9519622133588129,-0.9594226821628861
24.12.2019,25.27,25.09,25.3,25.02,22184338,25.09,-0.9685152375942417,-0.9097381349128986,-0.9685152375942417,-0.942894102827295,-0.9470455029488997
25.12.2019,25.09,24.95,25.09,24.88,13572736,24.95,-1.01137485081467,-0.9646289002689895,-1.01137485081467,-1.0063708765479185,-0.9903656301978534
26.12.2019,24.91,25.06,25.06,24.84,13863242,25.06,-0.9776994404271909,-1.0195196656250805,-0.9776994404271909,-1.0154389870794363,-1.00274280941184
29.12.2019,25.02,25.09,25.3,25.02,22966690,25.09,-0.9685152375942417,-0.9859753090185805,-0.9685152375942417,-0.942894102827295,-0.9470455029488997
30.12.2019,25.09,24.91,25.13,24.91,13147121,24.91,-1.023620454591935,-0.9646289002689895,-1.023620454591935,-0.9942800625058952,-0.981082745787363
31.12.2019,24.91,24.98,24.98,24.84,16332772,24.98,-1.0021906479817209,-1.0195196656250805,-1.0021906479817209,-1.0396206151634828,-1.00274280941184
01.01.2020,24.98,24.88,24.98,24.84,8517342,24.88,-1.0328046574248844,-0.9981732568754894,-1.0328046574248844,-1.0396206151634828,-1.00274280941184
02.01.2020,24.88,24.91,24.98,24.84,11430744,24.91,-1.023620454591935,-1.0286681265177626,-1.023620454591935,-1.0396206151634828,-1.00274280941184
05.01.2020,24.81,24.49,24.81,24.45,25239125,24.49,-1.1521992942532202,-1.0500145352673536,-1.1521992942532202,-1.091006574842083,-1.123420306748211
06.01.2020,24.45,24.45,24.49,24.13,23401835,24.45,-1.1644448980304851,-1.1597960659795354,-1.1644448980304851,-1.1877330871782705,-1.222437740460105
07.01.2020,24.42,24.35,24.49,24.2,13923075,24.35,-1.1950589074736475,-1.1689445268722165,-1.1950589074736475,-1.1877330871782705,-1.2007776768356282
08.01.2020,24.1,24.24,24.24,24.1,22150479,24.24,-1.2287343178611279,-1.2665281097274896,-1.2287343178611279,-1.2633006749409172,-1.2317206248705945
09.01.2020,24.35,24.81,24.84,24.31,31310879,24.81,-1.0542344640350985,-1.1902909356218077,-1.0542344640350985,-1.081938464310565,-1.1667404339971648
12.01.2020,24.81,24.67,24.91,24.49,24584632,24.67,-1.0970940772555258,-1.0500145352673536,-1.0970940772555258,-1.0607795397370239,-1.1110431275342245
