Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,11.07,11.09,11.13,11.05,1214000,11.09,-0.8742206198809953,-0.8748661052715928,-0.8742206198809953,-0.8757774811585766,-0.872177801879903
05.01.2004,11.04,10.98,11.04,10.91,2398400,10.98,-0.8799745899012935,-0.876435044551129,-0.8799745899012935,-0.8804511315966541,-0.8795549350397839
06.01.2004,10.98,10.97,11.01,10.9,1565400,10.97,-0.8804976780849568,-0.8795729231102012,-0.8804976780849568,-0.8820090150760133,-0.8800818731226326
07.01.2004,10.89,10.95,10.98,10.86,2452000,10.95,-0.881543854452284,-0.8842797409488096,-0.881543854452284,-0.8835668985553723,-0.8821896254540271
08.01.2004,10.9,10.86,10.95,10.82,2527400,10.86,-0.8862516481052551,-0.8837567611889643,-0.8862516481052551,-0.8851247820347314,-0.8842973777854216
09.01.2004,10.93,10.95,11.05,10.87,1828400,10.95,-0.881543854452284,-0.8821878219094281,-0.881543854452284,-0.8799318371035343,-0.8816626873711786
12.01.2004,10.87,10.81,10.89,10.8,1797000,10.81,-0.8888670890235726,-0.8853257004685006,-0.8888670890235726,-0.8882405489934496,-0.8853512539511189
13.01.2004,10.82,10.71,10.84,10.65,1625400,10.71,-0.8940979708602071,-0.8879405992677273,-0.8940979708602071,-0.8908370214590483,-0.8932553251938485
14.01.2004,10.62,10.62,10.68,10.6,2087600,10.62,-0.8988057645131783,-0.898400194464635,-0.8988057645131783,-0.8991457333489636,-0.8958900156080916
15.01.2004,10.5,10.48,10.56,10.43,2226400,10.48,-0.906128999084467,-0.9046759515827794,-0.906128999084467,-0.9053772672664,-0.9048479630165185
16.01.2004,10.53,10.56,10.57,10.48,1809400,10.56,-0.9019442936151593,-0.9031070123032432,-0.9019442936151593,-0.9048579727732804,-0.9022132726022752
20.01.2004,10.73,10.67,10.77,10.67,1419000,10.67,-0.8961903235948612,-0.8926474171063357,-0.8961903235948612,-0.8944720829108862,-0.8922014490281511
21.01.2004,10.84,11.06,11.11,10.83,2562600,11.06,-0.8757898844319858,-0.8868946397480365,-0.8757898844319858,-0.8768160701448161,-0.8837704397025731
22.01.2004,11.32,11.14,11.33,11.14,4410600,11.14,-0.871605178962678,-0.8617916112754583,-0.871605178962678,-0.8653915912961826,-0.8674353591342653
23.01.2004,11.01,10.94,11.05,10.94,3980200,10.94,-0.8820669426359473,-0.8780039838306652,-0.8820669426359473,-0.8799318371035343,-0.8779741207912382
26.01.2004,10.98,11.07,11.1,10.96,1913400,11.07,-0.8752667962483223,-0.8795729231102012,-0.8752667962483223,-0.8773353646379357,-0.8769202446255406
