Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,4.11,4.12,4.17,4.09,704000,4.12,-1.5799613652597537,-1.5815393982941623,-1.5799613652597537,-1.5811569831267893,-1.5760358513806532
05.01.2004,4.16,4.2,4.21,4.16,723600,4.2,-1.5674985338741991,-1.5737427023005657,-1.5674985338741991,-1.5749481164862547,-1.565071344733462
06.01.2004,4.22,4.23,4.25,4.2,604400,4.23,-1.5628249721046157,-1.5643866671082494,-1.5628249721046157,-1.5687392498457204,-1.5588059123636389
07.01.2004,4.21,4.18,4.21,4.13,690000,4.18,-1.5706142417205877,-1.565946006306969,-1.5706142417205877,-1.5749481164862547,-1.56977041901083
08.01.2004,4.26,4.32,4.33,4.26,634400,4.32,-1.5488042867958665,-1.5581493103133721,-1.5488042867958665,-1.5563215165646516,-1.5494077638089039
09.01.2004,4.3,4.25,4.32,4.24,508400,4.25,-1.559709264258227,-1.5519119535184946,-1.559709264258227,-1.5578737332247852,-1.5525404799938154
12.01.2004,4.33,4.32,4.35,4.26,473600,4.32,-1.5488042867958665,-1.5472339359223364,-1.5488042867958665,-1.5532170832443843,-1.5494077638089039
13.01.2004,4.31,4.27,4.31,4.23,524800,4.27,-1.5565935564118385,-1.5503526143197752,-1.5565935564118385,-1.559425949884919,-1.5541068380862713
14.01.2004,4.3,4.31,4.32,4.27,380000,4.31,-1.550362140719061,-1.5519119535184946,-1.550362140719061,-1.5578737332247852,-1.547841405716448
15.01.2004,4.27,4.3,4.31,4.25,458000,4.3,-1.5519199946422553,-1.5565899711146527,-1.5519199946422553,-1.559425949884919,-1.5509741219013595
16.01.2004,4.23,4.23,4.26,4.21,619600,4.23,-1.5628249721046157,-1.5628273279095302,-1.5628249721046157,-1.5671870331855868,-1.5572395542711828
20.01.2004,4.39,4.39,4.42,4.37,575600,4.39,-1.5378993093335058,-1.5378779007300205,-1.5378993093335058,-1.542351566623449,-1.5321778247918894
21.01.2004,4.33,4.38,4.4,4.29,846000,4.38,-1.5394571632567005,-1.5472339359223364,-1.5394571632567005,-1.5454559999437163,-1.5447086895315363
22.01.2004,4.3,4.26,4.33,4.26,737200,4.26,-1.5581514103350327,-1.5519119535184946,-1.5581514103350327,-1.5563215165646516,-1.5494077638089039
23.01.2004,4.25,4.23,4.28,4.2,487200,4.23,-1.5628249721046157,-1.5597086495120913,-1.5628249721046157,-1.5640825998653194,-1.5588059123636389
26.01.2004,4.2,4.18,4.2,4.15,560800,4.18,-1.5706142417205877,-1.567505345505688,-1.5706142417205877,-1.5765003331463885,-1.566637702825918
27.01.2004,4.25,4.22,4.28,4.2,393200,4.22,-1.5643828260278103,-1.5597086495120913,-1.5643828260278103,-1.5640825998653194,-1.5588059123636389
28.01.2004,4.31,4.23,4.33,4.23,526400,4.23,-1.5628249721046157,-1.5503526143197752,-1.5628249721046157,-1.5563215165646516,-1.5541068380862713
29.01.2004,4.19,4.17,4.21,4.13,556400,4.17,-1.5721720956437821,-1.5690646847044076,-1.5721720956437821,-1.5749481164862547,-1.56977041901083
30.01.2004,4.17,4.19,4.21,4.15,356000,4.19,-1.569056387797393,-1.5721833631018463,-1.569056387797393,-1.5749481164862547,-1.566637702825918
02.02.2004,4.19,4.19,4.22,4.15,554000,4.19,-1.569056387797393,-1.5690646847044076,-1.569056387797393,-1.5733958998261215,-1.566637702825918
03.02.2004,4.14,4.17,4.18,4.1,403200,4.17,-1.5721720956437821,-1.5768613806980045,-1.5721720956437821,-1.5796047664666557,-1.5744694932881973
04.02.2004,4.05,4.08,4.12,4.03,784000,4.08,-1.5861927809525314,-1.5908954334864789,-1.5861927809525314,-1.5889180664274571,-1.585433999935388
05.02.2004,4.06,4.07,4.11,4.06,403200,4.07,-1.5877506348757258,-1.5893360942877592,-1.5877506348757258,-1.590470283087591,-1.5807349256580208
06.02.2004,4.05,4.09,4.09,4.01,520400,4.09,-1.584634927029337,-1.5908954334864789,-1.584634927029337,-1.5935747164078582,-1.5885667161202999
09.02.2004,4.12,4.13,4.14,4.1,437600,4.13,-1.5784035113365598,-1.5799800590954434,-1.5784035113365598,-1.5858136331071901,-1.5744694932881973
10.02.2004,4.16,4.19,4.19,4.15,304000,4.19,-1.569056387797393,-1.5737427023005657,-1.569056387797393,-1.5780525498065219,-1.566637702825918
11.02.2004,4.16,4.25,4.25,4.15,385200,4.25,-1.559709264258227,-1.5737427023005657,-1.559709264258227,-1.5687392498457204,-1.566637702825918
12.02.2004,4.17,4.19,4.23,4.16,319200,4.19,-1.569056387797393,-1.5721833631018463,-1.569056387797393,-1.5718436831659877,-1.565071344733462
13.02.2004,4.16,4.13,4.16,4.08,773200,4.13,-1.5784035113365598,-1.5737427023005657,-1.5784035113365598,-1.582709199786923,-1.577602209473109
17.02.2004,4.16,4.19,4.19,4.14,700000,4.19,-1.569056387797393,-1.5737427023005657,-1.569056387797393,-1.5780525498065219,-1.5682040609183738
18.02.2004,4.09,4.09,4.12,4.09,1785600,4.09,-1.584634927029337,-1.5846580766916012,-1.584634927029337,-1.5889180664274571,-1.5760358513806532
19.02.2004,4.12,4.1,4.12,4.09,2532000,4.1,-1.5830770731061428,-1.5799800590954434,-1.5830770731061428,-1.5889180664274571,-1.5760358513806532
20.02.2004,4.03,3.94,4.03,3.9,1669600,3.94,-1.6080027358772526,-1.5940141118839175,-1.6080027358772526,-1.6028880163686596,-1.605796655137314
23.02.2004,4.01,3.97,4.02,3.96,1699600,3.97,-1.6033291741076692,-1.5971327902813561,-1.6033291741076692,-1.6044402330287935,-1.596398506582579
24.02.2004,3.89,3.92,3.95,3.86,678000,3.92,-1.6111184437236412,-1.6158448606659885,-1.6111184437236412,-1.6153057496497287,-1.6120620875071376
25.02.2004,3.9,3.91,3.93,3.88,445600,3.91,-1.6126762976468356,-1.6142855214672691,-1.6126762976468356,-1.618410182969996,-1.608929371322226
26.02.2004,3.87,3.89,3.9,3.81,985600,3.89,-1.6157920054932242,-1.6189635390634274,-1.6157920054932242,-1.6230668329503968,-1.6198938779694165
27.02.2004,3.92,3.93,3.96,3.89,570400,3.93,-1.6095605898004468,-1.6111668430698305,-1.6095605898004468,-1.613753532989595,-1.6073630132297698
01.03.2004,3.98,4.0,4.03,3.98,688800,4.0,-1.5986556123380862,-1.6018108078775142,-1.5986556123380862,-1.6028880163686596,-1.5932657903976672
02.03.2004,3.98,3.95,3.99,3.92,653200,3.95,-1.6064448819540582,-1.6018108078775142,-1.6064448819540582,-1.6090968830091943,-1.6026639389524024
03.03.2004,3.91,3.95,3.96,3.89,1014400,3.95,-1.6064448819540582,-1.61272618226855,-1.6064448819540582,-1.613753532989595,-1.6073630132297698
04.03.2004,3.95,3.98,3.99,3.91,261600,3.98,-1.601771320184475,-1.6064888254736722,-1.601771320184475,-1.6090968830091943,-1.6042302970448583
05.03.2004,3.93,4.01,4.01,3.92,344000,4.01,-1.597097758414892,-1.6096075038711113,-1.597097758414892,-1.605992449688927,-1.6026639389524024
08.03.2004,4.03,3.99,4.04,3.99,418400,3.99,-1.6002134662612806,-1.5940141118839175,-1.6002134662612806,-1.6013357997085265,-1.5916994323052114
09.03.2004,4.04,3.97,4.06,3.94,556800,3.97,-1.6033291741076692,-1.5924547726851979,-1.6033291741076692,-1.5982313663882592,-1.5995312227674907
10.03.2004,3.92,3.87,3.92,3.86,1077600,3.87,-1.6189077133396128,-1.6111668430698305,-1.6189077133396128,-1.6199623996301296,-1.6120620875071376
11.03.2004,3.7,3.71,3.73,3.66,2038000,3.71,-1.6438333761107227,-1.6454723054416565,-1.6438333761107227,-1.6494545161726681,-1.6433892493562543
12.03.2004,3.61,3.65,3.66,3.6,1970400,3.65,-1.653180499649889,-1.659506358230131,-1.653180499649889,-1.6603200327936034,-1.6527873979109893
15.03.2004,3.57,3.54,3.58,3.46,1398400,3.54,-1.6703168928050272,-1.6657437150250083,-1.6703168928050272,-1.6727377660746723,-1.674716411205371
16.03.2004,3.48,3.52,3.55,3.47,1158400,3.52,-1.673432600651416,-1.6797777678134826,-1.673432600651416,-1.6773944160550731,-1.673150053112915
17.03.2004,3.57,3.6,3.62,3.57,696800,3.6,-1.660969769265861,-1.6657437150250083,-1.660969769265861,-1.6665288994341376,-1.6574864721883569
18.03.2004,3.46,3.51,3.51,3.42,932800,3.51,-1.6749904545746102,-1.6828964462109215,-1.6749904545746102,-1.6836032826956076,-1.6809818435751944
19.03.2004,3.42,3.38,3.42,3.33,1589600,3.38,-1.695242555576137,-1.6891338030057987,-1.695242555576137,-1.69757323263681,-1.695079066407297
22.03.2004,3.29,3.29,3.32,3.26,1056000,3.29,-1.7092632408848862,-1.7094052125891506,-1.7092632408848862,-1.7130953992381461,-1.706043573054488
