Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,53.52,52.94,53.67,52.78,4485800,52.94,-1.1469948986723446,-1.1017229112795546,-1.1469948986723446,-1.1337112439771817,-1.1146523505376698
03.01.2014,53.06,53.06,53.23,52.84,3885500,53.06,-1.1373895228194348,-1.13857002557789,-1.1373895228194348,-1.1687260611765118,-1.109816772282888
06.01.2014,53.21,52.12,53.27,52.12,6345100,52.12,-1.212631633667226,-1.1265546622197375,-1.212631633667226,-1.1655428959765721,-1.1678437113402667
07.01.2014,52.29,52.39,52.45,52.06,4524200,52.39,-1.1910195379981794,-1.2002488908164086,-1.1910195379981794,-1.2307977825753227,-1.1726792895950477
08.01.2014,52.48,52.47,52.59,52.0,5067700,52.47,-1.18461595409624,-1.1850294305627485,-1.18461595409624,-1.219656704375536,-1.1775148678498295
09.01.2014,52.98,52.58,53.09,52.14,4960900,52.58,-1.175811026231073,-1.1449782193689055,-1.175811026231073,-1.1798671393762978,-1.1662318519220058
10.01.2014,52.5,52.27,52.64,51.76,6859100,52.27,-1.2006249138510887,-1.1834273821149945,-1.2006249138510887,-1.2156777478756124,-1.1968571808689557
13.01.2014,52.14,51.55,52.4,51.46,3638100,51.55,-1.258257168968546,-1.2122642541745614,-1.258257168968546,-1.2347767390752469,-1.2210350721428629
14.01.2014,51.61,51.51,51.77,51.24,5835700,51.51,-1.2614589609195157,-1.254718538040035,-1.2614589609195157,-1.2849115909742865,-1.2387655257437282
15.01.2014,51.61,51.36,51.89,51.05,5842200,51.36,-1.2734656807356524,-1.254718538040035,-1.2734656807356524,-1.2753620953744695,-1.2540781902172036
16.01.2014,51.28,51.24,51.35,50.96,5865400,51.24,-1.2830710565885617,-1.281152337427971,-1.2830710565885617,-1.3183348255736467,-1.2613315575993753
