Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,49.05,48.81,49.2,48.65,1608500,48.81,-0.605980858258165,-0.591793706241035,-0.605980858258165,-0.6143452640498265,-0.583086597489552
03.01.2014,48.9,49.3,49.39,48.9,1301100,49.3,-0.5782344758276491,-0.6002927350801657,-0.5782344758276491,-0.6036379973849385,-0.5688368500119231
06.01.2014,49.35,49.26,49.75,49.0,2214000,49.26,-0.5804994866383034,-0.5747956485627732,-0.5804994866383034,-0.5833505447567294,-0.5631369510208715
07.01.2014,49.33,49.86,50.08,49.28,2251600,49.86,-0.5465243244784876,-0.5759288524079909,-0.5465243244784876,-0.5647537131808712,-0.547177233845927
08.01.2014,48.84,49.48,49.58,48.68,3602800,49.48,-0.5680419271797044,-0.6036923466158177,-0.5680419271797044,-0.5929307307200504,-0.5813766277922365
09.01.2014,49.72,50.33,50.83,49.48,3823500,50.33,-0.5199104474532987,-0.5538313774262509,-0.5199104474532987,-0.5224881868721024,-0.5357774358638241
10.01.2014,50.48,51.17,51.18,50.08,3432900,51.17,-0.47234522042955646,-0.5107696313079885,-0.47234522042955646,-0.5027642745946768,-0.5015780419175146
13.01.2014,51.31,50.16,51.31,49.94,2660600,50.16,-0.5295367433985799,-0.46374167173146463,-0.5295367433985799,-0.49543825003449005,-0.509557900504987
14.01.2014,50.2,50.34,50.42,49.9,1985400,50.34,-0.5193441947506348,-0.5266344851410322,-0.5193441947506348,-0.5455933412542292,-0.5118378601014075
15.01.2014,50.38,50.13,50.42,49.87,2316000,50.13,-0.5312355015065704,-0.5164356505340754,-0.5312355015065704,-0.5455933412542292,-0.513547829798723
16.01.2014,50.13,50.15,50.32,50.0,1586200,50.15,-0.5301029961012433,-0.5306006985992933,-0.5301029961012433,-0.5512287447620651,-0.5061379611103558
17.01.2014,50.25,49.96,50.34,49.93,3781700,49.96,-0.5408617974518516,-0.5238014755279888,-0.5408617974518516,-0.5501016640604978,-0.5101278904040919
21.01.2014,50.54,50.19,50.6,49.89,2199400,50.19,-0.527837985290589,-0.5073700197723361,-0.527837985290589,-0.5354496149401247,-0.5124078500005125
