Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,59.81,59.62,59.91,59.27,1148400,59.62,-1.0159993060935215,-1.011605741355054,-1.0159993060935215,-1.0259616071076385,-1.0069221206656558
03.01.2014,59.62,59.67,59.9,59.56,1101300,59.67,-1.0149477629974673,-1.0156023071312996,-1.0149477629974673,-1.0261707241790905,-1.0007789586263254
06.01.2014,60.01,59.45,60.18,59.16,1301400,59.45,-1.0195745526201054,-1.007398830011638,-1.0195745526201054,-1.020315446178433,-1.009252285577126
07.01.2014,59.56,60.1,60.5,59.56,1531600,60.1,-1.0059044923714018,-1.0168643805343243,-1.0059044923714018,-1.0136236998919674,-1.0007789586263254
08.01.2014,60.0,60.69,60.92,59.96,2084000,60.69,-0.9934962838379631,-1.0076091755788088,-0.9934962838379631,-1.004840782890981,-0.9923056316755252
09.01.2014,60.96,60.9,61.36,60.66,1610000,60.9,-0.9890798028345357,-0.9874160011304113,-0.9890798028345357,-0.995639631747091,-0.9774773095116248
10.01.2014,60.99,60.86,61.04,60.61,1582600,60.86,-0.989921037311379,-0.9867849644288988,-0.989921037311379,-1.0023313780335568,-0.9785364753804747
13.01.2014,60.93,60.24,61.21,60.04,1806500,60.24,-1.00296017170245,-0.9880470378319237,-1.00296017170245,-0.9987763878188718,-0.9906109662853652
14.01.2014,60.28,60.18,60.54,59.39,2427300,60.18,-1.0042220234177153,-1.0017194996980263,-1.0042220234177153,-1.0127872316061592,-1.0043801225804156
15.01.2014,60.35,60.19,60.35,59.74,1251500,60.19,-1.0040117147985044,-1.0002470807278305,-1.0040117147985044,-1.0167604559637482,-0.9969659614984654
16.01.2014,60.23,60.14,60.3,59.94,1082200,60.14,-1.0050632578945584,-1.0027712275338803,-1.0050632578945584,-1.0178060413210084,-0.9927292980230653
17.01.2014,60.3,60.17,60.52,59.99,1545100,60.17,-1.004432332036926,-1.0012988085636847,-1.004432332036926,-1.0132054657490632,-0.9916701321542152
21.01.2014,60.47,60.16,60.72,59.95,1368000,60.16,-1.0046426406561368,-0.9977229339217809,-1.0046426406561368,-1.0090231243200223,-0.9925174648492952
22.01.2014,60.4,59.96,60.46,59.55,1845400,59.96,-1.0088488130403532,-0.9991953528919766,-1.0088488130403532,-1.0144601681777756,-1.0009907918000955
23.01.2014,59.72,59.41,60.47,59.05,2110900,59.41,-1.0204157870969488,-1.0134988514595915,-1.0204157870969488,-1.0142510511063236,-1.011582450488596
24.01.2014,59.1,57.37,59.57,57.37,3513300,57.37,-1.0633187454159574,-1.0265402766241816,-1.0633187454159574,-1.033071587537008,-1.0471704236819572
27.01.2014,57.19,57.0,57.59,56.85,2836200,57.0,-1.071100164326758,-1.066716279953806,-1.071100164326758,-1.074476767684514,-1.0581857487179975
28.01.2014,56.94,57.77,57.92,56.89,1897300,57.77,-1.0549064006475242,-1.071974919133076,-1.0549064006475242,-1.0675759043265964,-1.0573384160229176
29.01.2014,56.88,57.38,57.94,56.88,1906900,57.38,-1.0631084367967465,-1.073236992536101,-1.0631084367967465,-1.0671576701836925,-1.0575502491966875
30.01.2014,57.71,57.82,58.14,57.71,1437200,57.82,-1.0538548575514701,-1.0557783104609237,-1.0538548575514701,-1.0629753287546513,-1.039968095773777
31.01.2014,56.82,57.35,57.58,56.42,3733500,57.35,-1.063739362654379,-1.0744990659391258,-1.063739362654379,-1.0746858847559662,-1.0672945751901077
03.02.2014,57.27,55.6,57.27,55.54,3542200,55.6,-1.1005433710162735,-1.0650335154164394,-1.1005433710162735,-1.0811685139709797,-1.0859358944818684
04.02.2014,55.78,55.46,56.03,55.33,1865000,55.46,-1.1034876916852252,-1.0963750049248897,-1.1034876916852252,-1.107099030831034,-1.0903843911310387
05.02.2014,55.3,55.21,55.56,54.84,2421400,55.21,-1.1087454071654959,-1.1064715921490886,-1.1087454071654959,-1.1169275331892803,-1.100764216645769
06.02.2014,55.33,55.89,55.97,54.94,1553900,55.89,-1.0944444210591597,-1.105840555447576,-1.0944444210591597,-1.1083537332597464,-1.0986458849080691
07.02.2014,56.2,56.77,56.81,56.05,1551300,56.77,-1.0759372625686068,-1.0875404911037159,-1.0759372625686068,-1.090787899257774,-1.0751324026195983
10.02.2014,56.7,56.62,56.72,56.07,2913600,56.62,-1.0790918918567693,-1.0770232127451753,-1.0790918918567693,-1.0926699529008426,-1.0747087362720582
11.02.2014,56.5,57.64,57.92,56.47,2487800,57.64,-1.057640412697265,-1.0812301240885915,-1.057640412697265,-1.0675759043265964,-1.0662354093212578
12.02.2014,57.85,57.79,58.71,57.65,1965400,57.79,-1.0544857834091026,-1.0528334725205326,-1.0544857834091026,-1.0510556556818844,-1.041239094816397
13.02.2014,57.67,58.12,58.38,57.26,1286200,58.12,-1.0475455989751454,-1.056619692729607,-1.0475455989751454,-1.0579565190398021,-1.0495005885934272
14.02.2014,57.98,58.21,58.52,57.87,1110500,58.21,-1.045652821402248,-1.0500989801473122,-1.045652821402248,-1.0550288800394734,-1.0365787649934568
18.02.2014,58.27,58.64,59.04,58.21,1544800,58.64,-1.0366095507761823,-1.0439989586993585,-1.0366095507761823,-1.0441547923239667,-1.0293764370852765
19.02.2014,58.32,58.31,59.09,58.2,1937400,58.31,-1.0435497352101397,-1.0429472308635046,-1.0435497352101397,-1.0431092069667065,-1.0295882702590464
20.02.2014,58.56,58.55,58.77,57.85,1469800,58.55,-1.03850232834908,-1.0378989372514051,-1.03850232834908,-1.049800953253172,-1.0370024313409967
21.02.2014,58.57,58.56,59.2,58.35,1113100,58.56,-1.038292019729869,-1.0376885916842344,-1.038292019729869,-1.040808919180734,-1.0264107726524965
24.02.2014,58.48,58.71,59.26,58.48,1363100,58.71,-1.0351373904417067,-1.0395817017887716,-1.0351373904417067,-1.0395542167520218,-1.0236569413934864
25.02.2014,58.55,58.83,59.06,58.42,1497200,58.83,-1.0326136870111768,-1.038109282818576,-1.0326136870111768,-1.0437365581810627,-1.0249279404361062
26.02.2014,58.96,58.44,59.22,58.18,1539100,58.44,-1.040815723160399,-1.029485114564573,-1.040815723160399,-1.04039068503783,-1.0300119366065865
27.02.2014,58.22,58.22,58.48,57.91,1401600,58.22,-1.0454425127830371,-1.0450506865352127,-1.0454425127830371,-1.0558653483252818,-1.0357314322983768
28.02.2014,58.36,58.09,58.54,57.76,1681800,58.09,-1.048176524832778,-1.0421058485948214,-1.048176524832778,-1.0546106458965694,-1.038908929904927
03.03.2014,57.45,57.79,57.95,57.33,1389800,57.79,-1.0544857834091026,-1.0612472952073648,-1.0544857834091026,-1.0669485531122402,-1.0480177563770372
04.03.2014,58.24,58.86,59.02,58.19,2309100,58.86,-1.0319827611535444,-1.044629995400871,-1.0319827611535444,-1.044573026466871,-1.0298001034328166
05.03.2014,59.07,58.98,59.2,58.81,1426900,58.98,-1.0294590577230145,-1.027171313325694,-1.0294590577230145,-1.040808919180734,-1.016666446659076
06.03.2014,59.07,58.86,59.46,58.86,1495300,58.86,-1.0319827611535444,-1.027171313325694,-1.0319827611535444,-1.0353718753229806,-1.015607280790226
07.03.2014,59.28,59.02,59.3,58.69,1783400,59.02,-1.028617823246171,-1.022754056415107,-1.028617823246171,-1.0387177484662136,-1.0192084447443162
10.03.2014,58.99,59.16,59.63,58.86,1232100,59.16,-1.0256735025772195,-1.0288540778630604,-1.0256735025772195,-1.0318168851082958,-1.015607280790226
11.03.2014,59.16,58.51,59.47,58.36,1562700,58.51,-1.039343562825923,-1.0252782032211567,-1.039343562825923,-1.0351627582515286,-1.0261989394787265
12.03.2014,58.01,57.94,58.09,57.33,1944500,57.94,-1.0513311541209402,-1.0494679434457996,-1.0513311541209402,-1.0640209141119115,-1.0480177563770372
13.03.2014,58.22,58.03,58.39,57.83,1897100,58.03,-1.0494383765480428,-1.0450506865352127,-1.0494383765480428,-1.0577474019683502,-1.0374260976885368
14.03.2014,57.92,57.85,58.17,57.7,1672800,57.85,-1.0532239316938377,-1.0513610535503368,-1.0532239316938377,-1.062347977540295,-1.0401799289475469
17.03.2014,57.98,58.28,58.37,57.91,1444600,58.28,-1.0441806610677722,-1.0500989801473122,-1.0441806610677722,-1.0581656361112541,-1.0357314322983768
18.03.2014,58.28,58.09,58.58,58.03,1604600,58.09,-1.048176524832778,-1.0437886131321878,-1.048176524832778,-1.0537741776107612,-1.0331894342131367
19.03.2014,58.26,57.25,58.3,57.01,1337700,57.25,-1.0658424488464873,-1.0442093042665295,-1.0658424488464873,-1.0596294556114185,-1.0547964179376774
20.03.2014,57.14,56.91,57.27,56.72,1526300,56.91,-1.0729929418996556,-1.0677680077896599,-1.0729929418996556,-1.0811685139709797,-1.0609395799770076
21.03.2014,56.97,55.49,57.04,55.27,3534800,55.49,-1.1028567658275927,-1.0713438824315638,-1.1028567658275927,-1.0859782066143768,-1.0916553901736588
24.03.2014,55.89,55.06,56.07,54.39,2792900,55.06,-1.1119000364536582,-1.094061203686011,-1.1119000364536582,-1.1062625625452258,-1.1102967094654195
25.03.2014,55.31,55.27,55.91,54.77,1948600,55.27,-1.107483555450231,-1.1062612465819177,-1.107483555450231,-1.1096084356884588,-1.102247048862159
26.03.2014,55.58,55.52,56.15,55.46,2186700,55.52,-1.1022258399699603,-1.100581916268306,-1.1022258399699603,-1.1045896259736094,-1.0876305598720286
27.03.2014,55.48,54.88,55.49,54.55,2184400,54.88,-1.115685591599453,-1.102685371940014,-1.115685591599453,-1.1183913526894447,-1.1069073786850994
28.03.2014,55.0,55.49,55.67,54.96,1672000,55.49,-1.1028567658275927,-1.1127819591642127,-1.1028567658275927,-1.1146272454033077,-1.098222218560529
31.03.2014,55.9,56.15,56.19,55.7,1479300,56.15,-1.0889763969596782,-1.0938508581188402,-1.0889763969596782,-1.1037531576878012,-1.0825465637015483
01.04.2014,56.16,56.42,56.43,55.92,1747300,56.42,-1.0832980642409857,-1.0883818733723991,-1.0832980642409857,-1.098734347972952,-1.0778862338786082
02.04.2014,56.29,56.14,56.82,56.12,1836200,56.14,-1.089186705578889,-1.0856473809991787,-1.089186705578889,-1.090578782186322,-1.073649570403208
03.04.2014,56.34,56.33,56.42,55.97,2173400,56.33,-1.0851908418138834,-1.0845956531633245,-1.0851908418138834,-1.098943465044404,-1.0768270680097582
04.04.2014,56.49,55.69,56.79,55.52,1965800,55.69,-1.0986505934433761,-1.0814404696557625,-1.0986505934433761,-1.0912061334006782,-1.0863595608294085
07.04.2014,55.59,54.94,55.71,54.46,3037900,54.94,-1.1144237398841883,-1.100371570701135,-1.1144237398841883,-1.1137907771174997,-1.1088138772490292
08.04.2014,54.91,54.94,55.2,54.28,1907300,54.94,-1.1144237398841883,-1.1146750692687502,-1.1144237398841883,-1.1244557477615542,-1.1126268743768895
