Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,72961.58,75238.66,76377.21,72961.58,56062,75238.66,-1.073534775694096,-1.1272613244602037,-1.073534775694096,-1.0831812142897825,-1.0954454072006767
03.01.2014,75997.68,76756.7,77136.22,74194.98,43876,76756.7,-1.0370416087252183,-1.054585280321472,-1.0370416087252183,-1.0653726189072634,-1.0652387496184235
06.01.2014,75997.68,75618.16,77041.34,75048.89,31116,75618.16,-1.0644117243484865,-1.054585280321472,-1.0644117243484865,-1.0675987813160506,-1.0443260149207891
07.01.2014,75143.78,77800.38,77895.25,75143.78,36911,77800.38,-1.0119518953434374,-1.0750253429314198,-1.0119518953434374,-1.047563554266226,-1.0420021056148219
08.01.2014,77895.26,76851.59,77990.14,76566.96,27997,76851.59,-1.0347604852939012,-1.0091623338319704,-1.0347604852939012,-1.0453371572281802,-1.0071476294206336
09.01.2014,76566.95,75713.05,76756.71,74764.26,37896,75713.05,-1.0621306009171694,-1.0409584921238313,-1.0621306009171694,-1.0742770339131524,-1.0512967632162624
10.01.2014,75238.66,74005.24,75807.93,72676.94,69623,74005.24,-1.1031857743520717,-1.072754171669642,-1.1031857743520717,-1.096538188742505,-1.1024164004017571
13.01.2014,74384.74,72676.93,74669.38,72297.42,76329,72676.93,-1.1351178964413648,-1.0931947130256403,-1.1351178964413648,-1.1232519030186903,-1.1117110580031977
14.01.2014,73151.32,71823.02,73910.35,71823.02,48299,71823.02,-1.1556456033571207,-1.1227194606826985,-1.1556456033571207,-1.1410609676597274,-1.1233293800049984
15.01.2014,72297.42,72771.81,73056.45,72107.66,33409,72771.81,-1.1328370134066574,-1.1431595232926468,-1.1328370134066574,-1.161095960080293,-1.116358386803918
16.01.2014,72866.71,71633.29,73910.37,71633.29,33778,71633.29,-1.160206648236706,-1.129532256348956,-1.160206648236706,-1.1410604984012098,-1.1279759740888975
17.01.2014,72202.56,72107.68,73435.98,71917.92,31458,72107.68,-1.1488024734597793,-1.1454302158083742,-1.1488024734597793,-1.152191075815886,-1.1210052257934242
20.01.2014,71728.15,69830.58,72582.05,69735.7,45780,69830.58,-1.2035431854995353,-1.1567863114902872,-1.2035431854995353,-1.1722267721242279,-1.1744490171904933
21.01.2014,70304.98,69925.47,70779.38,69830.59,31497,69925.47,-1.2012620620682182,-1.1908531622978757,-1.2012620620682182,-1.2145226847448867,-1.172125107884526
22.01.2014,70210.11,70874.26,71538.41,69640.84,34545,70874.26,-1.1784534721177549,-1.1931240941866281,-1.1784534721177549,-1.1967136201038495,-1.1767721917796392
23.01.2014,70874.24,70589.61,71064.0,70304.97,16294,70589.61,-1.1852963616184866,-1.17722661347326,-1.1852963616184866,-1.2078446667770437,-1.1605072756939394
24.01.2014,70399.85,68312.52,71158.88,67838.13,54005,68312.52,-1.240036833261633,-1.188582230409123,-1.240036833261633,-1.2056185043682566,-1.2209215704808747
27.01.2014,66984.22,66889.34,67743.25,66035.44,38574,66889.34,-1.2742495979890236,-1.2703431989679905,-1.2742495979890236,-1.2857591779382949,-1.2650704593708961
28.01.2014,66794.49,69640.84,70020.36,66699.61,45669,69640.84,-1.2081044707757305,-1.2748848233724703,-1.2081044707757305,-1.2323315147566651,-1.248804563662768
29.01.2014,69166.43,70399.85,71064.0,68027.89,35332,70399.85,-1.1898581276879012,-1.2181069780661817,-1.1898581276879012,-1.2078446667770437,-1.2162742416801546
03.02.2014,70779.36,67838.12,70779.36,67743.25,32387,67838.12,-1.25144124843517,-1.1794977847350379,-1.25144124843517,-1.2145231540034047,-1.223245234881235
04.02.2014,67173.99,68217.66,68217.66,66130.33,32177,68217.66,-1.2423172355031207,-1.2658006170714102,-1.2423172355031207,-1.2746281312651007,-1.2627465500649289
05.02.2014,67458.62,63378.85,67838.14,63378.85,160087,63378.85,-1.3586405874969258,-1.2589873426591027,-1.3586405874969258,-1.2835327809002488,-1.3301318380529448
