Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,79.34,78.15,79.34,78.15,1432000,78.15,-1.3739610533421387,-1.3648218314378204,-1.3739610533421387,-1.3726846627311051,-1.3662691324018867
03.01.2014,78.01,78.15,78.53,77.88,1070000,78.15,-1.3739610533421387,-1.3741434509656116,-1.3739610533421387,-1.3783082998110876,-1.3681815411962934
06.01.2014,78.49,76.99,78.52,76.96,2204100,76.99,-1.38209423316382,-1.3707792574518223,-1.38209423316382,-1.378377727429359,-1.3746978970883463
07.01.2014,77.33,78.54,78.9,77.11,1832000,78.54,-1.3712266221951939,-1.378909391776813,-1.3712266221951939,-1.3757394779350463,-1.37363544775812
08.01.2014,78.34,79.53,79.53,78.19,1875000,79.53,-1.3642853738991039,-1.3718305679248814,-1.3642853738991039,-1.371365537983949,-1.3659858125804931
09.01.2014,78.21,80.2,80.28,78.21,2073300,80.2,-1.3595877614158915,-1.3727417036681995,-1.3595877614158915,-1.3661584666135946,-1.3658441526697964
10.01.2014,79.97,79.33,80.15,78.35,1580700,79.33,-1.3656876462821526,-1.3604063274509721,-1.3656876462821526,-1.3670610256511226,-1.3648525332949188
13.01.2014,79.11,78.34,79.66,78.21,1706200,78.34,-1.3726288945782426,-1.3664338408298444,-1.3726288945782426,-1.3704629789464209,-1.3658441526697964
14.01.2014,78.41,78.78,79.22,77.92,2048400,78.78,-1.3695438953355359,-1.371339956370787,-1.3695438953355359,-1.3735177941503618,-1.3678982213748998
15.01.2014,79.09,76.02,79.25,75.76,5087000,76.02,-1.3888952542216055,-1.3665740155595858,-1.3888952542216055,-1.3733095112955476,-1.383197491730154
16.01.2014,76.0,73.78,76.0,73.64,4882600,73.78,-1.4046007049117488,-1.388231011304604,-1.4046007049117488,-1.3958734872337486,-1.3982134422640144
17.01.2014,73.8,73.72,74.52,73.3,3116000,73.72,-1.4050213866266634,-1.4036502315761379,-1.4050213866266634,-1.406148774737914,-1.40062166074586
21.01.2014,74.01,74.95,75.25,73.76,2230000,74.95,-1.396397411470915,-1.4021783969138553,-1.396397411470915,-1.4010805586041026,-1.3973634827998336
22.01.2014,74.95,74.26,75.39,74.16,1687900,74.26,-1.4012352511924324,-1.395590184616018,-1.4012352511924324,-1.4001085719483033,-1.3945302845858978
23.01.2014,74.5,73.98,74.78,73.53,2490800,73.98,-1.4031984325287001,-1.3987441160351952,-1.4031984325287001,-1.4043436566628578,-1.3989925717728466
24.01.2014,73.58,72.65,73.61,72.34,2296900,72.65,-1.412523543875973,-1.4051921536032914,-1.412523543875973,-1.41246668800061,-1.4074213364593062
27.01.2014,72.39,73.2,73.73,72.31,3625800,73.2,-1.4086672948225896,-1.413532550022894,-1.4086672948225896,-1.4116335565813534,-1.4076338263253514
28.01.2014,73.21,72.7,73.72,72.66,4924700,72.7,-1.412172975780211,-1.407785386103504,-1.412172975780211,-1.411702984199625,-1.4051547778881575
29.01.2014,70.89,73.62,75.67,70.57,6443100,73.62,-1.4057225228181875,-1.4240456547534852,-1.4057225228181875,-1.3981645986367042,-1.4199582385559728
30.01.2014,75.08,75.68,76.78,74.28,3954700,75.68,-1.3912791172727879,-1.3946790488727001,-1.3912791172727879,-1.3904581330085803,-1.393680325121717
31.01.2014,74.8,74.16,75.4,74.1,3311000,74.16,-1.4019363873839568,-1.3966414950890769,-1.4019363873839568,-1.4000391443300317,-1.394955264317988
03.02.2014,74.16,73.83,74.4,73.56,2612200,73.83,-1.4042501368159868,-1.401127086440796,-1.4042501368159868,-1.4069819061571704,-1.3987800819068015
04.02.2014,73.95,73.6,74.22,73.06,2026300,73.6,-1.4058627500564926,-1.402598921103079,-1.4058627500564926,-1.4082316032860556,-1.4023215796742214
05.02.2014,73.48,73.86,74.76,72.94,2203500,73.86,-1.4040397959585293,-1.4058930272519972,-1.4040397959585293,-1.4044825118994007,-1.4031715391384023
06.02.2014,73.88,74.66,74.74,73.0,2062600,74.66,-1.3984307064263355,-1.403089532657173,-1.3984307064263355,-1.4046213671359433,-1.4027465594063118
07.02.2014,74.12,73.02,74.12,72.65,3138000,73.02,-1.4099293399673334,-1.4014074359002784,-1.4099293399673334,-1.4089258794687693,-1.4052256078435057
10.02.2014,73.13,72.95,73.65,72.43,2913200,72.95,-1.4104201353014003,-1.4083460850224687,-1.4104201353014003,-1.4121889775275245,-1.4067838668611705
11.02.2014,72.54,73.89,74.29,72.45,2840300,73.89,-1.4038294551010724,-1.4124812395498345,-1.4038294551010724,-1.4077456099581556,-1.4066422069504738
12.02.2014,73.87,72.65,74.44,72.45,3218200,72.65,-1.412523543875973,-1.4031596200220435,-1.412523543875973,-1.406704195684085,-1.4066422069504738
13.02.2014,72.46,73.57,73.88,72.46,2246200,73.57,-1.4060730909139498,-1.4130419384687996,-1.4060730909139498,-1.4105921423072827,-1.4065713769951256
14.02.2014,73.36,75.71,75.89,73.36,2434300,75.71,-1.3910687764153309,-1.4067340756304445,-1.3910687764153309,-1.396637191034734,-1.4001966810137694
18.02.2014,75.79,75.47,76.92,75.44,3209600,75.47,-1.3927515032749889,-1.3897028459668865,-1.3927515032749889,-1.3894861463527808,-1.3854640503013027
19.02.2014,75.32,75.46,76.41,75.02,3061900,75.46,-1.3928216168941414,-1.3929969521158054,-1.3928216168941414,-1.3930269548846217,-1.3884389084259354
20.02.2014,75.69,75.64,76.07,75.02,2402800,75.64,-1.3915595717493978,-1.3904037196155927,-1.3915595717493978,-1.3953874939058488,-1.3884389084259354
21.02.2014,75.43,76.36,77.17,75.38,2944500,76.36,-1.3865113911704228,-1.3922259911022286,-1.3865113911704228,-1.387750455895996,-1.385889030033393
24.02.2014,75.9,78.41,79.3,75.9,3622300,78.41,-1.3721380992441756,-1.3889318849533099,-1.3721380992441756,-1.3729623732041907,-1.3822058723552764
25.02.2014,79.03,77.34,79.04,77.21,2636900,77.34,-1.379640256493485,-1.3669945397488095,-1.379640256493485,-1.3747674912792467,-1.3729271482046363
26.02.2014,77.27,76.88,78.03,76.74,2506600,76.88,-1.3828654829744969,-1.3793299159660366,-1.3828654829744969,-1.381779680724657,-1.3762561561060107
27.02.2014,76.91,76.99,77.5,76.66,1967700,76.99,-1.38209423316382,-1.3818530611013786,-1.38209423316382,-1.3854593444930403,-1.3768227957487982
