Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,95.05,95.12,96.08,94.62,1393500,95.12,-1.647623698093905,-1.6464995652649872,-1.647623698093905,-1.6480322212920424,-1.6412682649558215
03.01.2014,95.14,94.12,95.31,93.96,1234400,94.12,-1.6556762708934443,-1.6457755052614018,-1.6556762708934443,-1.6541600525319122,-1.646640263160916
06.01.2014,94.62,93.2,94.7,92.46,1850200,93.2,-1.6630846378690205,-1.6499589630598965,-1.6630846378690205,-1.6590145681894715,-1.6588493499906762
07.01.2014,91.31,93.0,93.74,91.11,2561700,93.0,-1.6646951524289284,-1.6765882809695467,-1.6646951524289284,-1.666654461683335,-1.66983752813746
08.01.2014,93.1,91.94,93.1,91.52,2332700,91.94,-1.6732308795964401,-1.662187532009343,-1.6732308795964401,-1.6717477240125778,-1.666500377737326
09.01.2014,92.31,91.56,92.86,91.56,2261100,91.56,-1.676290857260265,-1.6685431698185949,-1.676290857260265,-1.6736576973860435,-1.666174802088532
10.01.2014,89.72,89.68,91.36,87.88,4074500,89.68,-1.6914296941233988,-1.6893800076995598,-1.6914296941233988,-1.6855950309702057,-1.6961277617775434
13.01.2014,89.66,88.82,90.41,88.77,1863600,88.82,-1.6983549067310026,-1.689862714368617,-1.6983549067310026,-1.693155342240175,-1.688883703591886
14.01.2014,88.83,89.53,89.64,88.33,1005900,89.53,-1.6926375800433298,-1.696540156623907,-1.6926375800433298,-1.699283173480045,-1.6924650357286155
15.01.2014,89.53,89.84,90.32,89.28,1440500,89.84,-1.6901412824754727,-1.6909085788182407,-1.6901412824754727,-1.6938715822552248,-1.6847326140697674
16.01.2014,89.46,88.94,89.81,87.99,1130900,88.94,-1.697388597995058,-1.6914717365988075,-1.697388597995058,-1.69793027567384,-1.695232428743361
17.01.2014,88.79,89.32,89.88,88.64,1597200,89.32,-1.694328620331233,-1.6968619610699447,-1.694328620331233,-1.697373200106579,-1.6899418244504651
21.01.2014,89.43,88.48,89.66,88.12,1407600,88.48,-1.7010927814828458,-1.6917130899333357,-1.7010927814828458,-1.6991240090322561,-1.694174307884782
22.01.2014,88.92,88.92,89.25,88.39,1346100,88.92,-1.6975496494510487,-1.695816096620321,-1.6975496494510487,-1.702386880211927,-1.6919766722554253
23.01.2014,88.71,88.97,90.5,88.61,1744300,88.97,-1.6971470208110717,-1.6975055699620212,-1.6971470208110717,-1.6924391022251253,-1.6901860061870602
24.01.2014,88.15,88.79,89.09,87.79,1729400,88.79,-1.6985964839149887,-1.702010832206554,-1.6985964839149887,-1.7036601957942377,-1.696860306987329
27.01.2014,88.91,88.83,89.51,87.73,1585200,88.83,-1.6982743810030074,-1.6958965477318306,-1.6982743810030074,-1.7003177423906723,-1.6973486704605194
28.01.2014,88.79,88.81,89.48,88.52,1192600,88.81,-1.698435432458998,-1.6968619610699447,-1.698435432458998,-1.7005564890623555,-1.690918551396846
29.01.2014,88.04,89.28,91.19,87.13,2280400,89.28,-1.6946507232432146,-1.7028957944331584,-1.6946507232432146,-1.6869479287764106,-1.7022323051924235
30.01.2014,89.65,90.8,91.5,89.54,1083600,90.8,-1.6824108125879147,-1.6899431654801265,-1.6824108125879147,-1.6844808798356838,-1.6826163723526089
31.01.2014,89.75,90.0,90.35,89.53,1410100,90.0,-1.6888528708275463,-1.6891386543650313,-1.6888528708275463,-1.6936328355835415,-1.6826977662648075
03.02.2014,89.9,89.13,90.02,88.68,2038800,89.13,-1.6958586091631456,-1.6879318876923886,-1.6958586091631456,-1.6962590489720573,-1.6896162488016715
04.02.2014,89.23,90.15,90.26,88.16,2046400,90.15,-1.6876449849076154,-1.693322112163526,-1.6876449849076154,-1.6943490755985913,-1.6938487322359883
05.02.2014,84.17,88.53,89.61,84.17,4642900,88.53,-1.700690152842869,-1.7340303745873415,-1.700690152842869,-1.699521920151728,-1.72632490320315
06.02.2014,88.4,89.41,89.54,87.59,2161400,89.41,-1.6936038887792746,-1.699999554418816,-1.6936038887792746,-1.7000789957189888,-1.6984881852312972
07.02.2014,88.8,88.77,89.32,87.46,2251600,88.77,-1.6987575353709798,-1.6967815099584354,-1.6987575353709798,-1.7018298046446663,-1.6995463060898766
10.02.2014,88.59,89.23,89.23,87.6,1662500,89.23,-1.6950533518831914,-1.6984709833001352,-1.6950533518831914,-1.7025460446597158,-1.6984067913190988
11.02.2014,89.29,89.97,90.22,87.76,1382500,89.97,-1.6890944480115324,-1.6928394054944689,-1.6890944480115324,-1.694667404494169,-1.6971044887239244
12.02.2014,90.0,88.42,90.86,88.23,1417200,88.42,-1.7015759358508182,-1.6871273765772934,-1.7015759358508182,-1.6895741421649262,-1.6932789748505994
13.02.2014,88.35,89.74,89.93,88.13,1510500,89.74,-1.6909465397554264,-1.7004018099763638,-1.6909465397554264,-1.6969752889871068,-1.6940929139725835
14.02.2014,89.59,92.71,93.98,89.59,2759000,92.71,-1.667030398540795,-1.6904258721491836,-1.667030398540795,-1.664744488309869,-1.682209402791617
18.02.2014,93.17,94.63,96.16,92.82,2349000,94.63,-1.6515694587656793,-1.6616243742287764,-1.6515694587656793,-1.647395563500887,-1.6559191691515336
19.02.2014,94.28,94.33,95.21,94.12,1607600,94.33,-1.6539852306055411,-1.65269430085122,-1.6539852306055411,-1.6549558747708564,-1.6453379605657414
20.02.2014,93.34,94.57,95.2,93.34,1846600,94.57,-1.6520526131336517,-1.6602567053331145,-1.6520526131336517,-1.6550354569947507,-1.6516866857172168
21.02.2014,95.01,95.1,96.3,94.69,3455300,95.1,-1.6477847495498958,-1.6468213697110254,-1.6477847495498958,-1.6462814123663652,-1.6406985075704328
24.02.2014,95.14,105.16,106.15,95.0,6568800,105.16,-1.5667758671865304,-1.6457755052614018,-1.5667758671865304,-1.5678929218303672,-1.6381752962922822
25.02.2014,104.86,102.2,105.55,101.67,3411100,102.2,-1.5906114826731668,-1.567577024874151,-1.5906114826731668,-1.572667855264032,-1.5838855568559491
26.02.2014,100.02,102.03,104.26,100.02,2554700,102.03,-1.5919804200490884,-1.6065153628447575,-1.5919804200490884,-1.5829339621464116,-1.5973155523686853
