Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
02.01.2014,67.75,67.83,67.75,68.27,67.74,5919600
03.01.2014,68.36,67.94,68.36,68.64,67.92,5637600
06.01.2014,68.72,68.42,68.72,69.03,68.38,7443500
07.01.2014,70.18,69.25,70.18,70.42,69.21,11063300
08.01.2014,70.08,70.09,70.08,70.41,69.87,9096700
09.01.2014,70.5,70.66,70.5,70.99,70.03,7944700
10.01.2014,70.51,70.44,70.51,70.69,70.07,6697400
13.01.2014,70.33,70.24,70.33,70.7,70.01,9589200
14.01.2014,70.5,70.41,70.5,70.63,70.2,7567300
15.01.2014,70.56,70.44,70.56,70.91,70.34,7390700
16.01.2014,70.44,70.41,70.44,70.77,70.13,8401100
17.01.2014,70.75,70.5,70.75,70.83,70.24,13714400
21.01.2014,69.98,70.65,69.98,70.78,68.93,16368400
22.01.2014,70.2,69.95,70.2,70.37,69.62,8875500
23.01.2014,69.02,69.77,69.02,69.81,68.78,9322300
24.01.2014,67.44,68.56,67.44,68.93,67.44,10604200
27.01.2014,66.94,67.21,66.94,67.55,66.87,8685200
28.01.2014,67.06,67.42,67.06,67.43,66.83,8254400
29.01.2014,66.17,66.59,66.17,66.77,65.89,11160100
30.01.2014,66.61,66.7,66.61,66.82,66.25,6874900
31.01.2014,65.85,66.25,65.85,66.49,65.61,12193800
03.02.2014,64.59,66.05,64.59,66.08,64.46,13944600
04.02.2014,64.47,64.7,64.47,64.96,64.07,11436400
05.02.2014,64.96,64.37,64.96,65.25,64.36,10667300
06.02.2014,66.05,65.22,66.05,66.06,65.16,10037900
07.02.2014,67.01,66.18,67.01,67.01,65.95,9435100
10.02.2014,67.78,67.16,67.78,67.79,66.84,8080200
11.02.2014,69.19,67.8,69.19,69.19,67.69,11556300
12.02.2014,68.79,69.18,68.79,69.21,68.44,7696100
13.02.2014,68.89,68.47,68.89,68.93,68.26,5926000
14.02.2014,69.04,68.92,69.04,69.18,68.49,5485100
18.02.2014,68.6,69.05,68.6,69.11,68.54,6926500
19.02.2014,68.2,68.58,68.2,69.03,68.15,7693400
20.02.2014,68.76,68.24,68.76,69.02,67.96,8160100
21.02.2014,68.61,68.86,68.61,69.15,68.55,7381500
24.02.2014,68.3,68.55,68.3,69.01,68.29,8406700
25.02.2014,68.3,68.66,68.3,68.87,67.96,6383400
26.02.2014,68.3,68.3,68.3,68.62,68.04,6334100
27.02.2014,68.49,68.34,68.49,68.53,68.03,7040300
28.02.2014,69.06,68.53,69.06,69.45,68.26,9643700
03.03.2014,68.64,68.31,68.64,68.95,68.09,7506700
04.03.2014,69.97,69.32,69.97,70.06,69.15,8796300
05.03.2014,69.41,69.92,69.41,69.94,69.25,6842500
06.03.2014,69.63,69.86,69.63,70.2,69.58,7718300
07.03.2014,69.95,69.99,69.95,70.07,69.48,6792000
10.03.2014,70.05,69.84,70.05,70.08,69.56,4878200
11.03.2014,70.08,70.25,70.08,70.28,69.78,5837200
