Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,26.68,26.31,26.69,26.17,4260200,26.31,-0.9535002010898953,-0.9504438319412016,-0.9535002010898953,-0.9535975255412763,-0.9512929202793756
05.01.2004,26.51,25.76,26.56,25.66,4160400,25.76,-0.9579910210297186,-0.951832449981841,-0.9579910210297186,-0.9546498410287487,-0.9554965423726888
06.01.2004,25.69,25.56,25.83,25.3,2991800,25.56,-0.9596240464623816,-0.9585304899425722,-0.9596240464623816,-0.9605589972276326,-0.9584638050267922
07.01.2004,25.6,25.71,25.89,25.52,2839300,25.71,-0.9583992773878843,-0.9592656406699694,-0.9583992773878843,-0.9600733131564915,-0.9566504778492846
08.01.2004,25.86,25.5,25.89,25.42,2847500,25.5,-0.9601139540921806,-0.9571418719019328,-0.9601139540921806,-0.9600733131564915,-0.9574747174754243
09.01.2004,25.53,25.33,25.57,25.07,3514000,25.33,-0.9615020257099441,-0.9598374245690562,-0.9615020257099441,-0.9626636282025777,-0.9603595561669137
12.01.2004,25.26,25.13,25.33,25.03,1653100,25.13,-0.9631350511426072,-0.9620428767512481,-0.9631350511426072,-0.9646063644871422,-0.9606892520173697
13.01.2004,25.13,24.66,25.23,24.53,3008400,24.66,-0.9669726609093654,-0.9631047611352666,-0.9669726609093654,-0.9654158379390441,-0.9648104501480688
14.01.2004,24.68,25.31,25.44,24.68,2876900,25.31,-0.9616653282532105,-0.966780514772253,-0.9616653282532105,-0.9637159436900501,-0.9635740907088589
15.01.2004,25.59,25.72,25.84,25.44,2558800,25.72,-0.9583176261162513,-0.9593473240841247,-0.9583176261162513,-0.9604780498824425,-0.9573098695501964
16.01.2004,25.95,25.67,25.95,25.44,1888700,25.67,-0.958725882474417,-0.9564067211745354,-0.958725882474417,-0.9595876290853503,-0.9573098695501964
20.01.2004,25.74,25.77,25.85,25.56,2451900,25.77,-0.9579093697580855,-0.9581220728717958,-0.9579093697580855,-0.9603971025372523,-0.9563207819988285
21.01.2004,25.77,26.34,26.42,25.71,2126100,26.34,-0.9532552472749958,-0.9578770226293302,-0.9532552472749958,-0.9557831038614114,-0.9550844225596188
22.01.2004,26.55,26.83,27.31,26.37,3419800,26.83,-0.9492543349649714,-0.9515057163252201,-0.9492543349649714,-0.9485787901394845,-0.949644441027096
23.01.2004,25.57,24.98,25.85,24.87,6789400,24.98,-0.9643598202171044,-0.9595106909124352,-0.9643598202171044,-0.9603971025372523,-0.9620080354191933
26.01.2004,24.98,25.06,25.32,24.98,2511000,25.06,-0.9637066100440392,-0.9643300123475953,-0.9637066100440392,-0.9646873118323324,-0.9611013718304395
27.01.2004,25.07,24.73,25.14,24.72,2301400,24.73,-0.9664011020079333,-0.9635948616201981,-0.9664011020079333,-0.9661443640457558,-0.9632443948584031
28.01.2004,24.72,24.72,24.93,24.59,2508000,24.72,-0.9664827532795665,-0.9664537811156321,-0.9664827532795665,-0.9678442582947497,-0.9643159063723848
29.01.2004,24.72,25.02,25.1,24.63,2219700,25.02,-0.9640332151305719,-0.9664537811156321,-0.9640332151305719,-0.9664681534265166,-0.963986210521929
30.01.2004,24.93,25.04,25.1,24.85,1812400,25.04,-0.9638699125873056,-0.9647384294183716,-0.9638699125873056,-0.9664681534265166,-0.9621728833444214
02.02.2004,24.93,24.98,25.15,24.85,2248000,24.98,-0.9643598202171044,-0.9647384294183716,-0.9643598202171044,-0.9660634167005655,-0.9621728833444214
03.02.2004,25.04,25.27,25.34,24.89,1434600,25.27,-0.9619919333397431,-0.9638399118626639,-0.9619919333397431,-0.964525417141952,-0.9618431874939654
04.02.2004,25.1,24.81,25.17,24.79,1759800,24.81,-0.965747891834868,-0.9633498113777323,-0.965747891834868,-0.9659015220101852,-0.9626674271201052
05.02.2004,24.92,24.71,24.98,24.64,1373300,24.71,-0.9665644045511995,-0.9648201128325269,-0.9665644045511995,-0.9674395215687988,-0.963903786559315
06.02.2004,24.72,25.09,25.09,24.59,1146400,25.09,-0.9634616562291398,-0.9664537811156321,-0.9634616562291398,-0.9665491007717066,-0.9643159063723848
09.02.2004,24.89,24.55,24.9,24.32,2788700,24.55,-0.96787082489733,-0.9650651630749927,-0.96787082489733,-0.9680871003303203,-0.9665413533629624
10.02.2004,24.38,24.26,24.57,24.12,2476700,24.26,-0.9702387117746913,-0.9692310171969108,-0.9702387117746913,-0.9707583627215967,-0.9681898326152419
11.02.2004,24.26,24.29,24.4,24.13,2257600,24.29,-0.969993757959792,-0.9702112181667738,-0.969993757959792,-0.9721344675898298,-0.9681074086526281
12.02.2004,24.29,24.4,24.51,24.1,1943900,24.4,-0.9690955939718272,-0.9699661679243081,-0.9690955939718272,-0.9712440467927377,-0.96835468054047
13.02.2004,24.46,24.39,24.63,24.12,1196600,24.39,-0.9691772452434604,-0.9685775498836686,-0.9691772452434604,-0.9702726786504555,-0.9681898326152419
17.02.2004,24.46,24.38,24.65,24.32,1122100,24.38,-0.9692588965150936,-0.9685775498836686,-0.9692588965150936,-0.970110783960075,-0.9665413533629624
18.02.2004,24.51,24.49,24.8,24.42,1275700,24.49,-0.968360732527129,-0.9681691328128924,-0.968360732527129,-0.9688965737822223,-0.9657171137368226
19.02.2004,24.69,24.23,24.71,24.22,2124500,24.23,-0.9704836655895909,-0.9666988313580979,-0.9704836655895909,-0.9696250998889339,-0.9673655929891022
20.02.2004,24.35,24.04,24.37,23.88,1330200,24.04,-0.9720350397506208,-0.9694760674393765,-0.9720350397506208,-0.9723773096254004,-0.9701680077179776
23.02.2004,24.08,23.61,24.09,23.44,2014900,23.61,-0.9755460444308462,-0.9716815196215685,-0.9755460444308462,-0.9746438352907257,-0.9737946620729928
24.02.2004,23.61,23.74,23.95,23.61,1034600,23.74,-0.9744845778996153,-0.9755206400868656,-0.9744845778996153,-0.9757770981233883,-0.9723934547085551
25.02.2004,23.74,23.64,23.98,23.57,953200,23.64,-0.9753010906159468,-0.9744587557028472,-0.9753010906159468,-0.9755342560878177,-0.9727231505590112
