Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
11.11.2016,159803.69,147929.72,159803.69,184541.09,140508.5,8226950
14.11.2016,173656.64,163266.92,173656.64,175635.62,163266.92,3008779
15.11.2016,164256.42,177119.88,164256.42,179593.61,160793.19,2620473
16.11.2016,168214.41,166730.16,168214.41,171182.89,161782.67,1678607
17.11.2016,165740.66,174646.12,165740.66,175635.62,165740.66,921943
18.11.2016,166235.41,165245.92,166235.41,166235.41,155845.7,1326381
21.11.2016,167224.91,165740.66,167224.91,170193.39,162277.42,648940
22.11.2016,169203.91,168214.41,169203.91,172172.39,167224.91,574272
23.11.2016,164256.42,170688.14,164256.42,170688.14,163266.92,463958
24.11.2016,153866.7,163266.92,153866.7,163761.67,153866.7,846788
25.11.2016,160298.44,152382.45,160298.44,161782.67,151392.97,709825
28.11.2016,159803.69,159308.94,159803.69,163761.67,157329.94,415697
29.11.2016,155350.95,155845.7,155350.95,157329.94,149413.97,903408
30.11.2016,152382.45,154361.45,152382.45,156835.19,148919.22,2470875
01.12.2016,142982.25,151887.72,142982.25,152382.45,142487.5,861332
02.12.2016,140508.5,142982.25,140508.5,144466.48,137540.02,710005
05.12.2016,140508.5,141992.75,140508.5,144961.23,140508.5,411278
06.12.2016,144466.48,141003.25,144466.48,146445.48,141003.25,414002
07.12.2016,148919.22,144961.23,148919.22,150403.47,144961.23,349342
08.12.2016,148919.22,150898.22,148919.22,152877.2,145455.98,363582
09.12.2016,143476.98,148919.22,143476.98,148919.22,142982.25,291304
12.12.2016,141498.0,143476.98,141498.0,146445.48,141003.25,318133
13.12.2016,143971.73,141992.75,143971.73,143971.73,139519.0,243242
14.12.2016,141992.75,145455.98,141992.75,145455.98,141003.25,187910
15.12.2016,141003.25,141003.25,141003.25,142487.5,139519.0,204507
16.12.2016,142982.25,141498.0,142982.25,142982.25,140013.75,234979
19.12.2016,148424.47,142487.5,148424.47,149413.97,141498.0,357983
20.12.2016,149908.72,149908.72,149908.72,151887.72,148424.47,269042
21.12.2016,146445.48,150898.22,146445.48,151392.97,146445.48,148704
22.12.2016,142487.5,146445.48,142487.5,147434.98,142487.5,156887
23.12.2016,142487.5,142487.5,142487.5,144961.23,142487.5,87431
26.12.2016,142487.5,143476.98,142487.5,143971.73,142487.5,63657
27.12.2016,143971.73,142487.5,143971.73,145455.98,142487.5,108924
28.12.2016,150403.47,145950.73,150403.47,153371.95,145455.98,320140
29.12.2016,149413.97,149413.97,149413.97,150898.22,147929.72,127214
02.01.2017,154856.2,149908.72,154856.2,156340.45,149413.97,244816
03.01.2017,156340.45,154856.2,156340.45,156340.45,152877.2,165392
04.01.2017,152877.2,157824.69,152877.2,159308.94,152877.2,182055
05.01.2017,155845.7,154361.45,155845.7,156340.45,154361.45,97027
06.01.2017,155845.7,156340.45,155845.7,156835.19,153866.7,89040
09.01.2017,152877.2,155845.7,152877.2,156340.45,151392.97,126205
10.01.2017,149413.97,152382.45,149413.97,152382.45,148919.22,158364
11.01.2017,157329.94,149908.72,157329.94,159308.94,149908.72,356770
12.01.2017,155350.95,155845.7,155350.95,156835.19,152877.2,153352
13.01.2017,151392.97,153371.95,151392.97,156340.45,150898.22,187096
16.01.2017,149908.72,152382.45,149908.72,152877.2,149413.97,126866
17.01.2017,150403.47,149413.97,150403.47,152382.45,148424.47,112126
18.01.2017,151392.97,151392.97,151392.97,151887.72,150403.47,74453
19.01.2017,150898.22,153866.7,150898.22,154856.2,150403.47,97421
20.01.2017,153371.95,150898.22,153371.95,153866.7,150403.47,80600
23.01.2017,153866.7,154361.45,153866.7,154856.2,152382.45,90456
24.01.2017,153371.95,153866.7,153371.95,154361.45,150898.22,113472
25.01.2017,153371.95,154361.45,153371.95,154856.2,150898.22,142179
26.01.2017,159308.94,154856.2,159308.94,162277.42,153866.7,411515
31.01.2017,159308.94,160298.44,159308.94,162277.42,158814.19,231417
01.02.2017,161287.92,160298.44,161287.92,161287.92,157824.69,139683
02.02.2017,169698.66,161782.67,169698.66,171182.89,160793.19,604184
03.02.2017,171182.89,171677.64,171182.89,174646.12,169698.66,403660
06.02.2017,166730.16,170193.39,166730.16,170688.14,165245.92,254197
