Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,50.83,49.33,50.95,49.28,2684652,49.33,-1.3511821385038718,-1.2460760711022492,-1.3511821385038718,-1.270260487774115,-1.322399653662566
03.01.2014,49.64,50.01,50.24,49.51,1567554,50.01,-1.3030989516891818,-1.3303364657754448,-1.3030989516891818,-1.3201119458330324,-1.3059909886658545
06.01.2014,49.58,50.08,50.32,49.51,1852358,50.08,-1.2981492118700226,-1.3345848890362784,-1.2981492118700226,-1.314494880136253,-1.3059909886658545
07.01.2014,49.97,50.02,50.02,49.53,2931340,50.02,-1.3023918460007302,-1.3069701378408611,-1.3023918460007302,-1.3355588764991757,-1.3045641482313575
08.01.2014,50.0,49.4,50.17,49.12,2964035,49.4,-1.3462323986847125,-1.3048459262104444,-1.3462323986847125,-1.3250268783177144,-1.3338143771385396
09.01.2014,49.26,48.82,49.65,48.7,2772061,48.82,-1.3872445286148891,-1.3572431464273897,-1.3872445286148891,-1.3615378053467808,-1.3637780262629693
10.01.2014,49.02,48.53,49.2,48.38,3374203,48.53,-1.4077505935799774,-1.374236839470723,-1.4077505935799774,-1.3931337998911646,-1.386607473214916
13.01.2014,48.1,48.0,48.31,47.67,2849350,48.0,-1.4452271950678974,-1.4393793294701684,-1.4452271950678974,-1.4556236557678357,-1.4372603086395481
14.01.2014,47.68,48.62,48.66,47.6,2331394,48.62,-1.4013866423839156,-1.4691182922960024,-1.4013866423839156,-1.4310489933444261,-1.4422542501602864
15.01.2014,48.77,49.13,49.22,48.5,2200257,49.13,-1.3653242522728979,-1.391938603057529,-1.3653242522728979,-1.3917295334669701,-1.3780464306079363
16.01.2014,49.01,49.2,49.45,48.69,2665163,49.2,-1.3603745124537385,-1.3749449100141955,-1.3603745124537385,-1.375580469588729,-1.364491446480218
17.01.2014,49.47,49.52,49.91,49.33,3123819,49.52,-1.3377471304232962,-1.3423736650144729,-1.3377471304232962,-1.3432823418322477,-1.3188325525763245
20.01.2014,49.43,49.5,49.66,49.33,1315833,49.5,-1.339161341800199,-1.3452059471883617,-1.339161341800199,-1.3608356721346835,-1.3188325525763245
21.01.2014,49.64,49.61,49.82,49.54,1581658,49.61,-1.3313831792272346,-1.3303364657754448,-1.3313831792272346,-1.3496015407411244,-1.3038507280141094
22.01.2014,49.93,49.77,50.01,49.41,1740179,49.77,-1.3200694882120132,-1.30980242001475,-1.3200694882120132,-1.3362610097112735,-1.313125190838338
23.01.2014,49.78,49.3,50.0,49.05,2561744,49.3,-1.3533034555692258,-1.3204234781668334,-1.3533034555692258,-1.3369631429233708,-1.338808318659278
24.01.2014,48.53,47.24,48.66,47.1,5054638,47.24,-1.498967227390198,-1.4089322961008626,-1.498967227390198,-1.4310489933444261,-1.4779252610227032
27.01.2014,47.45,47.37,47.64,47.21,2958169,47.37,-1.489774853440331,-1.4854039147958635,-1.489774853440331,-1.5026665809783633,-1.4700776386329715
28.01.2014,47.74,47.35,47.79,47.22,2853493,47.35,-1.4911890648172335,-1.464869869035169,-1.4911890648172335,-1.492134582796902,-1.4693642184157234
29.01.2014,47.58,46.82,47.85,46.28,3863679,46.82,-1.5286656663051537,-1.4761989977307248,-1.5286656663051537,-1.4879217835243173,-1.5364257188370667
30.01.2014,47.01,48.12,48.49,46.58,3648857,48.12,-1.4367419268064818,-1.5165590187086422,-1.4367419268064818,-1.442985257950082,-1.515023112319617
31.01.2014,48.59,47.74,48.65,47.08,3984374,47.74,-1.4636119429676318,-1.404683872840029,-1.4636119429676318,-1.4317511265565235,-1.4793521014572002
03.02.2014,47.62,47.46,48.23,47.3,3180299,47.46,-1.483410902244269,-1.473366715556836,-1.483410902244269,-1.4612407214646155,-1.4636568566777368
04.02.2014,47.45,46.92,47.47,46.9,2827691,46.92,-1.5215946094206403,-1.4854039147958635,-1.5215946094206403,-1.5146028455840197,-1.4921936653676702
05.02.2014,46.82,46.76,47.11,46.61,2802997,46.76,-1.5329083004358617,-1.5300123590346144,-1.5329083004358617,-1.539879641219527,-1.5128828516678718
06.02.2014,46.43,45.51,46.99,44.78,7143788,45.51,-1.621296511492277,-1.5576271102300316,-1.621296511492277,-1.548305239764696,-1.6434387514243172
07.02.2014,46.14,46.38,46.44,45.62,4386047,46.38,-1.5597783165970116,-1.5781611559907263,-1.5597783165970116,-1.5869225664300546,-1.5835114531754573
10.02.2014,46.95,47.21,47.45,46.8,3319254,47.21,-1.501088544455552,-1.5208074419694753,-1.501088544455552,-1.5160071120082144,-1.4993278675401536
11.02.2014,46.39,47.24,47.43,46.27,3910523,47.24,-1.498967227390198,-1.5604593924039205,-1.498967227390198,-1.5174113784324093,-1.537139139054315
12.02.2014,46.92,47.6,47.88,46.89,2830751,47.6,-1.4735114226059502,-1.522931653599892,-1.4735114226059502,-1.485815383888025,-1.4929070855849182
13.02.2014,47.63,47.43,47.7,47.07,2819143,47.43,-1.485532219309623,-1.4726586450133634,-1.485532219309623,-1.4984537817057786,-1.4800655216744483
14.02.2014,47.54,48.02,48.15,47.45,2861687,48.02,-1.4438129836909948,-1.4790312799046137,-1.4438129836909948,-1.4668577871613948,-1.4529555534190113
17.02.2014,48.18,47.88,48.29,47.77,1324703,47.88,-1.4537124633293133,-1.4337147651223907,-1.4537124633293133,-1.4570279221920308,-1.4301261064670645
18.02.2014,48.01,48.01,48.36,47.84,2141126,48.01,-1.4445200893794463,-1.445751964361419,-1.4445200893794463,-1.4521129897073486,-1.4251321649463262
19.02.2014,48.11,48.19,48.37,47.88,1933583,48.19,-1.4317921869873225,-1.4386712589266966,-1.4317921869873225,-1.4514108564952515,-1.4222784840773328
20.02.2014,47.81,48.25,48.29,47.71,2265417,48.25,-1.4275495528566144,-1.4599133752308633,-1.4275495528566144,-1.4570279221920308,-1.4344066277705547
21.02.2014,48.53,48.53,48.55,48.18,2575659,48.53,-1.4077505935799774,-1.4089322961008626,-1.4077505935799774,-1.4387724586774977,-1.400875877559883
24.02.2014,48.32,48.95,48.95,48.19,1818469,48.95,-1.3780521546650217,-1.4238017775137795,-1.3780521546650217,-1.4106871301936004,-1.4001624573426348
25.02.2014,48.72,48.87,48.96,48.35,1824561,48.87,-1.3837090001726327,-1.3954789557748903,-1.3837090001726327,-1.409984996981503,-1.3887477338666612
26.02.2014,48.89,49.42,49.56,48.89,2443025,49.42,-1.3448181873078096,-1.3834417565358623,-1.3448181873078096,-1.3678570042556573,-1.350223042135251
27.02.2014,49.41,49.4,49.7,48.93,2263115,49.4,-1.3462323986847125,-1.3466220882753064,-1.3462323986847125,-1.3580271392862933,-1.3473693612662578
28.02.2014,49.6,49.4,49.67,48.97,2569615,49.4,-1.3462323986847125,-1.3331687479493337,-1.3462323986847125,-1.3601335389225857,-1.3445156803972647
03.03.2014,48.58,48.13,49.01,47.94,3446101,48.13,-1.43603482111803,-1.4053919433835016,-1.43603482111803,-1.4064743309210161,-1.4179979627738433
04.03.2014,48.92,49.71,49.83,48.82,3585344,49.71,-1.3243121223427212,-1.3813175449054453,-1.3243121223427212,-1.348899407529027,-1.3552169836559895
05.03.2014,49.64,49.35,49.71,49.35,2911717,49.35,-1.349767927126969,-1.3303364657754448,-1.349767927126969,-1.357325006074196,-1.3174057121418277
06.03.2014,49.42,49.58,49.75,49.26,2279686,49.58,-1.3335044962925886,-1.3459140177318338,-1.3335044962925886,-1.3545164732258064,-1.3238264940970628
07.03.2014,49.58,49.12,49.84,49.03,2645266,49.12,-1.3660313579613497,-1.3345848890362784,-1.3660313579613497,-1.3481972743169293,-1.3402351590937744
10.03.2014,49.05,49.24,49.82,49.02,3374650,49.24,-1.3575460896999334,-1.3721126278403066,-1.3575460896999334,-1.3496015407411244,-1.3409485793110225
11.03.2014,49.27,48.55,49.27,48.37,2376069,48.55,-1.406336382203075,-1.3565350758839172,-1.406336382203075,-1.3882188674064826,-1.3873208934321648
12.03.2014,48.19,47.74,48.34,47.6,2986719,47.74,-1.4636119429676318,-1.4330066945789186,-1.4636119429676318,-1.4535172561315433,-1.4422542501602864
13.03.2014,47.76,47.05,47.87,47.04,2331249,47.05,-1.5124022354707733,-1.4634537279482247,-1.5124022354707733,-1.4865175171001228,-1.4822057823261934
14.03.2014,46.66,46.76,47.15,46.59,4251374,46.76,-1.5329083004358617,-1.5413414877301703,-1.5329083004358617,-1.5370711083711373,-1.5143096921023682
17.03.2014,46.74,47.44,47.52,46.59,2138903,47.44,-1.4848251136211716,-1.5356769233823921,-1.4848251136211716,-1.5110921795235324,-1.5143096921023682
18.03.2014,47.12,47.64,47.85,46.95,2861545,47.64,-1.4706829998521451,-1.5087702427304477,-1.4706829998521451,-1.4879217835243173,-1.4886265642814283
19.03.2014,47.71,48.0,48.15,47.55,2126238,48.0,-1.4452271950678974,-1.4669940806655857,-1.4452271950678974,-1.4668577871613948,-1.4458213512465283
20.03.2014,47.61,48.03,48.08,47.31,3069377,48.03,-1.4431058780025434,-1.474074786100308,-1.4431058780025434,-1.4717727196460768,-1.462943436460488
21.03.2014,48.23,48.86,49.17,48.07,4958609,48.86,-1.3844161058610838,-1.4301744124050297,-1.3844161058610838,-1.395240199527457,-1.4087234999496148
24.03.2014,48.67,48.25,48.97,48.09,2695267,48.25,-1.4275495528566144,-1.3990193084922513,-1.4275495528566144,-1.4092828637694057,-1.4072966595151177
25.03.2014,48.48,49.33,49.45,48.39,2921456,49.33,-1.3511821385038718,-1.412472648818224,-1.3511821385038718,-1.375580469588729,-1.385894052997668
26.03.2014,49.43,49.59,49.81,49.28,2481322,49.59,-1.332797390604137,-1.3452059471883617,-1.332797390604137,-1.3503036739532217,-1.322399653662566
27.03.2014,49.34,49.26,49.53,48.97,2480209,49.26,-1.356131878323031,-1.3515785820796116,-1.356131878323031,-1.3699634038919497,-1.3445156803972647
28.03.2014,49.51,49.71,49.74,49.4,2103960,49.71,-1.3243121223427212,-1.339541382840584,-1.3243121223427212,-1.3552186064379037,-1.3138386110555862
31.03.2014,50.08,49.63,50.31,49.63,2337079,49.63,-1.3299689678503317,-1.2991813618626666,-1.3299689678503317,-1.3151970133483504,-1.297429946058874
01.04.2014,49.95,49.23,50.12,49.1,2431493,49.23,-1.358253195388385,-1.3083862789278053,-1.358253195388385,-1.3285375443782017,-1.335241217573036
02.04.2014,49.28,49.18,49.38,49.01,2120117,49.18,-1.3617887238306414,-1.355827005340445,-1.3617887238306414,-1.380495402073411,-1.3416619995282713
03.04.2014,49.39,49.7,49.85,49.09,2407779,49.7,-1.3250192280311726,-1.3480382293622506,-1.3250192280311726,-1.347495141104832,-1.3359546377902842
04.04.2014,49.84,49.74,49.91,49.41,1944118,49.74,-1.3221908052773672,-1.3161750549059998,-1.3221908052773672,-1.3432823418322477,-1.313125190838338
07.04.2014,49.8,49.2,49.8,49.18,2952337,49.2,-1.3603745124537385,-1.3190073370798894,-1.3603745124537385,-1.3510058071653195,-1.3295338558350493
08.04.2014,49.47,49.92,50.08,49.32,3493589,49.92,-1.3094629028852434,-1.3423736650144729,-1.3094629028852434,-1.3313460772265915,-1.3195459727935728
09.04.2014,50.1,50.13,50.19,49.84,2799955,50.13,-1.2946136834277657,-1.297765220775722,-1.2946136834277657,-1.3236226118935197,-1.282448121496659
10.04.2014,50.0,49.53,50.29,49.51,2650422,49.53,-1.337040024734845,-1.3048459262104444,-1.337040024734845,-1.3166012797725455,-1.3059909886658545
11.04.2014,49.02,48.78,49.42,48.44,3579968,48.78,-1.3900729513686942,-1.374236839470723,-1.3900729513686942,-1.3776868692250213,-1.3823269519114265
14.04.2014,48.66,49.2,49.23,48.48,3021354,49.2,-1.3603745124537385,-1.3997273790357239,-1.3603745124537385,-1.3910274002548728,-1.3794732710424331
15.04.2014,49.05,48.54,49.3,48.53,2638998,48.54,-1.4070434878915261,-1.3721126278403066,-1.4070434878915261,-1.3861124677701908,-1.3759061699561912
16.04.2014,49.03,49.03,49.43,48.78,2422303,49.03,-1.3723953091574113,-1.3735287689272508,-1.3723953091574113,-1.3769847360129241,-1.3580706645249827
17.04.2014,49.2,49.5,49.54,48.67,2145432,49.5,-1.339161341800199,-1.3614915696882228,-1.339161341800199,-1.3692612706798524,-1.3659182869147144
22.04.2014,50.17,50.58,50.69,50.17,2694610,50.58,-1.2627939274474564,-1.2928087269714164,-1.2627939274474564,-1.2885159512886484,-1.258905254327464
23.04.2014,50.61,50.53,50.95,50.53,2358024,50.53,-1.266329455889713,-1.2616536230586382,-1.266329455889713,-1.270260487774115,-1.233222126506524
24.04.2014,50.76,50.23,50.77,50.02,2743662,50.23,-1.2875426265432528,-1.2510325649065548,-1.2875426265432528,-1.2828988855918686,-1.269606557586189
25.04.2014,50.13,49.94,50.36,49.81,2008399,49.94,-1.3080486915083411,-1.2956410091453052,-1.3080486915083411,-1.3116863472878635,-1.284588382148404
28.04.2014,50.33,50.59,51.15,50.33,3198300,50.59,-1.2620868217590047,-1.2814795982758609,-1.2620868217590047,-1.2562178235321668,-1.247490530851491
29.04.2014,49.68,50.61,50.93,49.35,4032984,50.61,-1.2606726103821024,-1.327504183601556,-1.2606726103821024,-1.2716647541983102,-1.3174057121418277
30.04.2014,51.15,51.16,51.62,50.98,3308748,51.16,-1.2217817975172798,-1.2234178137111378,-1.2217817975172798,-1.223217562563588,-1.2011182167303491
01.05.2014,51.16,51.16,51.16,51.16,0,51.16,-1.2217817975172798,-1.2227097431676657,-1.2217817975172798,-1.2555156903200695,-1.1882766528198792
02.05.2014,51.47,50.91,51.51,50.76,2088035,50.91,-1.239459439728563,-1.2007595563200262,-1.239459439728563,-1.2309410278966595,-1.2168134615098125
05.05.2014,51.04,51.45,51.65,50.36,2102263,51.45,-1.201275732552191,-1.2312065896893323,-1.201275732552191,-1.2211111629272955,-1.2453502701997459
06.05.2014,51.77,51.14,51.78,50.95,2097052,51.14,-1.2231960088941822,-1.179517440015859,-1.2231960088941822,-1.2119834311700288,-1.2032584773820938
07.05.2014,51.24,51.52,51.63,51.04,2890614,51.52,-1.1963259927330316,-1.2170451788198875,-1.1963259927330316,-1.22251542935149,-1.196837695426859
08.05.2014,51.7,51.85,52.0,51.4,2996713,51.85,-1.1729915050141382,-1.1844739338201646,-1.1729915050141382,-1.1965365005038855,-1.171154567605919
09.05.2014,51.56,51.4,51.79,51.25,2376119,51.4,-1.204811260994448,-1.194386921428776,-1.204811260994448,-1.2112812979579315,-1.1818558708646438
12.05.2014,51.74,52.27,52.3,51.48,2976035,52.27,-1.1432930660991825,-1.1816416516462758,-1.1432930660991825,-1.1754725041409628,-1.1654472058679324
13.05.2014,52.27,52.21,52.34,51.93,2170776,52.21,-1.1475357002298907,-1.1441139128422473,-1.1475357002298907,-1.1726639712925726,-1.133343296091757
14.05.2014,52.35,52.57,52.93,52.25,2013144,52.57,-1.122079895445643,-1.1384493484944695,-1.122079895445643,-1.1312381117788248,-1.1105138491398103
15.05.2014,52.44,52.21,52.64,51.74,3709718,52.21,-1.1475357002298907,-1.1320767136032197,-1.1475357002298907,-1.1515999749296502,-1.1468982802194752
16.05.2014,52.27,52.54,52.68,52.1,2930537,52.54,-1.124201212510997,-1.1441139128422473,-1.124201212510997,-1.1487914420812604,-1.1212151523985352
19.05.2014,52.44,52.57,52.59,52.06,2310386,52.57,-1.122079895445643,-1.1320767136032197,-1.122079895445643,-1.155110640990137,-1.1240688332675284
