Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
02.01.2014,80.65,81.39,80.65,81.82,80.64,1021700
03.01.2014,80.84,80.74,80.84,81.4,80.54,855400
06.01.2014,80.59,81.22,80.59,81.26,80.54,1185500
07.01.2014,82.66,80.74,82.66,82.86,80.74,1468000
08.01.2014,82.25,82.57,82.25,82.66,82.09,1421600
09.01.2014,84.25,82.29,84.25,84.68,82.29,1980900
10.01.2014,83.47,84.59,83.47,84.8,83.07,1055800
13.01.2014,83.07,83.21,83.07,84.04,83.02,959600
14.01.2014,83.73,83.02,83.73,84.06,82.86,867100
15.01.2014,84.08,83.87,84.08,84.23,83.59,1298200
16.01.2014,83.1,83.74,83.1,83.89,82.89,1537800
17.01.2014,83.7,83.35,83.7,83.86,82.53,996800
21.01.2014,84.33,84.03,84.33,84.72,83.61,1207300
22.01.2014,83.89,84.53,83.89,84.66,83.54,968200
23.01.2014,83.78,83.01,83.78,83.85,82.93,1122800
24.01.2014,81.12,83.66,81.12,83.68,80.93,1566500
27.01.2014,81.4,80.98,81.4,82.1,80.59,1310400
28.01.2014,80.41,81.36,80.41,81.85,80.37,1535000
29.01.2014,80.35,79.98,80.35,81.8,79.3,1425600
30.01.2014,82.01,81.04,82.01,82.38,81.02,984100
31.01.2014,80.75,81.12,80.75,81.52,80.45,1421300
03.02.2014,79.08,80.9,79.08,81.08,79.01,1367700
04.02.2014,79.48,79.3,79.48,79.54,78.29,1090100
05.02.2014,79.59,78.81,79.59,80.21,78.7,1493600
06.02.2014,79.88,80.01,79.88,80.06,79.23,1552000
07.02.2014,72.48,74.95,72.48,75.72,71.23,8994700
10.02.2014,71.8,72.47,71.8,72.48,71.38,4078200
11.02.2014,72.25,71.76,72.25,72.74,71.45,4185700
12.02.2014,71.05,72.41,71.05,72.63,70.81,3877600
13.02.2014,71.24,70.83,71.24,71.52,70.52,4297700
14.02.2014,72.71,71.1,72.71,73.08,71.05,4840900
18.02.2014,72.6,72.85,72.6,73.6,72.57,3107900
19.02.2014,71.52,72.51,71.52,72.83,71.45,2027500
20.02.2014,72.14,71.82,72.14,72.59,71.56,3099400
21.02.2014,72.36,71.74,72.36,73.24,71.74,2497000
24.02.2014,74.09,72.14,74.09,74.5,72.06,3548400
25.02.2014,73.13,73.92,73.13,74.07,72.84,2112300
26.02.2014,73.0,73.01,73.0,73.51,72.44,1380300
27.02.2014,72.79,73.17,72.79,73.43,72.5,1256500
28.02.2014,74.47,72.87,74.47,74.89,72.65,2567900
03.03.2014,73.55,73.7,73.55,74.23,73.14,1578900
04.03.2014,74.58,74.11,74.58,74.76,74.0,1654500
05.03.2014,74.6,74.67,74.6,74.85,73.88,1401200
06.03.2014,73.98,74.85,73.98,75.11,73.93,1454600
07.03.2014,73.96,74.22,73.96,74.4,73.62,1477000
10.03.2014,74.57,73.76,74.57,74.62,73.55,1441700
11.03.2014,74.85,74.59,74.85,75.33,74.56,1823800
12.03.2014,74.23,74.02,74.23,74.66,73.86,2654900
13.03.2014,72.72,74.54,72.72,74.68,72.71,2587000
14.03.2014,71.66,72.75,71.66,72.99,71.53,2504600
17.03.2014,72.81,72.01,72.81,72.95,71.73,2099100
18.03.2014,72.73,72.71,72.73,72.94,72.39,2101700
19.03.2014,75.15,72.92,75.15,75.77,72.76,3518600
20.03.2014,77.5,75.18,77.5,78.47,75.03,4128800
21.03.2014,76.8,78.22,76.8,78.98,76.76,3232400
24.03.2014,75.66,77.0,75.66,77.53,75.41,1887300
25.03.2014,75.18,76.4,75.18,76.41,74.98,1285700
26.03.2014,74.89,75.27,74.89,75.7,74.67,1682500
27.03.2014,72.54,74.99,72.54,74.99,71.88,3324800
28.03.2014,74.34,73.08,74.34,74.47,72.91,2532600
31.03.2014,78.38,75.06,78.38,78.9,75.01,5921700
01.04.2014,77.74,78.57,77.74,79.32,77.7,2669500
02.04.2014,77.22,77.64,77.22,77.8,76.97,1439000
03.04.2014,77.72,77.12,77.72,77.89,77.05,2189900
04.04.2014,76.57,78.02,76.57,78.39,76.52,1610500
07.04.2014,75.7,76.26,75.7,76.98,75.51,2375400
08.04.2014,76.12,75.63,76.12,76.68,75.22,1847900
09.04.2014,76.37,76.31,76.37,76.98,76.05,1660400
10.04.2014,74.04,76.37,74.04,76.76,73.74,2102900
11.04.2014,72.18,73.66,72.18,73.94,72.04,2109900
14.04.2014,72.41,72.82,72.41,72.94,71.57,1681200
15.04.2014,72.39,72.76,72.39,72.81,71.4,1270500
16.04.2014,71.87,72.91,71.87,72.91,71.56,1639000
17.04.2014,70.81,68.79,70.81,71.28,68.78,2859800
21.04.2014,71.43,71.24,71.43,71.87,70.84,1321800
22.04.2014,72.34,71.43,72.34,72.68,71.29,1637300
23.04.2014,72.42,72.22,72.42,72.69,71.62,834900
24.04.2014,74.4,73.13,74.4,74.58,72.77,2207000
25.04.2014,73.91,74.19,73.91,74.61,73.22,1505500
28.04.2014,72.79,73.97,72.79,74.01,72.7,2091100
29.04.2014,72.88,73.16,72.88,73.16,72.83,1725000
30.04.2014,74.93,73.34,74.93,75.12,73.06,3213400
01.05.2014,76.81,77.67,76.81,78.12,76.48,2381100
02.05.2014,77.38,77.19,77.38,78.39,76.9,2185900
05.05.2014,78.43,76.97,78.43,78.59,76.76,2322000
06.05.2014,78.51,78.43,78.51,79.01,77.95,1691400
07.05.2014,79.92,78.63,79.92,79.94,78.44,2124900
08.05.2014,80.13,79.93,80.13,80.36,79.76,2281400
09.05.2014,80.96,80.06,80.96,81.11,79.88,2451600
12.05.2014,82.87,81.12,82.87,82.94,81.1,2829500
13.05.2014,82.75,82.85,82.75,83.28,82.42,2486800
14.05.2014,82.74,82.75,82.74,82.9,82.24,1500800
15.05.2014,81.87,82.49,81.87,82.75,81.57,1771700
16.05.2014,81.9,81.7,81.9,81.99,81.16,1358000
19.05.2014,82.81,82.02,82.81,82.93,81.93,1661200
20.05.2014,82.74,82.84,82.74,83.01,82.03,1636300
21.05.2014,83.48,82.88,83.48,83.68,82.88,1011600
22.05.2014,83.1,83.43,83.1,83.57,82.85,1372200
23.05.2014,83.54,83.31,83.54,83.83,82.94,1449600
27.05.2014,83.43,83.59,83.43,83.83,83.27,1503700
28.05.2014,83.75,83.84,83.75,84.19,83.31,1668100
29.05.2014,84.34,84.12,84.34,84.43,83.46,1210200
30.05.2014,84.04,84.03,84.04,84.5,83.59,2560900
02.06.2014,84.67,84.37,84.67,84.76,83.91,1326900
03.06.2014,84.62,84.62,84.62,84.8,84.36,1520500
04.06.2014,84.63,84.5,84.63,84.98,84.39,1159600
05.06.2014,84.52,84.66,84.52,85.19,84.38,1129800
06.06.2014,84.56,84.72,84.56,85.19,84.39,1263500
09.06.2014,84.1,84.26,84.1,84.73,83.77,1498500
10.06.2014,84.1,84.08,84.1,84.31,83.46,1051000
11.06.2014,85.62,83.96,85.62,85.78,83.94,1837500
12.06.2014,84.94,85.2,84.94,85.57,84.34,1360200
13.06.2014,85.2,84.67,85.2,85.22,84.14,1253800
16.06.2014,84.91,85.06,84.91,85.51,84.24,1655200
17.06.2014,84.25,84.7,84.25,84.94,83.83,1303300
18.06.2014,84.79,84.18,84.79,84.82,83.8,922900
19.06.2014,85.53,84.99,85.53,85.94,84.51,1119000
20.06.2014,85.99,85.79,85.99,86.1,85.35,1988900
23.06.2014,85.62,86.1,85.62,86.11,85.44,820700
24.06.2014,84.51,85.63,84.51,85.91,84.5,1324500
25.06.2014,86.23,84.7,86.23,86.23,84.58,1442400
26.06.2014,85.51,85.88,85.51,86.0,84.94,1010800
27.06.2014,86.05,85.73,86.05,86.28,85.25,1136800
30.06.2014,86.09,86.24,86.09,87.25,85.82,1530700
01.07.2014,86.7,86.12,86.7,87.35,86.12,1100900
02.07.2014,86.91,86.39,86.91,87.0,85.42,857600
03.07.2014,87.68,87.31,87.68,88.22,87.18,663300
07.07.2014,86.52,86.87,86.52,87.42,86.15,874800
08.07.2014,86.05,86.38,86.05,86.44,85.71,925500
09.07.2014,86.61,86.14,86.61,86.67,86.09,1262700
10.07.2014,86.4,85.81,86.4,86.99,85.73,1250900
11.07.2014,87.4,86.25,87.4,87.63,86.08,1221000
14.07.2014,88.2,87.67,88.2,89.09,87.66,1910100
15.07.2014,88.04,87.88,88.04,88.86,87.64,2113100
16.07.2014,87.96,88.26,87.96,88.52,87.78,2599300
17.07.2014,88.45,89.14,88.45,89.74,87.67,3045400
18.07.2014,90.17,88.63,90.17,90.23,88.18,1781000
21.07.2014,89.43,89.65,89.43,89.83,88.82,2327400
22.07.2014,90.23,89.94,90.23,90.92,89.78,1672200
23.07.2014,90.62,90.47,90.62,91.06,89.96,1164600
24.07.2014,90.57,90.53,90.57,91.03,90.34,1038700
25.07.2014,89.64,89.2,89.64,90.15,88.37,764800
28.07.2014,90.68,89.67,90.68,90.76,89.43,976200
29.07.2014,88.58,90.43,88.58,90.46,87.64,3099600
30.07.2014,87.53,89.2,87.53,89.2,86.32,3324200
31.07.2014,84.29,84.31,84.29,85.79,81.75,4402800
01.08.2014,84.96,84.46,84.96,85.91,84.25,1577200
04.08.2014,85.94,85.26,85.94,86.2,84.47,1502400
