Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,21.64,21.22,21.84,21.17,2254300,21.22,-0.9292619012759195,-0.8998192465444121,-0.9292619012759195,-0.9044210775098647,-0.9145807361208151
05.01.2004,21.26,20.94,21.26,20.32,7222600,20.94,-0.9489468165417483,-0.9265325264971629,-0.9489468165417483,-0.9448768681500274,-0.9748649674974339
06.01.2004,20.85,20.81,21.06,20.7,3198100,20.81,-0.9580862414865976,-0.9553547496040783,-0.9580862414865976,-0.9588271407845664,-0.947914369940828
07.01.2004,20.81,20.46,20.85,20.38,5364500,20.46,-0.9826923855688837,-0.9581666738096313,-0.9826923855688837,-0.973474927050832,-0.9706096099884962
08.01.2004,20.56,20.48,20.69,20.34,3007000,20.48,-0.9812863201927532,-0.9757412000943357,-0.9812863201927532,-0.9846351451584632,-0.9734465149944547
09.01.2004,20.38,20.12,20.41,20.04,3327200,20.12,-1.0065954969631048,-0.988394859019323,-1.0065954969631048,-1.0041655268468177,-0.9947233025391437
12.01.2004,20.34,20.45,20.48,20.12,3743500,20.45,-0.9833954182569492,-0.9912067832248757,-0.9833954182569492,-0.999282931424729,-0.9890494925272264
13.01.2004,20.56,20.63,21.22,20.35,3506000,20.63,-0.9707408298717735,-0.9757412000943357,-0.9707408298717735,-0.9476669226769353,-0.972737288742965
14.01.2004,20.63,20.6,20.83,20.55,3151400,20.6,-0.9728499279359692,-0.9708203327346184,-0.9728499279359692,-0.9748699543142861,-0.9585527637131723
15.01.2004,20.6,20.67,20.82,20.39,2313000,20.67,-0.967928699119512,-0.9729292758887829,-0.967928699119512,-0.975567467946013,-0.9699003837370065
16.01.2004,20.7,20.61,20.78,20.57,2544400,20.61,-0.972146895247904,-0.9658994653749011,-0.972146895247904,-0.9783575224729207,-0.9571343112101931
20.01.2004,20.57,20.41,20.59,20.33,2777300,20.41,-0.9862075490092104,-0.9750382190429474,-0.9862075490092104,-0.9916102814757327,-0.9741557412459444
21.01.2004,20.35,20.65,20.7,20.35,2385300,20.65,-0.9693347644956428,-0.9905038021734873,-0.9693347644956428,-0.9839376315267364,-0.972737288742965
22.01.2004,20.68,20.58,20.76,20.47,2084400,20.58,-0.9742559933121001,-0.9673054274776774,-0.9742559933121001,-0.9797525497363746,-0.9642265737250895
23.01.2004,20.58,20.71,20.8,20.47,2334500,20.71,-0.9651165683672507,-0.9743352379915594,-0.9651165683672507,-0.9769624952094669,-0.9642265737250895
26.01.2004,20.63,20.76,20.82,20.5,2667800,20.76,-0.961601404926924,-0.9708203327346184,-0.961601404926924,-0.975567467946013,-0.9620988949706205
27.01.2004,20.64,20.54,20.66,20.42,2742100,20.54,-0.9770681240643613,-0.9701173516832302,-0.9770681240643613,-0.9867276860536441,-0.9677727049825374
28.01.2004,20.58,20.45,20.89,20.43,3692400,20.45,-0.9833954182569492,-0.9743352379915594,-0.9833954182569492,-0.9706848725239243,-0.967063478731048
29.01.2004,20.29,20.53,20.59,20.27,2637500,20.53,-0.9777711567524265,-0.9947216884818165,-0.9777711567524265,-0.9916102814757327,-0.9784110987548821
30.01.2004,20.53,20.53,20.71,20.42,1803700,20.53,-0.9777711567524265,-0.9778501432485001,-0.9777711567524265,-0.9832401178950093,-0.9677727049825374
02.02.2004,20.5,20.61,20.81,20.41,2543800,20.61,-0.972146895247904,-0.9799590864026647,-0.972146895247904,-0.97626498157774,-0.9684819312340273
03.02.2004,20.56,20.5,20.59,20.35,2790600,20.5,-0.9798802548166226,-0.9757412000943357,-0.9798802548166226,-0.9916102814757327,-0.972737288742965
04.02.2004,20.5,20.5,20.73,20.44,2702800,20.5,-0.9798802548166226,-0.9799590864026647,-0.9798802548166226,-0.9818450906315555,-0.9663542524795582
05.02.2004,20.48,20.05,20.57,20.01,4703000,20.05,-1.011516725779562,-0.981365048505441,-1.011516725779562,-0.9930053087391866,-0.9968509812936124
06.02.2004,19.99,20.37,20.38,19.98,3945100,20.37,-0.9890196797614716,-1.015811120023462,-0.9890196797614716,-1.0062580677419986,-0.9989786600480813
09.02.2004,20.78,20.27,20.8,20.22,5369200,20.27,-0.996050006642125,-0.9602756169637956,-0.996050006642125,-0.9769624952094669,-0.9819572300123303
10.02.2004,20.38,20.65,20.79,20.34,4501400,20.65,-0.9693347644956428,-0.988394859019323,-0.9693347644956428,-0.9776600088411939,-0.9734465149944547
11.02.2004,20.54,20.72,20.82,20.53,2962600,20.72,-0.9644135356791855,-0.9771471621971121,-0.9644135356791855,-0.975567467946013,-0.9599712162161516
12.02.2004,20.73,20.78,20.94,20.69,2184500,20.78,-0.9601953395507934,-0.9637905222207366,-0.9601953395507934,-0.9671973043652896,-0.9486235961923175
13.02.2004,20.73,20.48,20.89,20.36,2178000,20.48,-0.9812863201927532,-0.9637905222207366,-0.9812863201927532,-0.9706848725239243,-0.9720280624914754
17.02.2004,20.53,20.77,20.83,20.53,2056800,20.77,-0.9608983722388589,-0.9778501432485001,-0.9608983722388589,-0.9748699543142861,-0.9599712162161516
18.02.2004,20.77,20.63,20.85,20.52,2269800,20.63,-0.9707408298717735,-0.9609785980151839,-0.9707408298717735,-0.973474927050832,-0.9606804424676413
19.02.2004,20.88,20.79,20.91,20.71,3095500,20.79,-0.9594923068627282,-0.953245806449914,-0.9594923068627282,-0.9692898452604705,-0.9472051436893383
20.02.2004,20.92,20.94,21.1,20.83,4319100,20.94,-0.9489468165417483,-0.9504338822443611,-0.9489468165417483,-0.9560370862576585,-0.9386944286714628
23.02.2004,20.94,21.03,21.23,20.88,3134700,21.03,-0.9426195223491604,-0.9490279201415847,-0.9426195223491604,-0.9469694090452082,-0.9351482974140146
24.02.2004,21.02,21.1,21.18,20.87,3266300,21.1,-0.9376982935327031,-0.9434040717304794,-0.9376982935327031,-0.950456977203843,-0.9358575236655041
25.02.2004,21.09,21.13,21.19,21.03,2405700,21.13,-0.9355891954685073,-0.9384832043707622,-0.9355891954685073,-0.9497594635721159,-0.9245099036416701
26.02.2004,21.09,21.12,21.16,20.96,2307500,21.12,-0.9362922281565725,-0.9384832043707622,-0.9362922281565725,-0.9518520044672969,-0.9294744874020975
27.02.2004,21.16,21.21,21.41,21.12,3756700,21.21,-0.9299649339639846,-0.9335623370110449,-0.9299649339639846,-0.9344141636741232,-0.9181268673782633
01.03.2004,21.15,21.27,21.3,21.1,2168900,21.27,-0.9257467378355928,-0.9342653180624331,-0.9257467378355928,-0.9420868136231196,-0.9195453198812426
02.03.2004,21.12,20.97,21.24,20.89,3336500,20.97,-0.9468377184775525,-0.9363742612165975,-0.9468377184775525,-0.9462718954134814,-0.9344390711625249
03.03.2004,20.83,20.89,20.98,20.83,2764200,20.89,-0.9524619799820749,-0.956760711706855,-0.9524619799820749,-0.9644072498383819,-0.9386944286714628
04.03.2004,20.83,20.8,20.87,20.71,2804400,20.8,-0.9587892741746629,-0.956760711706855,-0.9587892741746629,-0.9720798997873782,-0.9472051436893383
05.03.2004,20.7,20.88,20.97,20.61,3384000,20.88,-0.9531650126701404,-0.9658994653749011,-0.9531650126701404,-0.9651047634701089,-0.9542974062042346
08.03.2004,20.93,20.78,20.97,20.74,1968300,20.78,-0.9601953395507934,-0.949730901192973,-0.9601953395507934,-0.9651047634701089,-0.9450774649348695
09.03.2004,20.64,20.4,20.7,20.39,3098200,20.4,-0.9869105816972759,-0.9701173516832302,-0.9869105816972759,-0.9839376315267364,-0.9699003837370065
10.03.2004,20.4,20.42,20.61,20.34,3502500,20.42,-0.985504516321145,-0.9869888969165467,-0.985504516321145,-0.9902152542122789,-0.9734465149944547
11.03.2004,20.33,20.08,20.44,20.04,3138800,20.08,-1.009407627715366,-0.9919097642762639,-1.009407627715366,-1.0020729859516369,-0.9947233025391437
12.03.2004,20.08,20.19,20.19,19.97,2510000,20.19,-1.0016742681466475,-1.0094842905609684,-1.0016742681466475,-1.0195108267448103,-0.9996878862995711
15.03.2004,20.09,20.19,20.4,20.03,2582500,20.19,-1.0016742681466475,-1.0087813095095801,-1.0016742681466475,-1.0048630404785448,-0.9954325287906332
16.03.2004,20.22,19.93,20.31,19.75,2970100,19.93,-1.019953118036346,-0.9996425558415338,-1.019953118036346,-1.0111406631640871,-1.0152908638323428
17.03.2004,19.93,20.11,20.33,19.93,2076300,20.11,-1.00729852965117,-1.020029006331791,-1.00729852965117,-1.0097456359006334,-1.0025247913055295
18.03.2004,20.0,19.93,20.03,19.52,3762800,19.93,-1.019953118036346,-1.0151081389720737,-1.019953118036346,-1.0306710448524414,-1.0316030676166044
19.03.2004,19.75,19.93,20.14,19.67,3315500,19.93,-1.019953118036346,-1.0326826652567782,-1.019953118036346,-1.0229983949034451,-1.0209646738442597
22.03.2004,19.63,19.49,19.69,19.03,6053600,19.49,-1.0508865563112202,-1.0411184378734364,-1.0508865563112202,-1.0543865083311577,-1.0663551539395961
23.03.2004,19.49,19.3,19.56,19.23,2639900,19.3,-1.064244177384461,-1.050960172592871,-1.064244177384461,-1.0634541855436082,-1.0521706289098036
