Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
02.01.2014,76.41,77.65,76.41,77.8,76.35,5112000
03.01.2014,76.66,76.15,76.66,76.95,75.71,3888500
06.01.2014,76.62,76.62,76.62,77.09,76.35,2844700
07.01.2014,76.33,77.02,76.33,77.48,76.03,4039500
08.01.2014,76.57,75.93,76.57,76.77,75.93,3880200
09.01.2014,76.12,76.98,76.12,77.02,75.42,3469200
10.01.2014,75.83,76.44,75.83,76.7,75.45,2901600
13.01.2014,74.5,75.81,74.5,76.22,74.4,5641000
14.01.2014,74.61,74.58,74.61,74.89,73.71,4777900
15.01.2014,75.58,74.9,75.58,75.82,74.58,4494900
16.01.2014,75.17,75.36,75.17,75.57,74.73,3326100
17.01.2014,77.91,78.64,77.91,80.18,77.55,14989900
21.01.2014,77.58,78.76,77.58,79.4,76.77,7954600
22.01.2014,78.04,77.62,78.04,78.29,77.61,3848700
23.01.2014,76.36,77.5,76.36,77.5,75.95,5260900
24.01.2014,74.46,75.84,74.46,76.54,74.22,6289300
27.01.2014,73.41,74.64,73.41,75.17,73.4,5651400
28.01.2014,74.2,73.52,74.2,74.66,73.31,4108700
29.01.2014,73.26,73.9,73.26,74.42,73.16,3357900
30.01.2014,74.18,74.04,74.18,74.49,73.71,4259000
31.01.2014,72.81,73.03,72.81,73.57,72.72,4778000
03.02.2014,70.96,72.79,70.96,73.15,70.88,5769800
04.02.2014,71.94,71.24,71.94,72.55,70.76,5380500
05.02.2014,71.7,71.52,71.7,72.04,71.04,3260100
06.02.2014,73.38,72.37,73.38,73.44,72.21,5432400
07.02.2014,74.51,73.62,74.51,74.65,73.46,4495200
10.02.2014,75.65,75.22,75.65,76.19,74.93,5387900
11.02.2014,75.86,75.67,75.86,76.08,75.51,3602400
12.02.2014,76.24,75.95,76.24,76.26,75.71,2488600
13.02.2014,76.13,75.68,76.13,76.2,75.37,2759700
14.02.2014,76.22,76.1,76.22,76.45,75.59,2671800
18.02.2014,76.24,76.05,76.24,76.34,75.61,3591600
19.02.2014,76.08,76.13,76.08,77.35,76.01,4332300
20.02.2014,76.23,76.05,76.23,76.42,75.47,4411800
21.02.2014,76.01,76.27,76.01,76.57,75.84,3808700
24.02.2014,77.01,76.04,77.01,77.44,76.04,3261200
25.02.2014,77.0,77.08,77.0,77.39,76.35,2914800
26.02.2014,76.84,77.21,76.84,77.67,76.4,4840200
27.02.2014,77.32,76.78,77.32,77.44,76.66,3075600
28.02.2014,78.17,77.29,78.17,78.91,77.15,4689200
03.03.2014,77.05,77.59,77.05,77.62,76.36,3465300
04.03.2014,79.31,77.97,79.31,79.37,77.96,3752000
05.03.2014,78.91,79.29,78.91,79.29,78.71,3086400
06.03.2014,80.09,79.27,80.09,80.19,79.1,3957900
07.03.2014,80.38,80.6,80.38,80.8,79.95,3864600
10.03.2014,80.24,80.18,80.24,80.4,79.76,2218700
11.03.2014,79.82,80.36,79.82,80.4,79.67,1946200
12.03.2014,79.56,79.37,79.56,79.58,78.7,2486100
13.03.2014,77.67,79.82,77.67,80.06,77.43,3990200
14.03.2014,77.22,77.55,77.22,78.12,76.77,3583900
17.03.2014,78.15,77.51,78.15,78.56,77.5,3033000
18.03.2014,78.44,78.16,78.44,78.76,78.04,2348300
19.03.2014,77.7,78.51,77.7,78.75,77.32,3425700
20.03.2014,78.52,77.49,78.52,78.7,77.27,3779700
21.03.2014,78.38,79.46,78.38,80.26,78.24,6684500
24.03.2014,77.94,78.48,77.94,78.57,77.32,2520600
25.03.2014,77.8,78.25,77.8,78.7,77.62,2420000
26.03.2014,76.78,78.24,76.78,78.52,76.76,3011200
27.03.2014,77.07,76.82,77.07,77.44,76.45,3602800
28.03.2014,77.47,77.31,77.47,78.41,77.08,3138900
31.03.2014,77.1,78.0,77.1,78.74,76.97,5172400
01.04.2014,78.08,77.42,78.08,78.13,77.26,2821600
02.04.2014,77.61,78.0,77.61,78.21,77.38,2886700
03.04.2014,78.11,77.85,78.11,78.3,77.61,2483600
04.04.2014,76.56,78.28,76.56,78.47,76.47,2933600
07.04.2014,74.35,76.44,74.35,76.78,74.31,5557600
08.04.2014,74.26,74.38,74.26,74.52,73.48,3880300
09.04.2014,76.17,74.61,76.17,76.17,74.39,3592900
10.04.2014,73.29,75.96,73.29,76.2,73.24,5213800
11.04.2014,72.58,72.89,72.58,73.36,72.11,4014300
14.04.2014,73.41,73.06,73.41,74.13,72.15,4011900
15.04.2014,73.87,73.72,73.87,74.46,72.39,3741700
16.04.2014,75.04,74.56,75.04,75.11,74.25,4055100
17.04.2014,74.03,74.83,74.03,75.48,73.06,9244400
21.04.2014,74.41,74.16,74.41,74.57,73.97,3762300
22.04.2014,74.76,74.45,74.76,75.07,74.21,3420400
23.04.2014,74.81,74.7,74.81,75.24,74.41,3788200
24.04.2014,75.05,74.92,75.05,75.54,74.62,3187000
25.04.2014,74.72,74.71,74.72,74.95,74.37,4226100
28.04.2014,74.75,75.07,74.75,75.19,73.71,4760400
29.04.2014,75.37,74.99,75.37,75.51,74.86,2852900
30.04.2014,75.06,75.22,75.06,75.26,74.66,4351600
01.05.2014,74.54,75.15,74.54,75.19,74.12,4679900
02.05.2014,74.63,74.5,74.63,74.96,74.19,3707400
05.05.2014,75.0,73.84,75.0,75.06,73.62,3340000
06.05.2014,74.01,74.91,74.01,74.91,73.91,3269400
07.05.2014,75.54,74.51,75.54,75.6,73.93,4601500
08.05.2014,76.09,75.45,76.09,76.65,75.26,4220200
09.05.2014,76.27,75.95,76.27,76.44,75.67,2344700
12.05.2014,76.98,76.77,76.98,77.24,76.69,2343800
13.05.2014,76.49,76.97,76.49,77.27,76.45,2298500
14.05.2014,75.95,76.56,75.95,76.78,75.82,2238500
15.05.2014,75.21,75.73,75.21,76.05,74.79,3324400
16.05.2014,75.12,75.21,75.12,75.35,74.61,3062400
19.05.2014,75.66,74.85,75.66,75.74,74.79,2000300
20.05.2014,74.77,75.4,74.77,75.6,74.57,2798400
21.05.2014,75.43,75.18,75.43,75.67,75.02,2525600
22.05.2014,75.68,75.37,75.68,75.89,75.17,2654800
23.05.2014,76.22,75.65,76.22,76.29,75.55,1858200
27.05.2014,78.46,76.93,78.46,78.53,76.71,5093800
28.05.2014,78.18,78.4,78.18,78.44,77.81,2466800
29.05.2014,78.37,78.23,78.37,78.39,77.73,2668500
30.05.2014,78.56,78.13,78.56,78.71,78.03,3594800
02.06.2014,78.89,78.81,78.89,79.08,78.5,2832100
03.06.2014,78.76,78.65,78.76,78.86,78.36,2589100
04.06.2014,78.82,78.64,78.82,78.9,78.41,2637000
05.06.2014,79.67,78.92,79.67,80.03,78.58,3219200
06.06.2014,81.49,79.79,81.49,81.51,79.69,4550800
09.06.2014,82.05,81.63,82.05,82.32,81.26,3825200
10.06.2014,81.8,81.64,81.8,81.9,81.29,2418300
11.06.2014,81.63,81.51,81.63,81.79,81.25,1884000
12.06.2014,81.36,81.86,81.36,81.98,81.01,2870500
13.06.2014,81.43,81.52,81.43,81.71,81.03,1793000
16.06.2014,81.02,81.01,81.02,81.35,80.57,2832500
17.06.2014,81.27,81.02,81.27,81.74,80.71,2572300
18.06.2014,82.04,81.35,82.04,82.07,80.77,2454800
