Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
02.01.2014,3.81,3.9,3.81,3.91,3.81,97159684
03.01.2014,3.84,3.82,3.84,3.85,3.8,64541292
06.01.2014,3.88,3.83,3.88,3.9,3.82,76749758
07.01.2014,4.03,3.9,4.03,4.03,3.88,190274068
08.01.2014,4.06,4.04,4.06,4.08,3.98,77833870
09.01.2014,4.03,4.07,4.03,4.09,4.0,82179380
10.01.2014,4.04,4.04,4.04,4.08,4.01,57161614
13.01.2014,4.07,4.08,4.07,4.1,4.06,65705785
14.01.2014,4.08,4.04,4.08,4.09,4.02,74988000
15.01.2014,4.18,4.11,4.18,4.18,4.1,96202811
16.01.2014,4.12,4.19,4.12,4.19,4.11,78936006
17.01.2014,4.11,4.12,4.11,4.15,4.09,134055008
20.01.2014,4.1,4.09,4.1,4.1,4.07,34772126
21.01.2014,4.08,4.11,4.08,4.13,4.07,57883454
22.01.2014,4.05,4.09,4.05,4.11,4.01,79244442
23.01.2014,4.02,4.03,4.02,4.1,4.01,75018096
24.01.2014,3.88,4.02,3.88,4.04,3.87,120800367
27.01.2014,3.83,3.9,3.83,3.92,3.83,96636640
28.01.2014,3.89,3.87,3.89,3.92,3.85,63696245
29.01.2014,3.91,3.95,3.91,3.99,3.82,85832435
30.01.2014,3.93,3.9,3.93,3.96,3.82,67886457
31.01.2014,3.92,3.94,3.92,3.94,3.84,74309201
03.02.2014,3.81,3.9,3.81,3.93,3.8,70869702
04.02.2014,3.84,3.8,3.84,3.87,3.79,64333009
05.02.2014,3.88,3.84,3.88,3.89,3.81,63741697
06.02.2014,3.96,3.92,3.96,3.97,3.88,120292882
07.02.2014,4.01,3.97,4.01,4.02,3.92,69744116
10.02.2014,3.94,4.02,3.94,4.02,3.92,96369982
11.02.2014,4.0,3.97,4.0,4.0,3.94,39863957
12.02.2014,3.98,4.01,3.98,4.03,3.97,60371867
13.02.2014,4.0,3.96,4.0,4.0,3.9,67683865
14.02.2014,4.0,4.01,4.0,4.03,3.98,58914321
17.02.2014,4.01,4.01,4.01,4.02,3.97,20511271
18.02.2014,3.98,4.02,3.98,4.02,3.95,43370557
19.02.2014,3.98,3.96,3.98,4.01,3.92,45325909
20.02.2014,3.98,3.93,3.98,3.98,3.91,52914421
21.02.2014,3.97,3.98,3.97,3.99,3.93,51892216
24.02.2014,4.02,3.96,4.02,4.02,3.94,38654349
25.02.2014,4.05,4.02,4.05,4.05,4.0,40349042
26.02.2014,4.03,4.05,4.03,4.06,4.01,32094329
27.02.2014,4.02,4.04,4.02,4.05,3.98,33977720
28.02.2014,4.02,4.06,4.02,4.06,3.95,64589705
03.03.2014,3.9,3.95,3.9,3.98,3.89,80162790
04.03.2014,4.0,3.95,4.0,4.01,3.92,63302232
05.03.2014,4.05,3.99,4.05,4.06,3.98,58726359
06.03.2014,4.09,4.07,4.09,4.12,4.06,56750437
07.03.2014,4.01,4.1,4.01,4.11,4.01,59477082
10.03.2014,4.04,4.02,4.04,4.09,3.99,54543094
11.03.2014,4.01,4.06,4.01,4.06,4.0,31526844
12.03.2014,3.97,3.99,3.97,4.03,3.93,71121400
13.03.2014,3.94,4.0,3.94,4.0,3.94,66990551
14.03.2014,3.89,3.92,3.89,3.95,3.84,106233297
17.03.2014,3.93,3.91,3.93,3.96,3.91,61228957
18.03.2014,3.98,3.93,3.98,4.01,3.91,88555315
19.03.2014,3.98,3.98,3.98,4.0,3.95,43670824
20.03.2014,3.99,3.94,3.99,3.99,3.92,77960351
21.03.2014,3.99,3.99,3.99,4.02,3.97,98227167
24.03.2014,3.94,3.99,3.94,4.0,3.92,61204204
25.03.2014,3.99,3.96,3.99,4.02,3.93,72632228
26.03.2014,4.07,4.01,4.07,4.09,4.0,68435584
27.03.2014,4.1,4.06,4.1,4.1,4.03,58797773
28.03.2014,4.18,4.11,4.18,4.18,4.09,80640532
31.03.2014,4.24,4.19,4.24,4.28,4.18,84857991
01.04.2014,4.31,4.26,4.31,4.34,4.25,120755135
02.04.2014,4.29,4.31,4.29,4.36,4.27,102900519
03.04.2014,4.37,4.3,4.37,4.41,4.29,101685670
04.04.2014,4.42,4.41,4.42,4.44,4.37,97250659
07.04.2014,4.39,4.38,4.39,4.42,4.37,70003051
08.04.2014,4.39,4.39,4.39,4.41,4.3,139755525
09.04.2014,4.45,4.48,4.45,4.5,4.44,76590023
10.04.2014,4.39,4.47,4.39,4.49,4.38,68134394
11.04.2014,4.4,4.37,4.4,4.42,4.3,101494401
