Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
02.01.2014,1.82,1.84,1.82,1.85,1.8,203201074
03.01.2014,1.78,1.8,1.78,1.81,1.77,379421083
06.01.2014,1.76,1.77,1.76,1.78,1.75,304710924
07.01.2014,1.76,1.75,1.76,1.76,1.74,298339216
08.01.2014,1.78,1.76,1.78,1.79,1.75,347356389
09.01.2014,1.76,1.77,1.76,1.79,1.75,233967624
10.01.2014,1.78,1.76,1.78,1.78,1.75,242663233
13.01.2014,1.77,1.79,1.77,1.8,1.75,256847135
14.01.2014,1.76,1.75,1.76,1.77,1.75,161354380
15.01.2014,1.76,1.77,1.76,1.77,1.75,156739815
16.01.2014,1.76,1.77,1.76,1.77,1.75,200615446
17.01.2014,1.74,1.75,1.74,1.77,1.73,319172476
20.01.2014,1.72,1.73,1.72,1.74,1.7,303257489
21.01.2014,1.76,1.74,1.76,1.77,1.73,254156386
22.01.2014,1.76,1.75,1.76,1.78,1.75,345629870
23.01.2014,1.71,1.75,1.71,1.76,1.71,423510444
24.01.2014,1.7,1.69,1.7,1.71,1.69,407646746
27.01.2014,1.67,1.66,1.67,1.68,1.65,489868185
28.01.2014,1.67,1.67,1.67,1.68,1.66,305919035
29.01.2014,1.7,1.68,1.7,1.71,1.68,308220088
30.01.2014,1.69,1.67,1.69,1.7,1.66,251545767
04.02.2014,1.65,1.65,1.65,1.66,1.64,388154056
05.02.2014,1.63,1.65,1.63,1.66,1.62,381480344
06.02.2014,1.64,1.64,1.64,1.64,1.62,322164299
07.02.2014,1.65,1.64,1.65,1.66,1.63,265069197
10.02.2014,1.63,1.64,1.63,1.66,1.63,340942010
11.02.2014,1.67,1.63,1.67,1.68,1.63,442964514
12.02.2014,1.69,1.68,1.69,1.7,1.67,396808195
13.02.2014,1.67,1.69,1.67,1.69,1.67,263119293
14.02.2014,1.68,1.68,1.68,1.69,1.67,189168499
17.02.2014,1.7,1.69,1.7,1.7,1.69,171828713
18.02.2014,1.69,1.69,1.69,1.7,1.68,143992783
19.02.2014,1.69,1.69,1.69,1.7,1.68,251869602
20.02.2014,1.68,1.68,1.68,1.7,1.65,439319895
21.02.2014,1.67,1.69,1.67,1.69,1.67,181597627
24.02.2014,1.66,1.65,1.66,1.67,1.64,394738164
25.02.2014,1.66,1.68,1.66,1.68,1.64,322409813
26.02.2014,1.67,1.64,1.67,1.68,1.63,309170103
27.02.2014,1.69,1.67,1.69,1.7,1.66,256815035
28.02.2014,1.67,1.69,1.67,1.7,1.66,317570469
03.03.2014,1.65,1.65,1.65,1.67,1.64,308096387
04.03.2014,1.65,1.66,1.65,1.67,1.65,215652434
05.03.2014,1.64,1.67,1.64,1.67,1.64,287225596
06.03.2014,1.64,1.64,1.64,1.67,1.63,347501155
07.03.2014,1.65,1.65,1.65,1.66,1.64,213815108
10.03.2014,1.62,1.63,1.62,1.64,1.62,248966533
11.03.2014,1.62,1.62,1.62,1.64,1.62,293171736
12.03.2014,1.6,1.61,1.6,1.62,1.59,401752026
