Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
01.01.2004,16.58,16.58,16.58,16.58,0,16.58,-1.2653087205367395,-1.2670449860469957,-1.2653087205367395,-1.2930845408023317,-1.2371355502127839
02.01.2004,16.51,16.67,16.67,16.51,1580005,16.67,-1.2572551364589335,-1.2733116676221934,-1.2572551364589335,-1.2850738439488347,-1.2434340186419417
05.01.2004,16.64,16.81,16.84,16.54,2488858,16.81,-1.2447273390045694,-1.2616735446968257,-1.2447273390045694,-1.269942527670008,-1.2407346750294455
06.01.2004,16.84,16.77,16.87,16.64,2359857,16.77,-1.2483067097058163,-1.24376874019626,-1.2483067097058163,-1.2672722953855091,-1.231736862987791
07.01.2004,16.84,16.67,16.94,16.57,3440137,16.67,-1.2572551364589335,-1.24376874019626,-1.2572551364589335,-1.2610417533883451,-1.238035331416949
08.01.2004,16.77,16.87,17.07,16.74,3059570,16.87,-1.2393582829526988,-1.2500354217714582,-1.2393582829526988,-1.2494707468221835,-1.2227390509461367
09.01.2004,17.07,16.87,17.17,16.77,3527236,16.87,-1.2393582829526988,-1.2231782150206094,-1.2393582829526988,-1.2405699725405206,-1.2200397073336402
12.01.2004,16.77,16.77,16.94,16.64,2749894,16.77,-1.2483067097058163,-1.2500354217714582,-1.2483067097058163,-1.2610417533883451,-1.231736862987791
13.01.2004,16.94,16.74,17.11,16.67,3543031,16.74,-1.2509912377317516,-1.2348163379459771,-1.2509912377317516,-1.2459104371095184,-1.2290375193752945
14.01.2004,16.67,16.64,16.81,16.54,5500670,16.64,-1.2599396644848688,-1.2589878240217407,-1.2599396644848688,-1.2726127599545072,-1.2407346750294455
15.01.2004,16.61,16.71,16.84,16.51,3702157,16.71,-1.2536757657576867,-1.2643592653719107,-1.2536757657576867,-1.269942527670008,-1.2434340186419417
16.01.2004,16.81,16.87,16.97,16.74,2905162,16.87,-1.2393582829526988,-1.246454460871345,-1.2393582829526988,-1.2583715211038466,-1.2227390509461367
19.01.2004,16.77,16.91,16.97,16.71,2265859,16.91,-1.2357789122514518,-1.2500354217714582,-1.2357789122514518,-1.2583715211038466,-1.2254383945586327
20.01.2004,16.81,16.77,16.91,16.67,3097877,16.77,-1.2483067097058163,-1.246454460871345,-1.2483067097058163,-1.263711985672844,-1.2290375193752945
21.01.2004,16.74,16.87,16.91,16.67,2690756,16.87,-1.2393582829526988,-1.252721142446543,-1.2393582829526988,-1.263711985672844,-1.2290375193752945
22.01.2004,16.97,17.01,17.14,16.91,3307699,17.01,-1.2268304854983343,-1.2321306172708923,-1.2268304854983343,-1.2432402048250195,-1.2074427704753237
23.01.2004,17.07,17.17,17.24,16.97,3108614,17.17,-1.2125130026933464,-1.2231782150206094,-1.2125130026933464,-1.2343394305433568,-1.2020440832503312
26.01.2004,17.07,17.11,17.17,16.97,2392891,17.11,-1.217882058745217,-1.2231782150206094,-1.217882058745217,-1.2405699725405206,-1.2020440832503312
27.01.2004,17.27,17.17,17.4,17.14,2868089,17.17,-1.2125130026933464,-1.2052734105200438,-1.2125130026933464,-1.2200981916926963,-1.1867478027795182
28.01.2004,17.21,17.21,17.21,17.01,2705833,17.21,-1.2089336319920996,-1.2106448518702133,-1.2089336319920996,-1.2370096628278555,-1.1984449584336692
29.01.2004,17.14,16.97,17.14,16.81,3019497,16.97,-1.2304098561995815,-1.2169115334454115,-1.2304098561995815,-1.2432402048250195,-1.2164405825169784
30.01.2004,17.04,16.61,17.04,16.61,3328440,16.61,-1.2626241925108042,-1.2258639356956944,-1.2626241925108042,-1.2521409791066824,-1.2344362066002874
02.02.2004,16.81,17.01,17.07,16.74,2918668,17.01,-1.2268304854983343,-1.246454460871345,-1.2268304854983343,-1.2494707468221835,-1.2227390509461367
03.02.2004,17.07,17.01,17.14,16.87,2568359,17.01,-1.2268304854983343,-1.2231782150206094,-1.2268304854983343,-1.2432402048250195,-1.2110418952919855
04.02.2004,16.97,16.67,17.04,16.67,2855520,16.67,-1.2572551364589335,-1.2321306172708923,-1.2572551364589335,-1.2521409791066824,-1.2290375193752945
05.02.2004,16.38,16.44,16.64,16.38,7045823,16.44,-1.2778365179911035,-1.2849497905475613,-1.2778365179911035,-1.2877440762333336,-1.2551311742960929
06.02.2004,16.47,16.57,16.64,16.38,4157357,16.57,-1.266203563212051,-1.2768926285223068,-1.266203563212051,-1.2877440762333336,-1.2551311742960929
09.02.2004,16.57,16.67,16.87,16.57,3885214,16.67,-1.2572551364589335,-1.2679402262720239,-1.2572551364589335,-1.2672722953855091,-1.238035331416949
10.02.2004,16.61,16.74,16.81,16.61,2377130,16.74,-1.2509912377317516,-1.2643592653719107,-1.2509912377317516,-1.2726127599545072,-1.2344362066002874
11.02.2004,16.74,16.87,16.94,16.67,3426551,16.87,-1.2393582829526988,-1.252721142446543,-1.2393582829526988,-1.2610417533883451,-1.2290375193752945
12.02.2004,17.01,17.07,17.27,16.97,4573916,17.07,-1.2214614294464639,-1.228549656370779,-1.2214614294464639,-1.231669198258858,-1.2020440832503312
13.02.2004,17.04,17.04,17.27,16.91,3120992,17.04,-1.2241459574723992,-1.2258639356956944,-1.2241459574723992,-1.231669198258858,-1.2074427704753237
16.02.2004,16.97,17.21,17.21,16.94,1692521,17.21,-1.2089336319920996,-1.2321306172708923,-1.2089336319920996,-1.2370096628278555,-1.2047434268628272
17.02.2004,17.17,17.17,17.27,17.11,2996142,17.17,-1.2125130026933464,-1.2142258127703265,-1.2125130026933464,-1.231669198258858,-1.1894471463920147
18.02.2004,17.24,16.97,17.24,16.91,3184075,16.97,-1.2304098561995815,-1.2079591311951288,-1.2304098561995815,-1.2343394305433568,-1.2074427704753237
19.02.2004,16.91,17.24,17.34,16.91,3274653,17.24,-1.2062491039661645,-1.237502058621062,-1.2062491039661645,-1.225438656261694,-1.2074427704753237
20.02.2004,17.14,17.17,17.24,17.07,2961058,17.17,-1.2125130026933464,-1.2169115334454115,-1.2125130026933464,-1.2343394305433568,-1.1930462712086765
23.02.2004,17.24,17.24,17.34,17.21,1889397,17.24,-1.2062491039661645,-1.2079591311951288,-1.2062491039661645,-1.225438656261694,-1.1804493343503601
24.02.2004,17.21,17.04,17.21,16.84,4179379,17.04,-1.2241459574723992,-1.2106448518702133,-1.2241459574723992,-1.2370096628278555,-1.213741238904482
25.02.2004,17.04,16.91,17.07,16.77,3609379,16.91,-1.2357789122514518,-1.2258639356956944,-1.2357789122514518,-1.2494707468221835,-1.2200397073336402
