Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
02.01.2014,13.05,12.72,13.05,13.1,12.71,148709900
03.01.2014,13.3,13.19,13.3,13.37,13.15,129921800
06.01.2014,13.5,13.48,13.5,13.56,13.42,114431300
07.01.2014,13.37,13.59,13.37,13.61,13.33,110605100
08.01.2014,13.44,13.51,13.44,13.53,13.39,101036400
09.01.2014,13.64,13.51,13.64,13.72,13.46,100947200
10.01.2014,13.59,13.58,13.59,13.61,13.46,87454100
13.01.2014,13.32,13.61,13.32,13.62,13.29,90025400
14.01.2014,13.59,13.41,13.59,13.59,13.4,97786600
15.01.2014,13.9,13.97,13.9,14.12,13.87,329333100
16.01.2014,13.84,13.85,13.84,13.89,13.77,163613100
17.01.2014,13.79,13.94,13.79,13.96,13.77,96232200
21.01.2014,13.79,13.84,13.79,13.91,13.67,118269200
22.01.2014,13.9,13.84,13.9,13.9,13.78,68114400
23.01.2014,13.67,13.84,13.67,13.85,13.57,123765900
24.01.2014,13.33,13.51,13.33,13.55,13.33,112899300
27.01.2014,13.22,13.27,13.22,13.41,13.02,134872600
28.01.2014,13.56,13.33,13.56,13.58,13.27,92891300
29.01.2014,13.52,13.41,13.52,13.66,13.37,130026900
30.01.2014,13.72,13.62,13.72,13.77,13.59,91028200
31.01.2014,13.58,13.55,13.58,13.76,13.46,139432100
03.02.2014,13.25,13.59,13.25,13.68,13.21,159981200
04.02.2014,13.25,13.37,13.25,13.42,13.18,125337000
05.02.2014,13.29,13.22,13.29,13.33,13.09,110576200
06.02.2014,13.53,13.33,13.53,13.56,13.32,110029100
07.02.2014,13.63,13.63,13.63,13.68,13.48,122571100
10.02.2014,13.55,13.54,13.55,13.56,13.45,95792500
11.02.2014,13.68,13.56,13.68,13.71,13.49,92617500
12.02.2014,13.58,13.67,13.58,13.71,13.49,96948900
13.02.2014,13.58,13.49,13.58,13.63,13.48,95756900
14.02.2014,13.54,13.57,13.54,13.58,13.49,100684300
18.02.2014,13.35,13.54,13.35,13.57,13.35,121778600
19.02.2014,13.13,13.28,13.13,13.33,13.11,137734500
20.02.2014,13.21,13.15,13.21,13.26,13.11,107425900
21.02.2014,13.2,13.2,13.2,13.37,13.17,106236900
24.02.2014,13.4,13.21,13.4,13.48,13.21,102909600
25.02.2014,13.24,13.37,13.24,13.42,13.23,81457000
26.02.2014,13.24,13.26,13.24,13.29,13.07,89831600
