Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,46.3,46.15,46.45,45.97,1304653,46.15,-1.0889240549940444,-1.0830191310783304,-1.0889240549940444,-1.0911938865931425,-1.081350971994124
03.01.2014,45.95,46.0,46.0,45.77,1141009,46.0,-1.0957691932368803,-1.0990043169890817,-1.0957691932368803,-1.1116352318944531,-1.0905401759383702
06.01.2014,46.13,46.01,46.15,45.93,1364771,46.01,-1.095312850687358,-1.090783364234981,-1.095312850687358,-1.1048214501273497,-1.0831888127829732
07.01.2014,45.96,46.08,46.38,45.96,3289129,46.08,-1.0921184528407013,-1.0985475973916319,-1.0921184528407013,-1.0943736514177909,-1.0818104321913362
08.01.2014,46.36,46.18,46.54,46.06,1862642,46.18,-1.0875550273454773,-1.0802788134936299,-1.0875550273454773,-1.0871056175328806,-1.0772158302192132
09.01.2014,46.25,46.24,46.3,45.98,1833033,46.24,-1.084816972048343,-1.0853027290655806,-1.084816972048343,-1.0980076683602462,-1.0808915117969118
10.01.2014,46.16,46.01,46.4,46.01,1460257,46.01,-1.095312850687358,-1.089413205442631,-1.095312850687358,-1.0934651471821772,-1.0795131312052748
13.01.2014,46.1,45.65,46.15,45.55,1652118,45.65,-1.111741182470164,-1.0921535230273312,-1.111741182470164,-1.1048214501273497,-1.1006483002770413
14.01.2014,45.36,44.94,45.45,44.94,3242809,44.94,-1.1441415034862537,-1.125950773238635,-1.1441415034862537,-1.1366190983738322,-1.1286753723069922
15.01.2014,45.36,45.17,45.42,45.07,2038638,45.17,-1.1336456248472384,-1.125950773238635,-1.1336456248472384,-1.137981854727253,-1.122702389743232
16.01.2014,45.19,44.94,45.25,44.78,3898558,44.94,-1.1441415034862537,-1.1337150063952859,-1.1441415034862537,-1.1457041407299704,-1.1360267354623892
17.01.2014,44.88,44.75,44.9,44.54,2462009,44.75,-1.152812011927179,-1.1478733139162371,-1.152812011927179,-1.161602964853212,-1.1470537801954848
20.01.2014,44.59,44.66,44.82,44.36,2132942,44.66,-1.1569190948728805,-1.1611181822422885,-1.1569190948728805,-1.1652369817956671,-1.1553240637453064
21.01.2014,44.53,45.12,45.18,44.39,1794911,45.12,-1.1359273375948507,-1.163858499826989,-1.1359273375948507,-1.1488839055546187,-1.1539456831536692
22.01.2014,45.13,45.01,45.18,44.69,2509022,45.01,-1.1409471056395968,-1.136455323979986,-1.1409471056395968,-1.1488839055546187,-1.1401618772373001
23.01.2014,45.07,44.55,45.07,44.43,2509213,44.55,-1.1619388629176268,-1.1391956415646862,-1.1619388629176268,-1.1538806788504945,-1.1521078423648201
24.01.2014,44.46,44.31,44.62,44.29,2384387,44.31,-1.172891084106164,-1.1670555370091393,-1.172891084106164,-1.174322024151805,-1.1585402851257924
28.01.2014,43.88,43.95,44.24,43.58,4861923,43.95,-1.18931941588897,-1.193545273661242,-1.18931941588897,-1.1915836046284671,-1.1911619591278666
29.01.2014,44.2,44.42,44.43,43.9,3118247,44.42,-1.1678713160614176,-1.1789302465428404,-1.1678713160614176,-1.1829528143901362,-1.1764592328170727
30.01.2014,43.98,43.99,44.11,43.9,3684989,43.99,-1.1874940456908805,-1.1889780776867418,-1.1874940456908805,-1.197488882159957,-1.1764592328170727
31.01.2014,44.32,44.01,44.35,43.88,10577049,44.01,-1.1865813605918358,-1.17344961137344,-1.1865813605918358,-1.1865868313325914,-1.177378153211497
03.02.2014,43.88,44.11,44.12,43.74,1769121,44.11,-1.1820179350966118,-1.193545273661242,-1.1820179350966118,-1.1970346300421502,-1.1838105959724694
04.02.2014,43.58,43.4,43.66,43.37,4946208,43.4,-1.2144182561127015,-1.2072468615847438,-1.2144182561127015,-1.2179302274612676,-1.2008106232693252
05.02.2014,43.54,42.98,43.66,42.77,3982490,42.98,-1.2335846431926418,-1.209073739974544,-1.2335846431926418,-1.2179302274612676,-1.2283782351020638
06.02.2014,43.15,43.57,43.62,43.15,3152521,43.57,-1.2066604327708208,-1.2268858042750959,-1.2066604327708208,-1.219747235932495,-1.2109187476079961
07.02.2014,43.82,43.59,43.88,43.43,4328184,43.59,-1.205747747671776,-1.1962855912459425,-1.205747747671776,-1.2079366808695156,-1.1980538620860512
10.02.2014,43.99,44.38,44.38,43.89,2917122,44.38,-1.169696686259507,-1.1885213580892915,-1.169696686259507,-1.1852240749791705,-1.176918693014285
11.02.2014,44.47,45.01,45.09,44.38,3837690,45.01,-1.1409471056395968,-1.1665988174116892,-1.1409471056395968,-1.1529721746148807,-1.1544051433508815
12.02.2014,45.6,45.18,45.61,44.69,4218582,45.18,-1.133189282297716,-1.1149895028998336,-1.133189282297716,-1.1293510644889222,-1.1401618772373001
13.02.2014,45.24,44.91,45.28,44.88,3588806,44.91,-1.1455105311348208,-1.1314314084080352,-1.1455105311348208,-1.1443413843765498,-1.131432133490266
14.02.2014,45.13,45.06,45.14,44.89,3655545,45.06,-1.1386653928919848,-1.136455323979986,-1.1386653928919848,-1.1507009140258464,-1.1309726732930536
17.02.2014,45.02,45.17,45.25,44.96,10342350,45.17,-1.1336456248472384,-1.1414792395519364,-1.1336456248472384,-1.1457041407299704,-1.1277564519125676
18.02.2014,45.23,45.28,45.35,45.12,3810744,45.28,-1.1286258568024923,-1.1318881280054855,-1.1286258568024923,-1.1411616195519014,-1.1204050887571706
19.02.2014,45.28,45.28,45.28,45.28,0,45.28,-1.1286258568024923,-1.1296045300182351,-1.1286258568024923,-1.1443413843765498,-1.1130537256017734
20.02.2014,45.47,45.32,45.73,45.2,3343585,45.32,-1.1268004866044028,-1.1209268576666844,-1.1268004866044028,-1.1239000390752394,-1.116729407179472
21.02.2014,45.63,45.68,45.68,45.44,2535786,45.68,-1.1103721548215968,-1.1136193441074833,-1.1103721548215968,-1.1261712996642739,-1.1057023624463767
