Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,40.15,40.33,40.43,39.98,16479700,40.33,-0.8614332343686563,-0.8813495291612647,-0.8614332343686563,-0.9005556729042369,-0.8490912294513595
03.01.2014,40.43,41.2,41.26,40.36,26884900,41.2,-0.7692911665175243,-0.8517042636963398,-0.7692911665175243,-0.8132028690574942,-0.8086057037739142
06.01.2014,41.37,41.52,41.89,41.23,28503100,41.52,-0.7353998312159586,-0.7521808724926636,-0.7353998312159586,-0.7468989336075565,-0.7159151581439743
07.01.2014,42.12,41.81,42.22,41.5,28840400,41.81,-0.7046858085989149,-0.6727739114259005,-0.7046858085989149,-0.7121683007528277,-0.6871491267415788
08.01.2014,41.89,42.29,42.44,41.82,25989800,42.29,-0.6538488056465669,-0.6971253794863742,-0.6538488056465669,-0.6890145455163418,-0.6530560524868881
09.01.2014,42.44,42.59,42.66,42.25,21803700,42.59,-0.6220756788013486,-0.6388936080374149,-0.6220756788013486,-0.6658607902798558,-0.6072434839571477
10.01.2014,42.46,42.22,42.51,41.9,22485900,42.22,-0.6612625352437843,-0.6367760890756342,-0.6612625352437843,-0.6816474415774598,-0.6445327839232157
13.01.2014,42.02,41.45,42.18,41.24,21110300,41.45,-0.7428135608131762,-0.6833615062348016,-0.7428135608131762,-0.7163780744321887,-0.7148497495735147
14.01.2014,41.77,41.63,41.98,41.38,17771000,41.63,-0.7237496847060456,-0.7098304932570559,-0.7237496847060456,-0.7374269428289945,-0.6999340295870875
15.01.2014,42.07,42.43,42.57,41.95,33688100,42.43,-0.6390213464521318,-0.6780677088303511,-0.6390213464521318,-0.6753327810584179,-0.6392057410709198
16.01.2014,41.33,40.59,41.33,40.39,62946800,40.59,-0.8338965244361337,-0.7564159104162241,-0.8338965244361337,-0.8058357651186122,-0.8054094780625368
17.01.2014,40.63,40.33,40.83,40.22,33934500,40.33,-0.8614332343686563,-0.8305290740785359,-0.8614332343686563,-0.8584579361106259,-0.8235214237603413
21.01.2014,40.51,40.01,40.9,39.79,27567400,40.01,-0.895324569670222,-0.8432341878492186,-0.895324569670222,-0.851090832171744,-0.8693339922900818
22.01.2014,40.13,40.05,40.22,39.75,20841100,40.05,-0.8910881527575264,-0.8834670481230447,-0.8910881527575264,-0.9226569847208828,-0.873595626571918
23.01.2014,39.85,39.14,39.85,39.01,34832200,39.14,-0.9874666375213532,-0.9131123135879697,-0.9874666375213532,-0.9615973912549726,-0.9524358607858904
24.01.2014,38.62,38.06,38.71,37.87,59057100,38.06,-1.101849894164137,-1.0433397297374616,-1.101849894164137,-1.081575941116764,-1.0738924378182257
27.01.2014,37.89,37.66,38.32,37.32,39675300,37.66,-1.1442140632910947,-1.1206291718424441,-1.1442140632910947,-1.1226212344905349,-1.132489909193475
28.01.2014,38.03,38.27,38.47,38.03,24780900,38.27,-1.0796087053724843,-1.1058065391099816,-1.0796087053724843,-1.106834583192931,-1.05684590069088
29.01.2014,37.75,37.1,38.09,36.81,54018100,37.1,-1.2035239000688338,-1.1354518045749065,-1.2035239000688338,-1.1468274331468609,-1.1868257462868879
30.01.2014,37.4,37.28,37.59,36.88,39940700,37.28,-1.1844600239617034,-1.1725083864060628,-1.1844600239617034,-1.1994496041388747,-1.1793678862936743
31.01.2014,36.67,36.61,37.2,36.5,33425100,36.61,-1.2554200072493564,-1.2497978285110454,-1.2554200072493564,-1.2404948975126453,-1.2198534119711197
03.02.2014,36.92,35.76,36.94,35.65,42977600,35.76,-1.3454438666441402,-1.2233288414887908,-1.3454438666441402,-1.2678584264284931,-1.3104131404601418
04.02.2014,36.27,36.1,36.66,36.03,31286900,36.1,-1.3094343228862264,-1.2921482077466522,-1.3094343228862264,-1.297326842184021,-1.2699276147826963
05.02.2014,36.09,36.32,36.56,35.74,32535500,36.32,-1.2861340298664001,-1.3112058784026752,-1.2861340298664001,-1.307851276382423,-1.3008244633260098
06.02.2014,36.58,37.24,37.25,36.48,33905600,37.24,-1.188696440874399,-1.2593266638390572,-1.188696440874399,-1.2352326804134444,-1.2219842291120382
07.02.2014,37.89,38.08,38.12,37.45,37875700,38.08,-1.0997316857077895,-1.1206291718424441,-1.0997316857077895,-1.1436701028873406,-1.1186395977775065
10.02.2014,38.24,38.06,38.38,37.69,19630100,38.06,-1.101849894164137,-1.0835725900112878,-1.101849894164137,-1.116306573971493,-1.0930697920864891
11.02.2014,38.0,38.33,38.48,37.79,22982800,38.33,-1.0732540800034414,-1.1089828175526522,-1.0732540800034414,-1.1057821397730907,-1.0824157063818982
12.02.2014,38.42,38.56,38.71,38.32,23626300,38.56,-1.0488946827554406,-1.0645149193552648,-1.0488946827554406,-1.081575941116764,-1.0259490521475667
13.02.2014,37.87,38.48,38.54,37.86,20639800,38.48,-1.0573675165808327,-1.1227466908042247,-1.0573675165808327,-1.0994674792540489,-1.0749578463886846
14.02.2014,38.26,38.22,38.45,38.13,18780600,38.22,-1.0849042265133546,-1.0814550710495079,-1.0849042265133546,-1.108939470032611,-1.046191814986289
18.02.2014,38.23,38.11,38.52,38.1,16217800,38.11,-1.0965543730232676,-1.0846313494921784,-1.0965543730232676,-1.101572366093729,-1.0493880406976663
19.02.2014,37.83,37.19,38.06,37.19,30294400,37.19,-1.193991962015269,-1.1269817287277855,-1.193991962015269,-1.1499847634063818,-1.1463402206094433
20.02.2014,37.42,37.15,37.46,36.96,25234100,37.15,-1.1982283789279646,-1.1703908674442822,-1.1982283789279646,-1.2131313685967984,-1.1708446177300018
21.02.2014,37.22,37.25,37.43,37.12,26881700,37.25,-1.1876373366462252,-1.1915660570620858,-1.1876373366462252,-1.2162886988563193,-1.1537980806026569
24.02.2014,37.3,37.8,38.19,37.29,23874000,37.8,-1.1293866040966596,-1.1830959812149648,-1.1293866040966596,-1.1363029989484588,-1.1356861349048524
