Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
09.03.2010,1.04,1.05,1.05,1.04,794817,1.05,-1.3407348310058707,-1.3415967743251718,-1.3407348310058707,-1.3415910718824717,-1.339974060389042
10.03.2010,1.06,1.04,1.07,1.04,564551,1.04,-1.3430355009640007,-1.3369948309899895,-1.3430355009640007,-1.337031393008228,-1.339974060389042
11.03.2010,1.06,1.06,1.08,1.06,1421872,1.06,-1.3384341610477402,-1.3369948309899895,-1.3384341610477402,-1.3347515535711063,-1.3353285918548026
14.03.2010,1.06,1.11,1.11,1.06,2370773,1.11,-1.3269308112570894,-1.3369948309899895,-1.3269308112570894,-1.3279120352597409,-1.3353285918548026
15.03.2010,1.11,1.11,1.11,1.11,0,1.11,-1.3269308112570894,-1.3254899726520337,-1.3269308112570894,-1.3279120352597409,-1.3237149205192038
16.03.2010,1.12,1.11,1.12,1.09,521205,1.11,-1.3269308112570894,-1.3231890009844427,-1.3269308112570894,-1.3256321958226192,-1.3283603890534434
17.03.2010,1.14,1.11,1.15,1.1,2223268,1.11,-1.3269308112570894,-1.3185870576492604,-1.3269308112570894,-1.3187926775112537,-1.3260376547863235
18.03.2010,1.11,1.11,1.11,1.11,0,1.11,-1.3269308112570894,-1.3254899726520337,-1.3269308112570894,-1.3279120352597409,-1.3237149205192038
21.03.2010,1.14,1.16,1.16,1.14,184059,1.16,-1.3154274614664385,-1.3185870576492604,-1.3154274614664385,-1.3165128380741318,-1.316746717717845
22.03.2010,1.21,1.21,1.21,1.16,184601,1.21,-1.3039241116757876,-1.3024802559761224,-1.3039241116757876,-1.3051136408885229,-1.3121012491836053
23.03.2010,1.25,1.25,1.26,1.24,3720887,1.25,-1.2947214318432667,-1.2932763693057576,-1.2947214318432667,-1.2937144437029138,-1.2935193750466476
24.03.2010,1.26,1.25,1.26,1.24,568086,1.25,-1.2947214318432667,-1.2909753976381666,-1.2947214318432667,-1.2937144437029138,-1.2935193750466476
