Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,144.06,144.01,145.22,143.58,1982100,144.01,-0.9729682205270608,-0.9724577864682031,-0.9729682205270608,-0.9752529561184262,-0.9617720924375129
03.01.2014,143.57,145.04,145.61,143.47,2147400,145.04,-0.9617427841513254,-0.9778011773872999,-0.9617427841513254,-0.9710469866177606,-0.9629839189190659
06.01.2014,145.85,146.03,147.46,145.63,2954000,146.03,-0.9509532870523176,-0.9529380522943601,-0.9509532870523176,-0.9510955928325528,-0.9391880534631198
07.01.2014,147.14,145.15,147.34,144.52,2734700,145.15,-0.9605439511403244,-0.9388707578338811,-0.9605439511403244,-0.9523897372942961,-0.9514164843224253
08.01.2014,145.32,145.27,145.65,144.31,2208600,145.27,-0.9592361333101417,-0.9587176383905259,-0.9592361333101417,-0.9706156051305129,-0.9537299712417535
09.01.2014,145.79,144.43,145.79,143.78,2149500,144.43,-0.9683908581214209,-0.9535923450599638,-0.9683908581214209,-0.9691057699251461,-0.9595687715619625
10.01.2014,144.43,145.23,145.49,144.1,2506500,145.23,-0.9596720725868695,-0.9684229810803137,-0.9596720725868695,-0.9723411310795039,-0.9560434581610817
13.01.2014,145.16,143.19,145.16,143.03,2823800,143.19,-0.9819049756999761,-0.9604624190988024,-0.9819049756999761,-0.9759000283492979,-0.9678312248452772
14.01.2014,143.5,143.78,144.51,143.05,2208800,143.78,-0.9754748713682443,-0.9785645189471708,-0.9754748713682443,-0.9829099775170737,-0.9676108927577219
15.01.2014,144.1,145.53,146.33,144.1,3540200,145.53,-0.9564025280114125,-0.9720215912911341,-0.9564025280114125,-0.9632821198473014,-0.9560434581610817
16.01.2014,145.53,142.61,145.56,142.07,4712200,142.61,-0.9882260952125259,-0.956427613710913,-0.9882260952125259,-0.9715862134768204,-0.9784071650479199
17.01.2014,142.48,143.51,144.33,142.07,3451000,143.51,-0.9784174614861555,-0.9896874959624334,-0.9784174614861555,-0.9848511942096883,-0.9784071650479199
21.01.2014,142.55,141.01,142.95,139.49,5141200,141.01,-1.0056636662816296,-0.9889241544025623,-1.0056636662816296,-0.9997338555197355,-1.006830004342522
22.01.2014,141.21,141.4,142.18,140.67,2476900,141.4,-1.0014132583335353,-1.0035366928343779,-1.0014132583335353,-1.0080379491492542,-0.993830411176774
23.01.2014,140.37,139.01,140.37,137.6,3977700,139.01,-1.0274606301180087,-1.0126967915528293,-1.0274606301180087,-1.0275579614472143,-1.027651386616475
24.01.2014,137.21,136.48,138.37,136.14,4156200,136.48,-1.0550337893710284,-1.0471562105412897,-1.0550337893710284,-1.0491270358096012,-1.0437356290079942
27.01.2014,136.02,134.08,136.45,133.05,5589600,134.08,-1.081190145974683,-1.060133017059096,-1.081190145974683,-1.0698333471974928,-1.07777693653525
28.01.2014,134.36,135.35,135.59,134.0,3170400,135.35,-1.0673490739385825,-1.0782351169074644,-1.0673490739385825,-1.0791080491733192,-1.0673111623763851
29.01.2014,133.49,133.44,135.23,133.21,3473700,133.44,-1.0881651744023246,-1.0877223620087177,-1.0881651744023246,-1.0829904825585488,-1.0760142798348096
30.01.2014,134.6,135.02,135.28,133.98,2829400,135.02,-1.0709455729715849,-1.0756179458450499,-1.0709455729715849,-1.082451255699489,-1.0675314944639402
31.01.2014,133.35,133.61,135.13,132.95,3415500,133.61,-1.0863124324762323,-1.08924904512846,-1.0863124324762323,-1.0840689362766682,-1.0788785969730257
03.02.2014,134.45,130.11,134.75,130.07,5079700,130.11,-1.1244571191898958,-1.0772536777590591,-1.1244571191898958,-1.0881670604055216,-1.1106064175809536
04.02.2014,130.99,131.69,132.35,130.14,3346600,131.69,-1.1072375177591565,-1.1149845605755377,-1.1072375177591565,-1.114049949640386,-1.109835255274511
05.02.2014,130.74,130.6,132.42,130.52,3212900,130.6,-1.119116863049983,-1.1177107804322197,-1.119116863049983,-1.1132950320377024,-1.1056489456109646
06.02.2014,131.21,131.69,131.89,130.34,3798000,131.69,-1.1072375177591565,-1.1125854871016576,-1.1072375177591565,-1.119010836743735,-1.1076319343989602
07.02.2014,132.52,131.83,132.62,130.48,4879900,131.83,-1.1057117302906097,-1.098300095052644,-1.1057117302906097,-1.1111381246014636,-1.106089609786075
10.02.2014,131.09,131.07,131.7,130.49,4321700,131.07,-1.113994576548434,-1.113894072632865,-1.113994576548434,-1.1210598988081617,-1.1059794437422972
11.02.2014,131.25,133.83,134.3,130.51,4996300,133.83,-1.0839147664542306,-1.1121492919245886,-1.0839147664542306,-1.0930201021370585,-1.1057591116547425
12.02.2014,133.92,133.11,134.52,132.89,3046600,133.11,-1.091761673435327,-1.083033263855225,-1.091761673435327,-1.090647503957196,-1.0795395932356908
13.02.2014,132.34,133.57,133.84,131.97,3119600,133.57,-1.08674837175296,-1.100262973349455,-1.08674837175296,-1.0979809892404075,-1.0896748692632232
