Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,29.45,29.38,29.48,29.27,1551300,29.38,0.19687222006611446,0.20877511782540348,0.19687222006611446,0.18871638634370283,0.20470467857375085
03.01.2014,29.1,29.13,29.3,29.09,1021100,29.13,0.15421123976258494,0.14905819919296556,0.15421123976258494,0.15804413649607338,0.17393810357161524
06.01.2014,29.41,29.27,29.51,29.26,1012200,29.27,0.17810138873256157,0.20195032712455355,0.17810138873256157,0.1938284279849746,0.20299542440696589
07.01.2014,29.88,29.92,30.08,29.8,1844900,29.92,0.2890199375217387,0.28214161785954195,0.2890199375217387,0.29095721916913414,0.2952951494133727
08.01.2014,30.07,29.93,30.13,29.89,1691800,29.93,0.2907263767338796,0.31455937368858006,0.2907263767338796,0.29947728857125355,0.3106784369144405
09.01.2014,29.84,29.8,29.86,29.71,1424000,29.8,0.2685426669760444,0.275316827158692,0.2685426669760444,0.2534689137998094,0.2799118619123049
10.01.2014,30.28,30.13,30.3,30.03,1484400,30.13,0.3248551609767031,0.3503895248680432,0.3248551609767031,0.3284455245384595,0.334607995249435
13.01.2014,29.9,29.75,30.03,29.75,1422900,29.75,0.26001047091533835,0.2855540132099669,0.26001047091533835,0.28243714976701534,0.28674887857944603
14.01.2014,29.95,29.94,29.98,29.85,897400,29.94,0.292432815946021,0.2940850015860296,0.292432815946021,0.2739170803648959,0.30384142024729943
15.01.2014,30.05,30.1,30.18,30.02,1328600,30.1,0.31973584334027993,0.31114697833815513,0.31973584334027993,0.307997357973373,0.33289874108264944
16.01.2014,30.07,29.84,30.07,29.66,1473500,29.84,0.27536842382460897,0.31455937368858006,0.27536842382460897,0.2892532052887106,0.2713655910783782
17.01.2014,30.08,29.96,30.12,29.94,3629300,29.96,0.2958456943703033,0.31626557136379224,0.2958456943703033,0.29777327469083004,0.3192247077483672
21.01.2014,30.14,30.01,30.16,29.89,1554500,30.01,0.3043778904310093,0.3265027574150678,0.3043778904310093,0.3045893302125254,0.3106784369144405
22.01.2014,30.07,30.02,30.07,29.92,1160500,30.02,0.3060843296431502,0.31455937368858006,0.3060843296431502,0.2892532052887106,0.31580619941479665
23.01.2014,29.81,29.56,29.82,29.48,2294000,29.56,0.22758812588465568,0.2701982341330542,0.22758812588465568,0.2466528582781141,0.2405990160762426
24.01.2014,29.03,28.65,29.04,28.64,1922900,28.65,0.07230215757980815,0.13711481546647783,0.07230215757980815,0.11373977560505272,0.09702166606627621
27.01.2014,28.53,28.33,28.65,28.24,1461000,28.33,0.017696102791290295,0.051804931705851695,0.017696102791290295,0.047283234268522024,0.02865149939486327
28.01.2014,28.51,28.45,28.59,28.37,935200,28.45,0.038173373336984645,0.04839253635542672,0.038173373336984645,0.037059150985979075,0.0508718035630728
29.01.2014,27.83,27.86,28.09,27.78,1873200,27.86,-0.06250654017934504,-0.06762890555902538,-0.06250654017934504,-0.04814154303521399,-0.04997419227726073
30.01.2014,28.18,28.15,28.22,28.05,1366000,28.15,-0.01301980302725092,-0.007911986926586847,-0.01301980302725092,-0.025989362589703965,-0.0038243297740573143
31.01.2014,27.63,27.73,27.97,27.61,1170300,27.73,-0.08469024993718022,-0.10175285906327573,-0.08469024993718022,-0.0685897096003005,-0.07903151311261136
03.02.2014,27.71,27.25,27.74,27.2,2066700,27.25,-0.166599332119957,-0.08810327766157523,-0.166599332119957,-0.10778202885004938,-0.1491109339508093
04.02.2014,27.54,27.62,27.66,27.47,1414100,27.62,-0.10346108127073313,-0.1171086381401884,-0.10346108127073313,-0.12141413989343998,-0.10296107144760587
05.02.2014,27.5,27.53,27.62,27.47,1107300,27.53,-0.11881903418000372,-0.12393342884103835,-0.11881903418000372,-0.12823019541513528,-0.10296107144760587
06.02.2014,27.59,27.76,27.87,27.56,1498000,27.76,-0.07957093230075649,-0.10857764976412568,-0.07957093230075649,-0.08562984840453874,-0.08757778394653806
07.02.2014,27.78,27.87,27.95,27.64,1551200,27.87,-0.060800100967203584,-0.07615989393508751,-0.060800100967203584,-0.07199773736114815,-0.07390375061225524
10.02.2014,27.64,27.67,27.73,27.59,1902800,27.67,-0.0949288852100271,-0.10004666138806294,-0.0949288852100271,-0.10948604273047291,-0.08245002144618192
11.02.2014,28.15,28.22,28.3,28.11,1513500,28.22,-0.001074728542262602,-0.013030579952224609,-0.001074728542262602,-0.012357251546312759,0.006431195226654354
12.02.2014,28.52,28.48,28.53,28.39,2224500,28.48,0.04329269097340838,0.05009873403063891,0.04329269097340838,0.026835067703436126,0.05429031189664335
13.02.2014,28.45,28.69,28.71,28.42,1403300,28.69,0.07912791442837333,0.0381553503041512,0.07912791442837333,0.05750731755106558,0.05941807439699949
14.02.2014,28.74,28.78,28.82,28.69,925700,28.78,0.09448586733764394,0.08763508288531421,0.09448586733764394,0.07625147023572795,0.10556793690020291
18.02.2014,29.26,29.39,29.57,29.24,2655500,29.39,0.1985786592782559,0.17635736199636595,0.1985786592782559,0.20405251126751756,0.19957691607339473
19.02.2014,29.53,29.31,29.7,29.23,2542100,29.31,0.18492714558112613,0.22242469922710398,0.18492714558112613,0.2262046917130276,0.19786766190660973
20.02.2014,29.26,29.25,29.37,29.13,1346500,29.25,0.17468851030827928,0.17635736199636595,0.17468851030827928,0.16997223365904046,0.18077512023875636
21.02.2014,29.5,29.25,29.59,29.24,1855300,29.25,0.17468851030827928,0.21730610620146623,0.17468851030827928,0.2074605390283652,0.19957691607339473
24.02.2014,28.26,28.56,28.63,28.2,2308800,28.56,0.05694420467053754,0.005737594475113653,0.05694420467053754,0.043875206507674375,0.02181448272772216
25.02.2014,28.29,28.21,28.37,28.12,1942400,28.21,-0.002781167754403444,0.010856187500750809,-0.002781167754403444,-0.0004291543833456814,0.008140449393439936
26.02.2014,28.19,28.16,28.29,28.07,1531000,28.16,-0.011313363815109473,-0.006205789251374056,-0.011313363815109473,-0.014061265426736887,-0.00040582144048675813
27.02.2014,28.4,28.68,28.71,28.36,1194000,28.68,0.07742147521623188,0.029624361928088466,0.07742147521623188,0.05750731755106558,0.04916254939628722
28.02.2014,28.52,28.43,28.63,28.34,1514600,28.43,0.034760494912702354,0.05009873403063891,0.034760494912702354,0.043875206507674375,0.04574404106271666
03.03.2014,28.05,28.13,28.17,28.01,1282700,28.13,-0.01643268145153321,-0.030092556704349474,-0.01643268145153321,-0.03450943199182279,-0.010661346441198425
04.03.2014,28.44,28.45,28.59,28.36,1004000,28.45,0.038173373336984645,0.03644915262893902,0.038173373336984645,0.037059150985979075,0.04916254939628722
05.03.2014,28.19,28.18,28.29,28.13,1733900,28.18,-0.007900485390827182,-0.006205789251374056,-0.007900485390827182,-0.014061265426736887,0.00984970356022491
06.03.2014,28.23,28.35,28.38,28.19,2097600,28.35,0.021108981215573194,0.00061900144947589,0.021108981215573194,0.001274859497077841,0.020105228560937185
07.03.2014,28.2,28.13,28.22,27.97,2144500,28.13,-0.01643268145153321,-0.004499591576161872,-0.01643268145153321,-0.025989362589703965,-0.017498363108340145
10.03.2014,27.8,27.79,27.88,27.63,2396000,27.79,-0.07445161466433335,-0.07274749858466255,-0.07445161466433335,-0.08392583452411523,-0.07561300477904082
11.03.2014,27.77,27.71,27.81,27.64,1722700,27.71,-0.08810312836146252,-0.07786609161030031,-0.08810312836146252,-0.09585393168708231,-0.07390375061225524
12.03.2014,27.49,27.54,27.63,27.41,2207900,27.54,-0.11711259496786289,-0.12563962651625116,-0.11711259496786289,-0.12652618153471176,-0.11321659644831754
13.03.2014,27.73,27.35,27.73,27.29,2023900,27.35,-0.14953493999854495,-0.08469088231115025,-0.14953493999854495,-0.10948604273047291,-0.13372764644974147
14.03.2014,27.46,27.36,27.6,27.31,2169300,27.36,-0.1478285007864041,-0.1307582195418883,-0.1478285007864041,-0.13163822317598292,-0.13030913811617093
17.03.2014,27.34,27.4,27.54,27.34,1321600,27.4,-0.14100274393783951,-0.15123259164443875,-0.14100274393783951,-0.1418623064585265,-0.1251813756158148
18.03.2014,27.29,27.34,27.43,27.27,1498200,27.34,-0.1512413792106864,-0.15976358002050148,-0.1512413792106864,-0.16060645914318886,-0.13714615478331205
19.03.2014,27.23,27.01,27.24,26.81,2744900,27.01,-0.20755387321134508,-0.1700007660717764,-0.20755387321134508,-0.19298272287124246,-0.21577184645543665
20.03.2014,26.9,27.11,27.13,26.8,3758400,27.11,-0.19048948108993363,-0.22630528935378996,-0.19048948108993363,-0.21172687555590483,-0.21748110062222162
21.03.2014,27.31,27.34,27.51,27.24,1405100,27.34,-0.1512413792106864,-0.1563511846700765,-0.1512413792106864,-0.14697434809979765,-0.14227391728366817
24.03.2014,27.66,27.59,27.7,27.47,1320400,27.59,-0.10858039890715686,-0.09663426603763796,-0.10858039890715686,-0.11459808437174468,-0.10296107144760587
25.03.2014,27.84,27.83,27.95,27.73,1980700,27.83,-0.06762585781576877,-0.0659227078838126,-0.06762585781576877,-0.07199773736114815,-0.05852046311118742
