Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,43.36,43.29,43.5,43.11,15627600,43.29,-1.263354503298437,-1.2622214012072925,-1.263354503298437,-1.2685875720008448,-1.257911637507919
03.01.2014,43.34,43.62,43.84,43.29,14214100,43.62,-1.2556739082910895,-1.262687282638863,-1.2556739082910895,-1.2607382548456116,-1.2536829980527213
06.01.2014,43.99,43.87,44.22,43.75,17550700,43.87,-1.2498552757097658,-1.2475461361128166,-1.2498552757097658,-1.2519654886132923,-1.2428764750005499
07.01.2014,44.09,43.37,44.19,43.21,17851200,43.37,-1.2614925408724134,-1.2452167289549632,-1.2614925408724134,-1.252658075421107,-1.2555623933661424
08.01.2014,43.53,43.78,43.81,43.35,14687400,43.78,-1.2519499834390422,-1.258261409038942,-1.2519499834390422,-1.2614308416534263,-1.2522734515676555
09.01.2014,43.86,43.69,43.87,43.37,13242500,43.69,-1.254044691168319,-1.250574365418026,-1.254044691168319,-1.2600456680377972,-1.2518036027393002
10.01.2014,43.63,43.49,43.69,43.26,12694900,43.49,-1.2586995972333779,-1.2559320018810884,-1.2586995972333779,-1.2642011888846851,-1.2543877712952543
13.01.2014,43.51,42.91,43.63,42.78,20711600,42.91,-1.272198824822049,-1.2587272904705125,-1.272198824822049,-1.2655863625003145,-1.2656641431757811
14.01.2014,43.35,42.94,43.56,42.8,30272400,42.94,-1.2715005889122903,-1.2624543419230778,-1.2715005889122903,-1.2672023983852154,-1.265194294347426
15.01.2014,42.93,44.24,44.36,42.93,35186600,44.24,-1.2412436994894065,-1.2722378519860618,-1.2412436994894065,-1.2487334168434903,-1.2621402769631165
16.01.2014,43.72,43.87,44.48,43.68,21689400,43.87,-1.2498552757097658,-1.2538355354390205,-1.2498552757097658,-1.2459630696122315,-1.2445209458997932
17.01.2014,44.03,43.21,44.04,43.15,20997900,43.21,-1.2652164657244604,-1.2466143732496753,-1.2652164657244604,-1.2561210094601805,-1.2569719398512085
21.01.2014,43.2,43.26,43.46,42.82,19548300,43.26,-1.2640527392081957,-1.2659484526598577,-1.2640527392081957,-1.2695110210779312,-1.2647244455190705
22.01.2014,43.37,42.82,43.37,42.7,15433500,42.82,-1.2742935325513256,-1.2619884604915073,-1.2742935325513256,-1.2715887815013753,-1.2675435384892022
23.01.2014,42.45,41.99,42.46,41.8,26234600,41.99,-1.2936113927213206,-1.2834190063437574,-1.2936113927213206,-1.2925972480050878,-1.2886867357651903
24.01.2014,41.64,40.97,41.91,40.97,26833100,40.97,-1.3173514136531217,-1.3022872043223692,-1.3173514136531217,-1.3052946728150239,-1.3081854621419347
27.01.2014,40.96,40.97,41.49,40.67,23935000,40.97,-1.3173514136531217,-1.3181271729957718,-1.3173514136531217,-1.3149908881244294,-1.3152331945672637
28.01.2014,41.19,41.45,41.89,41.08,18041000,41.45,-1.30617963909698,-1.3127695365327092,-1.30617963909698,-1.3057563973535669,-1.3056012935859804
29.01.2014,40.87,41.29,41.55,40.79,25459000,41.29,-1.3099035639490273,-1.32022363943784,-1.3099035639490273,-1.3136057145088003,-1.312414101597132
30.01.2014,41.69,41.64,41.93,41.37,17031100,41.64,-1.301757478335174,-1.3011225007434428,-1.301757478335174,-1.3048329482764807,-1.2987884855748288
31.01.2014,41.27,41.17,41.72,41.03,18174000,41.17,-1.3126965075880626,-1.3109060108064265,-1.3126965075880626,-1.3096810559311836,-1.3067759156568686
03.02.2014,41.27,40.39,41.58,40.3,28549900,40.39,-1.3308506412417929,-1.3109060108064265,-1.3308506412417929,-1.3129131277009856,-1.3239253978918366
04.02.2014,40.69,40.86,41.16,40.6,20709300,40.86,-1.319911611988904,-1.3244165723219758,-1.319911611988904,-1.3226093430103913,-1.3168776654665073
05.02.2014,40.97,41.05,41.23,40.59,19491600,41.05,-1.315489451227098,-1.3178942322799865,-1.315489451227098,-1.3209933071254902,-1.3171125898806848
06.02.2014,41.16,42.0,42.05,41.05,20881600,42.0,-1.2933786474180677,-1.3134683586800653,-1.2933786474180677,-1.3020626010452219,-1.3063060668285134
07.02.2014,42.13,42.1,42.33,41.84,23388500,42.1,-1.291051194385538,-1.290873109248888,-1.291051194385538,-1.295598457505618,-1.2877470381084795
10.02.2014,42.21,42.19,42.33,41.93,14715200,42.19,-1.2889564866562615,-1.2890095835226054,-1.2889564866562615,-1.295598457505618,-1.285632718380881
11.02.2014,42.1,42.71,42.81,42.07,18774100,42.71,-1.276853730887108,-1.2915719313962442,-1.276853730887108,-1.284517068580583,-1.2823437765823937
