Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
25.05.2006,3.68,4.2,4.21,3.67,395343000,4.2,-1.0144941479836462,-1.018128701465809,-1.0144941479836462,-1.0153297428484545,-1.0173237749488286
26.05.2006,4.23,4.11,4.27,4.03,103044000,4.11,-1.0151281762398634,-1.0142533000230125,-1.0151281762398634,-1.0149108677139178,-1.0147626424724236
30.05.2006,4.11,4.02,4.11,3.92,49898000,4.02,-1.0157622044960808,-1.0150988421559861,-1.0157622044960808,-1.0160278680726824,-1.015545210729103
31.05.2006,4.05,4.11,4.15,4.05,30002000,4.11,-1.0151281762398634,-1.0155216132224731,-1.0151281762398634,-1.0157486179829913,-1.0146203573348456
01.06.2006,4.11,4.34,4.4,4.1,62344000,4.34,-1.013507881807308,-1.0150988421559861,-1.013507881807308,-1.0140033049224213,-1.0142646444909007
02.06.2006,4.43,4.29,4.45,4.28,37253000,4.29,-1.0138601197274288,-1.0128440631347229,-1.0138601197274288,-1.0136542423103074,-1.0129840782526982
05.06.2006,4.3,4.49,4.5,4.3,37188000,4.49,-1.0124511680469457,-1.013760067112111,-1.0124511680469457,-1.0133051796981933,-1.0128417931151201
06.06.2006,4.57,4.41,4.63,4.37,49045000,4.41,-1.013014748719139,-1.0118575973129202,-1.013014748719139,-1.012397616906697,-1.012343795133597
07.06.2006,4.42,4.35,4.42,4.27,25013000,4.35,-1.013437434223284,-1.0129145249791374,-1.013437434223284,-1.013863679877576,-1.0130552208214871
08.06.2006,4.35,4.36,4.36,4.16,34439000,4.36,-1.0133669866392596,-1.0134077578900387,-1.0133669866392596,-1.0142825550121124,-1.0138377890781665
09.06.2006,4.46,4.37,4.46,4.36,13372000,4.37,-1.0132965390552355,-1.0126326776014793,-1.0132965390552355,-1.0135844297878847,-1.012414937702386
12.06.2006,4.39,4.29,4.41,4.23,14546000,4.29,-1.0138601197274288,-1.0131259105123809,-1.0138601197274288,-1.0139334923999985,-1.0133397910966435
13.06.2006,4.22,4.16,4.33,4.14,16716000,4.16,-1.0147759383197428,-1.014323761867427,-1.0147759383197428,-1.014491992579381,-1.0139800742157445
14.06.2006,4.1,4.12,4.15,4.06,15971000,4.12,-1.0150577286558393,-1.0151693040004008,-1.0150577286558393,-1.0157486179829913,-1.0145492147660566
15.06.2006,4.15,4.2,4.22,4.12,16500000,4.2,-1.0144941479836462,-1.0148169947783283,-1.0144941479836462,-1.0152599303260317,-1.0141223593533226
16.06.2006,4.16,4.11,4.2,4.11,12280000,4.11,-1.0151281762398634,-1.0147465329339138,-1.0151281762398634,-1.0153995553708774,-1.0141935019221116
19.06.2006,4.15,4.05,4.15,4.03,11509000,4.05,-1.0155508617440083,-1.0148169947783283,-1.0155508617440083,-1.0157486179829913,-1.0147626424724236
20.06.2006,4.09,4.02,4.11,3.97,23792000,4.02,-1.0157622044960808,-1.0152397658448151,-1.0157622044960808,-1.0160278680726824,-1.0151894978851579
21.06.2006,4.02,4.14,4.19,4.02,18063000,4.14,-1.0149168334877912,-1.0157329987557164,-1.0149168334877912,-1.0154693678933002,-1.0148337850412128
22.06.2006,4.24,4.26,4.29,4.19,13038000,4.26,-1.0140714624795013,-1.014182838178598,-1.0140714624795013,-1.0147712426690723,-1.0136243613717995
23.06.2006,4.29,4.29,4.38,4.28,11612000,4.29,-1.0138601197274288,-1.0138305289565257,-1.0138601197274288,-1.014142929967267,-1.0129840782526982
26.06.2006,4.29,4.34,4.34,4.24,8565000,4.34,-1.013507881807308,-1.0138305289565257,-1.013507881807308,-1.0144221800569582,-1.0132686485278544
27.06.2006,4.34,4.32,4.39,4.32,9826000,4.32,-1.0136487769753564,-1.0134782197344532,-1.0136487769753564,-1.0140731174448443,-1.0126995079775423
