Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,23.82,23.59,23.92,23.55,9674500,23.59,-1.0819029586493334,-1.0730110517474445,-1.0819029586493334,-1.0798344037872791,-1.0726570474052075
03.01.2014,23.7,23.96,24.1,23.67,7809100,23.96,-1.067309755080092,-1.0777455677590058,-1.067309755080092,-1.0728073410447176,-1.0678734977781679
06.01.2014,24.14,24.04,24.28,23.93,8971400,24.04,-1.0641544678218777,-1.060385675716614,-1.0641544678218777,-1.0657802783021562,-1.0575091402529153
07.01.2014,24.18,23.96,24.25,23.88,9135600,23.96,-1.067309755080092,-1.0588075037127602,-1.067309755080092,-1.0669514554259165,-1.0595022859308485
08.01.2014,24.0,24.0,24.21,23.85,8891300,24.0,-1.0657321114509848,-1.0659092777301022,-1.0657321114509848,-1.0685130249242636,-1.0606981733376084
09.01.2014,24.07,23.99,24.13,23.84,7274700,23.99,-1.0661265223582617,-1.0631474767233582,-1.0661265223582617,-1.0716361639209575,-1.061096802473195
10.01.2014,24.01,23.8,24.05,23.65,10426500,23.8,-1.0736203295965208,-1.0655147347291387,-1.0736203295965208,-1.0747593029176514,-1.0686707560493411
13.01.2014,23.8,23.47,23.96,23.38,9520100,23.47,-1.086635889536655,-1.0738001377493713,-1.086635889536655,-1.0782728342889323,-1.0794337427101806
14.01.2014,23.39,23.65,23.74,23.27,13621400,23.65,-1.0795364932056728,-1.0899764007888726,-1.0795364932056728,-1.0868614665298408,-1.0838186632016336
15.01.2014,24.15,24.5,24.51,23.9,17311400,24.5,-1.0460115660871452,-1.0599911327156506,-1.0460115660871452,-1.056801253686661,-1.0587050276596752
16.01.2014,24.35,24.33,24.38,23.97,21828600,24.33,-1.0527165515108508,-1.0521002726963815,-1.0527165515108508,-1.0618763545562888,-1.0559146237105688
17.01.2014,24.97,25.39,25.49,24.79,32022900,25.39,-1.0109089953395103,-1.0276386066366479,-1.0109089953395103,-1.0185428009771593,-1.0232270345924641
