Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,10.9,10.96,11.1,10.9,159200,10.96,-1.3964460290766179,-1.3989792087851245,-1.3964460290766179,-1.3965378641581943,-1.3928339422218878
05.01.2004,11.1,11.04,11.1,11.02,171600,11.04,-1.3933800784719974,-1.3913103261375133,-1.3933800784719974,-1.3965378641581943,-1.3882076930663116
06.01.2004,11.04,11.0,11.05,10.98,183600,11.0,-1.3949130537743075,-1.3936109909317966,-1.3949130537743075,-1.3984440142655783,-1.38974977611817
07.01.2004,10.99,10.92,11.0,10.9,113800,10.92,-1.397979004378928,-1.3955282115936993,-1.397979004378928,-1.400350164372962,-1.3928339422218878
08.01.2004,10.92,10.97,10.99,10.88,174800,10.97,-1.3960627852510403,-1.3982123205203631,-1.3960627852510403,-1.4007313943944386,-1.393604983747817
09.01.2004,10.96,10.97,11.07,10.92,120600,10.97,-1.3960627852510403,-1.3966785439908411,-1.3960627852510403,-1.3976815542226246,-1.3920629006959582
12.01.2004,10.96,11.0,11.04,10.93,191000,11.0,-1.3949130537743075,-1.3966785439908411,-1.3949130537743075,-1.3988252442870548,-1.3916773799329936
13.01.2004,11.0,10.97,11.09,10.97,175200,10.97,-1.3960627852510403,-1.3951447674613189,-1.3960627852510403,-1.396919094179671,-1.390135296881135
14.01.2004,10.95,10.86,10.95,10.82,210200,10.86,-1.4002784673323934,-1.3970619881232216,-1.4002784673323934,-1.4022563144803455,-1.3959181083256051
15.01.2004,10.86,10.83,10.92,10.78,116600,10.83,-1.4014281988091262,-1.4005129853146467,-1.4014281988091262,-1.4034000045447759,-1.3974601913774638
16.01.2004,10.83,10.88,10.92,10.79,112600,10.88,-1.399511979681238,-1.4016633177117883,-1.399511979681238,-1.4034000045447759,-1.3970746706144992
20.01.2004,11.07,11.09,11.16,11.03,170600,11.09,-1.3914638593441098,-1.3924606585346548,-1.3914638593441098,-1.394250484029334,-1.3878221723033468
21.01.2004,11.05,11.02,11.05,10.95,162200,11.02,-1.3941465661231522,-1.3932275467994162,-1.3941465661231522,-1.3984440142655783,-1.3909063384070641
22.01.2004,11.06,11.16,11.17,11.03,75200,11.16,-1.3887811525650664,-1.3928441026670353,-1.3887811525650664,-1.393869254007857,-1.3878221723033468
23.01.2004,11.04,11.04,11.1,10.98,254000,11.04,-1.3933800784719974,-1.3936109909317966,-1.3933800784719974,-1.3965378641581943,-1.38974977611817
