Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,51.35,51.23,51.47,50.88,10654000,51.23,-1.3941137158614978,-1.3923763979284718,-1.3941137158614978,-1.3970906392241391,-1.3921641746914408
03.01.2014,51.4,51.26,51.57,51.05,7809600,51.26,-1.3936920324890352,-1.3916735097022357,-1.3936920324890352,-1.395696972140476,-1.389753474733288
06.01.2014,51.27,50.96,51.53,50.9,8577600,50.96,-1.3979088662136612,-1.3935010190904489,-1.3979088662136612,-1.396254438973941,-1.391880562931658
07.01.2014,51.17,51.35,51.48,51.1,8178000,51.35,-1.392426982371647,-1.3949067955429206,-1.392426982371647,-1.396951272515773,-1.3890444453338313
08.01.2014,51.32,51.51,51.69,51.14,8487200,51.51,-1.3901780043851797,-1.3927981308642132,-1.3901780043851797,-1.3940245716400799,-1.3884772218142658
09.01.2014,51.82,51.44,52.04,51.38,8386400,51.44,-1.3911619322542592,-1.385769248601855,-1.3911619322542592,-1.3891467368472585,-1.3850738806968736
10.01.2014,51.42,51.26,51.63,51.0,6429600,51.26,-1.3936920324890352,-1.3913923544117415,-1.3936920324890352,-1.394860771890278,-1.3904625041327447
13.01.2014,51.46,50.74,51.97,50.67,13554400,50.74,-1.4010012109450538,-1.3908300438307528,-1.4010012109450538,-1.3901223038058228,-1.395142098169159
14.01.2014,50.7,51.61,51.61,50.61,10851600,51.61,-1.3887723931436375,-1.4015139448695375,-1.3887723931436375,-1.3951395053070106,-1.395992933448507
15.01.2014,51.66,51.87,52.13,51.42,11288000,51.87,-1.385117803915628,-1.3880184909258095,-1.385117803915628,-1.3878924364719616,-1.3845066571773081
16.01.2014,51.73,51.41,51.87,51.29,13514000,51.41,-1.3915836156267218,-1.3870344474090794,-1.3915836156267218,-1.391515970889486,-1.3863501336158959
17.01.2014,51.47,53.82,53.84,51.47,38344400,53.82,-1.3577083847055564,-1.3906894661855056,-1.3577083847055564,-1.3640607293413192,-1.3837976277778514
21.01.2014,54.33,53.76,54.59,53.5,19752400,53.76,-1.358551751450482,-1.3504842596448159,-1.358551751450482,-1.3536082262138445,-1.3550110341599084
22.01.2014,53.87,54.01,54.2,53.7,7254400,54.01,-1.3550377233466264,-1.3569508313261855,-1.3550377233466264,-1.3590435278401312,-1.3521749165620816
23.01.2014,53.7,52.91,53.85,52.77,13662400,52.91,-1.3704994470035898,-1.3593406512953874,-1.3704994470035898,-1.363921362632953,-1.3653628633919765
24.01.2014,52.48,51.28,52.61,51.28,16043200,51.28,-1.3934109102407266,-1.376491124015542,-1.3934109102407266,-1.3812028344703777,-1.386491939495787
27.01.2014,51.47,50.12,51.47,49.86,19470800,50.12,-1.4097160006426153,-1.3906894661855056,-1.4097160006426153,-1.3970906392241391,-1.406628374440358
28.01.2014,50.44,51.22,51.54,50.39,17852400,51.22,-1.3942542769856519,-1.4051689636459639,-1.3942542769856519,-1.396115072265575,-1.3991126628061168
29.01.2014,50.79,50.33,51.17,50.18,16800000,50.33,-1.4067642170353767,-1.4002487460623132,-1.4067642170353767,-1.401271640475129,-1.4020905862838349
30.01.2014,52.33,51.2,52.39,50.14,20040400,51.2,-1.3945353992339602,-1.3785997886942494,-1.3945353992339602,-1.384268902054437,-1.4026578098034004
31.01.2014,50.1,49.94,50.74,49.86,24457200,49.94,-1.412246100877391,-1.4099486035843676,-1.412246100877391,-1.4072644089348811,-1.406628374440358
03.02.2014,50.19,49.48,50.49,49.16,21662400,49.48,-1.418711912588485,-1.408683404777143,-1.418711912588485,-1.4107485766440393,-1.416554786032752
04.02.2014,49.64,49.73,50.04,49.0,14913600,49.73,-1.4151978844846298,-1.4164151752657372,-1.4151978844846298,-1.4170200785205245,-1.4188236801110137
05.02.2014,49.43,49.98,50.24,49.4,13520800,49.98,-1.4116838563807743,-1.4193673058159277,-1.4116838563807743,-1.4142327443531977,-1.4131514449153597
06.02.2014,50.09,50.77,50.77,50.02,12721600,50.77,-1.4005795275725912,-1.4100891812296146,-1.4005795275725912,-1.406846308809782,-1.4043594803620962
07.02.2014,51.04,51.41,51.46,50.64,12537200,51.41,-1.3915836156267218,-1.396734304931134,-1.3915836156267218,-1.3972300059325053,-1.395567515808833
10.02.2014,51.43,51.12,51.49,50.99,10316800,51.12,-1.3956598882271938,-1.3912517767664943,-1.3956598882271938,-1.3968119058074064,-1.390604310012636
11.02.2014,51.26,51.54,51.67,51.01,9809600,51.54,-1.389756321012717,-1.3936415967356963,-1.389756321012717,-1.3943033050568125,-1.3903206982528535
12.02.2014,51.89,52.06,52.22,51.76,14650800,52.06,-1.382447142556698,-1.3847852050851246,-1.382447142556698,-1.3866381360966644,-1.3796852572610026
