Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,15.1,14.86,15.11,14.77,8220700,14.86,-0.40412542242235944,-0.3985355119922961,-0.40412542242235944,-0.4053046636585723,-0.39899165011649984
05.01.2004,15.05,15.2,15.27,15.01,9156000,15.2,-0.396082365793307,-0.399717601769772,-0.396082365793307,-0.40159456325464127,-0.3931944602204084
06.01.2004,15.21,15.61,15.82,15.05,14592200,15.61,-0.3863833857406262,-0.39593491448184887,-0.3863833857406262,-0.38884109311612836,-0.3922282619043931
07.01.2004,15.78,15.66,15.99,15.49,15329300,15.66,-0.3852005832951773,-0.38245909101862285,-0.3852005832951773,-0.3848991114369516,-0.38160008042822535
08.01.2004,15.95,15.93,16.0,15.59,11764600,15.93,-0.37881345008975337,-0.3784399857752045,-0.37881345008975337,-0.38466723016170595,-0.3791845846381872
09.01.2004,15.74,15.54,15.8,15.4,14421800,15.54,-0.38803930916425466,-0.3834047628406036,-0.38803930916425466,-0.3893048556666197,-0.38377402663925964
12.01.2004,15.7,15.77,15.77,15.44,8306700,15.77,-0.3825984179151898,-0.38435043466258434,-0.3825984179151898,-0.3900004994923568,-0.38280782832324445
13.01.2004,15.84,15.19,15.85,15.14,12812000,15.19,-0.3963189262823968,-0.3810405832856516,-0.3963189262823968,-0.38814544929039124,-0.39005431569335874
14.01.2004,15.35,15.2,15.37,15.11,13103400,15.2,-0.396082365793307,-0.3926250631049162,-0.396082365793307,-0.39927575050218445,-0.39077896443037025
15.01.2004,15.25,15.9,15.92,15.14,15471500,15.9,-0.37952313155702266,-0.3949892426598681,-0.37952313155702266,-0.3865222803636714,-0.39005431569335874
16.01.2004,16.01,16.76,17.08,15.9,25060000,16.76,-0.3591789294953019,-0.37702147804223324,-0.3591789294953019,-0.35962405243517154,-0.37169654768906907
20.01.2004,17.24,17.38,17.5,16.8,21899500,17.38,-0.3445121791717359,-0.3479420695163244,-0.3445121791717359,-0.34988503887485256,-0.34995708557872596
21.01.2004,16.7,15.9,16.7,15.73,28796300,15.9,-0.37952313155702266,-0.3607086391130649,-0.37952313155702266,-0.3684355408945077,-0.37580289053213384
22.01.2004,15.93,15.43,16.1,15.18,17510800,15.43,-0.3906414745442422,-0.3789128216861949,-0.3906414745442422,-0.382348417409249,-0.38908811737734356
23.01.2004,15.43,15.32,15.55,15.16,8128200,15.32,-0.3932436399242297,-0.3907337194609546,-0.3932436399242297,-0.395101887547762,-0.38957121653535115
26.01.2004,15.19,15.6,15.62,15.18,7286300,15.6,-0.386619946229716,-0.39640775039283926,-0.386619946229716,-0.3934787186210422,-0.38908811737734356
27.01.2004,15.8,15.56,16.08,15.54,11138900,15.56,-0.38756618818607513,-0.3819862551076324,-0.38756618818607513,-0.3828121799597405,-0.3803923325332063
28.01.2004,15.9,15.3,15.99,15.25,8797800,15.3,-0.39371676090240926,-0.3796220755526804,-0.39371676090240926,-0.3848991114369516,-0.38739727032431687
29.01.2004,15.5,14.68,15.6,14.25,19116800,14.68,-0.4083835112259754,-0.3890787937724882,-0.4083835112259754,-0.3939424811715335,-0.41155222822469806
30.01.2004,14.71,14.86,15.0,14.54,8183200,14.86,-0.40412542242235944,-0.4077558122566086,-0.40412542242235944,-0.4078553576862749,-0.4045472904335875
02.02.2004,15.0,14.64,15.2,14.6,8095100,14.64,-0.40932975318233444,-0.40089969154724797,-0.40932975318233444,-0.40321773218136114,-0.4030979929595646
03.02.2004,14.59,14.75,14.91,14.52,8265700,14.75,-0.40672758780234697,-0.41059282772255096,-0.40672758780234697,-0.4099422891634861,-0.40503038959159515
04.02.2004,14.52,14.13,14.67,14.05,12061600,14.13,-0.4213943381259131,-0.4122477534110173,-0.4213943381259131,-0.4155074397693826,-0.4163832198047743
05.02.2004,14.15,14.17,14.34,14.06,10378500,14.17,-0.420448096169554,-0.42099521776433946,-0.420448096169554,-0.4231595218524904,-0.4161416702257704
06.02.2004,14.2,14.94,14.99,14.18,8494600,14.94,-0.40223293850964115,-0.4198131279868636,-0.40223293850964115,-0.40808723896152055,-0.41324307527772475
09.02.2004,15.01,15.06,15.45,14.95,8048500,15.06,-0.3993942126405639,-0.40066327359175274,-0.3993942126405639,-0.39742070030021887,-0.3946437576944312
10.02.2004,15.14,15.54,15.56,15.06,8680200,15.54,-0.38803930916425466,-0.39758984017031523,-0.38803930916425466,-0.3948700062725162,-0.39198671232538923
11.02.2004,15.6,15.71,15.85,15.55,10284600,15.71,-0.38401778084972843,-0.38671461421753633,-0.38401778084972843,-0.38814544929039124,-0.38015078295420246
12.02.2004,15.71,15.09,15.71,14.97,9645500,15.09,-0.39868453117329455,-0.3841140167070891,-0.39868453117329455,-0.39139178714383094,-0.3941606585364236
13.02.2004,15.25,14.94,15.4,14.76,10415300,14.94,-0.40223293850964115,-0.3949892426598681,-0.40223293850964115,-0.39858010667644733,-0.3992331996955037
17.02.2004,15.12,14.93,15.25,14.82,8034900,14.93,-0.40246949899873097,-0.39806267608130563,-0.40246949899873097,-0.4020583258051327,-0.39778390222148075
18.02.2004,14.98,15.3,15.45,14.96,11626900,15.3,-0.39371676090240926,-0.40137252745823837,-0.39371676090240926,-0.39742070030021887,-0.39440220811542737
19.02.2004,15.54,14.97,15.58,14.93,10773400,14.97,-0.4015232570423718,-0.3881331219505075,-0.4015232570423718,-0.39440624372202493,-0.3951268568524388
20.02.2004,14.97,14.65,15.02,14.64,9848800,14.65,-0.4090931926932447,-0.4016089454137335,-0.4090931926932447,-0.40739159513578355,-0.40213179464354937
23.02.2004,14.5,13.99,14.64,13.92,14379100,13.99,-0.42470618497317,-0.4127205893220077,-0.42470618497317,-0.4162030835951197,-0.4195233643318238
24.02.2004,13.95,14.01,14.22,13.6,11948100,14.01,-0.42423306399499033,-0.42572357687424345,-0.42423306399499033,-0.4259420971554387,-0.4272529508599458
25.02.2004,14.39,14.52,14.61,14.23,8487800,14.52,-0.4121684790514118,-0.41532118683245484,-0.4121684790514118,-0.4168987274208568,-0.41203532738270565
26.02.2004,14.6,15.05,15.3,14.52,13674000,15.05,-0.39963077312965367,-0.41035640976705584,-0.39963077312965367,-0.4008989194289042,-0.40503038959159515
27.02.2004,15.2,15.0,15.28,14.78,8132200,15.0,-0.40081357557510255,-0.3961713324373441,-0.40081357557510255,-0.40136268197939556,-0.398750100537496
01.03.2004,14.66,14.89,14.97,14.59,11163200,14.89,-0.4034157409550901,-0.4089379020340846,-0.4034157409550901,-0.408551001512012,-0.40333954253856846
02.03.2004,15.07,14.93,15.29,14.91,8095500,14.93,-0.40246949899873097,-0.3992447658587816,-0.40246949899873097,-0.4011308007041499,-0.39560995601044646
03.03.2004,14.95,14.7,14.95,14.57,5509000,14.7,-0.40791039024779585,-0.40208178132472394,-0.40791039024779585,-0.40901476406250337,-0.40382264169657606
04.03.2004,14.76,15.39,15.41,14.73,12029700,15.39,-0.39158771650060126,-0.4065737224791326,-0.39158771650060126,-0.3983482254012016,-0.39995784843251503
05.03.2004,15.1,15.36,15.62,15.03,10252800,15.36,-0.3922973979678706,-0.3985355119922961,-0.3922973979678706,-0.3934787186210422,-0.3927113610624007
08.03.2004,15.49,14.7,15.58,14.67,9805200,14.7,-0.40791039024779585,-0.38931521172798345,-0.40791039024779585,-0.39440624372202493,-0.4014071459065379
09.03.2004,14.71,14.53,14.84,14.33,9106900,14.53,-0.4119319185623221,-0.4077558122566086,-0.4119319185623221,-0.41156545809020595,-0.40961983159266757
10.03.2004,14.43,14.43,14.88,14.3,11520600,14.43,-0.4142975234532198,-0.4143755150104741,-0.4142975234532198,-0.41063793298922313,-0.41034448032967896
11.03.2004,14.22,14.44,14.77,14.2,8706100,14.44,-0.41406096296413,-0.4193402920758731,-0.41406096296413,-0.41318862701692577,-0.4127599761197171
12.03.2004,14.74,15.0,15.0,14.66,10345900,15.0,-0.40081357557510255,-0.4070465583901231,-0.40081357557510255,-0.4078553576862749,-0.4016486954855417
15.03.2004,14.88,14.6,14.9,13.7,6979500,14.6,-0.4102759951386936,-0.4037367070131903,-0.4102759951386936,-0.41017417043873183,-0.4248374550699077
16.03.2004,14.79,14.92,15.05,14.63,8655500,14.92,-0.4027060594878208,-0.4058644686126471,-0.4027060594878208,-0.40669595131004643,-0.4023733442225531
17.03.2004,15.02,15.35,15.4,15.02,7906000,15.35,-0.39253395845696043,-0.4004268556362576,-0.39253395845696043,-0.39858010667644733,-0.39295291064140453
18.03.2004,15.5,15.35,15.83,15.32,13594800,15.35,-0.39253395845696043,-0.3890787937724882,-0.39253395845696043,-0.3886092118408827,-0.3857064232712901
19.03.2004,15.27,15.25,15.59,15.17,8134500,15.25,-0.39489956334785814,-0.3945164067488777,-0.39489956334785814,-0.3941743624467792,-0.3893296669563473
22.03.2004,15.05,14.79,15.05,14.57,9707900,14.79,-0.40578134584598785,-0.399717601769772,-0.40578134584598785,-0.40669595131004643,-0.40382264169657606
23.03.2004,15.07,14.86,15.09,14.72,11668900,14.86,-0.40412542242235944,-0.3992447658587816,-0.40412542242235944,-0.40576842620906367,-0.4001993980115189
