Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2004,2.64,2.6,2.66,2.57,132798000,2.6,-0.8146722322001899,-0.8137524367555203,-0.8146722322001899,-0.8140686355113498,-0.8144128943372453
05.01.2004,2.6,2.66,2.68,2.57,225682000,2.66,-0.8136402473729505,-0.8144400528598543,-0.8136402473729505,-0.8137286890376628,-0.8144128943372453
06.01.2004,2.66,2.65,2.67,2.64,119710000,2.65,-0.813812244844157,-0.8134086287033533,-0.813812244844157,-0.8138986622745062,-0.8131942005178209
07.01.2004,2.61,2.6,2.63,2.55,184854000,2.6,-0.8146722322001899,-0.8142681488337709,-0.8146722322001899,-0.8145785552218803,-0.8147610925713665
08.01.2004,2.6,2.51,2.61,2.5,206406000,2.51,-0.8162202094410493,-0.8144400528598543,-0.8162202094410493,-0.8149185016955673,-0.8156315881566697
09.01.2004,2.49,2.58,2.61,2.45,255584000,2.58,-0.8150162271426031,-0.8163309971467728,-0.8150162271426031,-0.8149185016955673,-0.8165020837419728
12.01.2004,2.58,2.65,2.65,2.54,189018000,2.65,-0.813812244844157,-0.8147838609120214,-0.813812244844157,-0.8142386087481933,-0.8149351916884272
13.01.2004,2.63,2.75,2.75,2.62,290446000,2.75,-0.8120922701320911,-0.8139243407816038,-0.8120922701320911,-0.8125388763797582,-0.8135423987519422
14.01.2004,2.73,2.79,2.8,2.71,222682000,2.79,-0.8114042802472647,-0.812205300520769,-0.8114042802472647,-0.8116890101955406,-0.8119755066983966
15.01.2004,2.74,2.81,2.84,2.73,244346000,2.81,-0.8110602853048515,-0.8120333964946854,-0.8110602853048515,-0.8110091172481666,-0.8116273084642753
16.01.2004,2.81,2.79,2.82,2.76,182284000,2.79,-0.8114042802472647,-0.8108300683121009,-0.8114042802472647,-0.8113490637218536,-0.8111050111130934
20.01.2004,2.78,2.83,2.84,2.77,154968000,2.83,-0.8107162903624384,-0.8113457803903514,-0.8107162903624384,-0.8110091172481666,-0.8109309119960327
21.01.2004,2.81,2.81,2.85,2.78,135672000,2.81,-0.8110602853048515,-0.8108300683121009,-0.8110602853048515,-0.8108391440113231,-0.8107568128789722
22.01.2004,2.84,2.86,2.89,2.81,213444000,2.86,-0.8102002979488186,-0.8103143562338506,-0.8102002979488186,-0.810159251063949,-0.8102345155277902
23.01.2004,2.86,2.86,2.88,2.83,120780000,2.86,-0.8102002979488186,-0.8099705481816836,-0.8102002979488186,-0.8103292243007925,-0.8098863172936691
26.01.2004,2.84,2.85,2.86,2.82,111320000,2.85,-0.8103722954200252,-0.8103143562338506,-0.8103722954200252,-0.8106691707744795,-0.8100604164107297
