Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
02.01.2014,15.71,15.83,15.71,15.92,15.64,44377000
03.01.2014,15.69,15.77,15.69,15.79,15.59,36328200
06.01.2014,15.72,15.68,15.72,15.87,15.66,34150300
07.01.2014,15.93,15.89,15.93,16.0,15.82,37368800
08.01.2014,15.92,15.92,15.92,15.97,15.82,38362700
09.01.2014,15.77,15.92,15.77,15.93,15.65,31794000
10.01.2014,15.87,15.87,15.87,15.91,15.7,30318600
13.01.2014,15.84,15.99,15.84,16.29,15.81,59600000
14.01.2014,16.0,15.94,16.0,16.08,15.85,44300800
15.01.2014,16.27,16.07,16.27,16.42,16.01,61767800
16.01.2014,16.27,16.32,16.27,16.36,16.16,38918100
17.01.2014,16.24,16.12,16.24,16.27,16.12,44349100
21.01.2014,16.3,16.36,16.3,16.39,16.17,33423000
22.01.2014,16.31,16.36,16.31,16.39,16.27,30700100
23.01.2014,16.11,16.2,16.11,16.32,16.04,37013600
24.01.2014,15.85,15.99,15.85,16.09,15.83,40917300
27.01.2014,15.71,15.54,15.71,15.79,15.54,60510000
28.01.2014,15.53,15.62,15.53,15.71,15.49,41431800
29.01.2014,15.46,15.44,15.46,15.59,15.42,35406500
30.01.2014,15.69,15.54,15.69,15.7,15.44,42883000
31.01.2014,15.64,15.43,15.64,15.7,15.43,43325300
03.02.2014,15.39,15.66,15.39,15.67,15.32,60693300
04.02.2014,15.57,15.41,15.57,15.58,15.28,46626500
05.02.2014,15.69,15.49,15.69,15.76,15.41,46291400
06.02.2014,16.06,15.74,16.06,16.12,15.69,49584300
07.02.2014,16.19,16.08,16.19,16.22,15.92,54109200
10.02.2014,16.3,16.17,16.3,16.34,16.11,45300500
11.02.2014,16.22,16.27,16.22,16.34,16.19,45804800
12.02.2014,16.32,16.14,16.32,16.37,16.08,69832400
13.02.2014,15.9,15.7,15.9,15.9,15.48,153739400
14.02.2014,16.11,15.87,16.11,16.26,15.85,64513500
18.02.2014,16.0,16.06,16.0,16.09,15.94,31014400
19.02.2014,15.91,15.94,15.91,16.11,15.87,29309100
20.02.2014,15.92,15.88,15.92,15.99,15.82,26215000
21.02.2014,15.8,15.97,15.8,16.03,15.8,31483000
24.02.2014,15.79,15.84,15.79,15.95,15.71,41858000
25.02.2014,15.59,15.82,15.59,15.87,15.54,45303600
26.02.2014,15.66,15.59,15.66,15.72,15.39,43574600
27.02.2014,15.65,15.62,15.65,15.74,15.61,25804000
28.02.2014,15.57,15.69,15.57,15.79,15.49,40863200
03.03.2014,15.4,15.4,15.4,15.58,15.31,37292900
04.03.2014,15.58,15.55,15.58,15.63,15.49,35673900
05.03.2014,15.62,15.64,15.62,15.74,15.57,28203400
06.03.2014,15.58,15.62,15.58,15.69,15.53,23567000
07.03.2014,15.52,15.65,15.52,15.67,15.47,33180000
10.03.2014,15.49,15.44,15.49,15.58,15.42,26163300
11.03.2014,15.43,15.61,15.43,15.66,15.41,34642200
