Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
17.08.2016,11.3,11.44,11.3,11.57,11.3,271519
18.08.2016,11.24,11.57,11.24,11.57,11.17,1767366
19.08.2016,11.44,11.23,11.44,11.44,11.21,4735900
22.08.2016,11.47,11.3,11.47,11.99,11.2,2245909
23.08.2016,11.83,11.5,11.83,12.07,11.44,1483020
24.08.2016,11.99,13.14,11.99,13.14,11.86,2525979
25.08.2016,11.94,12.16,11.94,12.16,11.86,371646
26.08.2016,12.03,12.08,12.03,12.08,11.96,223415
29.08.2016,12.17,12.04,12.17,12.36,12.04,1390019
30.08.2016,11.87,12.16,11.87,12.29,11.71,4805026
31.08.2016,11.75,11.76,11.75,11.86,11.57,9033877
01.09.2016,11.44,12.5,11.44,12.5,11.44,9048130
02.09.2016,11.3,11.54,11.3,11.54,11.23,8127033
06.09.2016,11.95,11.37,11.95,12.16,11.05,56316264
07.09.2016,12.62,11.85,12.62,12.98,11.83,147907159
08.09.2016,13.23,12.74,13.23,13.38,12.73,41159318
09.09.2016,12.9,13.1,12.9,13.19,12.65,26618101
12.09.2016,12.99,12.63,12.99,13.07,12.54,13989272
13.09.2016,12.75,12.65,12.75,13.05,12.62,18045663
14.09.2016,12.71,12.72,12.71,12.78,12.62,17208658
15.09.2016,12.85,12.65,12.85,12.89,12.62,17208302
16.09.2016,12.74,12.78,12.74,12.88,12.65,17786615
19.09.2016,12.82,12.68,12.82,12.85,12.66,16264400
20.09.2016,12.81,12.8,12.81,12.87,12.66,12000986
21.09.2016,12.73,12.72,12.73,12.88,12.69,14885427
22.09.2016,12.63,12.75,12.63,12.82,12.59,17054370
23.09.2016,12.62,12.58,12.62,12.74,12.57,7449305
26.09.2016,12.59,12.54,12.59,12.63,12.53,10128504
27.09.2016,12.56,12.56,12.56,12.61,12.53,9831330
28.09.2016,12.58,12.59,12.58,12.65,12.49,8013722
29.09.2016,12.51,12.52,12.51,12.6,12.49,5912124
30.09.2016,12.57,12.56,12.57,12.64,12.5,6165827
03.10.2016,12.6,12.52,12.6,12.63,12.51,5345926
04.10.2016,12.58,12.57,12.58,12.62,12.52,5993010
05.10.2016,12.74,12.55,12.74,12.84,12.49,6621209
06.10.2016,12.72,12.74,12.72,12.77,12.61,5139258
07.10.2016,12.64,12.72,12.64,12.74,12.6,3515134
10.10.2016,12.49,12.64,12.49,12.72,12.45,5420398
11.10.2016,12.39,12.4,12.39,12.55,12.34,6247425
12.10.2016,12.38,12.34,12.38,12.47,12.29,5851549
13.10.2016,12.39,12.33,12.39,12.47,12.26,4783291
14.10.2016,12.42,12.42,12.42,12.52,12.35,5453179
17.10.2016,12.46,12.42,12.46,12.53,12.36,4813222
18.10.2016,12.53,12.5,12.53,12.57,12.36,5366949
19.10.2016,12.54,12.5,12.54,12.63,12.49,4452266
20.10.2016,12.54,12.48,12.54,12.58,12.47,3849010
21.10.2016,12.42,12.48,12.42,12.52,12.38,3461329
24.10.2016,12.6,12.51,12.6,12.64,12.48,3621319
25.10.2016,12.35,12.55,12.35,12.6,12.31,5398662
26.10.2016,12.28,12.32,12.28,12.45,12.26,5900722
27.10.2016,12.71,12.99,12.71,13.08,12.63,25078425
28.10.2016,12.85,12.65,12.85,12.93,12.62,13622259
31.10.2016,12.9,12.88,12.9,13.01,12.83,12164182
01.11.2016,12.74,12.92,12.74,13.01,12.68,7967400
02.11.2016,12.88,12.68,12.88,12.91,12.67,6557427
03.11.2016,12.82,12.87,12.82,12.99,12.74,4763693
04.11.2016,12.78,12.78,12.78,12.94,12.75,6307644
07.11.2016,13.02,12.85,13.02,13.14,12.85,4566646
08.11.2016,13.06,13.02,13.06,13.13,13.01,3322719
09.11.2016,12.98,12.78,12.98,13.11,12.74,5840503
10.11.2016,12.95,12.98,12.95,13.16,12.77,5971274
11.11.2016,12.92,12.93,12.92,13.0,12.84,3162017
14.11.2016,12.88,12.92,12.88,13.03,12.72,3504801
15.11.2016,13.17,12.89,13.17,13.23,12.83,6991429
16.11.2016,13.31,13.11,13.31,13.36,13.07,4996372
17.11.2016,13.62,13.29,13.62,13.71,13.28,5726123
18.11.2016,13.67,13.61,13.67,13.76,13.59,4201058
21.11.2016,13.79,13.64,13.79,13.86,13.64,3149190
22.11.2016,13.69,13.83,13.69,13.89,13.55,2856648
23.11.2016,13.55,13.62,13.55,13.76,13.51,2990982
25.11.2016,13.72,13.51,13.72,13.78,13.5,905062
28.11.2016,13.71,13.67,13.71,13.78,13.62,2637865
29.11.2016,14.0,13.68,14.0,14.06,13.68,4771176
30.11.2016,14.08,14.08,14.08,14.12,13.98,5082603
01.12.2016,13.64,14.08,13.64,14.1,13.48,8015860
02.12.2016,13.87,13.59,13.87,13.93,13.41,4767969
05.12.2016,13.95,13.89,13.95,14.05,13.81,6389955
06.12.2016,14.03,13.89,14.03,14.06,13.86,5912124
07.12.2016,14.17,13.99,14.17,14.24,13.9,9804606
08.12.2016,14.17,14.14,14.17,14.43,14.01,8274908
09.12.2016,14.19,14.15,14.19,14.33,14.09,5978401
12.12.2016,14.17,14.2,14.17,14.26,13.95,5849055
13.12.2016,14.14,14.16,14.14,14.33,14.11,4376369
14.12.2016,14.25,14.11,14.25,14.32,14.07,6546737
15.12.2016,14.92,14.33,14.92,14.98,14.29,12845829
16.12.2016,14.84,14.89,14.84,14.94,14.66,21293198
19.12.2016,14.82,14.76,14.82,14.91,14.68,4347863
20.12.2016,15.0,14.88,15.0,15.05,14.85,5251500
21.12.2016,15.06,14.93,15.06,15.16,14.84,3799124
