Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
02.01.2014,19.18,19.17,19.18,19.2,18.94,31833300
03.01.2014,19.17,19.23,19.17,19.26,19.04,27796700
06.01.2014,18.93,19.16,18.93,19.18,18.93,28682300
07.01.2014,19.03,18.99,19.03,19.13,18.94,19665100
08.01.2014,18.91,19.07,18.91,19.12,18.81,29680500
09.01.2014,18.82,18.9,18.82,19.0,18.78,20878000
10.01.2014,18.99,18.96,18.99,19.22,18.96,30588800
13.01.2014,18.96,19.06,18.96,19.33,18.9,40274500
14.01.2014,19.71,19.34,19.71,19.74,19.26,74142900
15.01.2014,19.83,19.87,19.83,20.17,19.79,58277700
16.01.2014,19.74,19.81,19.74,19.89,19.58,48960800
17.01.2014,19.22,18.86,19.22,19.23,18.78,111758900
21.01.2014,19.03,19.18,19.03,19.19,18.79,42286400
22.01.2014,18.82,18.88,18.82,18.99,18.7,48749900
23.01.2014,18.69,18.72,18.69,18.78,18.52,40241000
24.01.2014,18.45,18.5,18.45,18.73,18.44,34838700
27.01.2014,18.38,18.42,18.38,18.58,18.34,32564900
28.01.2014,18.52,18.38,18.52,18.63,18.27,32453800
29.01.2014,18.35,18.41,18.35,18.56,18.32,27145700
30.01.2014,18.4,18.41,18.4,18.51,18.25,24610100
31.01.2014,18.25,18.18,18.25,18.33,18.15,28623300
03.02.2014,17.81,18.22,17.81,18.23,17.77,52868200
04.02.2014,17.71,17.84,17.71,17.88,17.54,50816300
05.02.2014,17.66,17.79,17.66,17.84,17.64,32476200
06.02.2014,18.01,17.72,18.01,18.08,17.68,28008400
07.02.2014,18.18,18.17,18.18,18.21,17.85,30808400
10.02.2014,18.24,18.1,18.24,18.3,18.06,24571300
11.02.2014,18.37,18.28,18.37,18.41,18.27,17911700
12.02.2014,18.43,18.4,18.43,18.54,18.3,25874100
13.02.2014,18.54,18.34,18.54,18.57,18.25,22922000
14.02.2014,18.59,18.45,18.59,18.59,18.33,20539700
18.02.2014,18.59,18.52,18.59,18.6,18.43,17738100
19.02.2014,18.39,18.51,18.39,18.56,18.33,25686000
20.02.2014,18.57,18.42,18.57,18.66,18.39,20193800
21.02.2014,18.33,18.73,18.33,18.74,18.28,30579800
24.02.2014,18.49,18.4,18.49,18.68,18.33,24145500
25.02.2014,18.48,18.52,18.48,18.55,18.36,21539100
26.02.2014,18.62,18.57,18.62,18.75,18.48,19820200
27.02.2014,18.59,18.62,18.59,18.62,18.4,20863900
28.02.2014,18.59,18.61,18.59,18.66,18.45,23482700
03.03.2014,18.39,18.43,18.39,18.46,18.24,25728500
04.03.2014,18.48,18.56,18.48,18.6,18.39,23661200
05.03.2014,18.39,18.54,18.39,18.55,18.32,21036200
06.03.2014,18.49,18.45,18.49,18.51,18.3,22371700
07.03.2014,18.5,18.54,18.5,18.66,18.45,25373400
10.03.2014,18.65,18.48,18.65,18.69,18.45,24908100
11.03.2014,18.57,18.6,18.57,18.66,18.48,26656800
12.03.2014,18.59,18.51,18.59,18.68,18.48,21244800
13.03.2014,18.45,18.62,18.45,18.77,18.34,26243300
14.03.2014,18.39,18.38,18.39,18.51,18.32,21807200
17.03.2014,18.54,18.5,18.54,18.63,18.39,18525800
18.03.2014,18.63,18.53,18.63,18.69,18.43,26344000
19.03.2014,18.78,18.66,18.78,18.96,18.6,34229400
20.03.2014,19.09,18.77,19.09,19.21,18.72,37009100
21.03.2014,18.9,19.23,18.9,19.28,18.89,56861900
24.03.2014,18.86,18.93,18.86,19.05,18.71,36950600
25.03.2014,19.11,18.91,19.11,19.27,18.9,32317400
26.03.2014,19.05,19.21,19.05,19.32,19.01,26442800
27.03.2014,19.0,19.04,19.0,19.33,18.99,27201100
28.03.2014,19.23,19.08,19.23,19.38,19.01,22884500
31.03.2014,19.38,19.26,19.38,19.56,19.23,29336300
