Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
02.01.2014,113.39,114.42,113.39,114.53,113.19,4755639
03.01.2014,114.07,113.57,114.07,114.5,113.25,4250107
06.01.2014,113.68,114.38,113.68,114.51,113.25,4254919
07.01.2014,115.95,113.92,115.95,116.34,113.91,6205186
08.01.2014,114.88,115.71,114.88,115.77,114.45,4815470
09.01.2014,114.52,115.52,114.52,115.82,114.01,4520080
10.01.2014,114.45,115.09,114.45,115.25,113.85,4207430
13.01.2014,112.55,113.84,112.55,114.26,112.37,6050796
14.01.2014,113.63,113.1,113.63,113.94,112.38,4831683
15.01.2014,114.74,113.57,114.74,115.3,113.37,5038059
16.01.2014,115.37,114.61,115.37,115.51,114.17,4989734
17.01.2014,116.18,114.93,116.18,116.62,114.81,7996252
21.01.2014,115.16,116.26,115.16,116.36,114.16,11585810
22.01.2014,111.39,110.79,111.39,112.15,109.81,14430721
23.01.2014,111.68,110.89,111.68,112.28,110.45,7294699
24.01.2014,109.79,110.78,109.79,111.73,109.79,7207568
27.01.2014,108.73,109.77,108.73,109.8,108.58,5448196
28.01.2014,108.09,108.82,108.09,109.06,107.66,5578632
29.01.2014,107.81,107.55,107.81,109.11,107.5,5199561
30.01.2014,108.4,108.28,108.4,108.7,107.79,5076970
31.01.2014,107.98,107.63,107.98,108.69,107.16,5432296
03.02.2014,105.67,107.58,105.67,107.58,105.56,7517393
04.02.2014,105.64,106.06,105.64,106.19,105.34,4549891
05.02.2014,106.49,105.24,106.49,106.94,105.24,4929066
06.02.2014,107.34,106.91,107.34,107.45,106.8,4489641
07.02.2014,108.92,107.93,108.92,109.11,107.58,4908773
10.02.2014,108.86,108.75,108.86,109.17,108.31,3703258
11.02.2014,110.43,108.65,110.43,110.85,108.65,4861076
12.02.2014,110.76,110.32,110.76,111.38,110.16,4166218
13.02.2014,111.75,109.52,111.75,112.06,109.3,4688172
14.02.2014,112.88,111.39,112.88,113.34,111.22,4874255
18.02.2014,112.57,112.57,112.57,113.07,112.04,4639219
19.02.2014,112.43,112.3,112.43,114.09,112.1,4886389
20.02.2014,113.23,112.43,113.23,113.6,112.33,5196737
21.02.2014,112.33,113.23,112.33,114.12,112.22,5961468
24.02.2014,112.73,112.35,112.73,113.79,112.35,4806684
25.02.2014,112.6,112.78,112.6,113.44,112.38,4081806
26.02.2014,113.11,113.04,113.11,113.86,112.8,3912772
27.02.2014,113.85,112.97,113.85,114.27,112.96,4003879
28.02.2014,113.79,113.92,113.79,114.38,112.86,4882623
03.03.2014,113.23,112.66,113.23,113.47,112.35,4131805
04.03.2014,114.57,114.18,114.57,115.01,114.1,4950718
05.03.2014,115.0,114.65,115.0,115.5,114.55,3645519
06.03.2014,115.31,115.14,115.31,115.77,114.85,3992896
07.03.2014,115.33,115.75,115.33,116.1,115.03,4307219
10.03.2014,114.54,115.25,114.54,115.76,114.21,4802395
11.03.2014,114.77,115.17,114.77,115.81,114.33,4424057
12.03.2014,114.44,114.31,114.44,115.19,114.23,5055318
13.03.2014,113.01,114.55,113.01,114.92,112.89,5139207
14.03.2014,111.97,113.0,111.97,113.25,111.97,5742854
17.03.2014,114.18,112.25,114.18,114.52,112.25,5165253
18.03.2014,114.8,114.3,114.8,115.47,114.02,4143520
19.03.2014,113.51,114.06,113.51,114.73,112.77,4522799
20.03.2014,115.47,113.36,115.47,115.69,113.18,5295480
21.03.2014,114.71,115.84,114.71,115.96,114.55,13111819
24.03.2014,115.68,115.18,115.68,116.42,115.14,6002471
25.03.2014,119.86,116.0,119.86,120.08,115.96,11414684
26.03.2014,118.37,119.82,118.37,120.22,117.96,7166878
27.03.2014,116.66,117.93,116.66,118.4,116.34,7079014
28.03.2014,117.04,116.72,117.04,118.37,116.21,5433342
31.03.2014,118.29,117.77,118.29,119.08,117.62,8930016
01.04.2014,119.52,118.68,119.52,119.91,118.47,5642229
02.04.2014,118.94,119.37,118.94,119.52,118.29,5150609
03.04.2014,118.41,118.73,118.41,118.84,118.2,4279291
04.04.2014,117.85,118.68,117.85,119.2,117.55,6370035
07.04.2014,119.54,117.82,119.54,120.02,117.72,7050563
08.04.2014,118.78,119.15,118.78,119.32,118.41,5360750
09.04.2014,120.84,119.14,120.84,121.06,118.97,5732185
10.04.2014,120.25,120.48,120.25,122.42,120.24,8805123
11.04.2014,119.95,119.86,119.95,121.06,119.38,5057410
14.04.2014,121.53,120.59,121.53,121.82,120.37,5680931
15.04.2014,121.07,120.43,121.07,121.31,120.09,5597460
16.04.2014,120.69,121.71,120.69,122.11,119.83,8919556
17.04.2014,116.77,115.07,116.77,117.19,114.92,11767082
21.04.2014,118.15,116.64,118.15,118.49,116.6,5669006
22.04.2014,118.08,117.99,118.08,118.6,117.5,4057016
23.04.2014,117.82,117.86,117.82,118.24,116.83,4954274
24.04.2014,116.89,118.12,116.89,118.12,116.78,4609827
25.04.2014,116.53,117.09,116.53,117.17,116.21,4049066
28.04.2014,118.69,117.46,118.69,119.21,117.12,5897662
29.04.2014,119.9,118.97,119.9,120.41,118.86,4839110
30.04.2014,120.74,119.45,120.74,120.98,119.43,4400313
01.05.2014,118.93,120.64,118.93,120.9,118.7,3843004
02.05.2014,117.64,119.06,117.64,119.12,117.53,3190195
05.05.2014,117.53,117.4,117.53,117.68,116.64,2324317
06.05.2014,116.78,117.33,116.78,117.34,116.3,3335380
07.05.2014,117.01,117.03,117.01,117.62,115.54,3996766
08.05.2014,116.77,116.92,116.77,117.79,116.35,2543767
09.05.2014,117.49,116.81,117.49,117.8,116.43,2365634
12.05.2014,119.03,118.13,119.03,119.31,118.02,3951160
13.05.2014,118.79,119.16,118.79,119.31,118.53,2329024
14.05.2014,116.65,118.62,116.65,118.67,116.31,5493069
15.05.2014,115.25,116.86,115.25,116.87,115.08,4395501
16.05.2014,115.62,115.13,115.62,115.84,114.92,4131177
19.05.2014,115.59,115.34,115.59,115.67,114.99,3421152
20.05.2014,114.28,115.12,114.28,115.4,114.16,3165719
21.05.2014,115.21,114.87,115.21,115.68,114.32,3125448
22.05.2014,114.77,115.25,114.77,115.25,114.37,2320028
23.05.2014,114.93,114.87,114.93,115.05,114.54,2680793
27.05.2014,114.21,114.23,114.21,114.75,113.69,5014315
28.05.2014,113.16,114.03,113.16,114.27,113.08,3892794
29.05.2014,113.58,113.51,113.58,113.59,112.7,2886855
30.05.2014,113.95,113.35,113.95,114.08,112.8,4833043
02.06.2014,114.78,114.2,114.78,115.14,114.14,3347723
03.06.2014,113.96,114.69,113.96,114.82,113.8,2632887
04.06.2014,114.05,114.17,114.05,114.63,113.85,2486133
05.06.2014,114.95,114.14,114.95,115.02,113.68,2983401
06.06.2014,115.2,115.26,115.2,115.99,114.91,3448348
09.06.2014,115.1,115.1,115.1,115.98,114.94,2853906
10.06.2014,113.91,115.09,113.91,115.1,113.62,4346025
11.06.2014,112.65,113.49,112.65,113.85,112.5,4248538
12.06.2014,112.01,112.79,112.01,112.83,111.82,4628864
13.06.2014,112.84,112.49,112.84,113.11,112.2,2901186
16.06.2014,112.71,112.74,112.71,112.93,112.02,3719785
17.06.2014,112.66,112.43,112.66,113.0,112.22,2574101
18.06.2014,113.48,112.52,113.48,113.49,112.36,4112663
19.06.2014,113.0,113.8,113.0,114.02,112.72,3714451
20.06.2014,112.22,112.86,112.22,112.91,112.12,11178393
23.06.2014,112.58,112.45,112.58,112.65,111.88,3380358
24.06.2014,111.8,112.19,111.8,113.11,111.66,4053668
25.06.2014,111.7,111.41,111.7,111.86,111.3,2889889
26.06.2014,111.49,111.8,111.49,112.11,110.81,3408391
27.06.2014,112.32,111.12,112.32,112.78,111.05,4785973
30.06.2014,112.04,112.08,112.04,112.45,111.42,4418095
01.07.2014,115.18,112.31,115.18,115.75,112.31,6948683
02.07.2014,116.44,115.18,116.44,116.82,115.07,5327278
03.07.2014,116.53,116.44,116.53,116.7,115.8,2533830
07.07.2014,116.23,115.96,116.23,116.37,115.86,3094800
08.07.2014,115.72,115.99,115.72,116.25,115.2,3279315
09.07.2014,116.46,116.01,116.46,116.76,115.52,3461842
10.07.2014,116.02,115.24,116.02,116.23,115.1,3323979
11.07.2014,116.2,116.04,116.2,116.42,115.41,2513015
14.07.2014,117.35,116.54,117.35,117.71,116.53,4708151
15.07.2014,116.51,117.16,116.51,117.49,116.33,5088476
16.07.2014,118.9,118.82,118.9,119.52,117.91,8171980
17.07.2014,118.98,118.9,118.98,121.12,118.68,9280426
18.07.2014,118.98,118.65,118.98,119.57,117.44,8542054
21.07.2014,117.96,118.24,117.96,118.49,116.98,4345502
22.07.2014,119.97,118.42,119.97,120.36,118.4,5076238
23.07.2014,119.68,119.98,119.68,120.47,119.65,3749073
24.07.2014,120.68,119.88,120.68,120.91,119.76,3778884
25.07.2014,120.16,120.72,120.16,121.09,119.78,3531714
28.07.2014,121.01,120.1,121.01,121.4,119.7,3391550
29.07.2014,120.26,120.72,120.26,121.08,120.25,3414249
30.07.2014,119.91,120.65,119.91,121.14,119.23,4125215
31.07.2014,118.47,119.19,118.47,120.09,118.39,4401045
01.08.2014,116.91,117.75,116.91,118.37,116.73,5419431
04.08.2014,117.22,117.04,117.22,117.41,116.57,2223691
05.08.2014,115.65,116.67,115.65,116.94,115.24,3460063
06.08.2014,115.63,115.25,115.63,116.19,114.68,4023962
07.08.2014,114.59,116.04,114.59,116.07,114.14,2833196
08.08.2014,116.04,114.65,116.04,116.06,114.14,2909449
11.08.2014,116.56,116.77,116.56,117.11,115.82,2643451
12.08.2014,116.48,116.55,116.48,117.32,116.15,1944096
13.08.2014,116.86,116.89,116.86,117.19,116.5,1877570
14.08.2014,116.82,116.62,116.82,117.0,116.23,2018257
15.08.2014,116.5,116.8,116.5,117.44,116.14,2944281
18.08.2014,117.74,116.95,117.74,118.02,116.74,2531634
19.08.2014,118.18,118.16,118.18,118.29,117.74,2133945
20.08.2014,118.2,118.05,118.2,118.38,117.67,2277770
21.08.2014,118.9,118.69,118.9,119.42,118.44,2611339
22.08.2014,118.39,118.61,118.39,119.3,118.31,2029554
25.08.2014,118.86,119.0,118.86,119.26,118.58,1802886
26.08.2014,119.99,118.77,119.99,120.33,118.77,3321468
27.08.2014,119.53,120.02,119.53,120.7,119.1,2290949
28.08.2014,119.38,119.05,119.38,119.56,118.54,1572766
29.08.2014,119.56,119.55,119.56,119.84,118.84,3043232
02.09.2014,119.1,119.8,119.1,119.98,118.71,2802966
03.09.2014,119.35,119.62,119.35,119.97,119.29,1906649
04.09.2014,118.56,119.18,118.56,119.81,118.17,2996790
05.09.2014,118.88,118.46,118.88,119.22,118.19,2364169
08.09.2014,118.22,118.6,118.22,118.88,117.83,2640313
09.09.2014,118.13,118.35,118.13,118.59,118.0,2514166
10.09.2014,119.09,118.21,119.09,119.47,118.2,2891144
11.09.2014,119.2,118.81,119.2,119.86,118.21,2404231
12.09.2014,118.93,119.05,118.93,119.13,118.49,3034446
15.09.2014,119.26,119.02,119.26,119.68,118.49,2569394
16.09.2014,119.97,118.91,119.97,120.35,118.64,2679329
17.09.2014,119.87,120.14,119.87,120.4,119.56,3358497
18.09.2014,120.47,119.87,120.47,120.7,119.82,3099612
19.09.2014,120.62,120.96,120.62,121.24,120.12,9259192
22.09.2014,120.07,120.45,120.07,120.71,119.77,3470628
23.09.2014,119.14,119.84,119.14,120.04,119.08,3453683
24.09.2014,119.57,118.76,119.57,119.66,118.06,3224400
25.09.2014,117.52,119.41,117.52,119.69,117.49,4342364
26.09.2014,118.17,117.47,118.17,118.34,117.27,2608619
29.09.2014,117.91,117.21,117.91,118.11,116.96,2443770
30.09.2014,118.03,117.91,118.03,118.66,117.61,3067500
01.10.2014,116.37,118.08,116.37,118.38,116.14,3894467
02.10.2014,116.21,116.68,116.21,116.75,115.8,2388123
03.10.2014,117.31,116.96,117.31,117.74,116.62,3212789
06.10.2014,117.54,117.94,117.54,118.69,117.33,2196077
07.10.2014,115.47,116.75,115.47,116.96,115.36,3128900
08.10.2014,117.74,115.63,117.74,117.89,115.4,3122101
09.10.2014,115.91,117.59,115.91,117.82,115.7,2746168
10.10.2014,115.6,115.56,115.6,116.73,115.09,5324349
13.10.2014,114.1,115.33,114.1,116.05,114.04,3762148
14.10.2014,114.28,114.96,114.28,115.47,114.15,4105236
15.10.2014,113.0,113.45,113.0,114.27,111.14,7213007
16.10.2014,111.82,111.79,111.82,112.84,111.1,5835216
17.10.2014,113.19,112.69,113.19,113.68,112.05,4550309
20.10.2014,105.14,103.74,105.14,105.9,103.64,24493659
21.10.2014,101.49,103.46,101.49,103.63,100.53,21913491
22.10.2014,100.59,100.98,100.59,102.84,100.17,11594701
23.10.2014,100.84,100.8,100.84,101.24,100.44,7948972
24.10.2014,100.77,100.77,100.77,101.0,100.38,6958097
27.10.2014,100.64,100.72,100.64,101.29,100.61,5218599
28.10.2014,101.72,100.72,101.72,101.72,100.6,8258484
29.10.2014,101.63,102.17,101.63,102.35,101.2,4957308
30.10.2014,102.19,101.66,102.19,102.35,101.36,4075216
31.10.2014,102.22,102.89,102.22,102.96,101.73,6085628
03.11.2014,102.19,102.12,102.19,102.3,101.58,4903857
04.11.2014,101.13,102.18,101.13,102.19,100.87,4442257
05.11.2014,100.61,101.43,100.61,101.68,100.45,4293516
06.11.2014,101.08,100.96,101.08,101.12,100.19,4254710
07.11.2014,101.46,101.05,101.46,101.55,100.69,3655561
10.11.2014,102.35,101.35,102.35,102.96,101.17,5186277
11.11.2014,102.23,102.48,102.23,102.6,101.79,3696982
12.11.2014,101.36,101.59,101.36,102.04,101.26,3533597
13.11.2014,101.91,101.41,101.91,101.91,101.29,3388726
14.11.2014,102.77,101.48,102.77,102.97,101.22,5207406
17.11.2014,102.77,102.77,102.77,103.27,102.49,5019649
