Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
02.01.2014,31.12,31.28,31.12,31.32,31.07,30632200
03.01.2014,30.91,31.15,30.91,31.17,30.65,31134800
06.01.2014,30.26,30.86,30.26,30.89,30.24,43603700
07.01.2014,30.49,30.43,30.49,30.56,30.33,35802800
08.01.2014,29.95,30.15,29.95,30.27,29.8,59971700
09.01.2014,29.76,30.05,29.76,30.07,29.65,36516300
10.01.2014,30.18,30.07,30.18,30.27,29.94,40548800
13.01.2014,29.3,30.14,29.3,30.17,29.17,45901900
14.01.2014,29.97,29.09,29.97,30.05,29.0,41623300
15.01.2014,30.79,30.07,30.79,30.81,30.02,44812600
16.01.2014,30.89,30.73,30.89,30.99,30.41,38018700
17.01.2014,30.47,30.84,30.47,30.84,30.27,46267500
21.01.2014,30.29,30.84,30.29,30.84,30.2,31567300
22.01.2014,30.09,30.37,30.09,30.42,29.94,21904300
23.01.2014,30.2,30.22,30.2,30.26,29.75,43954000
24.01.2014,30.83,31.36,30.83,31.45,30.59,76395500
27.01.2014,30.17,30.88,30.17,30.89,30.13,44420800
28.01.2014,30.38,30.25,30.38,30.48,29.94,36205500
29.01.2014,30.7,30.13,30.7,30.89,30.07,52745900
30.01.2014,30.87,30.81,30.87,30.89,30.34,35036300
31.01.2014,31.69,30.94,31.69,31.73,30.62,93162300
03.02.2014,30.55,31.61,30.55,31.82,30.51,64063100
04.02.2014,30.44,30.96,30.44,31.15,30.36,54697900
05.02.2014,30.0,30.39,30.0,30.54,29.98,55814400
06.02.2014,30.3,29.98,30.3,30.36,29.89,35351800
07.02.2014,30.62,30.42,30.62,30.64,30.16,33260500
10.02.2014,30.82,30.68,30.82,30.82,30.39,26767000
11.02.2014,31.13,30.89,31.13,31.2,30.87,32141400
12.02.2014,31.38,31.28,31.38,31.49,31.24,27051800
13.02.2014,31.5,31.26,31.5,31.71,31.26,37635500
14.02.2014,31.51,31.31,31.51,31.64,31.26,31407500
18.02.2014,31.57,31.75,31.57,31.88,31.57,32834000
19.02.2014,31.65,31.4,31.65,31.85,31.4,29750400
20.02.2014,31.85,31.7,31.85,31.95,31.56,27526100
21.02.2014,32.05,32.01,32.05,32.36,31.94,38021300
24.02.2014,31.8,31.8,31.8,32.05,31.67,32085100
25.02.2014,31.67,31.73,31.67,31.94,31.51,30736500
26.02.2014,31.62,31.71,31.62,31.84,31.38,41041800
27.02.2014,31.94,31.6,31.94,31.97,31.41,33903400
28.02.2014,32.32,32.05,32.32,32.45,31.91,41215000
03.03.2014,31.88,32.0,31.88,32.17,31.63,29717500
04.03.2014,32.41,32.23,32.41,32.47,32.12,26802400
05.03.2014,32.16,32.27,32.16,32.29,32.0,20520100
06.03.2014,32.19,32.18,32.19,32.27,31.97,23582200
07.03.2014,31.98,32.3,31.98,32.37,31.8,26591600
10.03.2014,31.91,32.05,31.91,32.07,31.83,19006600
11.03.2014,32.08,31.95,32.08,32.26,31.83,25216400
12.03.2014,32.29,31.89,32.29,32.43,31.89,30494100
13.03.2014,31.97,32.42,31.97,32.44,31.76,32169700
14.03.2014,31.81,31.77,31.81,32.18,31.65,27195600
17.03.2014,32.11,31.98,32.11,32.41,31.89,20479600
18.03.2014,33.37,32.28,33.37,33.67,32.25,64063900
19.03.2014,33.13,33.3,33.13,33.37,32.83,35597200
20.03.2014,34.03,33.12,34.03,34.3,33.11,59269800
21.03.2014,33.89,34.36,33.89,34.54,33.76,80721800
24.03.2014,34.17,34.04,34.17,34.29,33.63,46098400
25.03.2014,34.04,34.31,34.04,34.59,33.72,43193100
26.03.2014,33.57,34.16,33.57,34.35,33.41,41977500
27.03.2014,33.21,33.53,33.21,33.73,33.19,35369200
28.03.2014,34.0,33.57,34.0,34.29,33.48,43472700
31.03.2014,34.59,34.11,34.59,35.02,34.09,46886300
01.04.2014,34.95,34.72,34.95,35.09,34.65,32605000
02.04.2014,34.89,34.97,34.89,35.15,34.74,28666700
03.04.2014,34.6,34.84,34.6,34.84,34.35,30139600
04.04.2014,33.64,34.81,33.64,34.92,33.45,51409600
07.04.2014,33.58,33.72,33.58,33.98,33.53,37559600
08.04.2014,33.6,33.54,33.6,33.69,33.08,35918600
09.04.2014,34.15,33.69,34.15,34.21,33.65,27398700
10.04.2014,33.21,34.12,33.21,34.33,32.98,45960800
11.04.2014,33.08,32.91,33.08,33.57,32.91,34330200
14.04.2014,33.06,33.0,33.06,33.25,32.82,32006600
15.04.2014,33.54,33.19,33.54,33.72,32.95,33968700
16.04.2014,34.09,33.8,34.09,34.1,33.67,30615800
17.04.2014,33.76,33.76,33.76,33.92,33.34,36688400
21.04.2014,33.7,33.86,33.7,33.88,33.57,22221200
22.04.2014,33.74,33.72,33.74,33.87,33.61,27056700
23.04.2014,33.49,33.74,33.49,33.74,33.3,24602800
24.04.2014,33.63,33.53,33.63,33.73,33.16,42381600
25.04.2014,33.67,34.0,33.67,34.32,33.54,56876800
28.04.2014,34.48,33.87,34.48,34.84,33.83,50610200
29.04.2014,34.18,34.68,34.18,34.75,34.08,29636200
30.04.2014,34.09,34.09,34.09,34.17,33.89,35458700
01.05.2014,33.75,33.95,33.75,34.05,33.71,28787400
02.05.2014,33.49,34.01,33.49,34.04,33.46,43416600
05.05.2014,33.27,33.35,33.27,33.45,33.16,22460900
06.05.2014,32.96,33.15,32.96,33.2,32.86,27112400
07.05.2014,33.26,33.09,33.26,33.34,32.49,41744500
08.05.2014,33.45,33.19,33.45,33.67,32.88,32120400
09.05.2014,33.36,33.36,33.36,33.62,33.22,29647600
12.05.2014,33.73,33.53,33.73,33.77,33.46,22782600
13.05.2014,34.35,33.92,34.35,34.41,33.86,27004800
14.05.2014,34.19,34.24,34.19,34.37,34.03,18818700
15.05.2014,33.65,34.06,33.65,34.33,33.57,37793200
16.05.2014,33.84,33.71,33.84,33.85,33.37,29867100
19.05.2014,33.78,33.66,33.78,33.84,33.53,24537400
20.05.2014,33.72,33.72,33.72,33.94,33.53,21320900
21.05.2014,34.29,33.82,34.29,34.29,33.77,22398700
22.05.2014,34.07,34.23,34.07,34.29,33.86,20201800
23.05.2014,34.09,34.3,34.09,34.3,33.99,18020000
27.05.2014,34.15,34.21,34.15,34.21,33.83,26160600
28.05.2014,34.0,34.11,34.0,34.15,33.84,25711500
29.05.2014,34.28,34.12,34.28,34.29,33.91,19888200
30.05.2014,34.79,34.37,34.79,34.81,34.2,34567600
02.06.2014,34.66,34.8,34.66,34.91,34.57,18504300
03.06.2014,34.23,34.5,34.23,34.57,34.2,18068900
04.06.2014,34.26,34.17,34.26,34.3,33.87,23209000
05.06.2014,35.02,34.49,35.02,35.05,34.33,31865200
06.06.2014,35.25,35.25,35.25,35.4,35.04,24060500
09.06.2014,35.07,35.17,35.07,35.25,34.86,15019200
10.06.2014,34.93,34.86,34.93,34.97,34.72,15117700
11.06.2014,34.72,34.78,34.72,34.9,34.64,18040000
12.06.2014,34.48,34.68,34.48,34.74,34.23,29818900
13.06.2014,35.03,34.92,35.03,35.32,34.72,26310000
16.06.2014,35.26,34.87,35.26,35.36,34.87,24205300
17.06.2014,35.42,35.08,35.42,35.61,34.28,22518600
18.06.2014,35.39,35.36,35.39,35.47,34.99,27097000
19.06.2014,35.27,35.32,35.27,35.49,35.12,19828200
20.06.2014,35.42,35.22,35.42,35.54,35.16,47764900
23.06.2014,35.68,35.46,35.68,35.69,35.42,18743900
24.06.2014,35.48,35.54,35.48,35.64,35.31,26509100
25.06.2014,35.71,35.43,35.71,35.73,35.23,20049100
26.06.2014,35.45,35.63,35.45,35.64,35.2,23604400
27.06.2014,35.9,35.36,35.9,35.93,35.27,74640000
30.06.2014,35.43,35.83,35.43,35.87,35.43,30793100
01.07.2014,35.58,35.57,35.58,35.82,35.42,26917000
02.07.2014,35.6,35.46,35.6,35.6,35.29,20208100
03.07.2014,35.52,35.61,35.52,35.68,35.31,15969300
07.07.2014,35.68,35.48,35.68,35.79,35.44,21952400
08.07.2014,35.5,35.58,35.5,35.69,35.36,31218200
09.07.2014,35.41,35.67,35.41,35.68,35.29,18445900
10.07.2014,35.42,35.15,35.42,35.69,34.88,21854700
11.07.2014,35.76,35.43,35.76,35.76,35.25,24083000
14.07.2014,35.81,35.87,35.81,36.07,35.72,21881100
15.07.2014,36.07,35.97,36.07,36.09,35.71,28748700
16.07.2014,37.46,36.12,37.46,37.65,36.1,63318000
17.07.2014,37.84,38.62,37.84,38.84,37.6,82180300
18.07.2014,37.97,37.94,37.97,38.1,37.6,43407500
21.07.2014,38.1,37.86,38.1,38.37,37.57,37604400
22.07.2014,38.09,38.24,38.09,38.36,37.89,43095800
23.07.2014,38.13,38.62,38.13,38.62,37.91,52362900
24.07.2014,37.73,38.18,37.73,38.24,37.66,30725300
25.07.2014,37.81,37.64,37.81,37.95,37.64,26737700
28.07.2014,37.36,37.69,37.36,37.82,37.33,29684200
29.07.2014,37.29,37.31,37.29,37.46,37.08,27763100
30.07.2014,37.03,37.45,37.03,37.47,36.78,31921400
31.07.2014,36.67,36.86,36.67,37.12,36.61,31537500
01.08.2014,36.42,36.72,36.42,36.75,36.2,31170300
04.08.2014,36.85,36.51,36.85,36.94,36.38,34277400
05.08.2014,36.61,36.8,36.61,36.93,36.39,26266400
06.08.2014,36.32,36.32,36.32,36.68,35.87,24634000
07.08.2014,36.73,36.4,36.73,36.92,36.24,30314900
08.08.2014,36.71,36.73,36.71,36.81,36.46,28942700
11.08.2014,36.71,36.76,36.71,36.92,36.55,20351600
12.08.2014,36.98,36.57,36.98,37.04,36.54,21431100
13.08.2014,37.46,37.12,37.46,37.54,36.98,22889500
14.08.2014,37.62,37.46,37.62,37.74,37.4,19313200
15.08.2014,38.06,37.88,38.06,38.15,37.73,41611300
18.08.2014,38.33,38.19,38.33,38.33,37.97,26891100
19.08.2014,38.76,38.45,38.76,38.77,38.33,28139500
20.08.2014,38.43,38.77,38.43,38.82,38.39,24770500
21.08.2014,38.66,38.34,38.66,38.69,38.33,22285500
22.08.2014,38.6,38.78,38.6,38.88,38.54,18294500
25.08.2014,38.62,38.82,38.62,38.85,38.51,16910000
26.08.2014,38.48,38.74,38.48,38.82,38.42,14873100
27.08.2014,38.36,38.39,38.36,38.48,38.27,21287900
28.08.2014,38.37,38.26,38.37,38.46,38.14,17657600
29.08.2014,38.84,38.55,38.84,38.85,38.36,21607600
02.09.2014,38.55,38.84,38.55,38.87,38.35,22976800
03.09.2014,38.44,38.07,38.44,38.57,38.07,33684500
04.09.2014,38.7,38.25,38.7,38.71,38.24,26475500
05.09.2014,39.25,38.57,39.25,39.27,38.57,36939400
08.09.2014,39.73,39.35,39.73,40.01,39.32,45736700
09.09.2014,39.98,39.73,39.98,40.16,39.69,40302400
10.09.2014,40.05,40.03,40.05,40.13,39.57,27302400
11.09.2014,40.19,39.96,40.19,40.19,39.73,29216400
12.09.2014,39.93,40.11,39.93,40.2,39.84,38244700
15.09.2014,39.54,39.79,39.54,39.94,39.42,37667600
16.09.2014,39.98,39.66,39.98,40.06,39.58,27910600
17.09.2014,39.78,39.55,39.78,39.92,39.53,38311900
18.09.2014,39.91,39.84,39.91,40.04,39.72,35556600
19.09.2014,40.63,40.02,40.63,40.67,39.84,202522400
22.09.2014,40.24,40.44,40.24,40.51,40.17,38686100
23.09.2014,39.81,40.06,39.81,40.17,39.73,33430300
