Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
02.01.2014,0.37,0.38,0.37,0.38,0.37,260092000
03.01.2014,0.37,0.37,0.37,0.38,0.37,259332000
06.01.2014,0.37,0.37,0.37,0.38,0.37,409492000
07.01.2014,0.38,0.38,0.38,0.38,0.38,333288000
08.01.2014,0.39,0.38,0.39,0.39,0.38,308192000
09.01.2014,0.37,0.38,0.37,0.38,0.37,292172000
10.01.2014,0.37,0.37,0.37,0.38,0.37,218492000
13.01.2014,0.36,0.37,0.36,0.37,0.36,243332000
14.01.2014,0.37,0.36,0.37,0.37,0.36,241828000
15.01.2014,0.38,0.38,0.38,0.38,0.37,175044000
16.01.2014,0.38,0.38,0.38,0.38,0.38,220652000
17.01.2014,0.38,0.38,0.38,0.38,0.37,340400000
21.01.2014,0.38,0.38,0.38,0.38,0.37,246076000
22.01.2014,0.38,0.38,0.38,0.38,0.37,337940000
23.01.2014,0.38,0.38,0.38,0.38,0.37,185028000
24.01.2014,0.37,0.37,0.37,0.37,0.37,246696000
27.01.2014,0.36,0.37,0.36,0.37,0.36,233812000
28.01.2014,0.37,0.36,0.37,0.37,0.36,167996000
29.01.2014,0.36,0.37,0.36,0.37,0.36,162944000
30.01.2014,0.37,0.37,0.37,0.37,0.37,202896000
31.01.2014,0.37,0.37,0.37,0.37,0.37,335348000
03.02.2014,0.37,0.37,0.37,0.37,0.36,431728000
04.02.2014,0.37,0.37,0.37,0.37,0.36,280692000
05.02.2014,0.36,0.36,0.36,0.37,0.36,214676000
06.02.2014,0.37,0.36,0.37,0.37,0.36,168380000
07.02.2014,0.37,0.37,0.37,0.37,0.37,157248000
10.02.2014,0.38,0.37,0.38,0.38,0.37,324372000
11.02.2014,0.38,0.38,0.38,0.38,0.38,235384000
12.02.2014,0.4,0.38,0.4,0.4,0.38,744528000
13.02.2014,0.41,0.41,0.41,0.41,0.4,902836000
14.02.2014,0.42,0.41,0.42,0.42,0.41,817536000
18.02.2014,0.42,0.42,0.42,0.42,0.42,428988000
19.02.2014,0.43,0.42,0.43,0.43,0.42,450340000
20.02.2014,0.44,0.43,0.44,0.44,0.43,398088000
